date,province,city,infected,dead,recovered
2020/1/17,Hubei,total,62,0,6
2020/1/18,Hubei,total,121,0,6
2020/1/19,Hubei,total,121,0,6
2020/1/20,Hubei,total,270,6,25
2020/1/21,Hubei,total,375,9,25
2020/1/22,Hubei,total,444,17,28
2020/1/23,Hubei,total,549,24,31
2020/1/24,Hubei,total,761,39,32
2020/1/25,Hubei,total,1052,52,42
2020/1/26,Hubei,total,1423,76,44
2020/1/27,Hubei,total,2714,100,47
2020/1/28,Hubei,total,3554,125,80
2020/1/29,Hubei,total,4586,162,90
2020/1/30,Hubei,total,5806,204,116
2020/1/31,Hubei,total,7153,249,166
2020/2/1,Hubei,total,9074,294,215
2020/2/2,Hubei,total,11177,350,295
2020/2/3,Hubei,total,13522,414,386
2020/2/4,Hubei,total,16678,479,520
2020/2/5,Hubei,total,19665,549,651
2020/2/6,Hubei,total,22112,618,818
2020/2/7,Hubei,total,24953,699,1119
2020/2/8,Hubei,total,27100,780,1440
2020/2/9,Hubei,total,29631,871,1795
2020/2/10,Hubei,total,31728,974,2222
2020/2/11,Hubei,total,33366,1068,2639
2020/2/12,Hubei,total,34874,1310,3451
2020/2/13,Hubei,total,36602,1318,3862
2020/2/14,Hubei,total,37884,1457,4774
2020/2/15,Hubei,total,38839,1596,5623
2020/2/16,Hubei,total,40772,1696,6642
2020/2/17,Hubei,total,42579,1789,7902
2020/2/18,Hubei,total,44272,1921,9128
2020/2/19,Hubei,total,44621,2029,10337
2020/2/20,Hubei,total,45032,2144,11788
2020/2/21,Hubei,total,46044,2250,13557
2020/2/22,Hubei,total,46674,2346,15299
2020/2/23,Hubei,total,46877,2495,16738
2020/2/24,Hubei,total,47376,2563,18854
2020/2/25,Hubei,total,47777,2615,20935
2020/2/26,Hubei,total,48186,2641,23222
2020/2/27,Hubei,total,48504,2682,26403
2020/2/28,Hubei,total,48927,2727,28895
2020/2/29,Hubei,total,49497,2761,31187
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
