"","Enshi","Ezhou","Huanggang","Huangshi","Jingmen","Jingzhou","Qianjiang","Shenlongjia","Shiyan","Suizhou","Tianmen","Wuhan","Xiangyang","Xianning","Xiantao","Xiaogan","Yichang"
"Enshi",0,586640,612873,608889,323544,313024,373365,458113,552441,529149,426331,522039,448483,537021,426961,502654,219776
"Ezhou",593067,0,13672,34048,315750,294268,228835,545725,513219,242244,216283,78207,385037,118514,175110,149336,392790
"Huanggang",601422,13723,0,45971,312523,302623,237190,554063,521557,250582,213056,74980,393375,130437,183465,157674,401145
"Huangshi",608821,33101,44951,0,341360,310022,244589,566151,533645,262670,241893,98633,405463,97636,190864,169762,408544
"Jingmen",322209,319451,314777,341700,0,90650,151308,274830,291630,230137,143419,241939,131327,301207,204093,204740,121693
"Jingzhou",312655,286222,312455,308471,89941,0,72947,306927,363965,262838,125913,221621,203662,236603,126543,249162,112378
"Qianjiang",373312,221430,247663,243679,150720,74513,0,367584,424744,198046,61121,156829,264441,171811,61751,184370,173035
"Shenlongjia",456853,561574,554162,581256,276192,307457,367798,0,186762,328439,393981,474480,229749,531454,421394,413568,256337
"Shiyan",550552,529238,521826,548920,290086,363926,424584,186438,0,287541,401170,442144,170438,523626,450592,381232,350036
"Suizhou",527892,258620,251208,278302,228929,263139,197706,327548,288719,0,154881,171526,166860,253008,179974,110614,327376
"Tianmen",425411,219706,215032,241955,144015,126612,61179,395244,402930,151311,0,142194,257736,163508,49947,104995,225134
"Wuhan",522127,78045,73944,98053,239520,223328,157895,473383,440877,169902,140053,0,312695,93780,104170,76018,321850
"Xiangyang",447990,402009,394597,421691,130872,204712,265370,229658,170704,168874,257481,314915,0,396397,318155,254003,247474
"Xianning",536950,118708,130558,97567,300705,238151,172718,531222,524497,253522,162643,92551,396315,0,114462,149928,336673
"Xiantao",427294,168333,194566,190582,204173,128495,63062,421566,451819,180844,48980,103732,317894,114355,0,131273,227017
"Xiaogan",502596,164205,156793,183887,203988,250087,184654,414717,382211,111236,104521,63983,254029,149755,130929,0,302080
"Yichang",219784,386217,412450,408466,123598,112601,172942,228806,352495,329203,225908,321616,248537,336598,226538,302708,0
