name_en,population,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20
Enshi,3380000,11,17,25,38,51,66,75,87,105,111,123,138,144,157,160,166,187,195
Ezhou,1080000,1,1,20,57,84,123,189,227,278,306,332,382,423,471,569,636,725,790
Huanggang,6330000,64,122,154,213,324,496,573,726,1002,1246,1422,1645,1807,1897,2041,2137,2252,2332
Huangshi,2470000,0,31,36,53,86,113,168,209,252,334,405,509,566,635,703,753,805,835
Jingmen,2900000,21,38,90,114,142,191,227,251,329,345,400,422,508,553,588,629,641,656
Jingzhou,5590000,10,33,47,71,101,151,221,287,333,499,613,713,801,885,941,997,1045,1075
Qianjiang,970000,0,0,5,7,8,10,12,27,35,35,44,54,64,74,80,82,85,90
Shenlongjia,80000,0,0,0,1,3,5,7,7,7,7,10,10,10,10,10,10,10,10
Shiyan,3410000,5,20,40,65,88,119,150,177,212,256,291,318,353,395,438,467,481,505
Suizhou,2220000,5,36,52,70,116,143,228,304,384,458,641,706,834,915,953,984,1049,1095
Tianmen,1270000,3,5,13,23,34,44,67,82,99,115,117,128,138,163,179,197,217,261
Wuhan,11080000,572,618,698,1590,1905,2261,2639,3215,4109,5142,6384,8351,10117,11618,13603,14981,16902,18454
Xiangyang,5670000,0,2,36,70,131,163,286,347,441,548,632,735,787,838,907,962,1019,1063
Xianning,2540000,0,43,64,91,112,130,166,206,246,296,348,384,399,443,476,493,507,515
Xiantao,1140000,10,11,12,27,32,55,90,97,140,169,188,225,265,307,359,379,416,438
Xiaogan,4920000,26,55,100,173,274,399,541,628,749,918,1120,1462,1886,2141,2313,2436,2541,2642
Yichang,4140000,1,20,31,51,63,117,167,276,353,392,452,496,563,610,633,704,749,772
