X,Barnstable,Berkshire,Bristol,Essex,Franklin,Hampden,Hampshire,Middlesex,Norfolk,Plymouth,Suffolk,Worcester
Barnstable,0,70,61,101,74,144,170,89,69,33,70,107
Berkshire,70,0,141,158,60,40,38,127,130,160,128,90
Bristol,61,141,0,70,14,95,110,39,9.5,35,32,47
Essex,101,158,70,0,76,113,139,38,69,91,38,77
Franklin,74,115,14,76,0,71,97,45,105,46,46,35
Hampden,144,40,95,113,71,0,37,82,75,115,82,45
Hampshire,170,38,110,139,97,37,0,106,99,139,107,69
Middlesex,89,127,39,38,45,82,106,0,37,59,22,45
Norfolk,69,130,9.5,69,5,75,99,37,0,46,31,43
Plymouth,33,160,35,91,46,115,139,59,46,0,39,79
Suffolk,70,128,32,38,46,82,107,22,31,39,0,46
Worcester,107,90,47,77,35,45,69,45,43,79,46,0
