,Barnstable,Berkshire,Bristol,Essex,Franklin,Hampden,Hampshire,Middlesex,Norfolk,Plymouth,Suffolk,Worcester
Barnstable,0,83,66,121,76,148,166,92,72,36,78,107
Berkshire,83,0,142,155,111,47,63,122,126,152,119,88
Bristol,66,142,0,82,18,92,104,45,19,42,45,50
Essex,121,155,82,0,80,116,134,44,76,100,44,80
Franklin,76,111,18,80,0,75,94,50,10,54,47,40
Hampden,148,47,92,116,75,0,47,86,82,117,84,53
Hampshire,166,63,104,134,94,47,0,105,101,136,103,74
Middlesex,92,122,45,44,50,86,105,0,46,68,29,50
Norfolk,72,126,19,76,10,82,101,46,0,54,50,47
Plymouth,36,152,42,100,54,117,136,68,54,0,55,82
Suffolk,78,119,45,44,47,84,103,29,50,55,0,52
Worcester,107,88,50,80,40,53,74,50,47,82,52,0
