county,area,population,2020/3/1,2020/3/2,2020/3/3,2020/3/4,2020/3/5,2020/3/6,2020/3/7,2020/3/8,2020/3/9,2020/3/10,2020/3/11,2020/3/12,2020/3/13,2020/3/14,2020/3/15,2020/3/16,2020/3/17,2020/3/18,2020/3/19,2020/3/20,2020/3/21,2020/3/22,2020/3/23,2020/3/24,2020/3/25,2020/3/26,2020/3/27,2020/3/28,2020/3/29,2020/3/30,2020/3/31,2020/4/1,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,2020/4/30,2020/5/1,2020/5/2,2020/5/3,2020/5/4,2020/5/5,2020/5/6,2020/5/7,2020/5/8,2020/5/9,2020/5/10,2020/5/11,2020/5/12,2020/5/13,2020/5/14,2020/5/15,2020/5/16,2020/5/17,2020/5/18,2020/5/19,2020/5/20,2020/5/21,2020/5/22,2020/5/23,2020/5/24,2020/5/25,2020/5/26,2020/5/27,2020/5/28,2020/5/29,2020/5/30,2020/5/31,2020/6/1,2020/6/2,2020/6/3,2020/6/4,2020/6/5,2020/6/6,2020/6/7,2020/6/8,2020/6/9,2020/6/10,2020/6/11,2020/6/12,2020/6/13,2020/6/14,2020/6/15,2020/6/16,2020/6/17,2020/6/18,2020/6/19,2020/6/20,2020/6/21,2020/6/22,2020/6/23,2020/6/24,2020/6/25,2020/6/26,2020/6/27,2020/6/28,2020/6/29,2020/6/30,2020/7/1,2020/7/2,2020/7/3,2020/7/4,2020/7/5,2020/7/6,2020/7/7,2020/7/8,2020/7/9,2020/7/10,2020/7/11,2020/7/12,2020/7/13,2020/7/14,2020/7/15,2020/7/16,2020/7/17,2020/7/18,2020/7/19,2020/7/20
Barnstable,396,165700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,9,11,24,30,40,51,67,100,133,148,173,191,255,283,314,330,347,383,405,423,444,464,480,501,502,514,530,550,582,599,642,674,682,688,720,760,770,787,813,843,866,886,930,970,981,997,1008,1039,1065,1088,1112,1129,1138,1158,1178,1186,1208,1219,1224,1229,1253,1275,1282,1346,1357,1363,1373,1378,1385,1398,1408,1413,1420,1424,1430,1435,1443,1446,1450,1456,1458,1462,1467,1474,1479,1486,1487,1489,1494,1497,1502,1508,1513,1515,1517,1523,1525,1525,1530,1531,1532,1535,1538,1542,1547,1553,1553,1557,1561,1561,1563,1566,1570,1574,1578,1582,1586,1593,1596,1603,1612,1622,1635
Berkshire,931,146970,0,0,0,0,0,0,0,1,1,5,7,9,9,9,9,11,14,17,18,20,21,23,26,37,71,73,105,119,151,162,171,183,213,240,253,258,268,278,281,304,329,336,350,355,360,370,382,390,392,394,394,411,411,425,432,432,435,435,437,447,449,451,455,458,460,464,469,474,482,483,486,489,497,498,502,505,511,513,514,515,518,529,531,536,541,544,558,560,561,566,567,567,567,568,566,568,571,573,574,575,575,574,575,575,580,580,579,578,582,584,585,586,590,591,591,591,591,592,594,594,594,594,597,600,602,602,602,604,604,604,609,610,611,613,615,615,615,616,618,622,623,624
Bristol,556,622600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,5,6,6,14,24,25,31,67,90,129,179,208,263,306,366,424,517,601,659,722,768,835,994,1086,1191,1327,1394,1435,1508,1605,1693,1733,1766,1815,1888,1946,2222,2739,2872,2967,3113,3318,3478,3631,3848,3975,4083,4169,4304,4457,4610,4754,4934,5023,5093,5227,5361,5556,5710,5868,5994,6122,6207,6295,6421,6503,6569,6741,6828,6880,6928,7007,7089,7251,7322,7348,7380,7453,7508,7573,7635,7683,7698,7728,7754,7793,7872,7906,7933,7925,7940,7956,7979,8002,8028,8035,8057,8081,8086,8107,8142,8176,8198,8208,8225,8236,8264,8295,8311,8321,8331,8348,8365,8399,8426,8442,8460,8491,8527,8558,8593,8637,8653,8681,8719
Essex,498,1056430,0,0,0,0,0,0,0,0,0,0,1,2,2,5,5,8,8,14,19,29,41,60,73,118,177,247,350,472,570,653,784,885,1039,1238,1400,1506,1653,1841,2103,2336,2670,2896,3170,3413,3594,3894,4245,4668,5001,5240,5385,5621,5886,6325,6952,7327,7606,7827,8094,8509,8813,9178,9522,9705,9941,10154,10533,10812,11207,11429,11576,11665,11811,11955,12222,12419,12609,12767,12898,13067,13252,13411,13580,13699,13833,13962,14064,14182,14309,14415,14528,14658,14721,14795,14857,14969,15064,15170,15217,15236,15271,15365,15465,15518,15573,15604,15627,15667,15703,15739,15778,15817,15829,15851,15885,15920,15952,15975,16028,16053,16069,16088,16122,16176,16210,16235,16254,16283,16318,16342,16379,16414,16452,16469,16485,16530,16564,16596,16632,16710,16733,16757
Franklin,702,122330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,6,6,10,14,16,24,39,41,49,61,72,85,89,95,100,107,118,117,128,135,138,143,148,155,160,170,178,182,186,192,197,201,208,222,230,231,236,242,257,262,265,268,275,279,281,284,291,295,301,301,305,306,312,312,314,314,318,318,318,320,321,321,323,325,326,327,329,331,333,334,335,335,335,335,337,337,338,338,338,341,344,348,348,353,353,353,353,354,356,357,358,358,358,359,359,362,364,366,366,366,366,370,372,372,373,373,373,373,376,381,383,384,384,384,384,385,386,389,391,391,390
Hampden,618,653360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,9,12,15,24,45,55,90,183,201,255,354,475,546,661,733,768,889,997,1081,1276,1394,1545,1647,1694,1798,1885,1985,2163,2283,2366,2467,2562,2710,2871,3096,3266,3332,3420,3586,3738,3819,3943,4053,4121,4171,4262,4383,4512,4598,4725,4793,4843,4917,4978,5068,5133,5231,5303,5363,5437,5523,5602,5683,5736,5804,5873,5918,5969,6003,6068,6110,6165,6188,6201,6237,6268,6297,6337,6353,6365,6380,6395,6415,6431,6460,6481,6489,6503,6518,6537,6556,6584,6598,6610,6620,6633,6658,6691,6729,6760,6765,6776,6791,6812,6834,6861,6870,6883,6895,6903,6932,6943,6974,7000,7019,7039,7056,7077,7100,7120,7140,7141
Hampshire,529,114100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,6,8,11,17,20,30,37,46,69,81,102,114,125,128,147,158,164,177,194,204,219,224,233,239,248,269,317,328,343,348,357,380,409,425,440,456,522,544,560,532,563,573,579,591,599,614,674,679,696,710,724,731,747,762,776,792,799,805,817,833,840,847,858,862,868,871,873,881,885,885,886,883,891,894,900,904,905,907,905,905,913,918,921,924,926,930,936,936,941,943,944,946,947,950,952,952,955,958,959,962,965,969,976,982,985,985,986,991,993,995,1001,1008,1008,1012,1012,1015,1026,1033,1039,1049
Middlesex,824,557000,0,0,0,0,0,1,1,7,7,15,41,49,60,65,65,83,89,100,119,144,177,199,232,304,446,538,685,842,981,1141,1340,1582,1870,2202,2468,2632,2950,3187,3545,4045,4447,4872,5660,5983,6254,6681,7206,7867,8422,8863,9383,9756,10239,10877,11843,12426,12826,13133,13603,13996,14420,14829,15281,15614,16020,16264,16643,17016,17386,17694,17996,18197,18394,18680,18890,19223,19445,19696,19918,20107,20331,20580,20776,20942,21162,21286,21364,21493,21661,21787,21976,22150,22224,22296,22403,22485,22583,22686,22754,22812,22845,22889,22996,23075,23156,23195,23227,23269,23346,23407,23464,23544,23574,23609,23647,23697,23741,23786,23859,23915,23946,23962,23998,24039,24083,24115,24153,24193,24243,24300,24348,24377,24436,24483,24536,24600,24652,24685,24738,24809,24886,24958
Norfolk,400,313600,0,0,1,1,1,2,2,6,6,10,22,24,24,28,28,36,43,45,52,64,69,75,82,129,222,292,393,490,548,628,738,829,938,1045,1199,1271,1382,1592,1778,2007,2216,2395,2649,2838,2969,3122,3342,3580,3740,3874,4045,4152,4306,4641,5084,5288,5407,5521,5703,5843,6054,6231,6370,6472,6588,6685,6847,6979,7080,7172,7246,7303,7359,7457,7601,7685,7780,7852,7906,7959,8011,8101,8148,8192,8249,8283,8304,8331,8390,8436,8504,8568,8586,8600,8613,8625,8646,8689,8713,8715,8753,8774,8809,8842,8860,8866,8872,8892,8908,8935,8962,8983,8994,9010,9042,9056,9082,9100,9125,9151,9161,9166,9184,9200,9242,9260,9273,9284,9306,9339,9384,9403,9440,9462,9485,9530,9560,9588,9612,9658,9699,9737
Plymouth,661,621530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,11,20,25,32,64,101,138,187,272,325,380,459,561,621,745,898,963,1067,1194,1327,1507,1677,1809,2024,2141,2207,2308,2466,2614,2725,2869,3014,3083,3296,3573,4204,4435,4562,4675,4823,4956,5180,5371,5536,5643,5747,5891,6060,6254,6384,6504,6582,6661,6720,6811,7002,7105,7223,7308,7384,7449,7542,7636,7704,7768,7850,7887,7927,7953,8026,8071,8128,8171,8200,8228,8243,8282,8313,8347,8363,8372,8404,8418,8440,8462,8478,8507,8512,8514,8522,8555,8566,8576,8583,8592,8604,8610,8625,8646,8661,8671,8676,8684,8696,8707,8722,8734,8740,8748,8757,8765,8777,8786,8802,8811,8822,8830,8832,8847,8865,8868,8889,8894
