"Date","Aleutians East","Aleutians West","Anchorage","Bethel","Bristol Bay","Denali","Dillingham","Fairbanks North Star","Haines","Hoonah-Angoon","Juneau","Kenai Peninsula","Ketchikan Gateway","Kodiak Island","Kusilvak","Lake and Peninsula","Matanuska-Susitna","Nome","North Slope","Northwest Arctic","Petersburg","Prince of Wales-Hyder","Sitka","Skagway","Southeast Fairbanks","Valdez-Cordova","Wrangell","Yakutat","Yukon-Koyukuk"
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,0,0,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,0,0,4,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,0,0,4,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,0,0,5,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,0,0,13,0,0,0,0,7,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,0,0,17,0,0,0,0,7,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,0,0,17,0,0,0,0,10,0,0,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,0,0,28,0,0,0,0,11,0,0,2,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,0,0,30,0,0,0,0,10,0,0,3,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,0,0,43,0,0,0,0,19,0,0,4,5,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,0,0,54,0,0,0,0,23,0,0,4,7,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,0,0,59,0,0,0,0,28,0,0,5,7,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,0,0,61,0,0,0,0,30,0,0,5,7,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,0,0,65,0,0,0,0,35,0,0,9,7,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,0,0,67,0,0,0,0,40,0,0,10,8,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,0,0,73,0,0,0,0,42,0,0,11,10,14,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,1
2020-04-04,0,0,81,0,0,0,0,46,0,0,12,11,14,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,1
2020-04-05,0,0,85,0,0,0,0,53,0,0,14,12,14,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,1
2020-04-06,0,0,88,0,0,0,0,53,0,0,14,13,14,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,1
2020-04-07,0,0,98,1,0,0,0,65,0,0,14,13,14,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,1
2020-04-08,0,0,103,1,0,0,0,71,0,0,14,13,14,0,0,0,5,0,0,0,2,0,0,0,1,0,0,0,1
2020-04-09,0,0,109,1,0,0,0,73,0,0,14,14,14,0,0,0,6,0,0,0,2,0,0,0,1,0,0,0,1
2020-04-10,0,0,112,1,0,0,0,76,0,0,15,15,14,0,0,0,9,0,0,0,2,0,0,0,1,0,0,0,1
2020-04-11,0,0,121,1,0,0,0,76,0,0,15,15,14,0,0,0,10,0,0,0,2,1,0,0,1,0,0,0,1
2020-04-12,0,0,127,1,0,0,0,79,0,0,16,15,15,0,0,0,14,0,0,0,2,1,0,0,1,0,0,0,1
2020-04-13,0,0,131,1,0,0,0,79,0,0,17,15,15,0,0,0,14,0,0,0,2,1,0,0,1,0,0,0,1
2020-04-14,0,0,136,1,0,0,0,79,0,0,18,15,15,0,0,0,15,0,0,0,2,2,0,0,1,0,0,0,1
2020-04-15,0,0,139,1,0,0,0,79,0,0,21,16,15,0,0,0,15,1,0,0,2,2,0,0,1,0,0,0,1
2020-04-16,0,0,143,1,0,0,0,79,0,0,23,16,15,1,0,0,15,1,0,0,2,2,0,0,1,0,0,0,1
2020-04-17,0,0,150,1,0,0,0,79,0,0,24,17,15,1,0,0,15,1,0,0,2,2,0,0,1,0,0,0,1
2020-04-18,0,0,151,1,0,0,0,79,0,0,24,19,15,1,0,0,17,1,0,0,2,2,0,0,1,0,0,0,1
2020-04-19,0,0,154,1,0,0,0,79,0,0,24,19,15,1,0,0,18,1,0,0,3,2,0,0,1,0,0,0,1
2020-04-20,0,0,155,1,0,0,0,79,0,0,24,19,15,1,0,0,19,1,0,0,3,2,0,0,1,0,0,0,1
2020-04-21,0,0,160,1,0,0,0,79,0,0,26,19,16,1,0,0,19,1,0,0,3,2,0,0,1,0,0,0,1
2020-04-22,0,0,164,1,0,0,0,79,0,0,27,19,16,1,0,0,20,1,0,0,3,2,0,0,1,0,0,0,1
2020-04-23,0,0,166,1,0,0,0,79,0,0,27,19,16,1,0,0,20,1,0,0,3,2,0,0,1,0,0,0,1
2020-04-24,0,0,168,1,0,0,0,79,0,0,27,19,16,1,0,0,20,1,0,0,3,2,0,0,1,0,0,0,1
2020-04-25,0,0,168,1,0,0,0,79,0,0,27,19,16,1,0,0,20,1,0,0,3,2,0,0,1,0,0,0,1
2020-04-26,0,0,168,1,0,0,0,80,0,0,27,19,16,1,0,0,20,1,0,0,3,2,0,0,1,0,0,0,1
2020-04-27,0,0,171,1,0,0,0,80,0,0,27,19,16,1,0,0,21,1,0,0,3,2,1,0,1,0,0,0,1
2020-04-28,0,0,175,1,0,0,0,81,0,0,27,19,16,1,0,0,21,1,0,0,4,2,1,0,1,0,0,0,1
2020-04-29,0,0,179,1,0,0,0,81,0,0,27,19,16,1,0,0,21,1,0,0,4,2,1,0,1,0,0,0,1
2020-04-30,0,0,179,1,0,0,0,81,0,0,27,19,16,1,0,0,21,1,0,0,4,2,1,0,1,0,0,0,1
2020-05-01,0,0,185,1,0,0,0,82,0,0,27,21,16,1,0,0,21,1,0,0,4,2,1,0,1,0,0,0,1
2020-05-02,0,0,185,1,0,0,0,83,0,0,27,21,16,1,0,0,21,1,0,0,4,2,1,0,1,0,0,0,1
2020-05-03,0,0,187,1,0,0,0,83,0,0,27,22,16,1,0,0,21,1,0,0,4,2,1,0,1,0,0,0,1
2020-05-04,0,0,189,1,0,0,0,83,0,0,27,22,16,1,0,0,21,1,0,0,4,2,1,0,1,0,0,0,1
2020-05-05,0,0,190,1,0,0,0,83,0,0,27,22,16,1,0,0,21,1,0,0,4,2,1,0,1,0,0,0,1
2020-05-06,0,0,190,1,0,0,0,83,0,0,27,22,16,1,0,0,21,1,0,0,4,2,1,0,2,0,0,0,1
2020-05-07,0,0,191,1,0,0,0,83,0,0,27,23,16,1,0,0,21,1,0,0,4,2,1,0,2,0,0,0,1
2020-05-08,0,0,194,1,0,0,0,83,0,0,27,23,16,1,0,0,21,1,0,0,4,2,1,0,2,0,0,0,1
2020-05-09,0,0,194,1,0,0,0,83,0,0,27,24,16,1,0,0,21,1,0,0,4,2,1,0,2,0,0,0,1
2020-05-10,0,0,194,1,0,0,0,84,0,0,27,24,16,1,0,0,21,1,0,0,4,2,1,0,2,0,0,0,1
2020-05-11,0,0,194,1,0,0,0,84,0,0,27,24,16,1,0,0,21,1,0,0,4,2,1,0,2,0,0,0,1
2020-05-12,0,0,194,1,0,0,0,84,0,0,27,24,16,1,0,0,21,1,0,0,4,2,1,0,2,0,0,0,1
2020-05-13,0,0,194,1,0,0,0,84,0,0,27,24,16,1,0,0,21,1,0,0,4,2,1,0,2,0,0,0,1
2020-05-14,0,0,194,1,0,0,0,84,0,0,27,24,16,1,0,0,21,1,0,0,4,2,1,0,2,0,0,0,1
