"Date","Apache","Cochise","Coconino","Gila","Graham","Greenlee","La Paz","Maricopa","Mohave","Navajo","Pima","Pinal","Santa Cruz","Yavapai","Yuma"
2020-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
2020-03-08,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
2020-03-09,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
2020-03-10,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0
2020-03-11,0,0,0,0,0,0,0,3,0,0,1,5,0,0,0
2020-03-12,0,0,0,0,0,0,0,3,0,0,1,5,0,0,0
2020-03-13,0,0,0,0,0,0,0,3,0,0,1,5,0,0,0
2020-03-14,0,0,0,0,1,0,0,4,0,0,2,5,0,0,0
2020-03-15,0,0,0,0,1,0,0,4,0,0,2,5,0,0,0
2020-03-16,0,0,0,0,1,0,0,8,0,0,4,5,0,0,0
2020-03-17,0,0,0,0,1,0,0,9,0,1,4,5,0,0,0
2020-03-18,0,0,0,0,1,0,0,11,0,2,5,8,0,0,0
2020-03-19,0,0,2,0,1,0,0,22,0,3,7,10,0,0,0
2020-03-20,0,1,8,0,1,0,0,34,0,3,8,10,1,1,1
2020-03-21,3,1,11,0,1,0,0,49,0,10,12,14,1,1,1
2020-03-22,3,1,14,0,2,0,0,81,0,13,17,16,1,3,1
2020-03-23,4,1,17,0,2,0,0,139,0,25,24,17,1,3,2
2020-03-24,4,1,18,0,2,0,0,199,0,32,42,22,1,3,2
2020-03-25,7,1,23,0,2,0,0,251,0,37,49,23,1,4,3
2020-03-26,9,2,28,0,2,0,2,299,2,43,75,35,2,5,4
2020-03-27,11,2,41,0,4,0,2,399,4,49,102,36,2,9,4
2020-03-28,13,3,56,1,2,0,2,454,5,57,120,41,2,13,4
2020-03-29,13,3,62,1,2,0,2,545,6,62,153,51,2,12,5
2020-03-30,17,4,71,1,2,1,2,690,7,88,187,64,2,15,6
2020-03-31,16,4,81,1,2,1,2,788,7,91,202,62,2,21,9
2020-04-01,17,4,85,1,2,1,2,871,7,102,217,65,3,24,12
2020-04-02,17,4,114,2,2,1,2,961,8,129,237,69,3,34,13
2020-04-03,17,5,126,2,2,1,2,1049,9,148,280,77,3,35,13
2020-04-04,20,7,147,3,3,1,2,1171,12,177,326,89,4,43,14
2020-04-05,23,8,155,3,2,1,3,1326,16,195,372,103,4,45,13
2020-04-06,25,9,167,3,2,1,3,1433,20,210,415,106,4,49,13
2020-04-07,28,9,179,3,2,1,3,1495,23,222,415,120,5,57,13
2020-04-08,34,9,186,3,2,1,3,1559,23,240,464,124,6,58,14
2020-04-09,52,11,210,3,2,1,4,1689,27,286,512,137,7,62,15
2020-04-10,55,11,214,3,2,1,4,1741,28,287,543,138,7,62,16
2020-04-11,66,13,238,3,2,2,4,1891,30,321,591,146,8,63,15
2020-04-12,72,15,243,3,2,2,4,1960,30,335,622,163,8,63,20
2020-04-13,89,16,253,3,2,2,4,2020,40,345,668,168,10,65,20
2020-04-14,97,15,270,3,2,2,4,2056,45,355,685,175,10,70,20
2020-04-15,110,15,266,3,2,2,5,2146,45,390,700,182,12,66,20
2020-04-16,118,18,299,5,2,2,5,2264,51,410,760,197,14,68,24
2020-04-17,141,20,304,5,2,2,5,2404,51,435,819,212,14,69,28
2020-04-18,169,22,314,7,2,2,5,2491,52,452,856,235,16,72,29
2020-04-19,178,24,333,7,2,2,5,2589,54,459,913,247,19,72,29
2020-04-20,202,28,337,8,2,2,5,2636,56,473,941,256,20,71,31
2020-04-21,226,29,342,9,2,2,6,2738,59,485,963,268,23,72,32
2020-04-22,235,31,353,10,2,2,6,2846,62,527,973,283,28,73,42
2020-04-23,268,31,372,12,4,2,6,2970,69,564,1026,303,28,75,42
2020-04-24,296,34,391,11,7,2,8,3116,73,583,1060,317,30,75,42
2020-04-25,314,36,402,11,6,2,7,3234,81,612,1090,332,30,76,53
2020-04-26,336,36,420,11,7,2,7,3359,88,625,1136,342,30,76,59
