"Date","Adams","Alamosa","Arapahoe","Archuleta","Baca","Bent","Boulder","Broomfield","Chaffee","Cheyenne","Clear Creek","Conejos","Costilla","Crowley","Custer","Delta","Denver","Dolores","Douglas","Eagle","El Paso","Elbert","Fremont","Garfield","Gilpin","Grand","Gunnison","Hinsdale","Huerfano","Jackson","Jefferson","Kiowa","Kit Carson","La Plata","Lake","Larimer","Las Animas","Lincoln","Logan","Mesa","Mineral","Moffat","Montezuma","Montrose","Morgan","Otero","Ouray","Park","Phillips","Pitkin","Prowers","Pueblo","Rio Blanco","Rio Grande","Routt","Saguache","San Juan","San Miguel","Sedgwick","Summit","Teller","Washington","Weld","Yuma"
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,4,1,0,0,0,0,0,3,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,11,1,0,0,0,0,0,4,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,3,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,4,16,2,0,0,0,0,0,5,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,1,0,0,0,0,2,0,0,1,0
2020-03-14,6,0,10,0,0,0,1,0,0,0,1,0,0,0,0,0,23,0,4,20,3,0,0,0,0,0,7,0,0,0,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,1,0,0,1,0,0,0,0,2,0,0,2,0
2020-03-15,6,0,15,0,0,0,7,0,0,0,1,0,0,0,0,0,28,0,8,24,4,0,0,1,0,0,9,0,0,0,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,1,0,0,1,0,0,0,0,2,0,0,4,0
2020-03-16,8,0,15,0,0,0,7,0,0,0,1,0,0,0,0,0,28,0,8,34,6,0,0,2,0,0,11,0,0,0,17,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,1,0,0,2,0,0,0,0,3,0,0,4,0
2020-03-17,10,0,18,0,0,0,8,0,0,0,2,0,0,0,0,0,41,0,9,34,6,0,0,2,0,0,11,0,0,0,17,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,1,0,0,2,0,0,0,0,3,0,0,5,0
2020-03-18,10,0,22,0,0,0,8,0,0,0,2,0,0,0,0,0,45,0,11,39,8,0,0,2,0,0,11,0,0,0,25,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,1,0,0,2,0,0,0,0,4,0,0,9,1
2020-03-19,10,0,22,0,0,0,11,0,0,0,2,0,0,1,0,0,61,0,14,51,15,0,0,3,0,1,13,0,0,0,36,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,12,0,2,0,0,2,0,0,0,0,5,0,0,9,1
2020-03-20,12,0,29,0,0,0,24,1,0,0,2,0,0,1,0,0,79,0,17,61,27,0,0,4,0,2,13,0,0,0,37,0,0,0,0,7,0,0,0,1,0,0,0,0,2,0,0,1,0,15,0,3,0,0,2,0,0,1,0,7,0,0,15,1
2020-03-21,14,0,40,0,0,0,30,1,2,0,3,0,0,1,0,0,97,0,27,74,37,3,0,7,0,2,18,1,0,0,43,0,0,0,0,19,0,0,0,1,0,0,0,1,2,0,0,1,0,15,0,3,0,0,2,0,0,1,0,7,0,0,21,1
