"Date","Kent","New Castle","Sussex"
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,1,0
2020-03-12,0,1,0
2020-03-13,0,4,0
2020-03-14,0,6,0
2020-03-15,0,6,0
2020-03-16,0,8,0
2020-03-17,0,15,1
2020-03-18,1,17,1
2020-03-19,4,23,3
2020-03-20,5,27,7
2020-03-21,5,32,8
2020-03-22,5,39,12
2020-03-23,6,44,18
2020-03-24,10,71,23
2020-03-25,14,79,26
2020-03-26,17,86,27
2020-03-27,21,105,37
2020-03-28,25,130,59
2020-03-29,25,141,66
2020-03-30,27,156,81
2020-03-31,34,197,88
2020-04-01,41,226,101
2020-04-02,43,245,105
2020-04-03,54,279,117
2020-04-04,68,400,125
2020-04-05,86,436,151
2020-04-06,128,496,159
2020-04-07,147,571,210
2020-04-08,201,636,279
2020-04-09,214,701,294
2020-04-10,230,751,336
2020-04-11,255,807,404
2020-04-12,281,880,464
2020-04-13,288,919,551
2020-04-14,329,947,639
2020-04-15,345,974,678
2020-04-16,352,1003,698
2020-04-17,384,1100,811
2020-04-18,417,1205,886
2020-04-19,417,1205,886
2020-04-20,430,1229,1055
2020-04-21,459,1303,1139
2020-04-22,503,1352,1317
2020-04-23,539,1389,1377
2020-04-24,558,1486,1394
2020-04-25,579,1504,1490
2020-04-26,625,1599,1801
2020-04-27,652,1629,1870
2020-04-28,728,1701,2114
2020-04-29,743,1717,2169
2020-04-30,759,1734,2216
2020-05-01,773,1829,2292
2020-05-02,793,1864,2359
2020-05-03,821,1903,2461
2020-05-04,833,1934,2497
2020-05-05,847,1979,2520
2020-05-06,891,2087,2764
2020-05-07,945,2130,2834
2020-05-08,963,2184,2936
2020-05-09,985,2275,2990
2020-05-10,985,2275,2990
2020-05-11,1044,2390,3091
2020-05-12,1060,2440,3205
2020-05-13,1084,2496,3336
2020-05-14,1115,2560,3503
2020-05-15,1146,2619,3565
2020-05-16,1176,2667,3658
2020-05-17,1197,2682,3739
2020-05-18,1219,2738,3861
2020-05-19,1238,2845,3904
2020-05-20,1253,2933,3960
2020-05-21,1281,3053,4006
2020-05-22,1296,3132,4048
2020-05-23,1296,3132,4048
2020-05-24,1340,3309,4103
2020-05-25,1356,3436,4118
2020-05-26,1368,3508,4132
2020-05-27,1374,3528,4140
2020-05-28,1392,3575,4151
2020-05-29,1401,3629,4155
2020-05-30,1432,3723,4215
2020-05-31,1436,3758,4253
2020-06-01,1440,3838,4272
2020-06-02,1450,3883,4299
2020-06-03,1451,3903,4305
2020-06-04,1454,3925,4314
2020-06-05,1465,3937,4322
2020-06-06,1496,3995,4342
2020-06-07,1511,4070,4346
2020-06-08,1513,4095,4353
2020-06-09,1522,4125,4361
2020-06-10,1530,4139,4373
2020-06-11,1543,4171,4379
2020-06-12,1544,4224,4389
2020-06-13,1554,4259,4401
2020-06-14,1557,4287,4406
2020-06-15,1565,4345,4416
2020-06-16,1573,4386,4428
2020-06-17,1579,4422,4429
2020-06-18,1584,4470,4431
2020-06-19,1602,4522,4470
2020-06-20,1606,4569,4487
2020-06-21,1613,4647,4495
2020-06-22,1620,4682,4501
2020-06-23,1624,4697,4509
2020-06-24,1628,4720,4522
2020-06-25,1630,4791,4538
2020-06-26,1635,4840,4519
2020-06-27,1652,4871,4542
2020-06-28,1663,4925,4608
2020-06-29,1672,5031,4637
2020-06-30,1690,5065,4681
2020-07-01,1699,5079,4690
2020-07-02,1716,5183,4779
2020-07-03,1730,5277,4847
2020-07-04,1735,5334,4854
2020-07-05,1746,5398,4903
2020-07-06,1761,5489,4952
2020-07-07,1784,5555,4977
2020-07-08,1790,5583,4988
2020-07-09,1795,5626,5008
2020-07-10,1815,5688,5045
2020-07-11,1829,5732,5076
2020-07-12,1848,5759,5093
2020-07-13,1857,5797,5119
2020-07-14,1865,5860,5130
2020-07-15,1876,5904,5153
2020-07-16,1887,5935,5171
2020-07-17,1978,5981,5244
2020-07-18,1995,6028,5264
2020-07-19,2000,6070,5304
2020-07-20,2013,6125,5333
