"Date","Alachua","Baker","Bay","Bradford","Brevard","Broward","Calhoun","Charlotte","Citrus","Clay","Collier","Columbia","DeSoto","Dixie","Duval","Escambia","Flagler","Franklin","Gadsden","Gilchrist","Glades","Gulf","Hamilton","Hardee","Hendry","Hernando","Highlands","Hillsborough","Holmes","Indian River","Jackson","Jefferson","Lafayette","Lake","Lee","Leon","Levy","Liberty","Madison","Manatee","Marion","Martin","Miami-Dade","Monroe","Nassau","Okaloosa","Okeechobee","Orange","Osceola","Palm Beach","Pasco","Pinellas","Polk","Putnam","Santa Rosa","Sarasota","Seminole","St. Johns","St. Lucie","Sumter","Suwannee","Taylor","Union","Volusia","Wakulla","Walton","Washington"
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-09,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-10,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
2020-03-11,1,0,0,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
2020-03-12,1,0,0,0,0,7,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,1,2,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0
2020-03-13,2,0,0,0,0,11,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,2,0,0,2,0,1,1,0,0,0,2,1,2,0,0,1,2,1,1,0,0,0,0,0,3,0,0,0
2020-03-14,1,0,0,0,0,20,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,4,0,0,8,0,1,1,0,1,1,5,1,2,0,0,1,1,1,0,0,0,0,0,0,4,0,0,0
2020-03-15,1,0,0,0,0,36,0,1,1,3,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,4,0,0,13,0,1,1,0,2,1,5,2,2,0,0,1,1,1,1,0,0,0,0,0,5,0,0,0
2020-03-16,1,0,0,0,0,36,0,1,1,3,5,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,4,0,0,13,0,1,1,0,2,1,5,2,2,0,0,1,1,1,1,0,0,0,0,0,5,0,0,0
2020-03-17,4,0,0,0,1,48,0,1,2,4,6,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,5,0,0,0,0,7,0,0,40,0,1,2,0,6,6,13,2,4,1,0,1,2,4,2,0,0,0,0,0,9,0,0,0
2020-03-18,7,0,0,0,2,72,0,1,3,4,13,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,10,0,0,0,0,8,0,0,76,0,1,3,0,9,8,19,3,10,1,0,0,5,7,4,0,1,0,0,0,9,0,0,0
2020-03-19,11,0,0,0,3,96,0,1,3,4,18,0,0,0,15,1,0,0,1,0,0,0,0,0,0,4,0,20,0,1,1,0,0,3,11,4,0,0,0,9,0,1,101,0,1,5,0,19,13,29,5,16,4,0,2,6,8,4,0,2,0,0,0,9,0,1,0
2020-03-20,15,0,0,0,4,128,0,2,3,4,25,0,0,0,17,1,0,0,1,0,0,0,0,0,0,4,0,32,0,3,1,0,0,3,14,4,0,0,0,10,0,1,124,1,1,7,0,23,13,42,7,22,9,0,3,8,10,7,0,2,0,0,0,10,0,3,0
2020-03-21,25,1,1,0,5,164,0,2,8,6,28,0,0,0,25,1,0,0,1,0,0,0,0,0,0,6,0,47,0,5,1,0,0,4,17,4,0,0,0,13,2,1,169,1,1,12,0,29,21,56,8,29,10,1,3,14,12,9,1,4,0,0,0,11,0,4,0
2020-03-22,35,2,1,1,7,217,0,2,8,7,33,2,1,0,39,4,1,0,1,0,0,0,0,0,0,5,1,58,0,8,1,0,0,6,26,5,0,0,0,13,3,2,227,1,1,14,0,33,24,72,11,38,11,2,4,15,19,16,3,5,0,0,0,14,0,4,0
2020-03-23,36,3,1,1,7,263,0,3,9,8,39,2,1,0,50,9,3,0,1,0,0,0,0,0,0,5,2,75,0,10,1,0,0,9,30,6,0,0,0,15,4,4,278,2,1,14,0,48,25,89,14,41,13,2,4,21,22,18,5,8,0,0,0,16,0,9,0
2020-03-24,37,4,1,1,9,311,0,3,9,10,41,3,1,0,50,10,4,0,1,0,0,0,0,0,0,5,4,91,0,11,1,0,0,14,32,8,0,0,0,16,4,4,338,3,1,14,0,50,26,101,15,45,13,2,4,26,23,22,6,10,0,0,0,18,0,10,0
2020-03-25,45,5,1,1,11,355,0,3,9,13,47,3,1,0,56,14,5,0,1,0,0,0,0,0,0,8,4,106,0,12,1,0,0,18,42,8,0,0,0,22,5,4,400,8,1,16,0,77,35,118,17,50,14,4,7,27,29,26,8,13,0,0,0,20,0,12,0
2020-03-26,49,5,3,1,13,504,0,3,11,19,65,3,5,0,74,19,7,0,1,0,0,0,0,0,0,9,5,142,0,13,1,0,0,25,56,9,0,0,0,26,5,8,616,12,5,21,0,110,42,169,19,64,17,12,9,34,37,33,10,24,0,0,0,29,0,13,0
2020-03-27,57,7,3,1,16,614,0,5,11,22,81,3,6,0,90,22,11,0,1,0,0,0,0,0,0,10,5,167,0,14,1,0,0,29,76,14,0,0,0,28,8,16,763,16,6,23,0,156,53,194,23,77,26,12,11,40,49,36,14,29,1,0,0,39,0,13,1
2020-03-28,67,7,5,1,26,814,0,12,14,24,92,3,7,0,115,28,13,0,1,0,0,0,0,0,0,13,10,195,0,16,1,0,0,35,101,16,1,0,0,30,17,25,1003,20,6,27,0,206,66,292,28,94,34,12,14,48,61,48,21,33,1,0,0,44,0,15,1
2020-03-29,71,7,6,1,28,838,0,16,15,30,95,3,7,0,125,30,13,0,1,0,0,0,0,0,1,14,10,218,0,17,1,0,0,38,124,18,2,0,0,33,20,26,1192,22,7,31,0,246,83,333,34,113,39,12,20,50,76,50,23,43,1,0,0,47,0,15,1
2020-03-30,79,8,6,2,31,1152,0,18,17,35,119,3,7,0,158,42,13,0,1,0,3,0,0,0,3,21,13,253,0,24,2,0,0,47,164,21,2,0,0,39,23,27,1632,24,8,35,0,293,94,423,38,126,55,13,30,61,87,60,29,46,3,0,0,65,1,15,1
2020-03-31,87,9,8,2,37,1219,1,24,19,41,146,3,7,0,207,94,18,0,1,0,3,0,0,0,4,24,17,305,1,33,2,0,0,66,206,26,2,0,0,53,25,28,2123,27,10,39,0,373,110,551,40,167,73,13,44,76,103,79,38,51,3,0,1,80,1,18,1
2020-04-01,90,9,10,3,38,1232,1,24,19,46,150,3,7,0,218,94,20,0,1,0,3,1,0,0,4,24,17,309,1,33,2,0,0,67,212,28,2,0,0,58,28,29,2202,27,11,39,0,392,115,567,43,170,76,13,44,82,109,83,40,52,4,0,1,80,1,18,1
2020-04-02,95,11,15,5,49,1481,1,38,27,58,178,4,8,0,286,101,25,0,2,0,3,1,0,1,4,34,24,404,1,41,4,0,0,82,275,35,2,0,2,89,33,34,2886,38,16,51,1,541,170,737,66,273,103,14,47,110,145,102,48,66,7,0,1,102,2,19,1
2020-04-03,110,11,18,5,62,1598,2,43,28,69,203,4,9,0,323,113,28,1,3,0,3,1,0,1,5,38,26,463,1,47,4,0,0,88,304,39,2,0,4,104,38,42,3364,40,19,54,2,602,201,858,77,318,126,15,48,124,163,119,60,68,11,0,1,125,3,19,1
2020-04-04,116,11,23,6,72,1765,3,46,34,74,221,10,11,1,387,118,29,1,4,0,4,1,0,1,6,40,30,497,1,50,4,1,0,95,348,42,2,0,6,129,42,53,3890,42,21,59,3,657,216,954,90,342,142,18,50,129,178,132,76,73,17,0,2,134,5,21,1
2020-04-05,123,12,24,7,79,1886,3,47,43,79,231,13,12,1,413,125,31,2,4,0,4,1,0,2,7,43,35,536,1,55,4,1,0,101,379,42,4,0,10,136,50,60,4146,44,21,62,3,713,229,1000,102,359,157,19,55,140,191,141,82,75,18,0,2,151,6,23,1
2020-04-06,131,13,24,8,88,2067,3,55,45,81,246,13,14,1,475,136,32,2,5,0,4,1,1,2,9,48,35,571,1,61,4,3,0,104,397,59,4,0,11,144,53,83,4481,45,25,65,3,744,239,1069,110,362,176,19,58,151,194,146,100,80,32,0,2,151,6,24,1
2020-04-07,139,15,25,11,98,2230,3,67,51,88,271,16,16,1,521,168,35,2,6,1,4,1,1,2,9,51,37,608,2,62,4,4,0,116,434,68,5,0,11,162,63,98,4997,49,26,69,4,763,254,1136,120,380,197,19,65,172,202,151,118,84,32,1,2,162,6,26,2
2020-04-08,144,15,28,15,102,2358,4,76,54,97,277,17,18,2,549,180,35,2,8,1,4,1,1,2,10,56,41,626,3,63,4,8,0,136,462,71,5,0,12,171,65,101,5354,51,29,78,4,803,272,1206,125,394,206,21,69,180,216,154,130,90,46,1,2,163,7,26,2
2020-04-09,150,16,30,20,106,2454,4,79,57,103,292,17,19,1,589,184,37,2,10,3,4,1,1,3,11,58,45,644,2,68,5,8,1,139,496,74,6,0,12,175,72,109,5745,52,30,80,5,857,295,1260,128,413,212,25,71,190,228,162,132,98,54,1,2,179,7,26,3
2020-04-10,167,16,36,22,115,2645,5,85,60,114,318,23,20,1,609,197,44,2,14,4,4,1,2,3,14,62,47,671,2,68,5,9,1,147,547,82,6,0,14,198,82,111,6119,55,33,83,5,895,300,1388,141,428,237,28,103,208,235,163,144,106,58,1,2,187,7,27,3
