"Date","Hawaii","Honolulu","Kalawao","Kauai","Maui"
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,1,0,0,0
2020-03-08,0,1,0,0,0
2020-03-09,0,1,0,0,0
2020-03-10,1,2,0,0,0
2020-03-11,0,2,0,0,0
2020-03-12,0,2,0,0,0
2020-03-13,0,2,0,0,0
2020-03-14,0,2,0,2,0
2020-03-15,0,3,0,2,1
2020-03-16,0,5,0,2,1
2020-03-17,0,6,0,2,2
2020-03-18,0,10,0,2,3
2020-03-19,0,10,0,2,3
2020-03-20,0,28,0,3,5
2020-03-21,0,28,0,3,5
2020-03-22,0,41,0,3,9
2020-03-23,3,41,0,3,9
2020-03-24,2,58,0,1,9
2020-03-25,2,58,0,1,9
2020-03-26,4,68,0,2,13
2020-03-27,5,76,0,5,14
2020-03-28,10,108,0,11,16
2020-03-29,10,108,0,11,16
2020-03-30,12,123,0,12,20
2020-03-31,15,139,0,12,25
2020-04-01,15,157,0,12,25
2020-04-02,18,182,0,12,26
2020-04-03,20,237,0,13,36
2020-04-04,22,266,0,15,38
2020-04-05,22,281,0,16,43
2020-04-06,23,292,0,17,44
2020-04-07,23,312,0,18,48
2020-04-08,23,312,0,18,48
2020-04-09,28,334,0,18,57
2020-04-10,28,334,0,18,57
2020-04-11,31,343,0,19,66
2020-04-12,39,350,0,21,84
2020-04-13,40,352,0,21,86
2020-04-14,41,358,0,21,88
2020-04-15,41,369,0,21,92
2020-04-16,41,369,0,21,92
2020-04-17,41,373,0,21,95
2020-04-18,61,382,0,21,104
2020-04-19,62,385,0,21,106
2020-04-20,64,385,0,21,108
2020-04-21,64,385,0,21,110
2020-04-22,67,388,0,21,110
2020-04-23,68,389,0,21,112
2020-04-24,69,392,0,21,113
2020-04-25,69,395,0,21,113
2020-04-26,70,396,0,21,112
2020-04-27,70,396,0,21,113
2020-04-28,70,396,0,21,115
2020-04-29,70,399,0,21,115
2020-04-30,73,399,0,21,116
2020-05-01,73,400,0,21,116
2020-05-02,73,400,0,21,117
2020-05-03,74,400,0,21,116
2020-05-04,75,400,0,21,116
2020-05-05,74,404,0,21,116
2020-05-06,74,405,0,21,116
2020-05-07,74,408,0,21,116
2020-05-08,74,408,0,21,116
2020-05-09,75,407,0,21,117
2020-05-10,75,408,0,21,117
2020-05-11,75,410,0,21,117
2020-05-12,75,411,0,21,117
2020-05-13,75,414,0,21,117
2020-05-14,75,414,0,21,117
2020-05-15,76,414,0,21,117
2020-05-16,76,415,0,21,117
2020-05-17,77,415,0,21,117
2020-05-18,77,415,0,21,117
2020-05-19,78,415,0,21,117
2020-05-20,79,416,0,21,117
2020-05-21,82,416,0,21,118
2020-05-22,81,414,0,20,117
2020-05-23,81,414,0,20,118
2020-05-24,81,414,0,20,118
2020-05-25,81,414,0,20,118
2020-05-26,81,414,0,20,118
2020-05-27,82,414,0,20,118
2020-05-28,82,417,0,20,118
2020-05-29,82,419,0,20,118
2020-05-30,81,421,0,20,119
2020-05-31,81,421,0,20,120
2020-06-01,81,421,0,20,120
2020-06-02,81,422,0,20,120
2020-06-03,81,423,0,20,119
2020-06-04,81,424,0,20,119
2020-06-05,81,431,0,21,120
2020-06-06,81,439,0,21,120
2020-06-07,81,441,0,21,120
2020-06-08,81,442,0,21,120
2020-06-09,81,448,0,21,120
2020-06-10,81,451,0,21,120
2020-06-11,81,458,0,21,120
2020-06-12,81,472,0,21,120
2020-06-13,81,489,0,21,120
2020-06-14,82,493,0,21,120
2020-06-15,82,501,0,21,120
2020-06-16,82,501,0,21,120
2020-06-17,83,508,0,21,120
2020-06-18,83,526,0,21,120
2020-06-19,83,551,0,22,121
2020-06-20,83,551,0,22,121
2020-06-21,85,566,0,29,122
2020-06-22,85,568,0,29,122
2020-06-23,85,571,0,29,122
2020-06-24,86,584,0,29,122
2020-06-25,86,595,0,34,122
2020-06-26,86,608,0,34,122
2020-06-27,86,613,0,35,122
2020-06-28,87,636,0,37,123
2020-06-29,87,638,0,37,122
2020-06-30,87,652,0,38,123
2020-07-01,87,659,0,38,125
2020-07-02,90,676,0,38,125
2020-07-03,91,701,0,38,127
2020-07-04,93,720,0,40,128
2020-07-05,93,744,0,40,128
2020-07-06,94,750,0,40,128
2020-07-07,95,788,0,42,128
2020-07-08,96,808,0,42,130
2020-07-09,97,842,0,43,130
2020-07-10,98,867,0,43,131
2020-07-11,100,905,0,43,133
2020-07-12,101,923,0,43,134
2020-07-13,102,942,0,43,135
2020-07-14,105,960,0,43,135
2020-07-15,107,986,0,43,135
2020-07-16,107,1002,0,43,135
2020-07-17,109,1025,0,43,135
2020-07-18,111,1040,0,43,135
2020-07-19,113,1065,0,43,135
2020-07-20,114,1079,0,43,135
