"Date","Ada","Adams","Bannock","Bear Lake","Benewah","Bingham","Blaine","Boise","Bonner","Bonneville","Boundary","Butte","Camas","Canyon","Caribou","Cassia","Clark","Clearwater","Custer","Elmore","Franklin","Fremont","Gem","Gooding","Idaho","Jefferson","Jerome","Kootenai","Latah","Lemhi","Lewis","Lincoln","Madison","Minidoka","Nez Perce","Oneida","Owyhee","Payette","Power","Shoshone","Teton","Twin Falls","Valley","Washington"
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-16,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-17,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2020-03-18,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2020-03-19,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
2020-03-20,8,0,0,0,0,1,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
2020-03-21,11,0,0,0,0,2,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0
2020-03-22,11,0,0,0,0,2,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0
2020-03-23,13,0,2,0,0,2,35,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0
2020-03-24,19,0,2,0,0,2,36,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0
2020-03-25,24,0,2,0,0,2,40,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,2,0,1,0,0,0,0,0,2,1,1,0
2020-03-26,39,0,3,0,0,2,66,0,0,0,0,0,0,13,0,1,0,0,1,0,0,1,0,0,1,2,0,9,0,0,0,0,2,0,1,0,0,1,0,0,2,1,1,0
2020-03-27,54,0,2,0,0,1,93,0,0,0,0,0,0,23,0,1,0,0,1,0,0,1,0,0,1,2,0,10,0,0,0,0,2,0,4,0,0,4,0,0,2,3,1,0
2020-03-28,76,0,3,0,0,1,99,0,0,1,0,0,0,23,0,1,0,0,1,0,0,1,1,0,1,2,0,11,0,0,0,1,2,0,4,0,0,1,0,0,2,2,1,0
2020-03-29,92,0,3,0,0,1,114,0,1,1,0,0,0,22,0,1,0,0,1,0,0,1,1,0,1,2,0,26,0,0,0,1,2,0,4,0,1,1,0,0,2,2,1,0
2020-03-30,113,0,3,0,0,1,130,0,1,2,0,0,0,40,0,1,0,0,1,0,0,1,3,0,1,2,0,26,0,0,0,1,2,0,4,0,1,1,0,0,2,3,1,0
2020-03-31,195,0,4,0,0,2,192,0,1,2,0,0,1,48,0,1,0,0,1,1,0,1,4,0,1,2,2,29,0,0,0,2,5,1,9,0,1,1,0,0,2,5,2,0
2020-04-01,195,0,4,0,0,2,228,0,1,2,0,0,1,53,0,1,0,0,2,3,0,1,5,0,2,3,2,30,1,0,0,3,4,1,9,0,1,1,0,0,2,7,2,0
2020-04-02,312,1,4,0,0,2,256,0,1,2,0,0,1,68,0,1,0,0,2,3,0,1,4,1,2,3,7,31,1,0,0,5,4,1,14,0,1,3,0,0,3,31,2,0
2020-04-03,307,1,4,0,0,2,351,0,1,3,0,0,1,79,0,3,0,0,2,9,0,1,6,1,1,3,8,37,1,0,1,5,4,1,13,0,2,5,0,0,3,32,3,1
2020-04-04,360,1,5,0,0,2,405,0,2,5,0,0,1,89,0,4,0,0,2,10,0,1,7,1,2,3,11,37,1,0,1,7,4,1,13,0,2,5,0,0,3,33,3,1
2020-04-05,385,1,5,0,0,2,410,0,2,6,0,0,1,99,1,4,0,0,2,11,0,1,7,1,3,3,13,40,1,0,1,9,4,1,13,0,2,5,0,0,4,37,3,1
2020-04-06,402,1,5,0,0,2,410,0,2,6,0,0,1,101,1,4,0,0,2,11,0,1,7,1,2,4,13,42,1,0,1,9,4,3,13,0,2,6,0,0,4,37,2,1
2020-04-07,419,1,5,0,0,2,423,0,3,6,0,0,1,104,1,5,0,0,2,12,0,2,8,3,3,4,18,43,2,0,0,12,4,3,15,0,2,6,0,0,5,53,2,1
2020-04-08,438,1,5,0,0,2,428,0,3,7,0,0,1,114,1,5,0,0,2,14,0,2,8,3,3,4,18,42,2,0,0,12,4,3,17,0,2,6,2,0,5,53,2,1
2020-04-09,447,1,5,0,0,2,428,0,3,7,0,0,1,121,1,5,0,0,2,14,0,2,8,4,3,4,19,42,2,0,0,12,4,3,18,0,2,6,2,0,6,55,2,1
2020-04-10,495,1,5,0,0,2,446,0,3,11,0,0,1,139,1,6,0,0,2,16,0,2,8,5,3,4,24,42,3,0,0,14,5,4,19,0,4,8,2,0,6,70,2,1
2020-04-11,513,1,5,0,0,2,452,0,4,11,0,0,1,145,1,7,0,0,2,16,0,2,9,5,3,4,28,44,3,0,0,14,5,4,19,0,4,8,2,0,6,73,2,1
2020-04-12,517,1,5,0,0,2,454,0,4,12,0,0,1,146,1,7,0,0,2,16,0,2,9,5,3,4,29,44,3,0,0,14,5,4,19,0,4,8,2,0,6,75,2,1
2020-04-13,517,1,5,0,0,2,454,0,4,13,1,0,1,155,1,8,0,0,2,16,0,2,9,5,3,4,29,45,3,0,0,15,5,5,19,0,4,8,2,0,6,79,2,1
2020-04-14,538,1,5,0,0,2,458,0,4,14,1,0,1,161,1,10,0,0,2,16,0,2,9,5,3,4,30,45,3,0,0,15,5,6,20,0,4,9,2,0,6,79,2,1
2020-04-15,538,1,5,0,0,2,458,0,4,16,0,0,1,167,1,10,0,0,2,18,0,2,9,5,3,4,30,45,3,0,0,15,5,6,20,0,4,9,2,0,6,79,2,1
2020-04-16,567,1,8,0,0,2,469,0,4,24,0,0,1,181,1,9,0,0,2,18,0,2,10,7,3,5,38,48,3,0,0,15,8,9,27,0,4,10,2,0,7,99,2,1
2020-04-17,576,1,8,0,0,3,473,0,4,24,0,0,1,181,1,10,0,0,2,18,0,2,10,7,3,5,41,49,3,0,0,15,8,9,29,0,4,10,2,0,7,100,2,1
2020-04-18,593,1,8,0,0,3,475,0,4,24,0,0,1,187,1,10,0,0,2,21,0,2,10,7,3,5,44,50,3,0,0,16,8,10,30,0,4,10,2,0,8,110,2,1
2020-04-19,598,1,8,0,0,3,475,0,4,24,0,0,1,187,1,10,0,0,2,22,0,2,10,8,3,5,44,50,3,0,0,17,8,10,30,0,4,10,2,0,8,115,2,1
2020-04-20,598,1,8,0,0,3,476,0,4,24,0,0,1,187,1,10,0,0,2,22,0,2,10,8,3,5,44,51,3,0,0,17,8,10,30,0,4,10,2,0,8,117,2,1
2020-04-21,616,3,8,0,0,3,478,0,4,24,0,0,1,207,1,11,0,0,2,24,0,2,10,8,3,5,44,52,4,0,0,17,8,10,40,0,4,11,2,0,8,123,2,1
2020-04-22,622,3,8,0,0,3,480,0,4,24,0,0,1,212,1,11,0,0,2,25,0,2,10,8,3,5,44,53,4,0,0,18,8,10,44,0,5,11,2,0,8,132,2,1
2020-04-23,635,3,8,0,0,3,485,0,4,28,0,0,1,222,1,12,0,0,2,32,0,2,11,9,3,5,44,59,4,0,0,21,8,10,55,0,6,11,2,0,8,139,2,1
2020-04-24,642,3,8,0,0,3,489,0,4,28,0,0,1,226,1,12,0,0,2,32,0,2,11,9,3,5,45,59,4,0,0,21,8,10,58,0,8,13,2,0,8,149,2,2
2020-04-25,650,3,8,0,0,3,490,0,4,28,0,0,1,231,1,12,0,0,2,29,0,2,12,9,3,5,46,59,4,1,0,22,8,10,58,0,8,13,2,0,8,152,2,1
2020-04-26,650,3,8,0,0,3,492,0,4,28,0,0,1,233,1,12,0,0,2,29,0,2,12,9,3,5,46,61,4,1,0,22,8,10,58,0,8,13,2,0,8,156,2,1
2020-04-27,650,3,8,0,0,3,492,0,4,28,0,0,1,233,1,12,0,0,2,29,0,2,12,9,3,5,46,61,4,1,0,22,8,10,58,0,8,13,2,0,8,156,2,1
2020-04-28,662,3,10,0,0,3,497,0,4,27,0,0,1,250,1,12,0,0,2,30,0,2,12,9,3,5,48,61,5,1,0,24,9,11,59,0,8,14,2,0,9,165,2,1
2020-04-29,662,3,10,0,0,3,497,0,4,27,0,0,1,250,1,12,0,0,2,30,0,2,12,9,3,5,48,61,5,1,0,24,9,11,59,0,8,14,2,0,9,165,2,1
2020-04-30,671,3,11,0,0,4,498,0,4,28,0,0,1,252,1,12,0,0,2,30,0,2,12,11,3,5,51,61,5,1,0,27,10,11,60,0,8,16,2,0,9,170,2,1
2020-05-01,681,3,11,0,0,4,497,0,4,28,0,0,1,255,1,13,0,0,2,30,0,2,13,12,3,5,54,62,5,1,0,27,11,11,60,0,8,16,2,0,9,181,2,1
2020-05-02,705,3,11,0,0,4,497,0,4,28,0,0,1,258,1,13,0,0,2,30,0,2,13,12,3,5,55,62,5,1,0,29,12,11,60,0,8,16,2,0,9,196,2,1
2020-05-03,705,3,11,0,0,4,497,0,4,28,0,0,1,258,1,13,0,0,2,30,0,2,13,12,3,5,55,62,5,1,0,29,12,11,60,0,8,16,2,0,9,196,2,1
2020-05-04,710,3,11,0,0,4,498,0,4,28,0,0,1,266,1,13,0,0,2,30,0,2,14,13,3,5,57,62,5,1,0,29,12,11,74,0,8,17,2,0,9,208,2,1
2020-05-05,713,3,11,0,0,4,499,0,4,28,0,0,1,266,1,13,0,0,2,30,0,3,14,13,3,5,61,62,5,1,0,29,13,11,74,0,8,17,2,0,10,218,2,1
2020-05-06,717,3,12,0,0,4,499,0,4,28,0,0,1,270,1,13,0,0,2,31,0,3,14,14,3,5,64,62,5,1,0,29,13,11,78,0,8,17,2,0,10,231,2,1
2020-05-07,721,3,12,0,0,4,499,0,4,28,0,0,1,272,1,13,0,0,2,31,0,3,14,16,3,5,65,62,5,1,0,29,16,11,78,0,8,17,2,0,10,239,2,1
2020-05-08,721,3,12,0,0,4,499,0,4,28,0,0,1,272,1,13,0,0,2,31,0,3,14,16,3,5,65,62,5,1,0,29,16,11,78,0,8,17,2,0,10,239,2,1
2020-05-09,731,3,12,0,0,4,499,0,4,30,0,0,1,272,1,14,0,0,2,31,0,3,16,16,3,5,67,63,5,1,0,29,16,11,78,0,8,17,2,0,10,248,2,1
2020-05-10,733,3,12,0,0,4,503,0,4,30,0,0,1,272,1,15,0,0,2,31,0,3,16,17,3,5,71,63,5,1,0,29,17,11,78,0,8,17,2,0,11,259,2,1
2020-05-11,739,3,13,0,0,4,506,0,4,30,0,0,1,274,1,15,0,0,2,31,0,3,16,18,3,5,75,64,5,1,0,29,18,11,78,0,8,17,2,0,11,269,2,2
