"Date","Androscoggin","Aroostook","Cumberland","Franklin","Hancock","Kennebec","Knox","Lincoln","Oxford","Penobscot","Piscataquis","Sagadahoc","Somerset","Waldo","Washington","York"
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,1,0,13,0,0,0,1,2,0,0,0,0,0,0,0,0
2020-03-17,2,0,18,0,0,1,1,2,1,0,0,0,0,0,0,1
2020-03-18,3,0,24,0,0,1,0,3,1,1,0,0,0,0,0,2
2020-03-19,3,0,25,0,1,3,0,3,1,1,0,0,0,0,0,2
2020-03-20,3,0,35,0,0,4,0,4,1,2,0,0,0,0,0,5
2020-03-21,3,0,41,0,0,4,0,4,4,2,0,1,0,0,0,8
2020-03-22,3,0,53,0,0,4,0,4,4,2,0,3,0,0,0,8
2020-03-23,3,0,66,0,0,4,1,5,5,3,0,3,0,0,0,12
2020-03-24,3,0,74,0,0,5,1,5,6,4,0,3,0,1,0,16
2020-03-25,4,0,87,0,0,5,1,5,6,4,0,4,0,1,0,23
2020-03-26,5,0,90,1,0,6,1,5,8,5,0,4,0,2,0,27
2020-03-27,6,0,92,1,0,6,2,5,8,6,0,4,0,2,0,33
2020-03-28,7,0,120,2,0,9,2,5,8,10,0,5,0,2,0,38
2020-03-29,8,0,142,2,0,10,4,5,9,11,0,7,1,2,0,47
2020-03-30,8,0,154,2,0,10,4,8,9,12,0,7,1,2,0,53
2020-03-31,11,0,169,2,0,12,5,8,9,12,0,7,1,2,0,59
2020-04-01,11,0,169,2,0,12,5,8,9,12,0,7,1,2,0,59
2020-04-02,12,0,204,3,2,19,7,8,9,16,0,10,2,2,0,74
2020-04-03,19,1,222,4,2,19,9,8,10,20,0,12,2,3,1,89
2020-04-04,20,1,231,4,2,21,9,8,11,22,0,13,3,3,1,95
2020-04-05,20,1,238,4,2,22,9,8,11,22,0,13,4,3,1,101
2020-04-06,23,1,249,5,2,23,9,9,11,25,0,13,4,5,1,108
