Date,Barnstable,Berkshire,Bristol,Essex,Franklin,Hampden,Hampshire,Middlesex,Norfolk,Plymouth,Suffolk,Worcester
3/1/20,0,0,0,0,0,0,0,0,0,0,1,0
3/2/20,0,0,0,0,0,0,0,0,0,0,1,0
3/3/20,0,0,0,0,0,0,0,0,1,0,1,0
3/4/20,0,0,0,0,0,0,0,0,1,0,1,0
3/5/20,0,0,0,0,0,0,0,0,1,0,1,0
3/6/20,0,0,0,0,0,0,0,1,2,0,3,0
3/7/20,0,0,0,0,0,0,0,1,2,0,3,0
3/8/20,0,1,0,0,0,0,0,7,6,0,8,0
3/9/20,0,1,0,0,0,0,0,7,6,0,8,0
3/10/20,0,5,0,0,0,0,0,15,10,0,10,1
3/11/20,0,7,0,1,0,0,0,41,22,0,20,1
3/12/20,0,9,0,2,0,0,0,49,24,0,22,1
3/13/20,0,9,0,2,0,0,0,60,24,0,26,2
3/14/20,1,9,1,5,0,0,0,65,28,0,27,2
3/15/20,1,9,1,5,0,0,0,65,28,0,27,2
3/16/20,1,11,2,8,0,1,0,83,36,3,36,6
3/17/20,2,14,5,8,0,1,0,89,43,5,42,8
3/18/20,2,17,5,14,1,2,0,100,45,5,51,10
3/19/20,5,18,6,19,1,3,1,119,52,5,72,14
3/20/20,9,20,6,29,1,3,2,144,64,11,86,19
3/21/20,11,21,14,41,6,9,2,177,69,20,108,24
3/22/20,24,23,24,60,6,12,4,199,75,25,126,37
3/23/20,30,26,25,73,6,15,6,232,82,32,154,42
3/24/20,40,37,31,118,10,24,8,304,129,64,234,73
3/25/20,51,71,67,177,14,45,11,446,222,101,342,129
3/26/20,67,73,90,247,16,55,17,538,292,138,448,166
3/27/20,100,105,129,350,24,90,20,685,393,187,631,219
3/28/20,133,119,179,472,39,183,30,842,490,272,843,291
3/29/20,148,151,208,570,41,201,37,981,548,325,940,337
3/30/20,173,162,263,653,49,255,46,1141,628,380,1115,390
3/31/20,191,171,306,784,61,354,69,1340,738,459,1373,433
4/1/20,255,183,366,885,72,475,81,1582,829,561,1624,563
4/2/20,283,213,424,1039,85,546,102,1870,938,621,1896,667
4/3/20,314,240,517,1238,89,661,114,2202,1045,745,2183,825
4/4/20,330,253,601,1400,95,733,125,2468,1199,898,2429,915
4/5/20,347,258,659,1506,100,768,128,2632,1271,963,2658,978
4/6/20,383,268,722,1653,107,889,147,2950,1382,1067,2929,1077
4/7/20,405,278,768,1841,118,997,158,3187,1592,1194,3245,1172
4/8/20,423,281,835,2103,117,1081,164,3545,1778,1327,3600,1296
4/9/20,444,304,994,2336,128,1276,177,4045,2007,1507,4041,1461
4/10/20,464,329,1086,2670,135,1394,194,4447,2216,1677,4534,1678
4/11/20,480,336,1191,2896,138,1545,204,4872,2395,1809,4926,1822
4/12/20,501,350,1327,3170,143,1647,219,5660,2649,2024,5359,2032
4/13/20,502,355,1394,3413,148,1694,224,5983,2838,2141,5579,2128
4/14/20,514,360,1435,3594,155,1798,233,6254,2969,2207,5872,2246
4/15/20,530,370,1508,3894,160,1885,239,6681,3122,2308,6279,2350
4/16/20,550,382,1605,4245,170,1985,248,7206,3342,2466,6820,2503
4/17/20,582,390,1693,4668,178,2163,269,7867,3580,2614,7378,2812
4/18/20,599,392,1733,5001,182,2283,317,8422,3740,2725,7803,3000
4/19/20,642,394,1766,5240,186,2366,328,8863,3874,2869,8181,3117
4/20/20,674,394,1815,5385,192,2467,343,9383,4045,3014,8422,3230
4/21/20,682,411,1888,5621,197,2562,348,9756,4152,3083,8778,3392
4/22/20,688,411,1946,5886,201,2710,357,10239,4306,3296,9174,3511
4/23/20,720,425,2222,6325,208,2871,380,10877,4641,3573,9859,3854
4/24/20,760,432,2739,6952,222,3096,409,11843,5084,4204,10847,4285
4/25/20,770,432,2872,7327,230,3266,425,12426,5288,4435,11346,4529
4/26/20,787,435,2967,7606,231,3332,440,12826,5407,4562,11674,4642
4/27/20,813,435,3113,7827,236,3420,456,13133,5521,4675,12019,4815
4/28/20,843,437,3318,8094,242,3586,522,13603,5703,4823,12286,5073
4/29/20,866,447,3478,8509,257,3738,544,13996,5843,4956,12693,5377
4/30/20,886,449,3631,8813,262,3819,560,14420,6054,5180,13051,5630
5/1/20,930,451,3848,9178,265,3943,532,14829,6231,5371,13468,5874
5/2/20,970,455,3975,9522,268,4053,563,15281,6370,5536,13784,6220
5/3/20,981,458,4083,9705,275,4121,573,15614,6472,5643,13963,6382
5/4/20,997,460,4169,9941,279,4171,579,16020,6588,5747,14141,6567
5/5/20,1008,464,4304,10154,281,4262,591,16264,6685,5891,14389,6698
5/6/20,1039,469,4457,10533,284,4383,599,16643,6847,6060,14722,7105
5/7/20,1065,474,4610,10812,291,4512,614,17016,6979,6254,14996,7315
5/8/20,1088,482,4754,11207,295,4598,674,17386,7080,6384,15237,7536
5/9/20,1112,483,4934,11429,301,4725,679,17694,7172,6504,15423,7743
5/10/20,1129,486,5023,11576,301,4793,696,17996,7246,6582,15591,7880
5/11/20,1138,489,5093,11665,305,4843,710,18197,7303,6661,15686,7956
5/12/20,1158,497,5227,11811,306,4917,724,18394,7359,6720,15806,8102
5/13/20,1178,498,5361,11955,312,4978,731,18680,7457,6811,15964,8391
5/14/20,1186,502,5556,12222,312,5068,747,18890,7601,7002,16285,8711
5/15/20,1208,505,5710,12419,314,5133,762,19223,7685,7105,16415,8944
5/16/20,1219,511,5868,12609,314,5231,776,19445,7780,7223,16777,9233
5/17/20,1224,513,5994,12767,318,5303,792,19696,7852,7308,16917,9421
5/18/20,1229,514,6122,12898,318,5363,799,19918,7906,7384,17110,9613
5/19/20,1253,515,6207,13067,318,5437,805,20107,7959,7449,17278,9757
5/20/20,1275,518,6295,13252,320,5523,817,20331,8011,7542,17434,9958
5/21/20,1282,529,6421,13411,321,5602,833,20580,8101,7636,17572,10181
5/22/20,1346,531,6503,13580,321,5683,840,20776,8148,7704,17680,10301
5/23/20,1357,536,6569,13699,323,5736,847,20942,8192,7768,17805,10460
5/24/20,1363,541,6741,13833,325,5804,858,21162,8249,7850,17937,10649
5/25/20,1373,544,6828,13962,326,5873,862,21286,8283,7887,18008,10735
5/26/20,1378,558,6880,14064,327,5918,868,21364,8304,7927,18065,10788
5/27/20,1385,560,6928,14182,329,5969,871,21493,8331,7953,18143,10887
5/28/20,1398,561,7007,14309,331,6003,873,21661,8390,8026,18259,10974
5/29/20,1408,566,7089,14415,333,6068,881,21787,8436,8071,18361,11086
5/30/20,1413,567,7251,14528,334,6110,885,21976,8504,8128,18467,11184
5/31/20,1420,567,7322,14658,335,6165,885,22150,8568,8171,18533,11307
6/1/20,1424,567,7348,14721,335,6188,886,22224,8586,8200,18581,11352
6/2/20,1430,568,7380,14795,335,6201,883,22296,8600,8228,18636,11438
6/3/20,1435,566,7453,14857,335,6237,891,22403,8613,8243,18733,11465
6/4/20,1443,568,7508,14969,337,6268,894,22485,8625,8282,18790,11529
6/5/20,1446,571,7573,15064,337,6297,900,22583,8646,8313,18858,11600
6/6/20,1450,573,7635,15170,338,6337,904,22686,8689,8347,18955,11696
6/7/20,1456,574,7683,15217,338,6353,905,22754,8713,8363,19001,11732
6/8/20,1458,575,7698,15236,338,6365,907,22812,8715,8372,19028,11758
6/9/20,1462,575,7728,15271,341,6380,905,22845,8753,8404,19067,11803
6/10/20,1467,574,7754,15365,344,6395,905,22889,8774,8418,19099,11820
6/11/20,1474,575,7793,15465,348,6415,913,22996,8809,8440,19195,11885
6/12/20,1479,575,7872,15518,348,6431,918,23075,8842,8462,19249,11937
6/13/20,1486,580,7906,15573,353,6460,921,23156,8860,8478,19299,11961
6/14/20,1487,580,7933,15604,353,6481,924,23195,8866,8507,19335,11975
6/15/20,1489,579,7925,15627,353,6489,926,23227,8872,8512,19334,11991
6/16/20,1494,578,7940,15667,353,6503,930,23269,8892,8514,19367,12014
6/17/20,1497,582,7956,15703,354,6518,936,23346,8908,8522,19434,12032
6/18/20,1502,584,7979,15739,356,6537,936,23407,8935,8555,19477,12050
6/19/20,1508,585,8002,15778,357,6556,941,23464,8962,8566,19493,12085
