"Date","Beaverhead","Big Horn","Blaine","Broadwater","Carbon","Carter","Cascade","Chouteau","Custer","Daniels","Dawson","Deer Lodge","Fallon","Fergus","Flathead","Gallatin","Garfield","Glacier","Golden Valley","Granite","Hill","Jefferson","Judith Basin","Lake","Lewis and Clark","Liberty","Lincoln","Madison","McCone","Meagher","Mineral","Missoula","Musselshell","Park","Petroleum","Phillips","Pondera","Powder River","Powell","Prairie","Ravalli","Richland","Roosevelt","Rosebud","Sanders","Sheridan","Silver Bow","Stillwater","Sweet Grass","Teton","Toole","Treasure","Valley","Wheatland","Wibaux","Yellowstone"
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2020-03-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
2020-03-18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
2020-03-19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
2020-03-20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
2020-03-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,5
2020-03-22,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,6
2020-03-23,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,6
2020-03-24,0,0,0,1,0,0,3,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,7
2020-03-25,0,0,0,2,0,0,3,0,0,0,0,0,0,0,5,24,0,0,0,0,1,1,0,0,3,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,12
2020-03-26,0,0,0,2,0,0,5,0,0,0,0,0,0,0,5,38,0,0,0,0,1,1,0,0,5,0,1,2,0,1,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,1,0,0,0,0,14
2020-03-27,0,0,0,2,0,0,6,0,0,0,0,0,0,0,6,39,0,0,0,0,1,1,0,1,8,0,1,2,0,1,0,8,0,1,0,0,0,0,0,0,1,0,1,0,0,0,8,0,0,0,2,0,0,0,0,20
2020-03-28,0,0,0,2,0,0,7,0,0,0,0,0,0,0,6,46,0,0,0,0,1,2,0,1,9,0,3,3,0,1,0,9,0,1,0,0,0,0,0,0,1,0,1,0,0,0,8,0,0,0,5,0,0,0,0,23
2020-03-29,0,0,0,3,0,0,7,0,0,0,0,1,0,0,7,58,0,0,0,0,1,2,0,2,10,0,3,4,0,1,0,11,0,2,0,0,0,0,0,0,1,0,1,0,0,0,9,0,0,0,5,0,0,0,0,26
2020-03-30,0,0,0,3,0,0,7,0,0,0,0,2,0,0,9,67,0,0,0,0,1,2,0,3,11,0,4,4,0,1,0,12,0,2,0,0,0,0,0,0,1,0,1,0,0,0,9,0,0,0,6,0,0,0,0,26
2020-03-31,0,0,0,3,0,0,9,0,0,0,0,3,0,0,11,74,0,0,0,0,1,2,0,3,12,0,5,6,0,1,0,14,1,3,0,0,0,0,0,0,1,0,1,0,0,0,10,0,0,0,7,0,0,0,0,31
2020-04-01,0,0,0,3,0,0,9,0,0,0,0,3,0,0,14,76,0,0,0,0,1,2,0,4,14,1,5,6,0,1,0,14,1,3,0,0,0,0,0,0,1,0,1,0,0,0,10,0,0,0,7,0,0,0,0,32
2020-04-02,0,0,0,3,1,0,11,0,0,0,0,3,0,0,18,93,0,0,0,0,1,2,0,4,13,1,6,6,0,1,0,17,1,6,0,0,0,0,0,0,1,0,1,0,0,0,11,0,0,0,6,0,0,0,0,35
2020-04-03,0,0,0,3,1,0,11,0,0,0,0,3,0,0,18,93,0,1,0,0,1,2,0,4,13,1,6,6,0,1,0,17,1,6,0,0,0,0,0,0,1,0,1,0,0,0,11,0,0,0,6,0,0,0,0,36
2020-04-04,1,0,0,4,1,0,11,0,0,0,0,3,0,0,20,101,0,1,0,0,1,2,0,4,13,1,6,6,0,1,0,18,1,6,0,0,0,0,0,0,2,0,1,0,0,0,11,0,0,0,12,0,0,0,0,38
2020-04-05,1,0,0,4,1,0,11,0,0,0,0,3,0,0,24,110,0,1,0,0,1,2,0,4,14,1,6,9,0,1,0,19,1,6,0,0,0,0,0,0,2,0,1,0,0,0,11,0,0,0,15,0,0,0,0,38
2020-04-06,1,0,0,4,1,0,11,0,0,0,0,3,0,0,25,116,0,1,0,0,1,2,0,4,14,1,7,9,0,1,0,21,1,6,0,0,0,0,0,0,2,0,1,0,0,0,11,0,0,0,16,0,0,0,0,40
2020-04-07,1,0,0,4,2,0,11,0,0,0,0,3,0,0,31,118,0,1,0,0,1,2,0,5,15,1,7,9,0,1,0,24,1,6,0,0,0,0,0,0,2,0,1,0,0,0,11,0,0,0,15,0,0,0,0,47
2020-04-08,1,0,0,4,3,0,11,0,0,0,0,3,0,0,31,120,0,2,0,0,1,2,0,5,16,1,7,8,0,1,0,25,1,7,0,0,0,0,0,0,3,2,2,0,0,0,11,0,0,0,17,0,0,0,0,48
2020-04-09,1,0,0,4,3,0,12,0,0,0,0,4,0,0,34,128,0,3,0,0,1,2,0,6,16,1,7,8,0,1,0,26,1,7,0,0,0,0,0,0,3,2,2,0,0,0,11,1,0,0,18,0,0,0,0,52
2020-04-10,1,1,0,4,6,0,12,0,0,0,0,3,0,0,34,134,0,3,0,0,1,2,0,5,16,1,7,8,0,1,0,26,1,7,0,0,0,0,0,0,3,2,2,0,0,0,11,1,0,0,18,0,0,0,0,55
