"Date","Carson City","Churchill","Clark","Douglas","Elko","Esmeralda","Eureka","Humboldt","Lander","Lincoln","Lyon","Mineral","Nye","Pershing","Storey","Washoe","White Pine"
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-03-07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-03-08,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-03-09,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-03-10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-03-11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-03-12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-03-13,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-03-14,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-03-15,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-03-16,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2020-03-17,1,0,42,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2020-03-18,1,0,42,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2020-03-19,1,0,69,0,0,0,0,0,0,0,0,0,0,0,0,14,0
2020-03-20,2,0,126,0,1,0,0,0,0,0,0,0,0,0,0,14,0
2020-03-21,2,0,126,0,1,0,0,0,0,0,0,0,0,0,0,22,0
2020-03-22,2,0,126,0,1,0,0,0,0,0,0,0,0,0,0,25,0
2020-03-23,3,0,126,0,2,0,0,0,0,0,0,0,0,0,0,25,0
2020-03-24,2,0,212,2,2,0,0,0,0,0,0,0,1,0,0,44,0
2020-03-25,2,0,249,3,2,0,0,0,0,0,1,0,1,0,0,50,0
2020-03-26,2,0,350,3,2,0,0,0,0,0,1,0,1,0,0,57,0
2020-03-27,2,0,443,3,2,0,0,1,0,0,1,0,1,0,0,67,0
2020-03-28,5,0,443,5,2,0,0,1,0,0,1,0,1,0,0,75,0
2020-03-29,5,0,528,5,3,0,0,1,0,0,1,0,1,0,0,107,0
2020-03-30,5,0,753,5,3,0,0,1,0,0,1,0,1,0,0,111,0
2020-03-31,5,0,869,6,5,0,0,3,0,0,1,0,1,0,0,121,1
2020-04-01,5,0,961,6,5,0,0,5,0,0,1,0,4,0,0,143,1
2020-04-02,5,0,1125,6,5,0,0,5,0,0,1,0,4,0,0,163,1
2020-04-03,5,0,1279,7,7,0,0,7,0,0,2,0,6,0,0,184,1
2020-04-04,10,0,1418,7,8,0,0,9,0,0,3,0,7,0,0,245,1
2020-04-05,10,0,1519,7,8,0,0,11,0,0,3,0,7,0,0,264,1
2020-04-06,11,0,1608,7,8,0,0,11,0,0,3,0,7,0,0,264,1
2020-04-07,11,0,1734,7,8,0,0,11,0,0,3,0,7,0,0,309,1
2020-04-08,13,0,1878,8,8,0,0,14,0,0,4,0,7,0,0,326,1
2020-04-09,14,0,2009,9,9,0,0,16,0,1,4,0,10,0,0,326,1
2020-04-10,15,0,2144,9,11,0,0,16,0,1,6,0,10,0,0,363,1
2020-04-11,16,0,2144,10,11,0,0,18,0,1,6,0,10,0,0,389,1
2020-04-12,16,0,2324,10,11,0,0,18,0,1,7,0,10,0,0,415,1
2020-04-13,22,0,2444,10,11,0,0,20,0,1,10,0,10,0,0,461,1
2020-04-14,23,0,2509,10,11,0,0,20,0,1,10,0,15,0,0,532,3
2020-04-15,25,0,2559,13,11,0,0,20,0,1,10,0,15,0,0,549,3
2020-04-16,25,1,2559,13,11,0,0,20,0,1,11,0,19,0,0,549,3
2020-04-17,27,1,2738,14,12,0,0,26,0,0,12,0,21,0,0,572,3
2020-04-18,28,3,2882,14,12,0,0,26,0,0,15,0,21,0,0,588,3
2020-04-19,28,3,2940,15,12,0,0,26,0,0,16,0,28,0,0,637,3
2020-04-20,28,3,2998,15,12,0,0,27,0,0,18,0,28,0,0,662,3
2020-04-21,28,3,3099,15,12,0,0,34,0,0,18,0,29,0,0,662,3
2020-04-22,28,3,3218,16,12,0,0,34,1,0,19,2,29,0,0,710,3
2020-04-23,31,3,3314,17,12,0,0,34,1,0,20,2,31,0,0,736,3
2020-04-24,31,3,3443,17,12,0,0,34,1,0,20,2,31,0,0,736,3
2020-04-25,34,3,3570,18,12,0,0,35,1,0,23,2,31,0,0,791,3
2020-04-26,37,3,3665,19,12,0,0,36,1,0,26,2,31,0,0,804,3
2020-04-27,39,3,3717,19,15,0,0,36,1,0,26,2,35,0,0,804,3
2020-04-28,44,3,3793,19,15,0,0,37,7,0,27,4,35,0,0,834,3
2020-04-29,44,3,3891,19,15,0,0,38,7,0,27,4,35,0,0,848,3
2020-04-30,45,3,3979,19,15,0,0,41,7,0,28,4,36,0,0,873,3
2020-05-01,47,3,4118,20,15,0,0,44,7,0,29,4,37,0,0,921,3
2020-05-02,48,3,4225,21,15,0,0,44,7,0,33,4,37,0,0,949,3
2020-05-03,48,3,4274,21,15,0,0,49,7,0,34,4,37,0,0,977,3
2020-05-04,48,3,4411,21,15,0,0,50,13,0,35,4,39,0,0,988,3
2020-05-05,51,3,4408,22,15,0,0,53,13,0,35,4,39,0,0,1014,3
2020-05-06,51,3,4473,22,15,0,0,58,14,1,36,4,39,0,0,1022,3
2020-05-07,51,3,4573,22,15,0,0,58,14,1,37,4,44,0,0,1030,3
2020-05-08,51,3,4573,23,15,0,0,58,14,1,37,4,44,0,0,1065,3
2020-05-09,52,3,4704,24,15,0,0,65,17,1,40,4,44,0,0,1077,3
2020-05-10,55,3,4750,24,15,0,0,67,17,1,42,4,44,0,0,1095,3
2020-05-11,56,3,4762,24,18,0,0,67,17,1,44,4,44,0,0,1100,3
2020-05-12,58,5,4869,24,18,0,0,71,19,2,45,4,48,0,0,1116,3
2020-05-13,58,5,5045,24,18,0,0,71,19,2,46,4,49,0,0,1132,3
2020-05-14,63,5,5045,24,18,0,0,71,19,2,46,4,49,0,1,1154,3
2020-05-15,65,5,5235,24,18,0,0,71,19,2,47,4,49,0,1,1190,3
2020-05-16,70,5,5298,25,20,0,0,71,19,2,47,4,58,0,1,1190,3
2020-05-17,71,5,5366,25,20,0,0,71,19,2,47,4,58,0,1,1256,4
2020-05-18,71,5,5463,25,21,0,0,74,19,2,48,4,58,0,1,1266,4
2020-05-19,75,6,5463,25,21,0,0,74,19,2,49,4,58,0,1,1295,4
2020-05-20,77,6,5650,26,21,0,0,76,19,2,49,4,58,0,1,1395,4
2020-05-21,81,6,5734,26,21,0,0,76,19,2,51,4,59,0,1,1316,4
2020-05-22,83,6,5815,26,21,0,0,78,19,2,51,4,59,0,1,1356,4
2020-05-23,83,6,5815,26,22,0,0,78,19,2,51,4,59,0,1,1356,4
2020-05-24,86,6,6140,27,22,0,0,78,19,2,55,4,59,0,1,1378,4
2020-05-25,90,6,6182,28,22,0,0,78,20,2,55,4,59,0,1,1405,4
2020-05-26,90,7,6226,29,22,0,0,78,20,2,56,4,59,0,1,1459,4
