"Date","Alamance","Alexander","Alleghany","Anson","Ashe","Avery","Beaufort","Bertie","Bladen","Brunswick","Buncombe","Burke","Cabarrus","Caldwell","Camden","Carteret","Caswell","Catawba","Chatham","Cherokee","Chowan","Clay","Cleveland","Columbus","Craven","Cumberland","Currituck","Dare","Davidson","Davie","Duplin","Durham","Edgecombe","Forsyth","Franklin","Gaston","Gates","Graham","Granville","Greene","Guilford","Halifax","Harnett","Haywood","Henderson","Hertford","Hoke","Hyde","Iredell","Jackson","Johnston","Jones","Lee","Lenoir","Lincoln","Macon","Madison","Martin","McDowell","Mecklenburg","Mitchell","Montgomery","Moore","Nash","New Hanover","Northampton","Onslow","Orange","Pamlico","Pasquotank","Pender","Perquimans","Person","Pitt","Polk","Randolph","Richmond","Robeson","Rockingham","Rowan","Rutherford","Sampson","Scotland","Stanly","Stokes","Surry","Swain","Transylvania","Tyrrell","Union","Vance","Wake","Warren","Washington","Watauga","Wayne","Wilkes","Wilson","Yadkin","Yancey"
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,1,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,1,0,1,0,0
2020-03-17,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,1,1,0,1,0,0
2020-03-18,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,27,0,2,0,1,0,0,0,0,1,0,3,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,14,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,22,0,0,3,1,0,1,0,0
2020-03-19,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,1,0,0,35,0,5,0,1,0,0,0,0,3,0,6,0,0,0,1,0,2,0,2,0,0,0,1,0,0,0,0,30,0,0,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,25,0,0,2,1,0,1,0,0
2020-03-20,1,0,0,0,0,0,0,0,0,4,1,0,2,0,0,1,0,1,3,0,1,0,1,0,2,2,0,0,1,0,0,39,0,7,4,1,0,0,0,0,4,0,6,0,0,0,1,0,2,0,3,0,1,0,1,0,0,0,0,43,0,0,2,0,1,0,1,4,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,6,0,32,0,0,2,1,0,2,0,0
2020-03-21,2,0,0,0,0,0,0,0,0,4,2,0,5,0,0,5,0,1,3,4,1,0,0,0,2,3,0,0,1,1,0,40,0,12,4,1,0,0,1,0,7,0,7,0,0,0,1,1,2,0,3,0,1,0,1,0,0,0,0,77,0,1,2,0,4,0,3,4,0,1,0,0,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,6,0,32,0,0,2,1,0,2,0,0
2020-03-22,2,0,0,0,0,0,0,0,0,6,4,0,6,0,0,5,0,1,3,4,1,0,0,0,2,3,0,0,1,1,0,41,0,12,4,3,0,0,1,0,11,0,7,0,1,0,1,1,6,0,3,0,1,0,1,0,0,0,0,77,0,1,2,1,4,0,3,6,0,1,0,0,0,3,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,12,0,52,0,0,2,1,0,3,0,0
2020-03-23,2,0,0,0,0,0,0,0,0,8,8,0,6,0,0,5,0,4,3,4,1,0,0,0,2,3,0,0,2,1,0,41,0,12,4,4,0,0,1,0,11,0,8,0,2,1,1,1,8,1,3,0,1,0,1,0,0,0,0,97,0,1,2,1,4,1,3,6,0,1,0,0,0,6,0,1,0,1,0,4,0,1,1,0,0,0,0,1,0,13,1,52,0,0,2,1,0,4,0,0
2020-03-24,3,0,0,0,0,0,2,1,0,10,12,0,10,1,0,5,0,4,3,4,1,0,0,0,3,5,0,0,3,1,1,71,0,14,4,4,0,0,1,0,16,0,9,0,2,1,1,1,9,1,4,0,1,1,1,0,0,0,2,142,0,1,2,4,10,1,3,6,0,1,0,0,0,6,0,3,0,2,0,5,0,1,1,0,0,0,0,1,0,18,1,66,0,0,3,2,0,4,0,0
2020-03-25,3,0,0,0,0,0,3,3,0,10,12,2,12,3,0,5,0,4,6,4,0,0,2,0,3,8,0,1,3,1,1,74,0,15,5,6,0,0,1,0,22,0,10,0,2,2,2,1,11,1,8,0,1,2,1,0,0,0,2,170,0,1,2,4,10,1,4,13,0,1,0,0,1,6,0,3,0,2,0,6,0,1,1,0,0,0,0,2,0,23,2,73,0,0,3,3,0,6,0,0
2020-03-26,4,0,0,0,0,0,3,3,0,11,15,2,18,3,0,5,0,9,9,4,0,0,2,0,3,8,0,1,4,1,1,93,0,17,5,12,0,0,1,0,24,0,11,0,6,3,2,1,13,1,9,0,2,3,1,0,0,0,2,204,1,3,3,4,14,3,4,16,0,1,0,0,1,8,0,3,0,2,0,12,0,1,1,0,0,1,0,2,0,27,2,100,0,0,3,3,0,7,0,0
2020-03-27,5,0,0,0,0,0,3,3,0,11,15,3,22,3,0,5,0,10,11,4,0,0,2,0,4,8,0,2,12,2,1,93,0,24,5,17,0,0,3,0,31,1,11,0,7,3,2,1,15,1,9,0,2,3,1,0,0,0,2,259,1,3,3,4,15,3,4,24,0,1,0,0,1,8,1,8,0,2,0,12,0,1,1,0,0,1,1,3,0,34,2,123,0,0,5,3,0,7,0,0
2020-03-28,5,1,1,0,0,0,3,3,0,12,17,4,31,3,0,7,1,10,12,4,0,0,3,2,4,8,0,2,14,6,1,113,1,33,5,17,0,0,3,3,34,1,11,0,9,3,2,1,18,1,9,0,2,3,1,0,0,0,5,299,1,3,5,4,25,3,4,24,0,1,0,1,1,10,2,9,0,2,0,12,0,1,1,3,0,1,1,3,0,34,2,123,0,0,5,3,0,7,1,0
2020-03-29,6,1,2,0,0,0,3,3,0,12,19,4,32,3,0,7,1,14,13,6,0,0,5,3,5,13,1,2,16,6,1,113,1,35,5,21,0,0,6,3,39,2,14,0,13,2,3,1,21,1,10,0,2,3,3,0,0,0,5,336,1,3,7,4,25,25,4,29,0,2,0,1,1,15,2,15,0,2,0,17,0,1,2,5,0,2,1,3,0,38,3,146,0,1,5,3,0,10,1,0
2020-03-30,7,1,2,0,0,0,4,5,0,14,20,5,38,3,0,11,1,14,14,7,0,0,7,3,5,15,1,1,17,6,1,107,1,40,5,25,0,0,6,3,44,4,14,0,13,3,3,0,25,1,10,0,2,3,3,0,0,0,5,382,1,3,8,4,27,26,4,30,1,2,0,1,1,20,2,15,0,2,0,18,2,1,2,5,0,2,0,3,0,38,3,166,0,1,5,4,1,13,1,0
2020-03-31,7,2,2,1,0,0,5,6,0,16,22,6,47,3,0,12,1,14,16,7,0,1,6,4,6,18,1,2,22,11,1,122,3,42,11,27,0,0,9,3,50,6,18,0,18,4,4,0,25,1,14,0,3,3,4,0,0,3,7,420,1,5,8,9,34,30,7,34,1,4,0,1,2,27,3,17,0,3,2,23,5,1,2,5,0,2,0,5,0,41,4,193,0,2,5,5,2,13,3,0
2020-04-01,7,2,2,1,0,0,7,6,0,16,22,6,47,3,0,14,1,16,16,11,0,3,6,4,7,24,1,2,41,12,2,126,3,57,11,31,0,0,16,4,55,6,18,0,18,4,4,0,25,1,17,0,3,3,4,0,0,3,8,444,1,5,8,11,34,30,7,34,1,4,0,1,2,27,4,17,0,3,2,24,5,1,2,5,2,2,0,5,0,47,5,213,0,2,6,5,2,15,3,0
2020-04-02,13,2,2,1,0,0,7,6,1,23,22,9,50,3,0,14,1,16,19,11,1,3,7,4,10,27,2,3,41,12,2,147,4,63,12,33,1,0,20,5,74,7,19,2,22,4,7,0,36,1,20,0,3,5,8,1,0,3,8,533,1,6,11,11,42,30,8,37,2,7,0,1,2,29,4,19,0,3,2,31,9,1,2,5,3,2,0,5,0,55,6,251,0,2,8,7,4,17,4,0
2020-04-03,14,2,2,3,1,0,8,6,1,23,31,10,58,3,0,16,1,20,19,11,1,3,10,5,13,35,2,3,51,12,4,159,4,80,13,39,1,0,22,5,88,7,19,2,22,4,9,0,36,2,25,0,3,7,9,1,0,3,8,601,1,8,11,16,42,36,10,44,3,7,1,1,2,33,6,19,0,3,3,37,12,2,2,7,5,2,0,5,0,60,7,275,1,3,8,11,4,21,6,0
2020-04-04,16,2,2,3,1,0,9,7,1,24,31,13,65,5,0,16,1,22,21,11,1,3,15,6,14,42,2,5,53,14,5,182,5,88,14,43,1,0,24,5,94,10,24,2,25,4,10,0,42,2,32,0,3,7,9,1,0,3,9,650,2,10,12,18,42,38,16,52,3,8,1,1,4,35,6,26,0,5,5,44,12,2,2,7,5,3,1,5,0,67,10,283,1,3,8,12,4,28,6,0
2020-04-05,19,2,2,5,1,0,9,7,1,24,31,18,69,11,0,16,2,24,21,11,1,3,16,8,15,45,2,6,57,16,5,186,5,89,14,47,1,0,37,6,96,10,25,3,50,4,10,0,44,2,33,0,3,7,9,1,0,3,9,664,2,10,14,21,47,42,17,52,3,8,1,2,4,36,6,29,0,5,6,46,15,2,2,7,6,3,1,5,0,67,12,304,2,3,8,15,4,28,9,0
