"Date","Baker","Benton","Clackamas","Clatsop","Columbia","Coos","Crook","Curry","Deschutes","Douglas","Gilliam","Grant","Harney","Hood River","Jackson","Jefferson","Josephine","Klamath","Lake","Lane","Lincoln","Linn","Malheur","Marion","Morrow","Multnomah","Polk","Sherman","Tillamook","Umatilla","Union","Wallowa","Wasco","Washington","Wheeler","Yamhill"
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,0,0
2020-03-11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,8,0,0
2020-03-12,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,2,0,2,0,1,1,0,0,2,0,0,0,10,0,0
2020-03-13,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,8,0,2,0,1,1,0,0,2,0,0,0,10,0,0
2020-03-14,0,0,1,0,0,0,0,0,3,1,0,0,0,0,2,0,0,1,0,0,0,9,0,2,0,1,1,0,0,2,0,0,0,13,0,0
2020-03-15,0,0,1,0,0,0,0,0,3,1,0,0,0,0,2,0,0,1,0,0,0,9,0,2,0,1,1,0,0,2,0,0,0,13,0,0
2020-03-16,0,0,1,0,0,0,0,0,4,1,0,0,0,0,2,0,0,1,0,0,0,10,0,2,0,1,1,0,0,2,0,0,0,13,0,1
2020-03-17,0,2,6,0,0,0,0,0,6,1,0,0,0,0,2,0,0,1,0,0,0,15,0,4,0,3,2,0,0,2,0,0,0,21,0,1
2020-03-18,0,3,6,0,0,0,0,0,6,1,0,0,0,0,2,0,0,1,0,2,0,15,0,8,0,3,1,0,0,2,0,0,0,23,0,2
2020-03-19,0,3,6,0,0,0,0,0,6,1,0,0,0,0,2,0,0,1,0,2,0,17,0,13,0,7,1,0,0,2,0,0,0,25,0,2
2020-03-20,0,3,10,0,0,0,0,0,8,1,0,1,0,0,2,0,0,1,0,2,0,18,0,17,0,12,1,0,0,2,1,0,0,31,0,4
2020-03-21,0,2,11,0,0,0,0,0,9,1,0,1,0,0,2,0,1,1,0,3,0,19,0,19,0,18,1,0,0,2,1,0,0,42,0,4
2020-03-22,0,4,12,0,0,0,0,0,10,1,0,1,0,0,2,0,1,1,0,4,0,19,0,22,0,19,1,0,0,2,1,0,0,55,0,6
2020-03-23,0,4,14,0,0,0,0,0,10,1,0,1,0,1,2,0,1,1,0,4,0,20,0,30,0,21,3,0,0,2,1,0,0,69,0,6
2020-03-24,0,4,17,1,0,0,0,0,10,1,0,1,0,1,3,0,1,1,0,4,0,21,0,32,0,25,3,0,0,2,1,0,0,76,0,6
2020-03-25,0,6,21,1,0,0,0,0,10,3,0,1,0,1,4,0,2,1,0,5,1,25,0,43,0,33,3,0,0,2,1,0,0,96,0,7
2020-03-26,0,6,21,2,0,0,0,0,15,3,0,1,0,1,4,0,4,1,0,7,1,26,0,57,0,45,6,0,1,2,1,0,1,104,0,7
2020-03-27,0,6,31,2,1,0,0,0,18,4,0,1,0,1,6,0,4,2,0,10,1,28,0,83,1,67,10,0,1,3,1,0,2,122,0,11
2020-03-28,0,8,36,3,1,0,0,0,20,4,0,1,0,1,8,0,5,2,0,9,1,32,0,94,1,81,11,0,1,4,1,0,2,140,0,13
2020-03-29,0,8,39,3,1,0,0,0,23,4,0,1,0,2,19,0,6,4,0,10,1,36,0,109,1,91,13,0,2,4,1,0,3,154,0,13
2020-03-30,0,9,40,3,1,0,0,0,25,8,0,1,0,2,20,0,10,4,0,12,1,36,0,123,1,100,15,0,3,4,1,0,5,168,0,14
2020-03-31,0,12,50,3,1,0,0,0,24,9,0,1,0,3,21,0,10,5,0,16,2,37,1,141,1,116,18,0,3,5,1,1,7,186,0,16
2020-04-01,0,13,56,3,1,0,0,0,27,10,0,1,0,2,22,0,10,5,0,18,3,37,1,151,1,134,18,0,3,5,1,1,7,189,0,17
2020-04-02,0,15,61,3,1,0,0,0,32,9,0,1,0,3,27,0,12,8,0,21,4,37,1,164,1,160,18,0,3,5,3,1,7,211,0,18
2020-04-03,0,17,66,4,1,0,1,0,36,9,0,1,0,3,27,0,12,13,0,21,4,37,2,178,2,175,20,0,3,5,3,1,7,228,0,23
2020-04-04,0,17,66,4,1,0,1,0,36,9,0,1,0,3,27,0,12,13,0,21,4,37,2,178,2,175,20,0,3,5,3,1,7,228,0,23
2020-04-05,0,19,84,4,6,0,1,0,39,11,0,1,0,2,33,0,13,15,0,27,4,43,2,198,2,233,24,1,3,7,3,1,7,259,0,26
2020-04-06,0,19,84,4,6,0,1,0,39,11,0,1,0,2,33,0,13,15,0,27,4,43,2,198,2,233,24,1,3,7,3,1,7,259,0,26
2020-04-07,0,21,90,4,8,0,1,2,40,12,0,1,0,2,39,0,16,18,0,29,4,44,2,209,2,243,26,1,3,8,3,1,7,271,0,25
2020-04-08,0,21,97,5,8,0,1,2,44,12,0,1,0,2,39,0,16,19,0,30,4,45,2,215,2,258,28,1,3,8,3,1,7,282,0,25
2020-04-09,0,21,109,5,10,0,1,3,50,12,0,1,0,3,44,0,16,20,0,33,4,49,2,235,5,302,29,1,4,11,3,1,7,311,0,29
2020-04-10,0,21,109,5,10,0,1,3,50,12,0,1,0,3,44,0,16,20,0,33,4,49,2,235,5,302,29,1,4,11,4,1,7,311,0,29
2020-04-11,0,21,116,6,10,0,1,3,51,12,0,1,0,4,44,0,17,24,0,34,4,49,2,246,5,317,29,1,4,11,3,1,7,320,0,28
2020-04-12,0,23,125,6,10,0,1,3,54,14,0,1,0,4,46,0,18,25,0,37,4,52,4,276,5,374,30,1,4,16,4,1,10,348,0,30
2020-04-13,0,23,132,6,12,1,1,3,54,16,0,1,0,4,47,0,19,25,0,41,4,52,4,280,5,398,30,1,4,16,4,1,10,360,0,30
2020-04-14,0,24,135,6,11,1,1,3,55,19,0,1,0,4,47,1,19,26,0,42,4,52,4,289,5,420,30,1,5,16,4,1,10,365,0,32
2020-04-15,0,25,142,6,14,1,1,3,55,20,0,1,0,4,47,1,19,26,0,44,4,53,4,294,5,430,30,1,5,17,4,1,10,364,0,32
2020-04-16,0,27,150,6,14,1,1,3,59,22,0,1,0,4,47,1,19,29,0,45,4,54,5,309,5,448,30,1,5,22,4,1,10,376,0,33
2020-04-17,0,27,153,6,14,1,1,3,61,22,0,1,0,4,48,1,19,29,0,46,4,57,5,317,5,467,31,1,6,23,4,1,10,383,0,35
2020-04-18,0,27,154,6,14,1,1,4,63,22,0,1,0,4,49,1,19,31,0,46,4,59,5,335,5,493,32,1,6,25,4,1,10,387,0,34
2020-04-19,0,27,161,6,14,1,1,4,64,22,0,1,0,4,49,1,19,30,0,48,4,59,5,358,5,514,32,1,6,26,4,1,10,399,0,34
2020-04-20,0,28,171,6,14,1,1,4,64,23,0,1,0,4,49,1,19,31,0,48,5,61,5,371,5,520,33,1,6,27,4,1,10,408,0,35
