Date,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Wahkiakum,Walla Walla,Whatcom,Whitman,Yakima
2020/3/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2020/3/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2020/3/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
2020/3/4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
2020/3/5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
2020/3/6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
2020/3/7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,71,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0
2020/3/8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,83,0,1,0,0,0,0,0,0,0,4,0,0,0,31,0,0,0,0,0,0,0,0
2020/3/9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,83,0,1,0,0,0,0,0,0,0,4,0,0,0,31,0,0,0,0,0,0,0,0
2020/3/10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,116,1,1,0,0,0,0,0,0,0,4,0,0,0,37,0,0,0,0,0,0,0,0
2020/3/11,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,190,2,1,0,0,0,0,0,0,0,14,0,1,0,68,0,0,1,0,0,1,0,0
2020/3/12,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,270,2,2,0,0,0,0,0,0,0,17,0,1,0,108,0,0,1,0,0,1,0,0
