"Date","Albany","Big Horn","Campbell","Carbon","Converse","Crook","Fremont","Goshen","Hot Springs","Johnson","Laramie","Lincoln","Natrona","Niobrara","Park","Platte","Sheridan","Sublette","Sweetwater","Teton","Uinta","Washakie","Weston"
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,8,0,0,0,3,0,0,0,1,0,4,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,8,0,0,0,4,0,0,0,1,0,4,0,0,1,0,0,0
2020-03-20,0,0,1,0,0,0,9,0,0,0,4,0,0,0,1,0,4,0,0,2,0,0,0
2020-03-21,0,0,1,1,0,0,9,0,0,0,4,0,1,0,1,0,4,0,0,2,0,0,0
2020-03-22,0,0,1,1,0,0,10,0,0,0,6,0,1,0,1,0,4,0,0,2,0,0,0
2020-03-23,0,0,1,1,0,0,10,0,0,0,6,0,1,0,1,0,4,0,0,2,0,0,0
2020-03-24,0,0,1,2,0,0,10,0,0,0,7,0,2,0,1,0,4,0,0,2,0,0,0
2020-03-25,1,0,1,3,0,0,13,0,0,0,11,0,4,0,1,0,4,0,1,5,0,0,0
2020-03-26,1,0,1,3,0,0,14,0,0,1,14,0,6,0,1,0,4,0,1,7,0,0,0
2020-03-27,1,0,1,3,0,0,17,1,0,4,17,0,8,0,1,0,5,0,1,10,0,1,0
2020-03-28,1,0,1,3,1,0,20,1,0,5,19,0,8,0,1,0,6,1,1,13,0,1,0
2020-03-29,1,0,1,3,1,0,23,1,0,5,19,0,8,0,1,0,6,1,1,14,0,1,0
2020-03-30,1,0,1,3,1,0,24,1,0,5,20,0,10,0,1,0,8,1,1,16,0,1,0
2020-03-31,1,0,2,3,1,0,25,1,0,7,22,0,12,0,1,0,10,1,2,20,0,1,0
2020-04-01,3,0,4,3,2,0,25,1,0,7,29,0,15,0,1,0,10,1,2,26,0,1,0
2020-04-02,3,0,6,3,2,0,26,1,0,8,36,0,19,0,1,0,10,1,3,29,1,1,0
2020-04-03,4,0,6,3,3,0,27,2,0,8,37,1,21,0,1,0,10,1,3,32,1,2,0
2020-04-04,4,0,7,4,3,0,36,2,0,8,42,1,23,0,1,0,11,1,4,36,2,2,0
2020-04-05,4,0,7,4,3,0,37,2,0,8,43,2,23,0,1,0,12,1,5,39,2,4,0
2020-04-06,4,0,9,4,4,1,38,3,0,8,44,4,25,0,1,0,12,1,5,40,3,4,0
2020-04-07,4,0,9,4,4,1,38,3,0,8,47,4,26,0,1,1,12,1,5,41,3,4,0
2020-04-08,4,0,9,4,4,1,38,3,0,8,48,4,26,0,1,0,12,1,6,44,3,5,0
2020-04-09,4,0,9,4,4,3,38,3,0,8,53,4,27,0,1,0,12,1,6,45,3,5,0
2020-04-10,4,0,9,4,4,3,38,3,0,9,54,4,27,1,1,0,12,1,6,50,4,5,0
2020-04-11,5,0,11,4,6,3,39,3,1,10,58,5,32,1,1,0,12,1,7,53,4,5,0
2020-04-12,5,1,11,4,8,3,40,3,1,11,58,5,33,1,1,0,12,1,7,56,4,5,0
2020-04-13,5,1,11,4,8,3,41,3,1,11,60,5,33,1,1,0,12,1,9,56,4,5,0
2020-04-14,5,1,13,4,8,3,42,3,1,11,62,5,34,1,1,0,12,1,9,57,4,5,0
2020-04-15,5,1,13,4,8,4,42,3,1,11,64,5,34,1,1,0,12,1,10,58,4,5,0
2020-04-16,5,1,13,4,8,4,43,3,1,11,67,5,37,1,1,0,12,1,10,59,4,6,0
2020-04-17,6,1,13,4,8,4,45,3,1,11,69,5,38,1,1,0,12,1,10,61,6,5,0
2020-04-18,6,1,13,4,8,4,47,3,1,11,70,5,38,1,1,0,12,1,10,62,6,5,0
2020-04-19,6,1,13,4,9,4,49,3,1,11,71,5,38,1,1,0,12,1,10,62,6,5,0
2020-04-20,6,1,13,4,9,4,51,3,1,11,73,5,38,1,1,0,12,1,10,62,6,5,0
2020-04-21,6,3,18,4,15,5,58,4,3,15,110,9,48,2,1,0,16,3,16,92,7,8,0
2020-04-22,6,2,18,4,16,5,57,4,3,15,114,9,48,2,1,0,16,3,16,93,7,8,0
2020-04-23,6,2,18,4,16,5,59,4,3,15,117,9,49,2,1,0,16,3,16,93,7,8,0
2020-04-24,6,2,20,4,16,5,72,4,3,15,120,9,49,2,1,0,16,3,16,95,7,8,0
2020-04-25,6,2,23,4,16,5,83,4,3,15,124,9,49,2,1,0,16,3,16,95,7,8,0
2020-04-26,6,2,23,6,16,5,91,4,3,15,125,9,49,2,1,0,16,3,16,95,7,8,0
2020-04-27,7,2,23,4,17,5,106,4,3,15,128,9,49,2,1,0,16,3,16,95,7,8,0
2020-04-28,8,2,23,4,21,5,109,4,3,15,134,9,49,2,1,0,16,3,16,96,8,8,0
2020-04-29,8,3,23,4,22,5,110,4,3,15,139,9,49,2,1,0,16,3,17,96,8,8,0
2020-04-30,8,3,24,4,22,5,116,4,3,15,145,9,49,2,1,0,16,3,18,96,8,8,0
2020-05-01,8,3,24,5,22,5,120,4,3,15,147,9,49,2,1,0,16,3,18,96,8,8,0
2020-05-02,8,3,24,5,23,5,128,4,3,15,151,9,48,2,1,0,16,3,18,97,8,8,0
2020-05-03,8,3,24,5,23,5,131,4,3,15,154,9,48,2,1,0,16,3,18,98,8,8,0
2020-05-04,8,3,24,5,23,5,137,4,3,15,158,9,48,2,1,0,16,3,18,98,8,8,0
2020-05-05,8,3,24,5,23,5,140,4,3,15,162,10,48,2,1,0,16,3,18,98,8,8,0
2020-05-06,8,3,25,5,23,5,164,4,3,15,163,10,48,2,1,0,16,3,19,98,8,8,0
2020-05-07,8,3,25,5,23,5,168,4,3,15,163,10,48,2,1,0,16,3,19,98,8,8,0
2020-05-08,8,3,25,5,23,5,175,5,3,15,163,10,48,2,1,0,16,3,19,98,9,8,0
2020-05-09,8,3,29,5,23,5,180,5,3,15,163,10,48,2,1,0,16,3,19,98,9,8,0
2020-05-10,8,3,29,5,23,5,187,5,3,15,164,11,48,2,1,0,16,3,19,98,9,8,0
2020-05-11,8,3,29,5,23,5,191,5,3,15,166,11,48,2,1,0,16,3,20,98,9,8,0
2020-05-12,8,3,30,5,23,5,193,5,3,15,170,11,47,2,1,0,16,3,20,98,9,8,0
2020-05-13,8,3,29,5,23,5,202,5,3,15,173,11,48,2,1,0,16,3,20,99,9,8,0
2020-05-14,8,3,29,7,23,5,208,5,3,15,173,14,49,2,1,0,16,3,21,99,9,8,0
2020-05-15,8,3,29,8,23,5,214,5,3,15,178,14,50,2,1,0,16,3,22,99,9,9,0
2020-05-16,9,3,29,14,23,5,220,5,6,15,181,14,53,2,1,0,16,3,23,100,10,9,0
2020-05-17,9,3,29,14,23,5,223,5,6,15,181,14,56,2,1,0,16,3,23,100,10,16,0
2020-05-18,10,3,29,14,23,5,224,5,7,16,181,14,62,2,1,0,16,3,23,100,12,16,0
2020-05-19,10,3,29,15,24,5,228,5,7,16,183,14,64,2,1,0,16,3,24,100,11,16,0
2020-05-20,10,3,30,16,24,5,233,5,8,16,182,14,66,2,2,0,16,3,25,100,11,16,0
2020-05-21,10,3,30,16,24,5,237,5,9,16,182,15,67,2,2,1,16,3,25,100,13,20,0
2020-05-22,10,3,30,16,24,5,238,5,9,16,182,15,68,2,2,1,16,3,25,100,13,20,0
