"","Autauga","Baldwin","Barbour","Bibb","Blount","Bullock","Butler","Calhoun","Chambers","Cherokee","Chilton","Choctaw","Clarke","Clay","Cleburne","Coffee","Colbert","Conecuh","Coosa","Covington","Crenshaw","Cullman","Dale","Dallas","DeKalb","Elmore","Escambia","Etowah","Fayette","Franklin","Geneva","Greene","Hale","Henry","Houston","Jackson","Jefferson","Lamar","Lauderdale","Lawrence","Lee","Limestone","Lowndes","Macon","Madison","Marengo","Marion","Marshall","Mobile","Monroe","Montgomery","Morgan","Perry","Pickens","Pike","Randolph","Russell","Shelby","St. Clair","Sumter","Talladega","Tallapoosa","Tuscaloosa","Walker","Washington","Wilcox","Winston"
"Autauga",0,209.387,145.015,88.853,191.179,138.421,197.606,71.853,122.903,333.671,182.858,197.606,221.7,158.802,232.513,156.87,143.125,147.078,232.476,168.27,111.245,207.683,160.962,176.047,274.614,19.237,200.82,220.166,211.135,80.028,202.57,172.178,137.881,184.469,233.504,212.344,154.724,181.139,315.027,278.596,147.971,283.782,63.138,204.759,275.143,158.77,107.95,244.03,293.913,191.55,27.101,127.44,107.95,198.992,106.187,71.642,303.823,77.084,191.376,157.054,141.669,100.524,145.342,192.347,26.091,147.033,232.005
"Baldwin",209.322,0,345.365,163.009,60.877,338.771,322.854,272.203,130.005,125.084,322.718,322.854,97.771,77.323,198.144,357.22,343.475,347.428,103.749,368.62,311.595,7.867,361.312,65.319,146.396,219.584,401.17,92.314,131.36,280.378,402.92,217.647,222.705,384.819,40.855,352.204,274.944,233.194,106.44,154.534,348.321,83.979,263.488,170.39,75.34,298.63,199.664,83.222,494.263,391.9,227.451,112.196,199.664,224.416,306.537,173.405,473.47,150.645,87.375,120.133,168.502,219.102,170.766,68.499,226.441,347.383,51.601
"Barbour",145.608,345.925,0,236.814,327.717,95.664,304.282,169.623,293.652,470.209,278.585,304.282,358.238,295.34,241.433,77.679,61.226,191.579,295.097,144.469,99.176,344.221,61.53,312.585,411.152,144.333,219.625,356.704,389.602,96.908,123.379,316.167,281.87,51.439,370.042,306.737,294.827,209.48,451.565,323.596,89.943,420.32,160.908,279.134,411.681,261.438,250.801,380.568,338.414,236.051,120.49,263.978,250.801,388.063,61.052,225.73,348.324,213.622,327.914,293.592,241.338,145.031,334.413,328.885,124.041,191.534,368.543
"Bibb",90.589,162.554,233.612,0,142.75,221.43,170.394,142.776,36.384,286.838,164.877,170.394,174.867,120.582,197.586,238.068,231.722,206.895,194.256,228.087,194.254,160.85,242.16,125.889,236.394,108.931,260.637,181.946,124.616,168.625,283.768,91.301,61.882,265.667,186.671,194.363,117.129,232.636,268.194,240.376,229.169,236.949,125.249,169.832,228.31,140.789,41.823,205.81,300.714,187.396,115.698,63.304,41.823,112.473,187.385,29.132,267.518,63.558,153.156,56.115,124.715,157.359,58.823,145.514,114.688,206.85,185.172
"Blount",191.176,61.07,327.219,143.005,0,320.625,302.85,254.057,110.001,182.434,302.714,302.85,142.356,35.797,117.888,339.074,325.329,329.282,68.237,350.474,293.449,53.473,343.166,30.609,110.375,201.438,383.024,55.927,173.72,262.232,384.774,197.643,202.701,366.673,101.926,332.2,254.94,152.938,163.79,114.357,330.175,129.765,245.342,68.674,121.126,278.626,179.66,54.31,476.117,373.754,209.305,94.228,179.66,204.412,288.391,155.259,453.466,116.815,27.12,100.129,88.246,184.05,150.762,113.003,208.295,329.237,112.672
"Bullock",138.406,338.723,95.18,229.612,320.515,0,238.335,90.68,286.45,463.007,206.788,238.335,351.036,288.138,361.849,33.795,147.523,97.625,361.812,44.997,27.493,337.019,68.484,305.383,403.95,137.131,119.901,349.502,382.4,143.199,77.585,267.775,233.478,107.884,362.84,212.783,220.667,294.966,444.363,407.932,14.131,413.118,96.646,334.095,404.479,195.491,202.409,373.366,244.46,142.097,117.248,256.776,202.409,380.861,39.382,218.528,254.37,206.42,320.712,286.39,252.313,187.705,327.211,321.683,114.23,97.58,361.341
"Butler",199.667,322.829,308.06,170.356,303.025,236.951,0,184.186,203.341,373.996,82.023,0,250.916,280.857,357.861,267.579,335.289,183.093,354.531,224.59,209.775,321.125,297.257,286.164,396.669,219.944,194.451,342.221,225.229,272.192,298.753,112.242,108.138,320.764,290.756,99.794,69.57,392.911,362.479,400.651,247.915,397.224,177.242,330.107,388.585,42.843,134.498,366.085,179.633,141.792,219.265,223.579,134.498,147.355,244.111,191.514,128.389,290.433,313.431,215.028,328.219,316.698,162.298,249.599,216.247,191.881,288.704
"Calhoun",72.234,272.551,155.4,142.766,254.343,90.697,184.187,0,220.278,396.835,158.49,184.187,284.864,221.966,295.677,121.325,167.1,87.729,295.64,108.921,63.521,270.847,133.469,239.211,337.778,70.959,141.471,283.33,316.228,104.003,165.458,189.766,155.469,156.976,296.668,202.887,166.519,255.77,378.191,341.76,101.661,346.946,17.858,267.923,338.307,141.343,124.4,307.194,234.564,132.201,51.076,190.604,124.4,250.224,80.323,152.356,244.474,140.248,254.54,220.218,186.141,148.509,261.039,255.511,48.058,87.684,295.169
"Chambers",124.594,130.182,292.506,36.92,110.378,285.912,204.278,219.344,0,254.466,196.629,204.278,142.495,88.21,165.214,304.361,290.616,294.569,161.884,315.761,258.736,128.478,308.453,93.517,204.022,166.725,348.311,149.574,117.983,227.519,350.061,99.071,93.634,331.96,154.299,226.115,156.368,200.264,235.822,208.004,295.462,204.577,210.629,137.46,195.938,172.541,73.575,173.438,332.466,219.148,174.592,30.932,73.575,105.84,253.678,63.137,354.894,97.786,120.784,20.176,135.572,175.98,52.19,113.142,173.582,294.524,152.8
"Cherokee",333.897,125.377,469.94,287.584,182.652,463.346,380.737,396.778,254.58,0,447.293,380.737,128.416,201.898,322.719,481.795,468.05,472.003,225.524,493.195,436.17,132.454,485.887,189.894,244.021,344.159,525.745,214.089,147.187,404.953,527.495,263.883,269.9,509.394,119.665,476.779,360.286,357.769,39.83,281.439,472.896,116.761,388.063,294.965,122.222,361.193,324.239,204.997,618.838,516.475,352.026,236.771,324.239,218.343,431.112,297.98,494.935,275.22,209.15,244.708,293.077,343.677,209.352,158.162,351.016,471.958,98.552
