"","Autauga","Baldwin","Barbour","Bibb","Blount","Bullock","Butler","Calhoun","Chambers","Cherokee","Chilton","Choctaw","Clarke","Clay","Cleburne","Coffee","Colbert","Conecuh","Coosa","Covington","Crenshaw","Cullman","Dale","Dallas","DeKalb","Elmore","Escambia","Etowah","Fayette","Franklin","Geneva","Greene","Hale","Henry","Houston","Jackson","Jefferson","Lamar","Lauderdale","Lawrence","Lee","Limestone","Lowndes","Macon","Madison","Marengo","Marion","Marshall","Mobile","Monroe","Montgomery","Morgan","Perry","Pickens","Pike","Randolph","Russell","Shelby","St. Clair","Sumter","Talladega","Tallapoosa","Tuscaloosa","Walker","Washington","Wilcox","Winston"
"Autauga",0,117.117,104.85,64.483,119.417,98.917,150.533,47.883,89,202.7,141.75,150.533,126.15,93.45,129.167,114.05,101.367,81.8,135.583,102.967,78.05,116.717,118.683,110.183,148.733,23.217,111.85,122.683,155.733,50.683,150.483,130.517,103.4,138.4,144.7,162.617,115.233,148.45,194.067,164.833,108.267,153.55,46.583,117.85,151.4,124.867,79.533,142.783,154.8,113.417,23.867,73.5,79.533,142.917,78.833,53.45,170.283,51.733,105.917,96.083,104.7,89.8,102.667,107.6,23.5,85.133,141.133
"Baldwin",113.917,0,201.583,99.35,57.633,195.633,176.933,144.6,70.95,90.25,208.667,176.933,73.517,59.9,106.567,210.767,198.083,178.517,96.867,199.683,174.767,9.217,215.4,47.083,108.55,121.3,208.583,82.633,99.25,147.4,247.2,115.667,131.733,235.117,31.333,229.533,163.117,134.717,81.617,125.867,204.983,46.783,143.3,95.25,44.65,191.783,123.017,75,251.517,210.15,120.583,61.2,123.017,130.917,175.55,101.75,259.767,88.1,79.883,69.9,93.733,144.517,90.667,52.433,120.217,181.85,40
"Barbour",106.033,204.567,0,166.167,206.883,77.6,235.133,115.517,177.9,290.167,220.8,235.133,213.617,180.917,182.467,66.2,51.2,144.583,226.183,115.85,81.283,204.183,52.617,197.633,236.183,105.267,170.267,210.15,240.083,78.25,102.633,225.417,198.3,42.9,232.15,226.75,211.3,160.683,281.533,248.033,71.867,241.017,114.217,207.167,238.867,205.1,178,230.25,217.583,176.2,87.083,160.95,178,237.867,52.4,150.833,233.067,139.2,193.383,183.533,179.467,110.517,197.617,195.067,91.067,147.917,228.583
"Bibb",63.783,97.467,162.583,0,103.683,156.767,128.583,105.617,31.333,183.05,119.733,128.583,106.5,80.45,116.45,171.633,159.083,140.95,122.567,162.117,135.9,97.067,176.267,92.7,135.717,81.283,171.017,109.683,98.05,108.417,208.067,72.15,49.033,195.983,125.05,140.6,92.15,144.6,174.417,151.817,165.85,133.9,92.85,105.133,131.767,102.85,34.083,129.783,211.8,136.967,81.583,44.967,34.083,85.25,136.417,23.117,194.567,58.017,92.9,49.917,108.467,118.717,45,87.95,81.217,144.283,121.483
"Blount",118,59.533,205.667,106.967,0,199.717,184.567,148.7,78.567,143,216.283,184.567,94.567,27.417,83.183,214.867,202.167,182.617,53.667,203.767,178.85,51.65,219.5,24.35,66.817,125.4,212.667,40.783,121.033,151.5,251.283,123.283,139.35,239.2,90.867,237.15,170.733,111.333,134.367,82.933,209.067,94.6,147.4,60.2,92.467,199.4,130.65,48.683,255.6,214.233,124.683,64.8,130.65,138.533,179.633,105.85,267.383,95.133,23.283,77.517,70.35,136.133,98.3,76.017,124.3,185.933,99.533
"Bullock",98.917,197.45,74.3,159.05,199.767,0,177.083,73.683,170.783,283.05,148.783,177.083,206.5,173.8,209.5,30.833,115,67.367,215.917,40.983,22.417,197.067,60,190.517,229.067,98.15,94.75,203.033,232.967,98.433,62.367,199.717,172.6,82.817,225.033,149.533,163.817,200.9,274.417,245.167,13.65,233.9,75.05,198.183,231.75,147.033,152.3,223.133,140.367,98.983,83.85,153.833,152.3,230.75,33.283,143.717,155.85,132.083,186.267,176.417,186.05,135.2,190.5,187.95,82.617,70.7,221.467
"Butler",150.267,177.35,234.333,128.35,183.55,178.5,0,132.683,117.183,245.75,61.417,0,164.9,160.317,196.333,205.65,232.617,133.35,202.45,163.933,157.633,176.95,223.15,172.583,215.6,168.033,140.6,189.55,143.167,181.933,220.15,70.783,79.533,242.85,202.95,74.45,51.633,224.483,254.367,231.7,188.483,213.783,125.017,185.017,211.633,30.267,98.967,209.667,132.417,105.417,155.117,124.85,98.967,104.9,184.467,140.583,94.65,167.667,172.783,134.95,183.5,218.717,94.833,165.6,153.883,140.1,192.133
"Calhoun",48.683,147.217,114.383,105,149.533,73.317,132.25,0,120.55,232.817,117.933,132.25,156.267,123.567,159.267,100.45,111.117,50.05,165.683,71.2,52.433,146.833,109.033,140.283,178.833,47.917,80.1,152.8,182.733,60.433,130.433,140.55,113.433,128.75,174.8,132.217,118.983,162.9,224.183,194.933,83.283,183.667,14.25,147.95,181.517,102.217,93.133,172.9,123.033,81.667,33.617,103.6,93.133,187.15,70.367,93.483,138.517,81.85,136.033,126.183,135.817,97.217,140.267,137.717,32.383,53.367,171.233
"Chambers",91.65,72.933,176.733,33.717,79.15,170.783,120.1,119.75,0,158.517,143.033,120.1,81.967,55.917,91.917,185.917,173.233,153.667,98.033,174.833,149.917,72.533,190.567,68.167,111.183,96.45,183.733,85.15,86.883,122.55,222.35,58.833,72.333,210.267,100.517,163.9,106.283,120.067,149.9,127.283,180.133,109.367,118.45,80.6,107.233,126.15,57.383,105.25,235.1,160.267,95.733,20.433,57.383,74.083,150.7,50.983,202.917,63.267,68.383,20.617,79.083,121.833,33.833,63.417,95.367,157,96.95
"Cherokee",199.867,91.617,287.533,185.317,141.767,281.6,246.75,230.567,156.9,0,294.633,246.75,106.7,145.85,192.533,296.733,284.05,264.483,181,285.65,260.733,95.7,301.367,133.05,173.633,207.267,294.533,166.75,125.75,233.367,333.167,200.567,219.967,321.067,93.583,315.5,242.35,220.683,37.017,204.2,290.933,93.033,229.267,181.217,92.117,276.75,208.983,159.133,337.483,296.1,206.55,147.15,208.983,173.65,261.517,187.717,312.8,174.067,164,155.85,179.7,230.467,173.083,122.467,206.183,267.817,86.483
"Chilton",140.7,208.383,219.3,118.767,214.583,151.033,61.85,117.65,142.25,293.967,0,61.85,206.767,191.35,227.367,178.167,217.583,89.65,233.483,129.317,142.6,207.983,208.117,203.617,246.633,154.4,96.917,220.583,184.483,166.917,185.533,103.383,87.583,227.833,235.967,38.6,61.35,255.517,285.333,262.733,161,244.817,109.983,216.05,242.667,31.817,89.1,240.7,109.8,61.733,140.083,155.883,89.1,150,169.45,130.717,92.55,171.217,203.817,160.833,214.533,203.683,136.7,198.867,138.867,98.833,234
