"","Aleutians East","Aleutians West","Anchorage","Bethel","Bristol Bay","Denali","Dillingham","Fairbanks North Star","Haines","Hoonah-Angoon","Juneau","Kenai Peninsula","Ketchikan Gateway","Kodiak Island","Kusilvak","Lake and Peninsula","Matanuska-Susitna","Nome","North Slope","Northwest Arctic","Petersburg","Prince of Wales-Hyder","Sitka","Skagway","Southeast Fairbanks","Valdez-Cordova","Wrangell","Yakutat","Yukon-Koyukuk"
"Aleutians East",0,-1,1424.812,-1,-1,-1,-1,1997.739,2638.299,2856.904,2786.317,1345.281,3219.291,-1,-1,-1,1489.907,-1,-1,-1,3004.038,3334.196,3023.541,2669.676,1956.863,1509.173,3081.321,1994.567,-1
"Aleutians West",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Anchorage",1423.502,-1,0,-1,-1,-1,-1,576.358,1216.918,1435.523,1364.936,211.445,1797.91,-1,-1,-1,68.526,-1,-1,-1,1582.657,1912.815,1602.16,1248.295,535.482,242.317,1659.94,727.711,-1
"Bethel",-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Bristol Bay",-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Denali",-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Dillingham",-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Fairbanks North Star",1995.796,-1,575.57,-1,-1,-1,-1,0,1031.345,1249.95,1179.363,783.739,1612.337,-1,-1,-1,526.734,-1,-1,-1,1397.084,1727.242,1416.587,1062.722,153.457,585.758,1474.367,1300.005,-1
"Haines",2637.327,-1,1217.101,-1,-1,-1,-1,1031.759,0,218.621,148.034,1425.27,581.008,-1,-1,-1,1148.333,-1,-1,-1,365.755,695.913,385.258,31.393,877.901,1113.763,443.038,557.751,-1
"Hoonah-Angoon",2855.954,-1,1435.728,-1,-1,-1,-1,1250.386,218.621,0,110.907,1643.897,543.881,-1,-1,-1,1366.96,-1,-1,-1,328.628,658.786,348.131,236.948,1096.528,1332.39,405.911,520.624,-1
"Juneau",2785.411,-1,1365.185,-1,-1,-1,-1,1179.843,148.078,110.951,0,1573.354,473.338,-1,-1,-1,1296.417,-1,-1,-1,258.085,588.243,277.588,166.405,1025.985,1261.847,335.368,450.081,-1
"Kenai Peninsula",1345.297,-1,211.599,-1,-1,-1,-1,784.526,1425.086,1643.691,1573.104,0,2006.078,-1,-1,-1,276.694,-1,-1,-1,1790.825,2120.983,1810.328,1456.463,743.65,295.96,1868.108,781.354,-1
"Ketchikan Gateway",3218.323,-1,1798.097,-1,-1,-1,-1,1612.755,580.99,543.863,473.276,2006.266,0,-1,-1,-1,1729.329,-1,-1,-1,245.198,122.591,565.095,599.317,1458.897,1694.759,169.501,882.993,-1
"Kodiak Island",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Kusilvak",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Lake and Peninsula",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Matanuska-Susitna",1489.016,-1,68.79,-1,-1,-1,-1,527.639,1148.399,1367.004,1296.417,276.959,1729.391,-1,-1,-1,0,-1,-1,-1,1514.138,1844.296,1533.641,1179.776,466.963,413.745,1591.421,793.225,-1
"Nome",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"North Slope",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Northwest Arctic",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Petersburg",3003.088,-1,1582.862,-1,-1,-1,-1,1397.52,365.755,328.628,258.041,1791.031,245.216,-1,-1,-1,1514.094,-1,-1,-1,0,360.121,322.397,384.082,1243.662,1479.524,79.783,667.758,-1
"Prince of Wales-Hyder",3333.222,-1,1912.996,-1,-1,-1,-1,1727.654,695.889,658.762,588.175,2121.165,122.585,-1,-1,-1,1844.228,-1,-1,-1,360.097,0,679.994,714.216,1573.796,1809.658,284.4,997.892,-1
"Sitka",3022.606,-1,1602.38,-1,-1,-1,-1,1417.038,385.273,348.146,277.559,1810.549,565.128,-1,-1,-1,1533.612,-1,-1,-1,322.412,680.033,0,403.6,1263.18,1499.042,399.695,687.276,-1
"Skagway",2668.704,-1,1248.478,-1,-1,-1,-1,1063.136,31.371,236.926,166.339,1456.647,599.313,-1,-1,-1,1179.71,-1,-1,-1,384.06,714.218,403.563,0,909.278,1145.14,461.343,576.056,-1
"Southeast Fairbanks",1955.865,-1,535.639,-1,-1,-1,-1,153.858,877.888,1096.493,1025.906,743.808,1458.88,-1,-1,-1,466.871,-1,-1,-1,1243.627,1573.785,1263.13,909.265,0,432.301,1320.91,1260.074,-1
"Valdez-Cordova",1508.023,-1,242.437,-1,-1,-1,-1,586.184,1113.762,1332.367,1261.78,295.966,1694.754,-1,-1,-1,413.765,-1,-1,-1,1479.501,1809.659,1499.004,1145.139,432.326,0,1556.784,776.182,-1
"Wrangell",3080.371,-1,1660.145,-1,-1,-1,-1,1474.803,443.038,405.911,335.324,1868.314,169.519,-1,-1,-1,1591.377,-1,-1,-1,79.783,284.424,399.68,461.365,1320.945,1556.807,0,745.041,-1
"Yakutat",1993.417,-1,727.831,-1,-1,-1,-1,1300.758,557.751,520.624,450.037,781.36,883.011,-1,-1,-1,792.926,-1,-1,-1,667.758,997.916,687.261,576.078,1259.882,776.182,745.041,0,-1
"Yukon-Koyukuk",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
