"","Aleutians East","Aleutians West","Anchorage","Bethel","Bristol Bay","Denali","Dillingham","Fairbanks North Star","Haines","Hoonah-Angoon","Juneau","Kenai Peninsula","Ketchikan Gateway","Kodiak Island","Kusilvak","Lake and Peninsula","Matanuska-Susitna","Nome","North Slope","Northwest Arctic","Petersburg","Prince of Wales-Hyder","Sitka","Skagway","Southeast Fairbanks","Valdez-Cordova","Wrangell","Yakutat","Yukon-Koyukuk"
"Aleutians East",0,-1,1581.767,-1,-1,-1,-1,1922.483,2355.633,2647.817,2542.833,1534.983,3085.85,-1,-1,-1,1617.983,-1,-1,-1,2825.733,3220.05,2848.1,2409.117,1907.483,1735.383,2934.55,2316.933,-1
"Aleutians West",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Anchorage",1581.183,-1,0,-1,-1,-1,-1,348.8,781.95,1074.15,969.167,145.833,1512.167,-1,-1,-1,44.3,-1,-1,-1,1252.05,1646.367,1274.433,835.433,333.8,268.45,1360.867,850,-1
"Bethel",-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Bristol Bay",-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Denali",-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Dillingham",-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Fairbanks North Star",1922.917,-1,347.883,-1,-1,-1,-1,0,647.2,939.383,834.4,487.567,1377.4,-1,-1,-1,321.717,-1,-1,-1,1117.3,1511.6,1139.667,700.683,93.25,367.817,1226.117,1191.733,-1
"Haines",2358.867,-1,783.833,-1,-1,-1,-1,648.317,0,292.483,187.5,923.5,730.5,-1,-1,-1,739.683,-1,-1,-1,470.4,864.7,492.767,53.783,553.867,724.517,579.217,698.983,-1
"Hoonah-Angoon",2651.483,-1,1076.433,-1,-1,-1,-1,940.933,293.15,0,144.217,1216.117,687.433,-1,-1,-1,1032.3,-1,-1,-1,427.317,821.633,449.7,331.917,846.467,1017.133,536.133,655.917,-1
