"","Apache","Cochise","Coconino","Gila","Graham","Greenlee","La Paz","Maricopa","Mohave","Navajo","Pima","Pinal","Santa Cruz","Yavapai","Yuma"
"Apache",0,160.001,796.112,314.889,195.722,199.934,691.614,392.865,744.332,550.939,203.439,310.897,425.505,590.808,631.878
"Cochise",160.01,0,674.877,221.702,102.535,164.207,570.379,271.63,623.097,497.425,110.252,217.71,304.27,469.573,510.643
"Coconino",794.19,671.883,0,414.391,538.282,610.303,431.734,419.243,276.304,346.368,525.839,419.072,393.708,202.902,644.235
"Gila",314.055,221.888,412.487,0,123.891,195.912,400.788,166.537,453.506,281.461,111.448,4.681,170.141,299.982,424.417
"Graham",194.889,102.722,536.379,123.892,0,76.746,524.68,290.429,577.398,399.615,12.442,119.9,294.033,423.874,594.521
"Greenlee",199.296,164.116,608.314,195.827,76.66,0,596.615,362.364,649.333,347.221,84.377,191.835,365.968,495.809,655.915
"La Paz",678.453,556.146,431.732,389.18,513.071,585.092,0,303.506,156.604,601.148,500.628,393.861,265.06,245.93,193.221
"Maricopa",392.839,270.532,418.966,163.704,287.595,359.616,314.468,0,367.186,394.13,275.152,168.385,42.449,213.662,273.993
"Mohave",742.785,620.478,276.237,453.512,577.403,649.424,156.825,367.838,0,445.653,564.96,458.193,329.392,238.678,350.046
"Navajo",549.872,497.9,346.216,281.652,399.903,347.1,601.303,397.002,445.873,0,387.46,280.693,400.606,359.167,658.479
"Pima",202.606,110.439,523.936,111.449,12.442,84.463,512.237,277.986,564.955,387.172,0,107.457,281.59,411.431,535.866
"Pinal",310.064,217.897,417.169,4.682,119.9,191.921,405.47,171.219,458.188,280.405,107.457,0,174.823,304.664,429.099
"Santa Cruz",425.145,302.838,395.576,167.207,291.098,363.119,276.869,42.304,329.587,399.792,278.655,171.888,0,190.272,315.45
"Yavapai",591.059,468.752,202.695,301.661,425.552,497.573,245.711,216.112,238.94,359.852,413.109,306.342,190.577,0,353.197
"Yuma",631.127,508.82,645.861,434.733,594.121,655.793,193.165,273.55,349.769,657.382,546.181,439.414,315.16,353.221,0
