"","Apache","Cochise","Coconino","Gila","Graham","Greenlee","La Paz","Maricopa","Mohave","Navajo","Pima","Pinal","Santa Cruz","Yavapai","Yuma"
"Apache",0,99.167,457.25,196.45,120.167,129.767,383.667,238.467,426.6,359.267,126.75,192.667,254.733,343.683,341.8
"Cochise",98.767,0,368,142.017,65.733,105.017,294.417,149.217,337.35,313.267,72.317,138.217,165.483,254.433,252.55
"Coconino",456.317,366.783,0,295.983,377.417,425.183,260.367,244.933,166.683,202.267,364.233,300.933,239.4,147.683,355.767
"Gila",197.717,141,293.017,0,82.883,130.667,227.133,106.983,270.067,179.617,69.717,6.417,115.283,187.15,239.917
"Graham",121.933,65.217,374.817,82.1,0,54.867,308.933,188.8,351.867,253.35,12.417,78.317,197.1,268.967,305.617
"Greenlee",130.433,102.983,421.45,128.733,52.45,0,355.567,235.417,398.5,272.383,59.033,124.95,243.733,315.583,343.383
"La Paz",385.1,295.567,262.55,228.533,309.967,357.733,0,173.717,97.817,321.95,296.8,233.5,160.067,167.183,118.7
"Maricopa",237.783,148.25,248.15,108.8,190.233,238,174.567,0,217.517,246.617,177.067,113.767,37.15,134.6,141.133
"Mohave",423.583,334.05,167.883,267.017,348.45,396.217,98.883,212.2,0,227.283,335.267,271.967,198.55,139.733,217.733
"Navajo",359.65,314.1,203.183,180.467,256,274.467,322.15,244.933,228.467,0,242.817,179.517,253.233,197.05,375.017
"Pima",128,71.267,362.4,69.683,13.167,60.933,296.517,176.367,339.45,240.933,0,65.9,184.683,256.55,309.3
"Pinal",193.233,136.517,299.6,6.883,78.4,126.183,233.717,113.583,276.65,178.133,65.233,0,121.883,193.75,246.5
"Santa Cruz",254.35,164.817,240.767,116.967,198.4,246.167,159.367,36.183,202.3,253.667,185.217,121.917,0,127.2,174.45
"Yavapai",342.45,252.917,147.4,185.4,266.833,314.6,167.6,131.067,140,196.867,253.65,190.35,125.533,0,228.45
"Yuma",343.067,253.533,361.2,243.05,308.5,347.783,120.733,142.467,218.2,379.583,311.3,248,177.017,228.117,0
