"","Arkansas","Ashley","Baxter","Benton","Boone","Bradley","Calhoun","Carroll","Chicot","Clark","Clay","Cleburne","Cleveland","Columbia","Conway","Craighead","Crawford","Crittenden","Cross","Dallas","Desha","Drew","Faulkner","Franklin","Fulton","Garland","Grant","Greene","Hempstead","Hot Spring","Howard","Independence","Izard","Jackson","Jefferson","Johnson","Lafayette","Lawrence","Lee","Lincoln","Little River","Logan","Lonoke","Madison","Marion","Miller","Mississippi","Monroe","Montgomery","Nevada","Newton","Ouachita","Perry","Phillips","Pike","Poinsett","Polk","Pope","Prairie","Pulaski","Randolph","Saline","Scott","Searcy","Sebastian","Sevier","Sharp","St. Francis","Stone","Union","Van Buren","Washington","White","Woodruff","Yell"
"Arkansas",0,228.198,104.803,160.635,329.845,314.158,111.706,203.669,137.271,249.548,305.732,66.613,232.998,276.793,173.431,204.149,274.973,170.771,434.615,174.541,220.236,107.944,312.137,280.674,320.32,298.276,301.686,249.548,300.882,208.287,195.273,366.299,268.192,348.763,195.421,436.745,204.884,236.339,303.222,435.779,398.679,302.332,106.432,125.746,168.165,106.442,169.753,240.207,221.154,277.099,174.578,324.165,220.878,215.259,292.504,188.069,333.88,246.383,256.903,119.272,54.828,121.265,106.535,151.579,378.315,351.962,234.778,368.539,245.647,141.057,367.878,312.264,184.583,152.78,458.635
"Ashley",228.384,0,330.619,196.165,293.563,407.042,124.034,305.383,172.801,127.246,341.262,194.527,142.345,103.397,160.51,102.024,259.832,171.399,264.539,299.63,17.454,299.338,347.667,66.523,355.85,391.16,265.404,127.246,336.412,243.817,158.991,132.685,52.708,203.538,47.082,400.463,322.26,82.177,266.94,399.497,434.209,266.05,137.945,163.647,203.573,255.985,197.802,211.471,256.684,312.629,119.718,359.695,184.596,113.134,328.034,104.34,212.024,210.101,128.904,158.938,295.514,299.121,162.191,81.497,342.033,387.492,10.755,191.485,70.313,104.347,331.596,347.794,377.324,83.723,336.631
"Baxter",104.858,330.317,0,203.992,376.939,259.12,215.872,154.328,180.628,416.339,272.278,170.635,280.092,412.037,220.525,378.564,318.33,274.793,481.709,100.408,322.355,31.449,286.962,382.793,248.456,239.052,348.78,416.339,222.164,251.644,242.367,413.393,370.311,395.857,325.952,483.839,145.66,366.87,350.316,482.873,326.815,349.426,211.678,229.768,272.187,81.373,273.775,344.229,197.281,206.931,237.109,330.027,267.972,389.674,247.083,292.091,380.974,293.477,360.925,194.113,52.262,44.77,187.082,251.615,425.409,312.319,336.897,480.578,337.644,229.175,414.972,240.4,104.543,288.514,505.729
"Benton",159.911,196.247,204.013,0,185.991,213.253,137.538,131.004,25.564,282.269,147.473,187.648,136.225,277.967,76.658,244.494,116.714,226.819,337.842,124.791,188.285,172.732,153.878,248.723,162.061,197.371,204.913,282.269,142.623,50.028,98.5,269.526,236.241,251.99,191.882,339.972,143.679,232.8,206.449,339.006,240.42,205.559,77.944,190.979,239.114,129.379,240.712,308.702,62.895,118.84,103.007,165.906,74.736,255.604,134.245,222.972,237.107,149.61,271.374,60.379,168.908,172.515,53.348,117.545,281.542,193.703,202.827,346.508,193.777,95.105,271.105,154.005,250.718,154.444,361.862
"Boone",329.382,293.731,377.22,185.9,0,326.54,296.309,266.569,216.576,403.232,194.592,346.419,142.443,398.93,157.096,365.457,82.205,385.59,197.141,346.231,277.025,345.939,162.988,307.177,257.652,295.517,62.42,403.232,255.91,155.314,134.697,283.964,286.027,189.272,312.845,159.67,284.024,353.763,64.519,147.577,207.868,58.8,236.715,349.75,397.885,302.586,399.483,467.473,199.482,231.976,185.521,103.809,111.257,376.567,190.218,343.935,180.399,88.585,392.337,219.15,342.115,345.722,222.819,238.508,61.528,174.405,300.311,467.471,245.104,216.068,69.132,240.078,423.925,275.407,181.56
"Bradley",314.135,407.187,253.755,212.259,334.163,0,348.478,133.21,236.504,493.209,157.155,398.588,347.165,488.907,287.598,455.434,263.162,437.759,548.782,162.261,399.225,222.474,179.692,459.663,89.391,44.55,415.853,493.209,68.328,198.177,309.44,480.466,447.181,462.93,402.822,550.912,112.65,443.74,417.389,549.946,151.893,416.499,288.884,401.919,450.054,212.493,451.652,519.642,157.642,93.877,313.947,244.2,278.297,466.544,134.206,433.912,448.047,360.55,482.314,271.319,268.215,209.032,264.288,328.485,369.438,158.966,413.767,557.448,404.717,306.045,374.616,84.385,193.033,365.384,572.802
"Calhoun",111.739,123.906,215.856,138.009,295.992,348.886,0,247.265,114.645,167.165,283.106,80.561,199.145,191.754,106.323,132.529,262.261,117.408,326.05,241.512,115.944,194.627,289.511,176.382,297.694,333.004,267.833,167.165,278.256,185.661,161.42,243.877,163.9,314.91,105.669,402.892,264.142,146.587,269.369,401.926,376.053,268.479,64.146,81.568,129.703,154.308,131.301,199.291,198.528,254.473,89.231,301.539,187.025,143.639,269.878,110.965,300.027,212.53,159.409,77.922,165.881,203.368,100.766,58.072,344.462,329.336,130.486,231.403,152.14,54.319,334.025,289.638,272.613,41.073,424.782
"Carroll",203.788,305.808,154.288,130.175,266.555,133.146,246.763,0,154.42,391.83,150.298,240.543,265.081,387.528,205.514,354.055,195.554,336.044,466.698,64.005,297.846,123.007,164.982,358.284,125.775,117.264,333.769,391.83,98.67,116.094,227.356,398.382,345.802,380.846,301.443,468.828,24.896,342.361,335.305,467.862,204.134,334.415,187.169,300.204,348.339,102.146,349.937,417.927,75.559,74.668,231.863,191.752,196.213,365.165,125.103,332.533,365.963,278.466,380.935,169.604,157.868,109.565,162.573,227.106,299.404,180.056,312.388,456.069,322.633,204.666,399.961,117.719,150.504,264.005,490.718
"Chicot",136.479,172.815,180.581,25.87,216.638,236.747,114.106,154.498,0,258.837,170.967,164.216,119.791,254.535,60.224,221.062,140.208,203.387,321.408,149.592,164.853,149.3,177.372,225.291,185.555,220.865,188.479,258.837,166.117,73.522,82.066,253.092,212.809,235.556,168.45,323.538,172.222,209.368,190.015,322.572,263.914,189.125,54.512,167.547,215.682,105.947,217.28,285.27,86.389,142.334,86.573,189.4,81.951,232.172,157.739,199.54,220.673,133.176,247.942,36.947,145.476,149.083,29.916,94.113,265.108,217.197,179.395,323.076,177.343,71.673,254.671,177.499,227.286,131.012,345.428
"Clark",250.5,127.046,416.887,282.433,403.215,493.31,167.525,391.651,259.069,0,427.53,202.258,306.368,74.311,246.778,34.232,369.484,106.159,359.086,385.898,154.016,385.606,433.935,146.046,442.118,477.428,375.056,0,422.68,330.085,268.643,221.531,151.636,316.171,108.617,510.115,408.528,60.813,376.592,509.149,520.477,375.702,224.213,172.526,127.051,342.253,121.28,81.514,342.952,398.897,224.808,445.963,294.248,30.308,414.302,62.974,326.168,319.753,45.465,245.206,381.782,385.389,248.459,167.765,451.685,473.76,134.545,64.238,182.902,190.615,441.248,434.062,463.592,149.318,532.005
"Clay",317.368,353.704,272.197,158.776,194.595,157.147,294.995,150.299,183.021,439.726,0,345.105,238.553,435.424,234.115,401.951,125.185,384.276,433.067,202.127,345.742,240.916,23.969,406.18,84.603,141.895,251.468,439.726,88.867,100.061,255.957,426.983,393.698,298.453,349.339,332.268,165.007,390.257,253.004,320.175,80.585,225.184,235.401,348.436,396.571,218.353,398.169,466.159,96.567,96.027,260.464,105.981,189.266,413.061,46.018,380.429,283.57,191.756,428.831,217.836,281.958,227.474,210.805,275.002,231.219,46.229,360.284,503.965,351.234,252.562,241.73,72.818,290.615,311.901,354.158
"Cleburne",67.494,193.791,170.651,191.654,349.637,402.531,79.992,240.486,168.29,201.314,336.751,0,252.79,239.322,193.223,166.678,315.906,133.475,454.407,219.052,185.829,173.792,343.156,246.267,351.339,386.649,321.478,201.314,331.901,239.306,215.065,313.762,233.785,368.555,157.95,456.537,241.701,198.868,323.014,455.571,429.698,322.124,117.791,87.836,145.77,148.945,147.368,215.358,252.173,308.118,176.349,355.184,240.67,177.788,323.523,145.114,353.672,266.175,193.558,131.567,120.676,187.113,123.379,138.065,398.107,382.981,187.9,265.552,236.181,145.768,387.67,343.283,250.431,111.432,478.427
"Cleveland",233.113,142.695,280.951,136.019,142.286,346.896,200.04,264.647,120.307,275.665,238.934,250.15,0,271.363,60.827,237.89,124.522,289.321,214.381,249.962,125.989,249.67,245.339,154.262,295.704,331.014,114.127,275.665,276.266,138.908,38.428,167.938,133.112,150.124,185.278,249.186,272.592,226.196,115.663,248.22,374.063,114.773,140.446,253.481,301.616,206.317,303.214,371.204,196.538,252.483,89.252,213.463,49.286,249,267.888,216.368,135.241,58.824,264.77,122.881,245.846,249.453,126.55,107.193,190.756,285.164,149.275,339.904,92.189,119.799,180.319,287.648,327.656,147.84,271.076
"Columbia",291.578,103.397,412.512,278.058,398.84,488.935,191.95,387.276,254.694,75.488,423.155,240.648,301.993,0,242.403,75.04,365.109,160.182,316.272,381.523,119.919,381.231,429.56,103.232,437.743,473.053,370.681,75.488,418.305,325.71,264.268,178.717,124.151,273.357,104.242,370.328,404.153,56.438,372.217,504.774,516.102,371.327,219.838,179.463,181.074,337.878,175.303,188.972,338.577,394.522,220.433,441.588,289.873,90.635,409.927,108.239,283.354,315.378,106.405,240.831,377.407,381.014,244.084,163.39,447.31,469.385,107.376,97.799,159.253,186.24,436.873,429.687,459.217,144.943,388.364
"Conway",173.115,160.906,220.953,76.021,159.285,286.898,106.291,204.649,60.309,246.928,221.118,190.152,62.438,242.626,0,209.153,125.554,229.323,264.055,189.964,124.753,189.672,227.523,213.382,235.706,271.016,131.126,246.928,216.268,123.673,24.713,194.457,159.631,178.203,156.541,266.185,212.594,197.459,132.662,265.219,314.065,131.772,80.448,193.483,241.618,146.319,243.216,311.206,136.54,192.485,29.217,214.495,50.318,220.263,207.89,187.631,163.32,75.823,236.033,62.883,185.848,189.455,66.552,82.204,207.755,267.348,167.486,311.167,118.708,59.764,197.318,227.65,267.658,119.103,288.075
"Craighead",218.198,103.103,380.281,245.827,366.609,456.704,132.535,355.045,222.463,34.123,390.924,167.268,269.762,73.545,210.172,0,332.878,87.7,349.697,349.292,117.41,349,397.329,136.657,405.512,440.822,338.45,34.123,386.074,293.479,232.037,212.142,142.247,301.948,72.011,473.509,371.922,51.424,339.986,472.543,483.871,339.096,187.607,105.348,108.592,305.647,102.821,116.49,306.346,362.291,188.202,409.357,257.642,12.803,377.696,34.124,310.434,283.147,33.923,208.6,271.38,348.783,211.853,131.159,415.079,437.154,97.939,98.361,168.723,154.009,404.642,397.456,426.986,109.141,495.399
"Crawford",274.657,259.854,318.759,116.065,82.205,255.743,262.432,195.772,140.31,369.355,125.364,312.542,124.506,365.053,123.219,331.58,0,351.713,259.211,227.73,243.148,287.478,131.769,273.228,186.855,239.861,126.282,369.355,185.113,84.641,100.82,265.427,252.078,173.267,278.968,261.341,213.227,319.886,127.818,260.375,205.95,99.998,202.838,315.873,364.008,244.125,365.606,433.596,136.661,161.179,151.644,88.94,75.219,342.69,119.421,310.058,158.384,66.57,358.46,185.273,283.654,287.261,168.094,204.631,143.734,171.594,266.434,433.594,211.155,182.191,151.338,169.281,338.835,241.53,283.231
"Crittenden",171.671,171.295,274.828,227.585,385.568,438.462,116.358,336.841,204.221,105.985,372.682,134.055,288.721,159.458,229.154,87.601,351.837,0,490.338,331.088,163.333,284.454,379.087,222.57,387.27,422.58,357.409,105.985,367.832,275.237,250.996,298.055,211.289,404.486,125.359,492.468,353.718,137.337,358.945,491.502,465.629,358.055,153.722,40.859,27.457,244.135,41.56,72.808,288.104,344.049,184.825,391.115,276.601,76.482,359.454,65.835,389.603,302.106,73.103,167.498,224.853,293.195,190.342,127.782,434.038,418.912,155.309,201.14,213.685,150.632,423.601,379.214,362.44,88.936,514.358
"Cross",434.47,264.413,482.308,337.376,197.191,548.253,325.548,466.004,321.664,359.362,433.367,451.507,213.866,315.806,262.184,349.641,259.195,397.337,0,451.319,247.707,451.027,401.763,218.75,497.061,532.371,173.629,359.362,477.623,309.161,239.785,146.566,213.42,96.654,301.415,94.127,473.949,314.293,167.86,140.728,446.643,175.525,341.803,454.838,502.973,407.674,504.571,438.608,397.895,453.84,246.958,335.95,250.713,365.236,378.617,344.553,127.356,192.602,381.006,324.238,447.203,450.81,327.907,269.014,204.035,413.18,270.993,442.661,193.716,273.507,193.598,489.005,529.013,309.661,117.551
"Dallas",182.271,299.958,100.321,124.754,346.58,163.184,240.913,64.032,150.269,385.98,202.128,219.026,249.733,381.678,190.166,348.205,228.246,330.194,451.35,0,291.996,69.04,216.812,352.434,156.706,147.302,318.421,385.98,130.414,147.127,212.008,383.034,339.952,365.498,295.593,453.48,53.91,336.511,319.957,452.514,235.065,319.067,181.319,294.354,342.489,83.837,344.087,412.077,127.131,115.181,206.75,243.582,237.613,359.315,166.1,326.683,350.615,263.118,375.085,163.754,121.82,55.598,156.723,221.256,395.05,220.569,306.538,450.219,307.285,198.816,384.613,148.65,120.042,258.155,475.37
"Desha",220.422,17.814,322.657,188.203,277.217,399.08,116.072,297.421,164.839,154.099,333.3,186.565,125.999,120.279,124.776,116.324,243.486,163.437,248.193,291.668,0,291.376,339.705,70.29,347.888,383.198,249.058,154.099,328.45,235.855,142.645,137.785,57.808,187.192,56.37,384.117,314.298,100.339,250.594,383.151,426.247,249.704,129.983,155.685,185.665,248.023,179.894,193.563,248.722,304.667,103.372,351.733,168.25,127.434,320.072,99.508,195.678,193.755,143.204,150.976,287.552,291.159,154.229,73.535,325.687,379.53,24.394,218.338,53.967,96.385,315.25,339.832,369.362,75.761,320.285
"Drew",107.82,299.1,31.291,172.775,345.722,227.903,193.556,123.111,149.411,385.122,241.061,173.597,248.875,380.82,189.308,347.347,287.113,283.039,450.492,69.191,291.138,0,255.745,351.576,217.239,207.835,317.563,385.122,190.947,220.427,211.15,382.176,339.094,364.64,294.735,452.622,114.443,335.653,319.099,451.656,295.598,318.209,180.461,247.199,295.334,50.156,296.932,364.922,166.064,175.714,205.892,298.81,236.755,358.457,215.866,325.825,349.757,262.26,374.227,162.896,52.805,13.553,155.865,220.398,394.192,281.102,305.68,449.361,306.427,197.958,383.755,209.183,79.105,257.297,474.512
"Faulkner",311.346,347.682,286.881,152.754,162.991,179.684,288.973,164.983,176.999,433.704,23.969,339.083,244.92,429.402,228.093,395.929,121.678,378.254,401.463,216.811,339.72,255.6,0,400.158,107.14,164.432,225.411,433.704,111.404,106.428,249.935,420.961,387.676,294.946,343.317,300.664,183.161,384.235,227.51,288.571,103.122,221.791,229.379,342.414,390.549,233.037,392.147,460.137,108.631,114.181,254.442,74.377,195.633,407.039,72.423,374.407,280.063,188.249,422.809,211.814,283.506,242.158,204.783,268.98,199.615,68.766,354.262,497.943,345.212,246.54,210.126,95.355,308.769,305.879,322.554
"Franklin",280.864,66.523,383.099,248.645,307.219,459.522,176.514,357.863,225.281,146.765,393.742,247.007,154.481,103.209,212.99,137.044,273.463,222.186,219.529,352.11,69.934,351.818,400.147,0,408.33,443.64,279.06,146.765,388.892,296.297,176.966,85.307,21.149,176.614,110.326,273.585,374.74,101.696,280.596,310.201,486.689,279.706,190.425,216.127,243.078,308.465,237.307,250.976,309.164,365.109,162.385,412.175,198.227,152.639,380.514,170.243,186.611,223.757,168.409,211.418,347.994,351.601,214.671,133.977,355.689,439.972,72.148,187.461,62.289,156.827,345.252,400.274,429.804,136.203,291.621
"Fulton",320.396,356.732,243.643,161.804,257.523,89.343,298.023,120.987,186.049,442.754,84.497,348.133,296.71,438.452,237.143,404.979,186.522,387.304,498.327,151.98,348.77,212.362,107.034,409.208,0,60.868,365.398,442.754,21.928,147.722,258.985,430.011,396.726,412.475,352.367,500.457,103.532,393.285,366.934,499.491,79.491,366.044,238.429,351.464,399.599,202.212,401.197,469.187,107.187,48.38,263.492,172.391,227.842,416.089,67.328,383.457,397.592,310.095,431.859,220.864,284.986,198.92,213.833,278.03,297.629,87.157,363.312,506.993,354.262,255.59,297.976,22.539,226.6,314.929,522.347
"Garland",298.213,391.265,238.002,196.337,295.09,44.496,332.556,117.288,220.582,477.287,141.42,382.666,331.243,472.985,271.676,439.512,247.24,421.837,532.86,146.339,383.303,206.721,163.957,443.741,60.625,0,399.931,477.287,52.406,182.255,293.518,464.544,431.259,447.008,386.9,432.763,96.728,427.818,401.467,420.67,100.207,400.577,272.962,385.997,434.132,196.571,435.73,503.72,141.72,77.955,298.025,206.476,262.375,450.622,127.954,417.99,432.125,344.628,466.392,255.397,252.293,193.279,248.366,312.563,331.714,121.242,397.845,541.526,388.795,290.123,342.225,68.463,188.901,349.462,454.653
"Grant",301.212,265.561,349.05,204.118,62.42,414.995,268.139,332.746,188.406,375.062,251.302,318.249,114.273,370.76,128.926,337.287,125.937,357.42,173.584,318.061,248.855,317.769,225.408,279.007,363.803,399.113,0,375.062,344.365,175.903,106.527,229.16,257.857,124.999,284.675,143.572,340.691,325.593,9.595,142.606,270.288,23.909,208.545,321.58,369.715,274.416,371.313,439.303,264.637,320.582,157.351,166.229,117.455,348.397,245.359,315.765,125.775,59.344,364.167,190.98,313.945,317.552,194.649,210.338,85.142,236.825,272.141,439.301,216.934,187.898,74.705,355.747,395.755,247.237,165.462
"Greene",250.5,127.046,416.887,282.433,403.215,493.31,167.525,391.651,259.069,0,427.53,202.258,306.368,74.311,246.778,34.232,369.484,106.159,359.086,385.898,154.016,385.606,433.935,146.046,442.118,477.428,375.056,0,422.68,330.085,268.643,221.531,151.636,316.171,108.617,510.115,408.528,60.813,376.592,509.149,520.477,375.702,224.213,172.526,127.051,342.253,121.28,81.514,342.952,398.897,224.808,445.963,294.248,30.308,414.302,62.974,326.168,319.753,45.465,245.206,381.782,385.389,248.459,167.765,451.685,473.76,134.545,64.238,182.902,190.615,441.248,434.062,463.592,149.318,532.005
"Hempstead",301.64,337.976,221.714,143.048,264.952,68.509,279.267,99.058,167.293,423.998,89.054,329.377,277.954,419.696,218.387,386.223,193.951,368.548,479.571,130.051,330.014,190.433,111.591,390.452,22.162,52.627,346.642,423.998,0,128.966,240.229,411.255,377.97,393.719,333.611,481.701,81.603,374.529,348.178,480.735,102.77,347.288,219.673,332.708,380.843,180.283,382.441,450.431,88.431,25.96,244.736,190.149,209.086,397.333,66.105,364.701,378.836,291.339,413.103,202.108,266.23,176.991,195.077,259.274,297.801,97.093,344.556,488.237,335.506,236.834,305.405,16.284,204.671,296.173,503.591
