"","Arkansas","Ashley","Baxter","Benton","Boone","Bradley","Calhoun","Carroll","Chicot","Clark","Clay","Cleburne","Cleveland","Columbia","Conway","Craighead","Crawford","Crittenden","Cross","Dallas","Desha","Drew","Faulkner","Franklin","Fulton","Garland","Grant","Greene","Hempstead","Hot Spring","Howard","Independence","Izard","Jackson","Jefferson","Johnson","Lafayette","Lawrence","Lee","Lincoln","Little River","Logan","Lonoke","Madison","Marion","Miller","Mississippi","Monroe","Montgomery","Nevada","Newton","Ouachita","Perry","Phillips","Pike","Poinsett","Polk","Pope","Prairie","Pulaski","Randolph","Saline","Scott","Searcy","Sebastian","Sevier","Sharp","St. Francis","Stone","Union","Van Buren","Washington","White","Woodruff","Yell"
"Arkansas",0,173.133,76.283,114.15,225.183,230.917,85.867,147.067,102.367,192.967,215.517,54.133,157.75,204.15,121.05,159.917,202.4,117.3,302.8,138.45,166.683,79.85,221.583,215.367,194.833,220.9,187.5,192.967,188.183,144.45,129.633,275.683,205.967,232.233,153.8,252.133,148.733,183.483,184.6,260.617,249.317,189.9,81.133,93.7,120.833,81.967,123.1,153.733,144.833,174.283,133.85,231.4,148.117,164.617,197.2,141.283,231.133,158.033,173.117,87.617,41.083,92.417,80.333,119.85,227.8,252.783,179.883,230.267,200.117,102.483,218,192.367,141.633,117.767,268.217
"Ashley",174.617,0,208.067,121.85,220.533,245.85,92.867,201.8,110.067,96.4,223.217,149.617,115.1,87.4,113.05,83.15,201.883,130.233,221.583,195.667,18.283,183.483,229.283,52.217,202.533,236.033,182.85,96.4,195.883,152.15,124.983,116.1,43.35,171.4,41.417,247.483,204.3,67.117,179.95,255.983,257.017,185.25,100.917,128.05,134.15,155.617,131,135.4,152.533,181.983,96.583,239.1,143.467,87.85,204.9,83.833,177.4,153.4,101.883,99.517,180.25,187.517,102.667,63.05,223.15,260.483,13.017,147.967,61,72.217,213.35,200.067,247.967,65.867,272.083
"Baxter",78.233,207.85,0,128.467,241.6,197.517,160.65,122.233,116.667,243.95,219.533,128,174.167,244.55,137.45,224.833,216.7,191.183,319.217,83.9,201.4,26.3,232.25,250.083,190.667,190.067,203.9,243.95,175.433,158.767,146.033,292.1,240.683,248.65,194.017,268.533,117.9,223.717,201,277.033,245.15,206.3,131.583,167.583,194.7,64.767,196.967,227.6,158.05,163.367,159.05,249.083,164.517,229.533,201.883,215.15,247.55,174.45,247,121.25,40.833,38.85,118.683,154.183,244.217,247.683,214.6,295.533,231.283,140.65,234.4,188.2,84.1,176.4,284.633
"Benton",112.05,120.433,126.983,0,149.983,130.533,81.55,89.567,18.2,156.55,107.917,114.533,81.183,157.133,44.483,137.417,94.783,121.883,226.233,95.633,113.983,102.4,113.967,162.667,87.217,120.717,110.933,156.55,80.583,36.85,53.067,199.117,153.267,155.667,106.617,175.567,105.3,136.3,108.033,184.05,141.717,113.317,44.283,105.283,128.4,74.55,130.217,160.717,37.217,66.667,65.567,123.783,62.617,142.117,89.583,128.433,154.567,81.467,156.15,33.967,99.183,106.45,31.383,66.767,151.233,145.167,127.183,208.117,138.3,53.233,141.433,84.767,166.9,89,191.65
"Boone",223.383,220.733,240.067,148.9,0,246.35,186.583,210.317,140.283,253.817,151.55,219.567,112.4,254.417,109.75,234.7,65.45,226.917,167.683,227.683,204.267,215.5,128.783,251.2,202.583,223.35,51.133,253.817,196.4,130.317,95.767,236.317,232.533,150.067,203.883,100.633,228.217,233.567,50.633,112.75,163.15,47.733,149.317,210.3,233.417,187.633,235.25,265.75,164.583,181.533,132.367,79.183,86.9,239.4,149.483,225.7,153.283,71.067,253.433,138.983,212.267,219.533,142.717,164.033,56.867,138.45,227.5,305.4,191.283,150.517,56.933,188.25,279.983,186.267,116.733
"Bradley",231.283,244.983,197.217,128.233,247.467,0,206.1,107.983,142.75,281.1,127.033,239.083,205.733,281.683,169.033,261.967,194.517,246.433,350.783,130.717,238.533,172.633,148.083,287.217,68.833,33.55,235.467,281.1,52.75,139.5,177.6,323.667,277.817,280.217,231.15,300.1,90.65,260.85,232.583,308.6,96.467,237.867,168.833,229.833,252.95,160.15,254.767,285.267,103.683,71.317,190.117,178.033,184.75,266.667,106.2,252.983,279.117,206.017,280.7,158.517,204.7,159.783,155.933,191.317,267.583,112.133,251.733,332.667,262.85,177.783,279.383,67.733,152.333,213.55,316.2
"Calhoun",86.9,92.65,160.517,81.567,186.383,205.55,0,161.55,69.783,126.567,182.933,63.133,118.95,132.4,86.067,98.35,167.733,71.8,264.967,155.433,86.217,140.383,189,134.9,162.25,195.75,148.683,126.567,155.6,111.867,90.817,198.25,125.5,193.433,81.867,213.317,164.067,111.567,145.8,221.817,216.733,151.083,43.85,55.183,78.3,114.783,80.133,110.633,112.25,141.7,73.483,198.8,109.3,103.05,164.617,79.6,192.333,119.233,117.083,48.45,125.317,145.583,61.4,47.483,189,220.183,99.417,177.167,127.75,41.167,179.183,159.783,204.867,31.883,229.417
"Carroll",146.65,203.033,120.933,87.2,210.05,106.917,164.033,0,101.733,239.15,118.65,172.2,164.717,239.733,128.017,220.017,157.1,204.367,309.767,54.35,196.583,96.367,131.367,245.267,90.833,96.917,194.45,239.15,80.8,97.083,136.583,282.65,235.867,239.2,189.2,259.083,24.2,218.9,191.567,267.583,145.333,196.85,126.767,187.75,210.867,75.517,212.7,243.2,61.267,60.217,149.1,156.917,143.733,224.717,101,211.033,238.1,165,238.75,116.433,120.067,83.517,113.867,149.367,241.883,144.517,209.783,290.717,221.833,135.833,224.95,88.383,112.817,171.6,275.183
"Chicot",101.433,109.8,116.35,20.367,142.4,144.35,70.933,103.383,0,145.917,121.733,103.917,74.983,146.517,38.267,126.8,108.6,111.267,220.033,103.967,103.367,91.783,127.8,152.05,101.05,134.55,104.717,145.917,94.4,50.667,46.85,192.9,142.65,149.467,95.983,169.35,112.6,125.683,101.817,177.85,155.533,107.117,33.667,94.65,117.767,63.917,119.6,150.1,51.05,80.5,59.35,137.6,66.883,131.5,103.417,117.817,148.367,75.267,145.533,23.333,88.55,95.817,20.767,56.133,145.017,158.983,116.567,197.5,132.1,42.617,135.217,98.583,156.267,78.367,185.45
"Clark",193.133,97.967,245.567,159.367,256.05,283.35,128.233,239.3,147.567,0,260.733,156.667,188.633,58.633,150.567,34.2,237.4,80.35,287,233.183,109.033,220.983,266.783,114.3,240.05,273.533,218.367,0,233.4,189.667,160.5,177.283,118.983,252.15,70.65,283,241.8,45.5,215.467,291.5,294.533,220.767,138.417,105.767,83.033,193.133,79.867,62.933,190.033,219.483,137.45,276.6,178.983,28.067,242.4,56.517,261.2,188.917,38.817,137.017,217.767,225.033,140.167,100.55,258.667,297.983,94.717,51.567,146.65,109.733,248.867,237.583,285.483,100.483,299.083
