"","Alameda","Alpine","Amador","Butte","Calaveras","Colusa","Contra Costa","Del Norte","El Dorado","Fresno","Glenn","Humboldt","Imperial","Inyo","Kern","Kings","Lake","Lassen","Los Angeles","Madera","Marin","Mariposa","Mendocino","Merced","Modoc","Mono","Monterey","Napa","Nevada","Orange","Placer","Plumas","Riverside","Sacramento","San Benito","San Bernardino","San Diego","San Francisco","San Joaquin","San Luis Obispo","San Mateo","Santa Barbara","Santa Clara","Santa Cruz","Shasta","Sierra","Siskiyou","Solano","Sonoma","Stanislaus","Sutter","Tehama","Trinity","Tulare","Tuolumne","Ventura","Yolo","Yuba"
"Alameda",0,814.973,184.192,471.194,178.261,190.703,49.917,584.513,197.78,277.679,240.807,448.162,921.677,518.955,436.197,421.191,327.384,388.922,591.931,240.758,42.368,246.043,261.512,187.384,572.76,362.634,174.544,75.939,687.505,643.434,189.835,395.787,674.939,137.794,187.882,676.222,784.632,24.452,259.071,357.165,43.906,506.991,64.181,109.116,355.917,63.141,499.501,73.06,83.988,215.305,195.35,284.041,483.662,351.686,206.048,550.959,137.544,175.329
"Alpine",814.659,0,838.435,1281.726,796.361,943.284,825.89,1395.045,865.807,572.821,993.388,1258.694,142.786,525.37,410.382,668.606,1079.965,1141.503,223.787,608.503,852.9,695.997,1072.044,662.805,1192.116,708.813,736.795,870.337,198.824,177.252,893.341,964.526,182.845,840.472,648.593,195.653,45.766,836.235,580.35,531.826,815.123,381.11,777.912,779.79,1108.498,768.355,1252.082,856.459,881.628,792.522,916.888,1036.622,1236.243,500.996,772.282,337.145,877.007,897.218
"Amador",184.727,839.592,0,555.135,25.079,181.976,156.216,677.859,42.91,267.481,232.08,541.427,946.296,444.855,442.331,410.993,318.657,380.195,616.55,230.56,208.524,150.876,401.637,177.186,491.544,264.602,302.158,172.482,712.124,668.053,96.457,263.954,699.558,77.287,294.782,700.841,809.251,206.303,283.69,470.509,199.794,620.335,193.146,238.081,347.19,188.833,490.774,143.146,183.773,67.316,155.58,275.314,474.935,341.488,87.65,628.955,115.699,135.91
"Butte",471.221,1282.308,554.9,0,585.933,390.815,473.764,126.696,540.748,745.014,355.385,24.16,1389.012,927.551,903.532,888.526,255.751,327.892,1059.266,708.093,430.756,713.378,252.837,654.719,449.789,747.298,643.347,435.943,1154.84,1110.769,524.276,502.837,1142.274,478.73,656.685,1143.557,1251.967,458.75,726.406,825.968,491.423,975.794,532.984,577.919,208.048,531.944,303.413,473.034,418.095,628.17,419.792,288.1,229.353,819.021,673.383,1019.762,440.022,417.099
"Calaveras",178.691,799.451,25.063,585.555,0,212.396,161.117,708.279,67.685,227.555,262.5,571.847,906.155,390.143,402.405,371.067,349.077,410.615,576.409,190.634,216.932,125.797,401.569,134.623,516.527,231.454,296.122,172.414,671.983,627.912,156.942,288.937,659.417,107.707,288.746,660.7,769.11,200.267,242.047,464.473,193.758,614.299,187.11,232.045,377.61,182.797,521.194,142.044,183.705,42.237,186,305.734,505.355,301.562,62.571,588.814,146.119,166.33
"Colusa",191.167,944.723,182.843,390.829,213.876,0,154.093,513.553,168.691,378.33,39.442,382.533,1051.427,609.15,553.18,521.842,154.351,215.889,721.681,341.409,187.44,346.694,233.386,288.035,399.727,428.897,353.111,151.398,817.255,773.184,118.697,282.927,804.689,106.673,366.449,805.972,914.382,193.338,388.821,535.732,224.275,685.558,244.099,289.034,182.884,239.786,326.468,122.062,162.689,256.113,29.001,111.008,310.629,452.337,291.352,734.086,67.965,44.961
"Contra Costa",49.735,826.289,156.906,473.12,161.806,153.652,0,586.439,160.729,288.995,203.756,450.088,932.993,530.271,447.513,432.507,290.333,351.871,603.247,252.074,53.537,257.359,263.438,198.7,535.709,373.95,204.102,49.887,698.821,654.75,152.784,358.736,686.255,100.743,217.44,687.538,795.948,56.611,270.387,386.723,90.408,536.549,95.09,140.025,318.866,90.777,462.45,36.009,61.178,195.46,158.299,246.99,446.611,363.002,217.364,580.517,100.493,138.278
"Del Norte",584.577,1395.664,677.978,127.263,709.011,513.893,587.12,0,663.826,858.37,478.463,137.516,1502.368,1059.582,1016.888,1001.882,378.829,450.97,1172.622,821.449,544.112,826.734,366.193,768.075,447.77,879.329,756.703,549.299,1268.196,1224.125,647.354,634.868,1255.63,601.808,770.041,1256.913,1365.323,572.106,839.762,939.324,604.779,1089.15,646.34,691.275,331.126,645.3,259.683,586.39,531.451,751.248,542.87,411.178,351.047,932.377,786.739,1133.118,563.1,540.177
"El Dorado",198.139,866.968,43.028,541.023,67.819,167.864,161.065,663.747,0,294.857,217.968,527.315,973.672,443.725,469.707,438.369,304.545,366.083,643.926,257.936,194.412,193.616,387.525,204.562,482.456,263.472,360.083,158.37,739.5,695.429,49.829,254.866,726.934,63.175,322.158,728.217,836.627,200.31,311.066,497.885,231.247,647.711,251.071,296.006,333.078,246.758,476.662,129.034,169.661,110.056,141.468,261.202,460.823,368.864,130.39,656.331,101.587,121.798
"Fresno",278.131,573.755,266.987,745.198,225.055,377.347,289.362,858.517,294.359,0,427.451,722.166,680.459,471.785,176.709,146.503,514.028,575.566,350.713,37.197,316.372,124.691,535.516,91.499,755.435,273.062,247.338,333.809,446.287,402.216,321.893,527.845,433.721,272.658,205.445,435.004,543.414,299.707,50.338,221.149,293.198,407.083,249.804,251.682,542.561,240.247,686.145,287.706,345.1,221.216,350.951,470.685,670.306,75.866,200.976,363.118,311.07,331.281
