"","Alameda","Alpine","Amador","Butte","Calaveras","Colusa","Contra Costa","Del Norte","El Dorado","Fresno","Glenn","Humboldt","Imperial","Inyo","Kern","Kings","Lake","Lassen","Los Angeles","Madera","Marin","Mariposa","Mendocino","Merced","Modoc","Mono","Monterey","Napa","Nevada","Orange","Placer","Plumas","Riverside","Sacramento","San Benito","San Bernardino","San Diego","San Francisco","San Joaquin","San Luis Obispo","San Mateo","Santa Barbara","Santa Clara","Santa Cruz","Shasta","Sierra","Siskiyou","Solano","Sonoma","Stanislaus","Sutter","Tehama","Trinity","Tulare","Tuolumne","Ventura","Yolo","Yuba"
"Alameda",0,424.583,118.55,285.4,114.817,109.433,34.95,359,112.867,151.8,133.683,266.9,484.75,361.083,235.167,280.567,179.133,229.517,307.017,132.167,32.783,145.017,181.867,106.717,338.683,271.683,101.15,53.567,354.167,335.733,104.733,220.233,350.05,80.067,124.633,348.717,409.583,24,144.85,193.25,29.017,283.85,41.767,68.6,192.633,40.167,262.933,45.033,61.733,147.9,123.2,153.35,299.65,188.733,143.883,306.317,78.867,104.65
"Alpine",427,0,453.433,702.083,453.6,494.95,432.8,775.683,474.55,303.65,519.2,683.583,77.917,299.683,223.367,420.367,564.65,615.033,125.8,321.867,449.483,378.4,598.567,351.767,699.467,410.133,411.6,458.583,106.533,98.633,464.75,575.067,98.4,438.867,370.55,104.933,29.233,440.783,319.183,293.483,433.967,205.433,417.3,425.767,578.15,409.283,648.45,447.467,471.2,467.933,486.433,538.867,685.167,268.267,438.367,180.517,457.017,469
"Amador",118.883,451.483,0,358.883,22.333,119.433,110.8,438.183,36.433,159.983,143.683,352.517,511.65,305.767,249.283,288.767,189.133,239.517,333.917,140.367,135.183,134.25,270.867,114.917,310.183,199.233,188.433,114.467,381.067,362.633,80.85,185.783,376.95,62.133,193.6,375.617,436.483,132.667,171.75,269.917,125.867,360.517,131.75,158.583,202.633,125.067,272.933,95.95,127.067,69.25,110.917,163.35,309.633,196.933,83.4,345.95,81.5,93.483
"Butte",282.45,696.75,359.767,0,371.517,263.867,285.05,87.083,338.117,423.967,244.633,22.367,756.917,609.667,507.333,552.733,195.767,255.933,579.183,404.333,258.183,417.183,196.383,378.883,327.367,503.133,375.683,274.1,626.333,607.9,325.467,355.083,622.217,303.45,399.183,620.883,681.75,283.733,417.017,467.8,301.383,558.383,316.3,343.15,156.267,314.717,233,282.65,261.667,418.433,285.683,211.867,179.867,460.9,416.05,580.85,283.85,299.067
"Calaveras",115.017,452.117,21.75,370.85,0,131.4,114.267,450.15,57.15,153.983,155.667,364.483,512.283,290.683,243.283,282.767,201.117,251.483,334.567,134.367,137.5,111.917,285,105.45,331.65,193.383,184.567,128.6,381.7,363.267,97.017,207.25,377.583,74.117,189.733,376.25,437.133,128.8,175.467,266.05,121.983,356.633,127.867,154.7,214.617,121.2,284.9,109,141.2,46.9,122.883,175.317,321.617,190.933,61.05,346.6,93.467,105.45
"Colusa",109.75,494.317,121.117,263.383,132.867,0,89.317,342.683,99.467,206.95,31.7,255.833,554.483,387.883,296.25,335.733,93.633,144.017,376.75,187.333,110.983,200.167,187.167,161.883,253.183,281.367,196.4,90.267,423.9,405.467,81.133,193.883,419.783,64.8,219.9,418.45,479.317,112.767,214.583,288.517,128.333,379.1,139.717,166.55,107.133,133.033,177.433,71.767,102.883,179.783,23.3,67.85,214.133,243.9,187.15,388.783,45.2,35.4
"Contra Costa",33.117,429.633,112.3,287.367,115.1,88.433,0,360.967,91.85,156.85,112.683,268.867,489.8,366.133,240.217,285.617,158.133,208.517,312.067,137.217,41.667,150.067,183.833,111.767,317.667,276.733,115.967,35.167,359.217,340.783,83.733,199.233,355.1,59.05,139.467,353.767,414.633,39.5,149.9,208.067,53.883,298.667,59.267,86.117,171.633,52.6,241.933,24.033,47.783,149.433,102.183,132.35,278.633,193.783,148.933,321.133,57.867,83.65
"Del Norte",356.95,771.233,439.5,88.583,451.25,343.6,359.533,0,417.85,498.45,324.367,96.85,831.4,666.1,581.833,627.233,275.517,335.667,653.667,478.833,332.667,491.667,270.867,453.383,313.417,559.583,450.167,348.6,700.817,682.383,405.2,411.533,696.7,383.183,473.667,695.367,756.233,358.233,491.5,542.283,375.867,632.867,390.783,417.633,236,389.2,177.317,357.15,336.15,498.167,365.417,291.6,253.017,535.383,490.55,655.35,363.583,378.8
"El Dorado",113.2,473.4,37.617,338.133,58.417,98.7,92.75,417.45,0,181.917,122.95,331.767,533.567,299.417,271.217,310.683,168.4,218.767,355.833,162.283,114.433,170.333,250.117,136.833,290.283,192.883,199.85,93.717,402.983,384.55,51.2,165.883,398.867,41.4,215.533,397.533,458.4,116.2,193.683,291.85,131.783,382.433,143.15,170,181.9,136.483,252.2,75.2,106.333,105.333,90.167,142.6,288.9,218.85,119.483,367.867,60.75,72.733
"Fresno",151.5,303.167,159.033,426.583,153.5,204.75,157.3,500.183,180.15,0,229.017,408.083,363.333,256.25,94.333,134.433,274.467,324.833,185.6,21.75,173.983,78.3,323.067,51.667,410.25,233.967,150.867,183.1,232.75,214.317,170.367,285.867,228.633,147.467,150.433,227.3,288.167,165.283,36.067,138.783,158.467,222.55,150.517,158.983,287.967,142.483,358.25,169.717,195.7,167.833,196.233,248.667,394.967,41.967,138.267,197.633,166.817,178.8
