"","Adams","Alamosa","Arapahoe","Archuleta","Baca","Bent","Boulder","Broomfield","Chaffee","Cheyenne","Clear Creek","Conejos","Costilla","Crowley","Custer","Delta","Denver","Dolores","Douglas","Eagle","El Paso","Elbert","Fremont","Garfield","Gilpin","Grand","Gunnison","Hinsdale","Huerfano","Jackson","Jefferson","Kiowa","Kit Carson","La Plata","Lake","Larimer","Las Animas","Lincoln","Logan","Mesa","Mineral","Moffat","Montezuma","Montrose","Morgan","Otero","Ouray","Park","Phillips","Pitkin","Prowers","Pueblo","Rio Blanco","Rio Grande","Routt","Saguache","San Juan","San Miguel","Sedgwick","Summit","Teller","Washington","Weld","Yuma"
"Adams",0,233,171.667,313.983,238.483,196.2,37.167,27.8,176.467,165.217,48.933,263.333,220.8,157.433,175.783,265.667,30.933,431.6,44.567,132.567,86.483,83.6,134.467,185.317,210.583,126.733,236.517,303.867,143.883,182.867,96.567,76.183,138.55,420.867,116.667,59,196.2,108.267,165.2,225.8,289.617,212.933,104.683,291.1,256.583,179.95,335.6,113.95,135.967,246.767,193.8,119.133,203.267,409.15,182,212.633,375.317,369.8,125.317,100.117,145.317,87.283,40.367,113.8
"Alamosa",233.35,0,261.517,102.55,220.633,165.117,239.983,228.017,87.033,255.067,218.7,30.317,45.583,151.95,141.333,229.733,215.4,220.167,198.583,212.95,154.6,195.25,151.117,93,179.5,242.317,133.183,143.75,143.933,288.867,154.2,206.967,231.583,209.433,143.983,272.35,165.117,183.833,381.65,296.267,78.183,41.333,204.683,207.55,23.567,148.867,252.6,139.767,352.417,149.983,197.967,118.017,283.65,265.067,282.617,55.25,231.833,286.8,341.767,173.517,189.317,302.8,269.267,324.867
"Arapahoe",171.9,260.65,0,363.217,124.333,107.383,186.9,174.933,267.033,11.017,193.833,290.983,248.45,115.433,226.667,410.567,173.167,480.833,171.4,277.45,148.8,146.4,197.333,284.583,121.35,271.633,335.783,403.133,163.517,326.8,241.467,133.85,33.65,470.1,261.567,215,107.383,253.15,197.15,370.683,338.85,292.983,249.583,410.15,284.233,122.383,455.2,244.25,135.95,346.033,87.383,160.5,348.167,528.75,326.883,309.933,494.917,489.4,180.95,245,211.467,145.367,207.817,127.833
"Archuleta",313.683,103.85,362.933,0,322.05,266.517,318.917,311.283,151.433,356.483,283.1,116.55,147,253.35,207.117,238.433,300.517,117.6,299.983,277.333,256.017,296.667,215.517,157.383,280.917,306.717,180.483,141,245.35,353.25,218.6,308.383,333,106.867,208.383,353.25,266.517,248.217,464.333,304.967,75.45,114.583,269.083,212.817,112.117,250.267,168.2,204.167,435.1,197.283,299.383,219.433,349.75,162.517,347,102.55,129.267,193.667,424.45,237.9,253.7,386.433,349.6,412.933
"Baca",238.867,220.517,123.4,323.067,0,83.033,253.85,241.883,272.85,119.65,260.783,250.833,208.317,134.083,210.3,438.15,240.117,440.683,238.35,344.417,205.217,213.35,207.8,290.4,97,338.583,341.6,364.267,172.383,393.767,304.467,200.8,100.6,429.95,328.517,281.95,83.033,320.117,305.783,437.65,298.717,252.833,316.533,415.967,244.1,104.183,461,290.033,244.583,351.85,64.35,171.733,415.117,485.6,393.833,274.567,452.35,495.2,271.233,311.967,264.817,212.317,274.783,203.65
"Bent",195.267,164.9,107.317,267.467,82.917,0,207.55,195.583,194.467,100.867,203.933,195.233,152.7,51.05,154.867,359.767,182.967,385.083,166.15,288.483,122.167,162.817,124.767,212.017,14.383,282.65,263.217,308.65,89.333,337.833,221.417,157.217,77.383,374.35,256.333,239.917,0,251.05,287,381.717,243.1,197.233,260.617,337.583,188.483,22.433,382.617,206.983,225.8,273.467,32.85,88.7,359.183,429.983,337.917,218.95,396.733,416.817,248.017,240.717,181.783,189.1,231.183,180.433
"Boulder",37.7,238.95,186.7,318.767,253.517,209.217,0,20.817,181.25,180.25,48.583,269.283,226.75,167.05,181.733,270.717,36.883,436.383,55.483,137.6,92.433,96.883,140.417,190.1,223.617,131.767,241.3,308.65,149.833,186.95,101.35,89.467,153.583,425.65,121.717,68.55,209.217,113.3,191.633,230.833,294.4,217.717,109.717,296.133,262.533,192.967,340.633,118.733,162.383,251.55,208.833,125.083,208.3,414.183,187.033,217.417,380.35,374.833,151.75,105.15,151.267,113.717,69.233,140.233
"Broomfield",25.55,228.183,175.933,310.2,242.75,198.45,19.2,0,172.683,169.483,45.167,258.517,215.983,156.283,170.967,261.9,26.117,427.817,44.717,128.783,81.667,86.117,129.65,181.533,212.85,122.967,232.733,300.1,139.067,178.133,92.8,78.7,142.817,417.083,112.9,56.417,198.45,104.483,180.867,222.017,285.85,209.167,100.917,287.333,251.767,182.2,331.833,110.167,151.633,242.983,198.067,114.317,199.483,405.383,178.217,208.867,371.55,366.033,140.983,96.333,140.5,102.95,57.1,129.467
"Chaffee",174.867,85.717,266.2,150.083,271.883,196.333,180.117,172.483,0,259.733,144.283,116.033,124.233,154.167,62.283,171.15,161.7,267.7,169.083,138.533,126.95,168.167,70.683,23.4,210.733,167.917,74.6,141.95,136.933,214.45,79.783,179.883,233.067,256.967,69.567,214.45,196.333,109.417,325.533,231.767,125.717,49.033,130.267,148.967,109.3,180.083,194,65.35,296.3,84.85,229.2,112.183,209.233,267.55,208.2,48.733,233.717,228.2,285.65,99.1,114.9,247.617,210.783,274.133
"Cheyenne",164.35,253.1,11.483,355.65,119.683,99.833,179.333,167.367,259.483,0,186.283,283.417,240.9,107.867,219.117,403.017,165.617,473.267,163.85,269.9,141.25,138.833,189.783,277.033,113.8,264.067,328.233,395.583,155.967,319.25,233.917,126.3,26.083,462.533,254.017,207.433,99.833,245.6,186.117,363.133,331.3,285.417,242.017,402.6,276.683,114.817,447.633,236.7,124.917,338.483,79.833,152.933,340.6,521.183,319.333,302.367,487.35,481.833,169.917,237.45,203.917,134.3,200.267,116.8
"Clear Creek",48.7,217.117,193.733,281.5,260.567,205.3,49.483,46.3,143.983,187.283,0,247.45,222.833,163.133,177.8,224.867,34.9,399.1,51.55,91.75,88.517,92.967,136.5,152.833,219.683,85.933,204.033,271.383,145.9,141.1,84.35,85.533,160.617,388.367,75.867,88.267,205.3,67.45,199.367,184.983,257.133,180.45,63.883,250.3,240.7,189.05,294.8,91.083,170.117,214.283,215.867,121.15,162.45,368.35,141.183,180.15,334.517,329,159.483,59.3,151.6,121.45,84.617,147.967
"Conejos",262.417,31.5,290.583,115.85,249.7,194.167,269.05,257.083,116.1,284.133,247.767,0,42.783,181,170.383,260.917,244.45,233.467,227.633,242.017,183.65,224.317,180.183,122.067,208.567,271.383,164.367,174.933,173,317.933,183.267,236.033,260.65,222.733,173.05,301.4,194.167,212.9,410.717,327.45,109.383,70.4,233.75,238.733,25.367,177.917,284.067,168.833,381.483,181.167,227.033,147.083,312.717,278.367,311.667,86.433,245.133,309.517,370.833,202.567,218.383,331.867,298.333,353.933
"Costilla",220.083,45.667,248.25,148.233,207.367,151.85,226.717,214.75,123.7,241.8,223.1,43,0,138.683,128.067,274.2,202.133,265.833,185.317,249.617,141.333,181.983,144.15,129.65,166.233,278.983,177.65,189.417,130.667,325.533,190.867,193.7,218.317,255.117,180.65,259.083,151.85,220.483,368.383,340.733,123.867,78,241.35,252.033,54.067,135.6,297.067,176.433,339.15,191.1,184.7,104.75,320.317,310.75,319.267,99.717,277.5,331.267,328.5,210.167,200.933,289.533,256,311.6
"Crowley",159.667,151.283,116,253.85,135.333,52.417,166.283,154.317,153.2,109.55,162.667,181.617,139.083,0,113.6,318.483,141.7,371.467,124.883,247.217,80.9,121.55,83.5,170.75,66.8,241.383,221.95,289.3,50.45,296.567,180.15,120.65,86.067,360.733,215.067,198.65,52.417,209.783,249.033,340.45,229.483,183.617,219.333,296.317,174.867,36.167,341.35,165.717,219.783,232.2,85.267,47.433,317.917,414.9,296.65,196.083,381.067,375.55,209.15,199.45,140.5,157.267,195.583,179.35
"Custer",175.683,138.833,226.667,207.4,209.717,155.7,182.3,170.333,63.167,220.217,178.683,169.167,126.65,113.533,0,228.467,157.717,325.017,140.9,197.667,96.033,137.233,59.733,80.717,170.083,227.05,131.917,199.267,96.3,273.583,135.35,148.967,196.733,314.283,128.717,214.667,155.7,164.983,323.983,290.9,183.05,106.367,189.417,206.3,162.417,139.45,251.333,120.933,294.733,142.167,188.55,67.433,268.367,324.883,267.333,106.067,291.05,285.533,284.1,154.667,111.85,246.983,211.6,267.133
"Delta",262.35,234.067,407.383,242.75,439.933,364.383,268.6,259.95,174.633,400.933,223.683,261.8,277.217,322.217,230.333,0,249.183,175.3,265.833,137.217,292.967,307.25,238.717,150.7,378.767,247.533,101.283,135.533,304.983,280.167,239.467,299.817,374.267,212.45,201.017,301.917,364.383,207.517,413,67.35,203.883,200.633,209.667,27.067,242.05,348.133,71.567,225.05,383.767,135.267,397.233,280.233,112.133,145.117,230.067,177.283,111.283,105.767,373.117,199.367,274.583,335.1,298.267,361.617
"Denver",30.467,214.6,172.95,300.1,239.767,184.867,37.1,25.133,162.583,166.5,34.133,244.917,202.4,142.7,157.383,251.8,0,417.717,31.133,118.683,68.083,72.533,116.067,171.433,199.25,112.85,222.633,289.983,125.467,168.033,82.683,65.117,139.833,406.983,102.8,69.45,184.867,94.383,181.133,211.917,275.733,199.05,90.8,277.217,238.183,168.617,321.717,100.067,151.883,232.883,195.083,100.717,189.383,395.267,168.117,198.75,361.433,355.917,141.25,86.233,126.917,103.217,66.383,129.733
"Dolores",433.117,223.283,482.383,119.433,441.483,385.967,438.367,430.717,270.867,475.917,397.933,235.983,266.45,372.8,326.567,175.067,419.95,0,419.433,311.467,375.45,416.1,334.95,274.067,400.35,421.783,224.65,238.017,364.8,454.417,338.033,427.833,452.45,64.833,327.817,472.7,385.967,367.667,583.783,241.6,194.883,234.017,383.917,149.45,231.567,369.717,129.783,323.6,554.533,258.633,418.817,338.883,286.383,147.65,404.333,221.983,114.4,76.05,543.9,357.333,373.15,505.867,469.033,532.383
"Douglas",44.75,197.767,169.917,300.333,236.733,168.033,54.95,43,170.2,163.45,51.333,228.1,185.567,125.867,140.55,269,30.367,417.95,0,135.883,51.25,45.35,99.233,179.05,182.433,130.067,230.25,297.6,108.65,185.233,90.3,37.933,136.783,407.217,120,87.317,168.033,111.583,191.033,229.117,275.967,206.667,108.017,294.433,221.35,151.783,338.933,107.683,161.8,240.5,192.033,83.9,206.6,412.483,185.317,206.367,378.65,373.133,151.15,103.433,110.083,113.117,80.667,139.633
"Eagle",129.883,209.8,274.933,274.183,341.75,287.117,136.133,127.5,136.667,268.467,91.217,240.133,248.317,244.95,196.017,138.633,116.717,312.283,133.383,0,170.333,174.783,180.217,145.517,301.517,115.3,196.717,264.067,227.717,147.95,116.783,167.367,241.8,349.433,68.55,169.467,287.117,75.05,280.55,98.75,249.817,173.133,77.2,164.05,233.383,270.867,208.55,98.683,251.317,206.967,297.05,202.967,76.217,282.1,103.5,172.833,248.267,242.75,240.667,66.9,177.95,202.633,165.8,229.15
"El Paso",86.05,154.35,146.433,256.9,207.533,124.617,92.683,80.717,125.017,139.983,89.05,184.667,142.15,82.45,96.633,290.317,68.083,374.517,51.267,173.6,0,48.4,55.317,142.567,139,167.783,193.783,261.133,65.217,222.95,113.667,60.117,113.317,363.783,148.583,125.033,124.617,143.3,234.35,266.833,232.533,168.217,145.733,268.15,177.933,108.367,313.183,99.233,205.117,204.017,157.467,40.467,244.317,386.733,223.033,167.917,352.9,347.383,194.467,132.967,66.45,158.15,121.967,178.3
"Elbert",85.167,195.517,144.983,298.083,211.8,165.783,99.583,87.633,168.133,138.517,95.967,225.85,183.317,123.617,139.733,313.633,75,415.683,48.633,180.517,49.9,0,98.433,185.683,180.183,174.7,236.883,304.233,106.4,229.867,134.767,13,111.85,404.967,164.633,128.267,165.783,156.217,226.717,273.75,273.717,211.317,152.65,311.25,219.1,149.533,356.283,145.35,197.467,247.133,167.1,81.65,251.233,429.833,229.95,211.017,396,390.483,186.833,148.067,112.567,134.95,121.083,154.433
"Fremont",135.917,149.55,195.5,213.933,208.567,125.65,142.533,130.567,69.683,189.05,138.917,179.883,143.183,83.483,59.7,234.983,117.95,331.533,101.133,179.717,56.267,97.467,0,87.233,140.033,194.583,138.45,205.8,66.25,241.117,96.65,109.183,162.383,320.8,131.567,174.9,125.65,126.267,284.2,272.967,189.567,112.883,150.717,212.817,173.133,109.4,257.85,82.217,254.967,148.683,158.5,41.5,250.433,331.4,234.867,112.583,297.567,292.05,244.317,115.95,73.133,207.217,171.833,227.367
"Garfield",183.867,90.867,283.533,155.233,289.233,213.683,189.1,181.467,23.933,277.083,153.267,121.183,129.383,171.517,79.633,147.733,170.683,274.333,178.083,147.517,142.267,185.5,88.017,0,228.067,176.9,51.2,118.55,154.283,223.433,88.767,197.217,250.417,262.117,78.567,223.433,213.683,118.4,334.517,214.267,130.883,54.2,139.267,125.567,114.45,197.433,170.6,74.35,305.283,61.45,246.533,129.533,218.233,244.15,217.183,53.9,210.317,204.8,294.633,108.083,123.883,256.6,219.783,283.117
"Gilpin",210.067,179.717,120.533,282.267,96.117,14.8,222.367,210.4,209.267,114.067,218.733,210.033,167.517,65.85,169.667,374.567,197.767,399.883,180.95,303.283,136.967,177.633,139.567,226.817,0,297.467,278.017,323.467,104.133,352.633,236.217,172.017,90.6,389.15,271.133,254.717,14.8,265.85,300.2,396.517,257.9,212.033,275.417,352.383,203.3,37.233,397.433,221.783,239,288.267,46.067,103.5,374,444.783,352.717,233.767,411.55,431.633,261.233,255.533,196.583,202.317,245.983,193.633
"Grand",126.233,241.117,271.283,305.483,338.1,283.467,132.483,123.833,167.967,264.817,87.567,271.433,279.633,241.3,227.333,249.55,113.067,423.2,129.733,116.2,166.683,171.133,196.6,176.817,297.867,0,228.017,295.367,224.067,71,133.167,163.717,238.15,412.367,99.85,177.483,283.467,91.45,276.9,209.683,281.117,204.433,87.467,274.983,264.7,267.217,319.483,115.067,247.667,238.267,293.4,199.317,187.15,393.033,79.833,204.133,359.2,353.683,237.017,83.283,194.333,198.983,162.15,225.5
"Gunnison",235.4,134.9,335.067,179.467,340.767,265.217,240.65,233,75.483,328.617,204.817,162.633,178.067,223.05,131.167,97.7,222.233,224.283,229.617,199.067,193.8,237.033,139.567,51.533,279.6,228.433,0,68.5,205.817,274.983,140.317,248.767,301.95,261.433,130.1,274.967,265.217,169.95,386.05,164.217,136.85,101.467,190.8,75.517,142.9,248.967,120.55,125.883,356.817,36.1,298.083,181.067,209,194.1,268.717,78.133,160.267,154.75,346.167,159.617,175.417,308.15,271.317,334.667
"Hinsdale",301.15,146.033,400.817,140.767,364.233,308.717,306.383,298.75,141.233,394.367,270.567,174.05,189.2,288.8,196.917,133,287.983,238.15,295.367,264.8,259.55,302.783,205.317,117.283,323.1,294.183,67.867,0,271.567,340.717,206.067,314.5,367.7,227.417,195.85,340.717,308.717,235.683,451.8,199.533,68.35,156.767,256.55,110.833,154.317,292.467,123.167,191.633,422.567,101.85,341.567,246.817,244.317,130.183,334.467,143.867,124.783,190.067,411.917,225.367,241.167,373.9,337.067,400.4
"Huerfano",144.05,143.317,163.25,245.883,172.733,89.817,150.667,138.7,137.567,156.783,147.05,173.65,131.117,50.117,96.917,302.867,126.083,363.483,109.267,231.6,65.283,105.933,67.867,155.117,104.2,225.767,206.333,273.683,0,280.95,164.533,117.65,133.317,352.767,199.45,183.033,89.817,194.15,296.283,324.833,221.517,175.65,203.717,280.7,166.9,73.567,325.733,150.1,267.033,216.567,122.683,30.267,302.3,399.283,281.033,180.467,365.45,359.933,256.4,183.833,124.883,204.517,179.967,226.6
"Jackson",181.35,286.667,326.383,351.033,393.2,338.567,187.583,178.95,213.517,319.917,142.667,316.983,325.183,296.4,272.883,281.267,168.167,454.933,184.833,147.933,221.783,226.233,242.167,222.367,352.967,69.583,273.567,340.933,279.183,0,178.733,218.817,293.25,457.917,145.417,127.583,338.567,137,252.867,241.4,326.683,250,133.033,306.7,310.25,322.317,351.2,160.633,258.717,283.817,348.5,254.433,190.817,424.75,69.467,249.7,390.917,385.4,232.35,128.85,239.883,241.65,166.8,268.167
"Jefferson",95.733,154.55,240.783,218.917,307.45,224.533,100.983,93.333,81.417,234.317,84.633,184.883,193.067,182.367,136.267,238,82.567,336.533,89.95,116.4,114.967,130.933,98.867,90.267,238.917,131.25,141.467,208.817,165.133,177.783,0,123.517,207.65,325.8,94.183,135.317,224.533,62.95,246.4,209.633,194.567,117.883,87.383,215.833,178.133,208.283,260.867,18.883,217.15,151.717,257.383,140.383,187.1,334.417,171.533,117.583,300.583,295.067,206.517,52.633,96.6,168.483,131.65,195
"Kiowa",74.217,207.4,132.6,309.95,199.417,157.133,88.633,76.667,180,126.133,85.017,237.717,195.2,118.35,151.617,302.683,64.05,427.567,37.667,169.567,61.767,12.667,110.3,197.55,171.517,163.733,248.75,316.117,118.267,218.917,123.817,0,99.467,416.833,153.683,117.3,157.133,145.267,214.333,262.8,285.6,223.2,141.683,323.133,230.983,140.883,368.167,141.183,185.1,259,154.717,93.517,240.267,441.717,219,222.9,407.883,402.367,174.45,137.117,124.45,122.583,110.133,142.05
"Kit Carson",138.967,230.4,35,332.95,101.817,77.133,153.967,142,234.1,28.55,160.9,260.717,218.2,85.167,196.4,377.633,140.233,450.567,138.467,244.517,115.867,113.45,164.4,251.65,91.1,238.7,302.85,370.2,133.25,293.867,208.533,100.917,0,439.833,228.633,182.067,77.133,220.217,211.2,337.75,308.6,262.717,216.65,377.217,253.983,92.117,422.267,211.317,153.483,313.1,57.117,130.233,315.233,495.817,293.95,276.983,461.983,456.467,170.633,212.067,178.533,111.717,174.883,103.033
"La Plata",421.9,212.067,471.15,108.217,430.267,374.75,427.133,419.5,259.65,464.7,391.317,224.767,255.217,361.583,315.333,212.35,408.733,63.533,408.217,348.75,364.233,404.883,323.733,265.6,389.133,414.933,261.933,226.783,353.567,461.483,326.817,416.6,441.217,0,316.6,461.467,374.75,356.433,572.55,278.867,183.667,222.8,377.3,186.717,220.333,358.5,142.117,312.383,543.317,295.917,407.6,327.65,323.65,136.417,441.6,210.767,103.183,139.583,532.667,346.117,361.917,494.65,457.817,521.167
"Lake",114.85,141.55,259.883,205.917,326.7,256.683,121.083,112.45,68.4,253.433,76.167,171.867,180.067,214.517,127.767,203.533,101.667,323.533,118.333,70.417,147.133,159.733,131.033,77.25,271.083,99.8,128.45,195.8,197.283,146.333,93.65,152.317,226.767,312.8,0,154.417,256.683,60.017,265.5,163.65,181.55,104.883,62.15,202.833,165.133,240.433,247.867,79.217,236.267,138.7,282,172.533,141.117,321.417,140.083,104.583,287.583,282.067,225.617,51.867,128.75,187.583,150.767,214.1
"Larimer",59.633,269.517,214.267,350.75,281.1,239.783,66.4,57.017,213.25,207.817,85.717,299.833,257.317,197.617,212.283,302.45,67.433,468.367,86.033,169.333,123,126.2,170.983,222.083,254.167,163.517,273.3,340.65,180.383,129,133.35,118.783,181.15,457.633,153.45,0,239.783,145.033,189.417,262.567,326.4,249.717,141.467,327.883,293.1,223.533,372.383,150.717,159.283,283.533,236.4,155.633,240.05,445.933,196.933,249.417,412.1,406.583,149.533,136.883,181.817,116.85,42,143.367
"Las Animas",195.267,164.9,107.317,267.467,82.917,0,207.55,195.583,194.467,100.867,203.933,195.233,152.7,51.05,154.867,359.767,182.967,385.083,166.15,288.483,122.167,162.817,124.767,212.017,14.383,282.65,263.217,308.65,89.333,337.833,221.417,157.217,77.383,374.35,256.333,239.917,0,251.05,287,381.717,243.1,197.233,260.617,337.583,188.483,22.433,382.617,206.983,225.8,273.467,32.85,88.7,359.183,429.983,337.917,218.95,396.733,416.817,248.017,240.717,181.783,189.1,231.183,180.433
