"","Alachua","Baker","Bay","Bradford","Brevard","Broward","Calhoun","Charlotte","Citrus","Clay","Collier","Columbia","DeSoto","Dixie","Duval","Escambia","Flagler","Franklin","Gadsden","Gilchrist","Glades","Gulf","Hamilton","Hardee","Hendry","Hernando","Highlands","Hillsborough","Holmes","Indian River","Jackson","Jefferson","Lafayette","Lake","Lee","Leon","Levy","Liberty","Madison","Manatee","Marion","Martin","Miami-Dade","Monroe","Nassau","Okaloosa","Okeechobee","Orange","Osceola","Palm Beach","Pasco","Pinellas","Polk","Putnam","Santa Rosa","Sarasota","Seminole","St. Johns","St. Lucie","Sumter","Suwannee","Taylor","Union","Volusia","Wakulla","Walton","Washington"
"Alachua",0,464.092,243.066,225.994,281.641,527.259,297.473,374.7,142.752,95.386,486.204,46.945,362.342,176.88,136.836,517.936,567.883,295.528,247.228,219.006,420.507,380.414,94.957,324.819,407.271,119.158,507.091,202.491,359.655,357.308,183.828,118.433,212.108,166.444,119.735,264.73,57.829,418.514,131.15,296.907,89.58,240.092,562.67,246.546,172.701,448.002,358.653,313.25,227.39,460.444,186.83,266.524,283.406,93.289,495.548,317.008,269.968,114.864,370.974,141.179,96.04,97.287,398.239,142.279,190.455,399.152,348.448
"Baker",464.793,0,702.558,685.486,727.868,986.751,197.33,834.192,602.244,543.255,945.696,430.192,821.834,636.372,531.053,66.981,1027.375,257.154,220.889,678.498,879.999,219.614,386.908,784.311,866.763,578.65,966.583,661.983,112.228,816.8,643.32,512.65,264.47,625.936,353.812,724.222,517.321,61.786,339.456,756.399,397.076,699.584,1022.162,706.038,566.918,16.331,818.145,227.098,686.882,919.936,646.322,726.016,742.898,541.76,44.593,776.5,729.46,552.346,830.466,600.671,469.389,477.023,74.82,601.771,276.434,858.644,126.144
"Bay",243.612,703.011,0,175.943,89.922,304.5,536.392,292.931,152.857,253.435,336.323,285.864,204.774,169.529,292.664,756.855,339.142,534.776,486.147,27.81,187.229,619.333,333.876,165.8,230.251,160.992,284.332,135.279,598.574,122.985,103.337,276.318,451.027,109.141,358.654,182.961,219.705,657.433,370.069,215.138,328.499,140.426,333.929,129.271,333.132,686.921,125.375,552.169,161.248,237.685,179.479,193.086,128.298,221.145,734.467,235.239,196.53,249.146,136.498,130.761,298.381,348.792,637.158,145.737,429.703,159.659,587.367
"Bradford",226.273,685.672,171.055,0,217.41,442.704,519.053,174.336,108.845,274.591,285.84,268.525,161.978,55.857,331.12,739.516,466.794,463.767,468.808,140.042,272.626,494.424,316.537,130.897,259.5,123.611,435.08,57.007,581.235,243.241,204.535,312.717,433.688,141.137,341.315,64.569,183.197,640.094,352.73,84.34,311.16,47.364,467.744,53.818,366.985,669.582,243.355,534.83,16.745,388.433,41.803,38.754,90.678,241.511,717.128,102.118,47.84,294.069,256.907,88.999,238.44,318.273,619.819,196.886,358.694,327.141,570.028
"Brevard",267.177,726.238,89.586,216.492,0,315.925,559.619,333.48,176.422,192.669,444.984,309.429,245.323,193.094,231.898,780.082,350.567,603.061,509.374,86.784,262.883,642.56,357.184,206.349,305.905,184.557,295.757,175.828,621.801,134.41,91.215,215.552,474.254,116.617,381.881,223.51,243.27,680.66,393.296,255.687,351.807,180.975,345.354,169.82,272.366,710.148,200.776,575.396,201.797,249.11,203.044,233.635,168.847,160.379,757.694,275.788,237.079,188.38,147.923,154.326,321.946,288.026,660.385,124.226,499.48,171.084,610.594
"Broward",528.503,987.902,304.462,442.697,318.329,0,821.283,272.089,437.748,501.44,174.494,570.755,298.527,454.42,540.669,1041.746,49.477,819.667,771.038,313.667,150.94,904.224,618.767,281.571,176.822,445.883,24.109,420.17,883.465,194.688,393.611,524.323,735.918,394.032,643.545,388.082,504.596,942.324,654.96,359.452,613.39,424.93,44.264,370.159,581.137,971.812,170.618,837.06,428.823,74.526,458.511,433.821,325.718,469.15,1019.358,344.738,422.049,497.151,182.497,415.652,583.272,596.797,922.049,432.997,714.594,145.754,872.258
"Calhoun",297.676,197.805,535.441,518.369,560.751,819.634,0,667.075,435.127,376.138,778.579,263.075,654.717,469.255,363.936,251.649,860.258,121.071,53.779,511.381,712.882,83.531,219.791,617.194,699.646,411.533,799.466,494.866,93.368,649.683,476.203,345.533,97.353,458.819,186.695,557.105,285.382,152.227,172.339,589.282,229.959,532.467,855.045,538.921,399.801,181.715,651.028,29.625,519.765,752.819,479.205,558.899,575.781,374.643,229.261,609.383,562.343,385.229,663.349,433.554,278.3,309.906,131.952,434.654,85.877,691.527,82.161
"Charlotte",374.907,834.306,287.099,174.623,333.454,271.988,667.687,0,265.488,423.225,115.124,417.159,44.602,204.491,509.906,888.15,296.078,666.071,617.442,256.086,108.263,750.628,465.171,88.058,88.784,273.623,290.86,192.679,729.869,228.901,320.579,493.56,582.322,289.771,489.949,120.008,351,788.728,501.364,91.378,459.794,156.856,297.028,169.862,550.374,818.216,151.984,683.464,160.749,242.182,190.437,165.747,128.779,390.145,865.762,76.664,153.975,466.388,216.71,237.633,406.489,466.907,768.453,354.596,560.998,219.976,718.662
"Citrus",143.127,602.526,152.353,108.094,190.928,436.546,435.907,265.18,0,191.445,376.684,185.379,252.822,54.714,247.974,656.37,477.17,374.234,385.662,128.293,329.794,404.891,233.391,215.299,350.344,8.134,416.378,97.227,498.089,266.595,164.64,229.571,350.542,66.15,258.169,155.21,84.047,556.948,269.584,187.387,228.014,130.572,471.957,137.026,283.839,586.436,267.94,451.684,117.87,369.731,77.31,140.11,173.886,158.365,633.982,207.488,149.196,210.923,280.261,35.326,148.907,235.127,536.673,113.288,269.161,308.439,486.882
"Clay",95.162,544.503,254.964,274.583,192.691,501.47,377.884,423.289,191.341,0,534.793,112.591,383.177,225.469,71.332,598.347,536.112,421.326,327.639,235.056,448.428,460.825,175.449,344.203,428.542,167.747,481.302,251.08,440.066,319.955,160.06,52.917,292.519,147.556,200.146,313.319,126.346,498.925,211.561,345.496,170.072,318.829,530.899,307.674,107.197,528.413,386.321,393.661,275.979,434.655,235.419,315.113,306.701,41.093,575.959,365.597,318.557,19.677,333.468,189.768,188.652,106.291,478.65,116.259,317.745,356.629,428.859
"Collier",487.051,946.45,336.193,286.767,445.598,174.358,779.831,116.159,377.632,535.369,0,529.303,142.597,316.635,622.05,1000.294,198.448,778.215,729.586,368.23,152.638,862.772,577.315,181.695,107.047,385.767,193.23,304.823,842.013,344.224,432.723,605.704,694.466,401.915,602.093,232.152,463.144,900.872,613.508,203.522,571.938,269,199.398,282.006,662.518,930.36,212.138,795.608,272.893,243.647,302.581,277.891,222.416,502.289,977.906,188.808,266.119,578.532,332.033,349.777,518.633,579.051,880.597,466.74,673.142,314.812,830.806
"Columbia",47.192,430.264,284.957,267.885,323.532,569.15,263.645,416.591,184.643,115.516,528.095,0,404.233,218.771,151.867,484.108,609.774,275.147,213.4,260.897,462.398,346.586,61.129,366.71,449.162,161.049,548.982,244.382,325.827,399.199,225.719,133.464,178.28,208.335,85.907,306.621,83.652,384.686,97.322,338.798,55.752,281.983,604.561,288.437,187.732,414.174,400.544,279.422,269.281,502.335,228.721,308.415,325.297,139.793,461.72,358.899,311.859,173.16,412.865,183.07,108.614,62.848,364.411,184.17,170.074,441.043,314.62
"DeSoto",361.453,820.852,201.444,161.169,247.799,299.054,654.233,44.141,252.034,385.022,142.19,403.705,0,191.037,424.251,874.696,323.144,652.617,603.988,170.431,111.373,737.174,451.717,39.974,108.245,260.169,253.874,137.735,716.415,181.434,234.924,407.905,568.868,196.587,476.495,106.554,337.546,775.274,487.91,77.924,446.34,143.402,324.094,125.55,464.719,804.762,104.517,670.01,147.295,207.227,176.983,152.293,80.695,327.044,852.308,78.826,140.521,380.733,169.243,224.179,393.035,453.453,754.999,268.941,547.544,172.509,705.208
"Dixie",176.989,636.388,168.641,54.518,207.216,452.834,469.769,203.224,54.687,225.307,314.728,219.241,190.866,0,281.836,690.232,495.682,468.153,419.524,144.581,280.887,552.71,267.253,153.343,288.388,62.822,432.666,34.504,531.951,282.883,180.928,263.433,384.404,91.853,292.031,93.254,153.082,590.81,303.446,125.431,261.876,68.616,496.632,75.07,317.701,620.298,284.228,485.546,55.914,386.019,15.354,95.048,111.93,192.227,667.844,145.532,98.492,244.785,296.549,39.715,197.747,268.989,570.535,147.602,363.08,324.727,520.744
"Duval",136.059,529.512,294.032,330.984,231.759,540.538,362.893,510.402,247.742,69.969,621.906,152.076,422.245,281.87,0,583.356,575.18,406.335,312.648,274.124,487.496,445.834,160.458,383.271,467.61,224.148,520.37,307.481,425.075,359.023,199.128,21.61,277.528,224.31,185.155,400.432,171.819,483.934,196.57,432.609,155.081,357.897,569.967,346.742,37.647,513.422,425.389,378.67,332.38,473.723,291.82,371.514,345.769,117.652,560.968,452.71,374.958,56.097,372.536,246.169,237.635,91.3,463.659,174.627,302.754,395.697,413.868
"Escambia",518.987,67.454,756.752,739.68,782.062,1040.945,251.524,888.386,656.438,597.449,999.89,484.386,876.028,690.566,585.247,0,1081.569,311.348,275.083,732.692,934.193,273.808,441.102,838.505,920.957,632.844,1020.777,716.177,166.422,870.994,697.514,566.844,318.664,680.13,408.006,778.416,571.515,120.377,393.65,810.593,451.27,753.778,1076.356,760.232,621.112,76.146,872.339,281.292,741.076,974.13,700.516,780.21,797.092,595.954,24.344,830.694,783.654,606.54,884.66,654.865,523.583,531.217,138.024,655.965,330.628,912.838,180.338
"Flagler",567.867,1027.266,339.382,467.057,353.249,49.454,860.647,296.449,477.112,536.36,198.854,610.119,322.887,496.925,575.589,1081.11,0,859.031,810.402,353.031,175.3,943.588,658.131,305.931,201.182,485.247,68.317,459.534,922.829,227.119,432.975,559.243,775.282,433.396,682.909,412.442,543.96,981.688,694.324,383.812,652.754,449.29,9.668,409.523,616.057,1011.176,211.325,876.424,453.183,118.734,482.871,458.181,365.082,504.07,1058.722,369.098,446.409,532.071,214.928,455.016,622.636,631.717,961.413,467.917,753.958,197.707,911.622
