"","Alachua","Baker","Bay","Bradford","Brevard","Broward","Calhoun","Charlotte","Citrus","Clay","Collier","Columbia","DeSoto","Dixie","Duval","Escambia","Flagler","Franklin","Gadsden","Gilchrist","Glades","Gulf","Hamilton","Hardee","Hendry","Hernando","Highlands","Hillsborough","Holmes","Indian River","Jackson","Jefferson","Lafayette","Lake","Lee","Leon","Levy","Liberty","Madison","Manatee","Marion","Martin","Miami-Dade","Monroe","Nassau","Okaloosa","Okeechobee","Orange","Osceola","Palm Beach","Pasco","Pinellas","Polk","Putnam","Santa Rosa","Sarasota","Seminole","St. Johns","St. Lucie","Sumter","Suwannee","Taylor","Union","Volusia","Wakulla","Walton","Washington"
"Alachua",0,241.067,141.15,124.017,154.15,272.55,160.517,199.483,82.417,77.117,249.867,28.683,199.417,92.15,94.583,273.533,295.633,222.3,129.783,120.3,244.933,221.45,54.05,187.05,252.033,77.417,264.05,123.967,182.183,196.183,129.85,82.9,116.383,102.317,64.183,140.017,44.667,214.8,71.517,154.45,48.083,128.6,290.233,131.617,124.55,224.117,196.233,173.017,118.833,238.733,97.533,154.95,152.2,77.833,251.567,169.217,150,98.167,200.667,79.267,78.783,77.733,203.783,94.833,137.417,212.917,179.017
"Baker",243.883,0,376.05,358.917,378.45,507.467,115.433,434.383,317.333,292.767,484.783,225.583,434.317,327.05,278.9,58.933,530.533,200.15,128.383,355.2,479.833,170.617,222.083,421.967,486.933,312.317,498.95,358.867,71.133,431.083,364.75,267.217,154.233,337.217,189.867,374.917,279.567,52.517,183.967,389.367,212.45,363.5,525.15,366.533,308.867,18.917,431.133,140.383,353.733,473.633,332.45,389.85,387.117,318.317,36.95,404.117,384.9,291.783,435.567,314.167,278.233,256.067,64.467,329.733,166,447.817,80.5
"Bay",140.75,372.933,0,119.083,66.65,166.417,292.383,176.167,101.167,156.733,230.833,160.55,150.117,108.717,165.783,405.4,190.917,355.083,261.65,34.05,137.867,353.333,185.917,124.117,160.133,112.7,157.9,100.417,314.067,81.4,73.3,155.433,248.25,82.35,196.05,116.7,138.083,346.683,203.383,131.15,179.95,95.517,185.517,87.883,198.95,355.983,89.167,304.883,103.817,132.6,114.117,134.717,92.15,147.933,383.433,145.9,129.767,146.65,84.25,90.483,198.267,199.45,335.667,106.733,270.2,105.2,310.883
"Bradford",125.983,358.167,115.7,0,132.033,233.183,277.617,107.183,82.983,185.617,157.567,145.783,107.1,39.517,209.783,390.65,249.117,328.483,246.9,95.433,180.217,344.933,171.167,100.983,153.55,90,238.6,54.95,299.3,172.483,128.367,198.1,233.483,101.517,181.3,50.25,124.25,331.917,188.617,58.017,165.2,41.95,246.433,44.967,239.75,341.217,170.333,290.117,21.433,213.283,34.883,43.483,65.55,159.283,368.667,76.2,42.45,206.683,176.967,59.1,168.3,189.333,320.9,140.583,243.617,187.467,296.117
"Brevard",155.8,376.317,67.25,131.933,0,168.617,295.767,189.017,116.233,115.983,239.4,175.6,162.95,123.767,125.05,408.783,193.117,354.217,265.033,59.017,165.783,356.7,189.75,136.967,187.583,127.75,160.1,113.267,317.45,83.6,59.867,114.7,251.633,98.517,199.433,129.533,153.15,350.05,206.767,143.983,183.783,108.367,187.717,100.733,158.217,359.367,116.717,308.267,116.667,134.8,129.167,147.567,104.983,107.183,386.817,158.733,142.617,105.917,86.45,105.55,213.317,158.717,339.05,77.867,272.233,107.4,314.267
"Broward",273.033,505.217,165.1,234.633,168.517,0,424.667,148.483,233.45,267.567,97.433,292.833,163.95,241,276.633,537.683,39.367,487.367,393.933,170.167,97.05,485.6,318.2,185.7,114.667,244.983,22.633,232.7,446.333,116.333,212.717,266.283,380.533,214.633,328.333,203.583,270.367,478.95,335.667,187.033,312.233,223.383,33.983,222.317,309.8,488.267,113.65,437.167,221.617,48.517,235.983,236.883,190.633,258.767,515.717,183.817,228.3,257.5,104.933,222.767,330.533,310.3,467.933,229.45,402.483,94.7,443.167
"Calhoun",162.267,115.633,294.417,277.3,296.817,425.833,0,352.767,235.7,211.15,403.15,143.967,352.7,245.433,197.283,148.1,448.917,91.967,45.867,273.583,398.217,62.45,140.45,340.333,405.317,230.7,417.333,277.25,56.767,349.467,283.133,185.6,72.617,255.6,108.233,293.3,199.95,89.367,102.35,307.733,130.833,281.883,443.517,284.9,227.25,98.683,349.517,24.817,272.117,392.017,250.817,308.233,305.483,236.7,126.133,322.483,303.283,210.167,353.95,232.55,193.417,174.433,78.35,248.117,63.317,366.183,53.583
"Charlotte",200.883,433.067,172.533,108.433,188.883,146.233,352.517,0,158.267,260.517,70.617,220.683,42.333,114.417,277.7,465.533,162.167,415.217,321.783,152.283,81.217,413.45,246.05,69.683,66.6,169.783,156.817,122.433,374.2,177.517,185.2,267.35,308.383,176.417,256.183,77.383,198.217,406.8,263.517,60.833,240.083,97.183,159.483,101.817,310.867,416.117,115.983,365.017,95.417,179.233,109.783,110.683,104.683,234.167,443.567,57.617,102.1,258.567,166.117,134,261.083,264.233,395.8,212.217,330.333,171.767,371.017
"Citrus",84.583,316.767,102.333,83.933,115.35,233.75,236.217,157.2,0,144.217,207.583,104.383,157.133,49.6,168.383,349.233,256.817,277.4,205.483,81.5,206.133,293.85,129.767,144.767,203.567,11.517,225.25,82.15,257.9,157.383,103.2,156.7,192.083,64.483,139.883,97.717,67.617,290.517,147.217,112.167,123.8,86.317,251.433,89.333,198.35,299.817,157.417,248.717,76.533,199.933,55.25,110.617,109.917,117.883,327.267,126.917,109.567,165.267,161.867,36.667,117.217,147.933,279.5,95.55,192.533,174.1,254.717
"Clay",79.417,292.883,157.283,186.45,114.417,265.533,212.333,261.917,144.85,0,312.3,93.283,240.117,154.583,54.183,325.35,290.033,270.783,181.6,142.217,262.7,273.267,106.317,214.133,277.1,139.85,257.033,186.4,234.017,180.517,96.333,42.7,168.2,122.567,116,202.45,113.6,266.617,123.333,216.9,100.35,185.533,284.633,177.9,84.15,275.933,213.633,224.833,181.267,231.717,159.983,217.383,182.167,32.917,303.383,231.65,212.433,22.25,183.367,141.7,163.2,75.283,255.6,89.617,188.8,204.317,230.833
"Collier",251.333,483.517,230.217,158.883,239.333,95.7,402.967,72.733,208.717,310.967,0,271.133,88.2,164.867,328.15,515.983,111.633,465.667,372.233,202.733,103.4,463.9,296.5,114.983,73.717,220.233,106.283,172.883,424.65,193.483,235.65,317.8,358.833,226.867,306.633,127.833,248.667,457.25,313.967,111.283,290.533,147.633,108.95,152.267,361.317,466.567,144.933,415.467,145.867,132.167,160.233,161.133,149.983,284.617,494.017,108.067,152.55,309.017,182.083,184.45,311.533,314.683,446.25,262.667,380.783,174.1,421.467
"Columbia",28.933,224.95,161.1,143.967,174.117,292.517,144.4,219.433,102.383,90.783,269.833,0,219.367,112.117,83.45,257.417,315.583,204.117,113.667,140.25,264.883,205.333,37.933,207.017,272,97.367,284,143.917,166.083,216.15,149.8,71.767,100.267,122.283,48.067,159.967,66,198.683,55.4,174.417,31.967,148.55,310.2,151.583,113.417,208,216.183,156.9,138.783,258.7,117.5,174.9,172.167,103.883,235.45,189.167,169.95,96.333,220.633,99.217,82.433,55.05,187.667,114.783,119.233,232.867,162.9
"DeSoto",196.717,428.917,148.483,104.283,164.833,164.067,348.367,40.767,154.1,244.583,88.45,216.533,0,110.267,253.633,461.383,180,411.067,317.633,128.217,75.733,409.3,241.9,30.817,75.5,165.633,178.017,121.05,370.033,140.017,161.15,243.3,304.233,157.867,252.033,73.233,194.067,402.65,259.367,56.667,235.933,93.017,177.317,97.8,286.817,411.967,78.483,360.867,91.25,152.717,105.633,106.517,65.817,231.1,439.4,61.033,97.95,234.5,128.617,129.85,256.917,260.067,391.633,188.167,326.183,134.267,366.85
"Dixie",93.433,325.617,108.883,37.717,121.9,240.3,245.067,113.2,48.35,153.067,163.583,113.233,113.117,0,177.233,358.083,255.133,307.767,214.333,88.033,184.6,306.017,138.617,100.767,159.567,59.883,231.783,36.8,266.75,163.917,109.75,165.55,200.933,68.967,148.733,53.717,90.783,299.367,156.067,68.167,132.65,42.317,252.45,45.333,207.2,308.667,163.967,257.567,32.533,206.467,11.25,68.667,65.917,126.733,336.117,82.917,63.717,174.117,168.4,26.55,153.517,156.783,288.35,108.033,222.9,180.65,263.567
"Duval",94.133,276.65,170.183,207.567,127.333,278.45,196.1,279.1,165.967,52.533,329.483,83.117,253.033,175.7,0,309.117,302.95,254.55,165.367,155.133,275.617,257.05,90.083,227.05,290.017,160.967,269.95,207.517,217.783,193.433,109.25,18.333,151.967,157.15,99.767,219.617,132.383,250.4,107.1,234.067,84.117,198.45,297.55,190.817,39.467,259.7,226.55,208.6,202.383,244.633,181.083,238.5,195.067,77.917,287.15,248.817,233.55,40.333,196.283,162.817,161.783,59.05,239.383,108.083,172.567,217.233,214.6
"Escambia",276,60.833,408.167,391.033,410.567,539.583,147.55,466.5,349.45,324.883,516.9,257.7,466.433,359.167,311.017,0,562.65,232.267,160.5,387.317,511.95,202.733,254.2,454.083,519.05,344.433,531.067,390.983,103.25,463.2,396.867,299.333,186.35,369.333,221.983,407.033,311.683,86.267,216.083,421.483,244.567,395.617,557.25,398.633,340.983,58.133,463.25,172.5,385.85,505.75,364.567,421.967,419.217,350.433,24.967,436.233,417.017,323.9,467.683,346.283,310.35,288.167,95.317,361.85,198.117,479.933,112.6
"Flagler",295.267,527.45,189,249.8,192.417,38.25,446.9,163.65,255.683,291.467,112.6,315.067,179.117,255.783,300.533,559.917,0,509.6,416.167,192.4,112.217,507.833,340.433,200.867,129.833,267.217,48.733,254.933,468.583,139.683,234.967,290.183,402.767,236.867,350.567,218.75,292.6,501.183,357.9,202.2,334.467,238.55,14.183,244.55,333.7,510.5,136.05,459.4,236.783,74.617,251.15,252.05,212.867,282.667,537.95,198.983,243.467,281.4,128.283,245,352.783,334.2,490.183,253.333,424.717,120.3,465.4
"Franklin",223.2,195.667,356.967,328.85,355.567,488.383,90.583,415.3,276.35,269.883,465.7,205.55,415.233,307.967,256.017,228.15,511.45,0,110.467,336.117,460.75,28.833,199.2,402.883,467.85,267.1,479.867,339.783,143.9,412,345.667,244.333,117.85,318.133,166.983,355.833,224.133,167.733,161.083,370.067,189.583,344.417,506.05,347.433,285.983,178.717,412.05,69.067,334.65,454.55,313.367,355.533,368.017,298.15,206.167,388.267,354.5,268.9,416.483,295.083,217.583,233.183,161.167,310.65,95,428.733,142.05
