"","Appling","Atkinson","Bacon","Baker","Baldwin","Banks","Barrow","Bartow","Ben Hill","Berrien","Bibb","Bleckley","Brantley","Brooks","Bryan","Bulloch","Burke","Butts","Calhoun","Camden","Candler","Carroll","Catoosa","Charlton","Chatham","Chattahoochee","Chattooga","Cherokee","Clarke","Clay","Clayton","Clinch","Cobb","Coffee","Colquitt","Columbia","Cook","Coweta","Crawford","Crisp","Dade","Dawson","Decatur","DeKalb","Dodge","Dooly","Dougherty","Douglas","Early","Echols","Effingham","Elbert","Emanuel","Evans","Fannin","Fayette","Floyd","Forsyth","Franklin","Fulton","Gilmer","Glascock","Glynn","Gordon","Grady","Greene","Gwinnett","Habersham","Hall","Hancock","Haralson","Harris","Hart","Heard","Henry","Houston","Irwin","Jackson","Jasper","Jeff Davis","Jefferson","Jenkins","Johnson","Jones","Lamar","Lanier","Laurens","Lee","Liberty","Lincoln","Long","Lowndes","Lumpkin","Macon","Madison","Marion","McDuffie","McIntosh","Meriwether","Miller","Mitchell","Monroe","Montgomery","Morgan","Murray","Muscogee","Newton","Oconee","Oglethorpe","Paulding","Peach","Pickens","Pierce","Pike","Polk","Pulaski","Putnam","Quitman","Rabun","Randolph","Richmond","Rockdale","Schley","Screven","Seminole","Spalding","Stephens","Stewart","Sumter","Talbot","Taliaferro","Tattnall","Taylor","Telfair","Terrell","Thomas","Tift","Toombs","Towns","Treutlen","Troup","Turner","Twiggs","Union","Upson","Walker","Walton","Ware","Warren","Washington","Wayne","Webster","Wheeler","White","Whitfield","Wilcox","Wilkes","Wilkinson","Worth"
"Appling",0,301.742,241.889,394.788,204.959,185.81,169.449,82.792,225.706,316.234,187.982,196.282,309.739,255.374,200.88,159.621,76.467,124.368,318.543,373.845,194.185,287.375,370.95,330.385,249.995,223.367,207.328,267.788,138.153,493.955,216.545,314.02,305.489,251.263,439.185,21.715,391.8,263.693,114.895,292.498,426.728,358.806,202.06,202.06,190.983,278.475,287.732,256.856,508.152,353.878,197.891,96.41,113.441,21.715,357.939,235.156,239.132,196.299,292.369,208.548,333.674,66.922,341.889,147.519,436.468,152.629,193.596,291.6,206.08,84.021,277.041,339.939,125.926,232.216,189.453,322.827,275.387,182.951,304.522,208.035,171.634,112.51,260.656,296.129,312.806,208.97,142.725,348.434,97.864,35.801,253.757,431.876,427.729,193.791,120.562,180.795,28.407,275.486,142.038,439.185,69.618,164.916,264.7,409.3,345.422,373.228,394.788,122.737,278.697,259.136,231.316,304.522,269.803,236.54,322.93,168.057,316.562,434.842,216.545,459.486,41.294,218.901,380.097,265.656,461.24,272.402,107.637,164.849,325.913,280.415,63.825,179.074,264.696,198.236,175.472,429.284,356.363,162.225,201.428,146.587,306.609,321.63,171.987,453.313,240.55,383.178,164.916,284.822,318.07,59.222,261.428,336.912,186.147,288.044,297.457,225.411,59.222,144.299,319.135
"Atkinson",301.68,0,76.672,264.032,533.629,530.117,488.936,228.505,423.552,148.954,284.909,214.108,342.466,388.498,173.957,164.541,243.371,201.219,527.095,37.55,499.658,495.704,579.502,54.618,147.687,431.696,491.355,476.34,385.634,329.14,582.184,93.589,254.209,60.299,306.213,302.973,159.076,456.696,377.567,234.568,635.28,268.782,422.251,422.251,186.229,248.331,503.092,111.292,317.335,148.324,173.287,380.437,186.909,302.973,566.491,399.929,447.461,321.804,485.372,416.696,542.226,275.413,43.636,279.464,243.031,388.211,460.313,500.152,496.432,285.695,393.449,408.574,409.953,256.084,374.637,453.503,156.934,356.57,513.074,117.125,506.94,210.162,480.713,92.76,266.105,166.442,205.851,255.372,313.378,331.758,68.86,150.032,319.53,291.149,351.098,256.376,290.898,111.573,292.744,306.213,276.952,409.988,144.599,283.448,553.974,366.367,264.032,241.65,284.978,467.465,306.227,513.074,45.439,360.929,531.259,159.805,322.843,177.846,582.184,303.088,296.297,427.23,211.655,44.884,315.975,281.461,353.595,364.337,282.244,381.566,326.025,119.876,345.106,153.879,280.402,218.759,166.06,139.496,139.542,169.197,433.92,202.575,255.613,328.292,377.776,258.381,409.988,49.851,526.622,334.051,481.485,310.519,159.314,496.596,446.899,189.751,334.051,247.927,208.628
"Bacon",241.858,76.672,0,206.497,459.551,456.039,414.858,168.683,349.474,96.102,210.831,140.03,262.708,314.42,123.711,138.478,191.876,148.335,453.017,114.223,425.58,421.626,505.424,98.852,180.67,357.618,431.533,402.262,325.357,271.605,508.106,82.952,174.451,17.349,248.678,247.976,116.573,382.618,317.745,154.81,561.202,207.692,348.173,348.173,112.151,168.573,429.014,37.086,259.8,128.785,168.088,320.615,127.087,247.976,492.413,325.851,373.383,247.726,411.294,342.618,468.148,215.591,111.098,205.386,210.922,327.386,386.235,426.074,422.354,220.905,319.371,311.287,350.131,182.006,300.559,377.902,77.216,282.492,438.996,40.904,432.862,160.223,406.635,121,186.347,131.801,131.773,175.614,248.588,271.936,82.199,130.477,258.699,217.071,277.02,182.298,231.076,114.255,218.666,248.678,217.13,335.91,169.122,225.913,479.896,305.536,206.497,173.573,205.22,393.387,197.114,438.996,40.984,286.851,457.181,132.718,243.085,158.291,508.106,245.553,241.162,353.152,154.12,54.373,270.733,195.41,288.805,290.259,202.486,272.453,266.203,83.9,235.993,79.801,206.324,188.465,108.525,79.674,65.464,104.406,358.318,122.817,181.535,270.757,290.861,200.846,335.91,42.991,452.544,274.229,407.407,232.877,85.236,422.518,353.109,114.385,274.229,173.849,128.87
"Baker",394.717,264.024,211.087,0,446.667,443.155,401.974,281.914,336.59,119.093,206.608,168.413,149.067,254.39,352.079,338.822,349.066,327.182,440.133,301.575,412.696,299.489,492.54,269.939,401.075,344.734,537.91,389.378,363.39,87.8,495.222,166.376,84.561,228.349,45.06,411.642,98.642,276.497,355.034,99.24,548.318,70.693,335.289,335.289,182.805,120.774,416.13,169.647,64.575,165.414,384.303,397.407,284.323,411.642,479.529,312.967,360.499,234.842,264.957,329.734,455.264,343.802,307.661,239.037,58.671,365.419,373.351,413.19,409.47,294.187,268.28,206.857,427.36,176.357,287.675,251.786,129.279,269.608,426.112,206.764,419.978,339.07,393.751,356.785,87.258,360.169,222.039,52.165,307.347,405.292,297.758,136.321,114.36,205.957,315.783,237.357,349.156,329.814,266.292,45.06,333.193,336.752,415.78,42.108,467.012,164.65,0,290.804,126.738,380.503,178.67,426.112,229.993,222.996,355.106,317.487,126.477,108.725,495.222,82.801,424.181,340.268,64.662,259.258,67.115,132.436,344.679,289.7,78.902,180.601,336.751,263.434,152.74,188.733,223.062,72.164,97.97,250.49,206.275,250.826,232.203,90.864,219.174,108.005,197.412,26.233,336.752,214.881,439.66,357.426,394.523,108.802,204.043,409.634,245.182,147.178,357.426,254.763,96.918
"Baldwin",207.254,533.77,457.509,445.571,0,21.441,79.346,247.938,140.93,446.134,251.068,309.949,345.592,190.322,465.915,355.045,271.891,319.792,211.645,638.761,47.619,202.707,264.052,579.115,514.911,128.578,89.873,160.89,67.402,417.127,54.496,505.974,356.272,474.447,453.507,224.179,442.583,186.865,91.866,343.281,319.83,391.346,115.519,115.519,337.821,329.258,67.992,445.216,431.324,517.146,393.315,89.025,281.203,224.179,116.52,160.473,137.763,212.665,215.541,123.75,121.647,194.809,606.805,214.208,487.251,80.954,86,184.702,37.897,169.255,200.213,263.111,82.862,282.999,164.257,245.999,416,195.588,113.233,417.792,54.262,307.934,59.584,561.045,363.589,474.005,262.191,399.217,143.782,150.278,495.142,482.659,350.901,249.386,116.171,278.086,178.949,540.402,180.122,453.507,195.541,103.943,529.616,416.182,160.606,296.4,445.571,232.57,329.48,168.935,282.099,113.233,498.082,209.047,221.227,431.323,356.076,485.625,54.496,382.658,236.718,123.615,430.88,496.254,474.177,323.185,102.461,181.852,353.165,269.674,142.771,436.808,279.406,377.628,263.791,480.067,407.146,413.922,395.17,364.662,229.781,372.413,288.002,376.485,239.06,427.033,103.943,524.057,211.172,137.654,55.566,363.255,373.359,181.146,220.629,359.692,137.654,220.998,369.918
"Banks",188.16,531.667,455.406,443.468,21.542,0,60.252,228.844,138.827,444.031,248.965,307.846,343.489,188.219,362.909,335.951,252.797,300.698,209.542,535.755,46.411,200.604,261.949,577.012,411.905,126.475,108.809,158.787,48.308,415.024,75.436,503.871,354.169,472.344,451.404,205.085,440.48,184.762,72.772,341.178,317.727,389.243,113.416,113.416,335.718,327.155,69.298,443.113,429.221,515.043,374.221,74.16,262.109,205.085,137.46,158.37,135.66,210.562,213.438,121.647,127.894,175.715,503.799,195.114,485.148,61.86,78.556,182.599,39.203,150.161,198.11,261.008,67.997,280.896,162.154,243.896,413.897,193.485,114.539,415.689,28.5,288.84,60.965,458.039,361.486,370.999,243.097,397.114,124.688,135.413,386.076,480.556,348.798,247.283,97.077,275.983,159.855,437.396,161.028,451.404,176.447,84.849,426.61,414.079,166.853,294.297,443.468,213.476,327.377,166.832,279.996,114.539,495.979,206.944,219.124,312.736,353.973,483.522,75.436,380.555,217.624,121.512,428.777,494.151,472.074,321.082,83.367,179.749,351.062,267.571,123.677,327.742,277.303,375.525,261.688,477.964,405.043,310.893,393.067,362.559,227.678,370.31,285.899,374.382,236.957,424.93,84.849,521.954,209.069,118.56,56.947,361.152,371.256,179.043,218.526,357.589,118.56,201.904,367.815
"Barrow",165.606,405.535,414.541,402.603,79.54,60.391,0,195.977,97.962,403.166,208.1,266.981,302.624,147.354,335.01,313.397,230.243,278.144,168.677,507.856,31.05,159.739,221.084,536.147,384.006,85.61,155.146,117.922,41.154,374.159,133.434,463.006,313.304,431.479,410.539,182.531,399.615,143.897,59.254,300.313,276.862,348.378,72.551,72.551,294.853,286.29,74.183,402.248,388.356,474.178,351.667,93.6,239.555,182.531,208.073,117.505,94.795,169.697,172.573,80.782,183.808,153.161,475.9,151.727,444.283,19.884,30.135,141.734,44.741,120.014,157.245,220.143,114.334,240.031,121.289,203.031,373.032,92.822,154.656,374.824,21.685,266.286,38.436,430.14,320.621,343.1,202.619,356.249,94.541,133.931,364.237,439.691,307.933,206.418,57.343,235.118,147.155,409.497,120.55,410.539,153.893,23.528,398.711,373.214,195.556,253.432,402.603,183.329,286.512,125.967,239.131,154.656,373.596,166.079,178.259,290.182,313.108,442.657,133.434,339.69,195.07,80.647,387.912,369.449,431.209,280.217,69.849,72.906,310.197,226.706,105.03,305.903,236.438,334.66,151.868,437.099,364.178,283.017,352.202,236.511,186.813,329.445,245.034,333.517,196.092,384.065,23.528,481.089,168.204,105.042,39.823,320.287,330.391,138.178,177.661,316.724,105.042,161.426,326.95
"Bartow",82.806,227.506,167.653,287.433,244.234,225.085,195.226,0,257.407,235.935,125.559,113.49,248.723,230.124,140.005,96.54,56.49,59.977,350.244,312.851,231.157,319.076,402.651,256.149,189.001,255.068,272.481,299.489,175.829,324.937,298.128,233.721,198.111,177.027,331.83,99.089,284.445,295.394,156.023,185.143,458.429,251.428,233.761,233.761,108.191,171.097,319.433,176.557,335.832,273.579,139.842,161.563,39.205,99.089,389.64,241.555,270.833,163.43,324.07,240.249,365.375,53.116,280.895,99.397,329.113,178.406,225.297,323.301,243.052,75.89,235.075,263.123,191.079,148.509,216.263,354.528,192.595,171.726,336.223,127.736,208.606,52.824,292.357,235.135,205.428,148.095,59.933,241.079,103.573,112.884,163.172,275.271,275.381,132.775,152.263,119.478,72.024,214.492,96.918,331.83,54.655,196.617,203.706,301.945,377.123,287.236,287.433,58.656,189.569,290.837,165.667,336.223,195.567,202.555,354.631,105.413,227.434,327.487,298.128,286.641,94.505,250.602,272.742,191.42,353.885,183.274,143.79,167.227,231.218,224.289,104.481,104.838,203.68,115.444,121.07,321.929,223.904,87.989,118.636,63.795,274.022,195.353,107.229,302.527,206.565,275.823,196.617,210.586,349.771,115.177,293.129,246.925,103.355,319.745,268.813,142.619,115.177,77.659,211.78
"Ben Hill",225.841,423.348,347.087,326.512,142.935,139.423,98.242,266.525,0,335.712,140.646,199.527,213.946,58.676,355.493,342.236,290.478,330.596,118.251,528.339,108.964,80.899,170.658,468.693,404.489,16.878,234.178,67.552,135.641,285.481,191.49,395.552,245.85,364.025,321.861,242.766,332.161,55.219,153.741,232.859,226.436,259.7,29.567,29.567,227.399,218.836,103.281,334.794,299.678,406.724,387.717,188.087,287.737,242.766,157.703,36.124,32.643,102.243,83.895,18.44,133.438,213.396,496.383,169.344,376.829,114.744,69.619,91.308,105.738,181.718,68.567,131.465,193.366,172.577,53.835,114.353,305.578,85.166,104.286,307.37,116.246,326.521,90.019,450.623,253.167,363.583,225.453,288.795,155.07,236.416,384.72,372.237,219.255,138.964,112.641,167.664,207.39,429.98,168.08,321.861,214.128,90.874,419.194,284.536,145.13,164.754,326.512,221.111,219.058,52.66,171.677,104.286,387.66,82.54,116.454,320.901,224.43,375.203,191.49,251.012,255.305,20.055,320.458,385.832,342.531,212.763,175.83,94.574,268.203,138.028,167.875,326.386,168.984,267.206,153.369,369.645,296.724,303.5,284.748,254.24,98.135,261.991,177.58,244.839,128.638,295.387,90.874,413.635,117.778,199.13,90.791,231.609,262.937,87.752,88.983,249.27,199.13,185.07,259.496
"Berrien",316.549,148.97,96.033,119.057,447.295,443.783,402.602,237.266,337.218,0,207.236,169.041,215.537,302.164,219.745,234.512,266.567,226.993,440.761,186.521,413.324,409.37,493.168,154.885,296.658,345.362,538.538,390.006,364.018,202.537,495.85,60.711,127.28,113.295,161.238,322.667,20.47,370.362,355.662,107.639,548.946,142.179,335.917,335.917,128.468,121.402,416.758,59.427,181.16,71.078,264.122,398.035,201.778,322.667,480.157,313.595,361.127,235.47,340.071,330.362,455.892,278.845,192.607,239.665,112.078,366.047,373.979,413.818,410.098,294.815,307.115,293.471,427.988,176.985,288.303,326.9,44.746,270.236,426.74,108.567,420.606,238.881,394.379,241.731,139.176,227.835,177.391,128.443,307.975,405.92,182.704,45.369,192.927,206.585,316.411,237.985,349.784,214.76,266.92,161.238,268.236,337.38,293.57,156.845,467.64,239.764,119.057,219.222,158.049,381.131,179.298,426.74,114.939,274.595,444.925,211.376,195.914,65.489,495.85,176.485,315.853,340.896,62.981,144.204,185.022,154.532,345.307,290.328,155.315,254.637,337.379,171.101,218.177,121.785,223.69,89.621,38.569,158.332,136.345,172.482,307.317,75.646,219.802,201.689,250.847,131.778,337.38,99.827,440.288,358.054,395.151,185.706,137.095,410.262,320.296,94.023,358.054,255.391,81.699
