"","Appling","Atkinson","Bacon","Baker","Baldwin","Banks","Barrow","Bartow","Ben Hill","Berrien","Bibb","Bleckley","Brantley","Brooks","Bryan","Bulloch","Burke","Butts","Calhoun","Camden","Candler","Carroll","Catoosa","Charlton","Chatham","Chattahoochee","Chattooga","Cherokee","Clarke","Clay","Clayton","Clinch","Cobb","Coffee","Colquitt","Columbia","Cook","Coweta","Crawford","Crisp","Dade","Dawson","Decatur","DeKalb","Dodge","Dooly","Dougherty","Douglas","Early","Echols","Effingham","Elbert","Emanuel","Evans","Fannin","Fayette","Floyd","Forsyth","Franklin","Fulton","Gilmer","Glascock","Glynn","Gordon","Grady","Greene","Gwinnett","Habersham","Hall","Hancock","Haralson","Harris","Hart","Heard","Henry","Houston","Irwin","Jackson","Jasper","Jeff Davis","Jefferson","Jenkins","Johnson","Jones","Lamar","Lanier","Laurens","Lee","Liberty","Lincoln","Long","Lowndes","Lumpkin","Macon","Madison","Marion","McDuffie","McIntosh","Meriwether","Miller","Mitchell","Monroe","Montgomery","Morgan","Murray","Muscogee","Newton","Oconee","Oglethorpe","Paulding","Peach","Pickens","Pierce","Pike","Polk","Pulaski","Putnam","Quitman","Rabun","Randolph","Richmond","Rockdale","Schley","Screven","Seminole","Spalding","Stephens","Stewart","Sumter","Talbot","Taliaferro","Tattnall","Taylor","Telfair","Terrell","Thomas","Tift","Toombs","Towns","Treutlen","Troup","Turner","Twiggs","Union","Upson","Walker","Walton","Ware","Warren","Washington","Wayne","Webster","Wheeler","White","Whitfield","Wilcox","Wilkes","Wilkinson","Worth"
"Appling",0,227.867,181.05,249.567,143.617,133.567,112.383,67.117,120.5,245.85,127.233,154.483,208.083,155.317,138.25,108.15,51.367,82.433,169.383,220.967,139.783,159.633,192.5,247.067,162.583,117.017,172.15,144,95.533,270.317,179.7,243.433,192.567,191.517,278.883,20.617,226.85,139.717,73.2,179.733,223.817,235.333,113.367,113.367,153.067,171.517,156.4,200.25,271.783,272.7,128.733,76.9,91.483,20.617,199.317,136.5,130.483,122.05,163.1,108.667,183.583,46.683,207.517,106.933,275.5,100.483,126.167,153.467,150.917,58.467,157.067,179.433,101.3,151.383,117.183,179.983,215.417,112.267,163.45,163.15,119.567,73.667,140.667,187.567,197.033,144.35,113.283,214.167,62.3,29.05,176.65,248.95,223.683,130.833,65.7,133.867,20.867,177.833,92.15,278.883,50.65,95.333,174.017,259.083,193.667,191.917,249.567,89.233,179.283,151.317,153.817,163.45,202.867,154.55,179.35,113.867,208.617,260.617,179.7,243.383,29.7,120.417,237.583,200.417,296.683,172.517,68.483,99.033,217.617,182.567,37.817,139.017,174.783,157.183,124.817,281.417,211.45,121.517,156.983,115.5,160.15,193.317,127.35,241.683,158.517,239.233,95.333,213.7,174.15,43.5,137.567,224.133,145.617,150.25,156.817,181.717,43.5,107.65,193.717
"Atkinson",226.367,0,58.267,190.317,324.517,323.567,304.65,169.983,265.05,104.4,193,162.883,236.317,259.85,104.367,125.217,175.95,150.817,321.267,27.467,304.333,311.883,344.383,38.067,89.817,269.267,378.583,295.883,300.1,240.333,356.85,69.75,169.317,45.117,218.15,222.083,119.083,283.367,279,155.25,375.717,187.933,271.383,271.383,140.233,160.983,313.617,82.017,230.55,110.267,109.95,283.333,140.25,222.083,351.2,267.667,282.733,212.183,306.767,260.05,335.483,203.867,32.833,197.483,184.65,303.15,287.667,305.35,304.383,220.867,269.733,278.033,307.733,192.7,241.9,312,109.65,232.05,315.35,87.783,309.8,153.133,298.383,63.3,179.267,99.55,155.117,175.783,246.65,244.6,49.517,110.767,224.733,197.467,263.083,176.4,217.233,75.85,218.033,218.15,205.85,290.95,92.783,204.367,345.55,251.717,190.317,185.467,190.933,303.567,193.85,315.35,34.183,244.7,331.6,116.85,220.267,133.4,356.85,216.017,214.933,272.667,152.033,34.45,233.05,186.567,274.867,252.117,192.65,245.733,241.167,91.017,221.183,116.95,192.933,160.333,113.267,105,105.283,130.633,290.533,137.183,178.583,233.05,244.833,184.717,290.95,36.3,326.033,249.1,295.283,215.683,120.833,302.15,290.217,139.933,249.1,185.333,141.817
"Bacon",180.533,58.8,0,162.383,270.217,269.267,250.35,124.15,210.767,75.817,138.7,108.583,195.7,205.567,93.033,108.567,141.767,113.7,266.967,86.267,250.033,257.583,290.083,72.317,130.267,214.967,332.75,241.6,246.55,212.383,302.55,61.55,128.7,15.067,190.217,189.25,93.683,229.067,233.167,114.633,321.417,159.933,217.083,217.083,85.95,120.367,259.317,31.283,202.617,97.167,131.683,237.5,94.4,189.25,296.9,213.367,228.433,157.883,252.467,205.75,281.183,158.033,85.983,143.2,165.683,249.833,233.367,251.05,250.083,172.033,215.433,236.05,261.9,138.4,187.6,271.367,61.983,177.75,261.05,32.083,255.5,123.333,244.1,107.283,138.65,99.133,100.817,135.167,197.817,198.767,66.95,97.233,197.567,143.167,208.783,122.1,171.4,97.567,163.75,190.217,160.017,236.65,137.717,176.433,291.267,224.55,162.383,133.6,150.317,249.267,151.783,261.05,33.033,190.4,277.3,96.883,179.65,119.867,302.55,188.083,181.683,218.367,124.1,42.167,208.017,145.083,226.033,197.817,152.017,203.667,195.333,62.983,179.117,62.65,138.65,146.667,85.317,59.167,50.983,80.767,249.617,96.567,124.283,205.117,194.367,156.767,236.65,33.783,271.733,203.267,240.983,176.667,66.533,247.85,244.667,86.933,203.267,131.033,101.2
"Baker",251.633,190.517,162.033,0,254.683,253.733,234.817,211.183,195.217,100.317,127.85,124.75,115.75,194.183,227.667,226.967,247.3,226.517,251.433,218,234.483,206.817,274.55,191.533,251.183,199.433,318.367,226.05,243.167,67.817,287.017,136.7,71.783,176.333,32.167,263.667,82.117,174.5,247.1,75.467,305.883,53.133,201.55,201.55,134.233,86.417,243.783,134.983,49.217,124.567,250.15,276.833,200.167,263.667,281.367,197.833,212.9,142.35,182.467,190.217,265.633,225.467,223.367,155.65,46.517,246.433,217.833,235.517,234.55,197.45,189.767,145.017,289.817,114.467,172.067,178.983,102.633,162.217,245.5,161.05,239.95,236.133,228.55,253.833,75.983,233.767,166,46.75,211.517,262.717,219.217,100.767,81.433,129.033,203.733,142.45,239.55,249.833,174.217,32.167,217.3,224,262.6,31.85,275.717,118.7,0,193.25,102.433,233.733,119.283,245.5,167.983,167.333,252.7,208.9,100.183,79.567,287.017,66.25,268.75,202.817,51.35,189.15,49.967,106.15,238.05,181.633,62.817,139.85,223.483,204.083,117.85,138.683,140.133,56.767,78.717,191.2,152.8,177.15,157.517,70.967,147.5,83.283,147.45,20.95,224,156.05,256.2,247.517,225.45,82.4,151.417,232.317,157.2,106.75,247.517,168.05,76.633
"Baldwin",142.7,328.183,271.067,257.833,0,15.417,55.967,182.717,87.3,246.183,142.367,180.167,196.783,126.533,249.117,238.267,181.467,212.533,124.117,331.033,35.8,126.817,147.233,332.533,272.633,84.533,76.033,98.733,52.783,241.883,40.067,287.767,200.833,284.467,266.617,154.733,235.1,111.283,69.55,188,178.55,218.517,76.4,76.4,201.433,179.783,63.7,263.767,243.35,280.033,258.85,75.667,210.267,154.733,102.333,109.783,88.15,121.767,134.683,75.933,107.45,143.45,317.567,163.2,283.767,60.8,65.783,108.2,32.433,126.7,128.633,151.017,59.583,159.65,100.833,151.567,230.433,116.65,105.167,242.017,39.983,203.783,44.267,297.617,205.283,255.217,192.967,222.417,109.65,122.517,283.483,257.2,195.25,144.35,85.283,154.2,135.617,287.883,135.1,266.617,145.217,80.033,284.067,240,140.417,163.5,257.833,172.033,187.55,117.9,162.083,105.167,302.417,134.283,143.767,230.35,202.283,268.867,40.067,214.95,159.8,81.283,245.85,301.017,276.383,180.767,77.85,116.533,228.083,177.15,108.117,239.867,175.717,213.583,151.883,289.683,219.717,224.283,227.7,198.6,131.717,201.567,161.95,213.267,149.733,245.117,80.033,297.033,128.883,104.683,39.517,204.033,210.5,104.983,128.383,211.033,104.683,165.8,201.983
"Banks",132.867,324.867,267.75,254.533,17.1,0,46.133,172.883,83.983,242.867,139.05,176.867,193.467,123.233,256.633,228.417,171.633,202.7,120.8,338.55,36.317,123.5,143.917,329.217,280.15,81.233,87.817,95.433,42.95,238.583,55.1,284.467,197.517,281.15,263.3,144.9,231.8,107.967,59.7,184.7,175.25,215.2,73.1,73.1,198.117,176.467,69.3,260.45,240.05,276.717,249,66.983,200.433,144.9,117.367,106.483,84.833,118.45,131.367,72.633,112.417,133.617,325.083,153.367,280.467,50.967,58.7,104.883,38.033,116.867,125.333,147.7,50.9,156.333,97.533,148.25,227.133,113.333,110.767,238.717,27.217,193.933,48.767,305.133,201.983,262.733,183.133,219.117,99.8,113.833,291.567,253.9,191.933,141.05,75.45,150.9,125.783,295.4,125.267,263.3,135.383,70.2,291.583,236.7,145.383,160.183,254.533,162.2,184.233,114.6,158.767,110.767,299.117,130.967,140.45,238.383,198.967,265.567,55.1,211.65,149.967,77.967,242.533,297.7,273.067,177.467,68.017,113.217,224.767,173.85,98.267,247.95,172.4,210.283,148.583,286.367,216.4,230.45,224.383,195.283,128.4,198.267,158.65,209.95,146.417,241.817,70.2,293.733,125.567,94.85,44.017,200.717,207.183,101.683,125.067,207.717,94.85,155.967,198.667
"Barrow",112.317,314.9,249.65,236.433,57.45,47.4,0,152.1,65.883,224.783,120.967,158.767,175.383,105.133,235.483,207.883,151.083,182.15,102.717,317.4,30.9,105.417,125.833,311.133,259,63.133,112.033,77.333,33.733,220.483,95.433,266.367,179.417,263.067,245.217,124.35,213.7,89.883,46.683,166.6,157.15,197.117,55,55,180.033,158.383,74.75,242.367,221.95,258.633,228.467,69.767,179.883,124.35,132.65,88.383,66.75,100.35,113.267,54.533,116.917,113.067,303.95,132.733,262.367,19.933,29.8,86.8,45.767,94.5,107.233,129.6,75.117,138.25,79.433,130.15,209.033,92.6,96.783,220.617,23.717,173.4,43.333,283.983,183.883,241.583,160.017,201.017,77.45,102.267,269.85,235.8,173.85,122.95,51.45,132.8,103.983,274.267,102.15,245.217,114.833,25.4,270.433,218.6,127,142.1,236.433,139.833,166.15,96.5,140.683,96.783,289.9,112.883,122.367,217.85,180.883,247.467,95.433,193.55,129.433,59.883,224.45,287.45,254.983,159.367,54.983,75.1,206.683,155.75,84.133,226.25,154.317,192.183,135.817,268.283,198.317,210.667,206.3,184.85,110.317,180.167,140.55,191.867,128.333,223.717,25.4,275.633,107.483,81.817,43.4,182.617,189.083,83.583,106.983,189.633,81.817,132.833,180.583
"Bartow",69.233,169.317,122.5,211.917,181.883,171.833,150.967,0,163.217,181.467,97.85,87.667,180.85,165.983,89.133,74.267,45.217,46.767,212.1,171.05,177.7,202.35,235.217,188.517,112.65,159.75,221.433,186.733,136.033,250.017,219.883,179.067,154.267,132.95,241.233,80.383,189.183,182.433,117.183,142.083,266.55,197.05,156.083,156.083,86.25,133.217,199.117,135.867,247.617,208.317,99.267,126.2,32.933,80.383,242.033,173.8,173.217,118.317,205.833,151.383,226.317,40.6,157.583,74.433,237.85,139.083,168.9,196.183,188.85,56.8,175.867,202.25,150.6,108.083,148.033,222.717,148.6,136.15,206.183,98.767,157.5,40.433,183.4,137.633,158.733,95.233,46.467,176.5,82.583,87.467,124.067,208.383,216.7,103.6,108.417,81.517,60.1,127.9,77.833,241.233,42.583,138.05,124.083,221.433,236.4,202.55,211.917,44.117,147.567,194.033,123.4,206.183,144.317,150.833,222.083,70.367,176.883,222.95,219.883,226.983,77.4,163.133,199.933,141.867,259.033,140.783,110.8,132.067,180.483,169.883,79.35,80.45,147.55,90.367,90,243.767,171.933,62.95,90.167,48.683,210.05,157.167,79.483,237.983,154.8,201.583,138.05,155.15,216.867,91.967,180.283,192.5,78.8,192.983,205.1,114.9,91.967,55.917,156.067
"Ben Hill",120.833,264.133,207,195.183,86.533,85.6,66.667,160.85,0,182.117,78.317,116.117,121.417,51.167,185.05,184.367,159.617,183.9,69.783,266.967,66.35,56.667,92.9,268.467,208.583,13.9,150.233,44.417,90.3,166.517,118.883,223.717,136.767,220.4,191.25,132.883,171.05,35.917,103.233,123.95,124.217,143.15,29.917,29.917,137.367,115.717,66.217,199.7,167.983,215.967,207.55,126.333,157.567,132.883,99.733,34.5,27.367,57.7,59.317,16.067,84,121.6,253.517,103.333,219.717,77.167,49.683,53.867,66.4,106.517,53.267,75.65,113.317,95.583,36.783,76.2,166.383,52.583,63.867,177.967,71.817,181.917,60.417,233.55,141.233,191.167,123.4,158.367,91.85,131.933,219.417,193.15,119.883,80.3,68.033,90.15,112.5,223.833,105.283,191.25,123.367,69.683,220,164.633,94.067,88.133,195.183,140.933,123.483,48.35,98.017,63.867,238.367,70.1,76.383,166.3,126.917,204.817,118.883,139.583,137.95,20.783,181.783,236.95,201.017,116.717,108.183,66.4,156.967,101.783,92.7,175.817,111.667,149.533,87.833,225.617,155.65,160.233,163.633,134.55,56.35,137.517,97.9,137.9,85.667,169.75,69.683,232.983,74.55,115.75,57.3,128.667,146.433,50.65,53.017,146.967,115.75,115.75,137.917
"Berrien",247.683,103.95,75.45,99.817,242.5,241.55,222.633,181.967,183.033,0,115.667,112.567,149.567,177.833,168.5,184.033,208.917,180.85,239.25,131.417,222.3,229.867,262.367,104.967,193.767,187.25,306.183,213.867,230.983,155.8,274.833,51.1,82.567,89.767,127.65,256.4,17.85,201.35,234.917,68.5,293.683,103.4,189.367,189.367,102.767,74.233,231.6,49.3,144.95,59.6,207.15,264.65,161.55,256.4,269.183,185.633,200.717,130.15,230.95,178.033,253.45,216.717,136.783,143.467,93.283,234.25,205.65,223.333,222.367,185.267,187.7,191.35,277.633,102.267,159.883,227.467,34.8,150.033,233.317,84.917,227.767,190.483,216.367,167.267,92.517,174.6,136.783,89.017,199.333,250.533,132.65,43.883,140.2,116.85,191.55,130.267,227.367,163.25,162.033,127.65,208.55,211.817,196.733,119.833,263.533,167.2,99.817,169.15,104.183,221.55,107.083,233.317,81.417,162.683,249.583,164.033,133.517,55.233,274.833,131.5,248.833,190.633,53.517,102.567,141.683,99.8,225.867,169.45,105.883,158.983,211.3,134.65,134.417,92.433,127.95,74.267,29.917,126.317,102.683,134.517,206.017,50.433,135.317,148.517,158.067,100.183,211.817,69.467,244.017,235.333,213.267,130.533,105.15,220.117,205.7,74.383,235.333,155.867,55.067
"Bibb",126.917,193.367,136.25,129.617,140.4,139.45,120.533,98.15,80.933,117.967,0,45.367,88.133,75.733,114.3,113.617,131.733,113.15,137.15,196.217,120.217,127.767,160.267,207.417,137.817,85.15,204.083,111.767,119.3,167.067,172.733,159.55,72.617,149.65,158.933,138.95,106.9,99.25,122.383,59.783,191.6,115.383,87.267,87.267,66.617,51.567,129.5,128.95,165.317,151.817,136.8,152.117,86.817,138.95,167.083,83.55,98.617,28.067,122.65,75.933,151.367,99.917,182.767,30.1,155.55,122.583,103.55,121.233,120.267,72.733,85.617,109.533,165.95,31.433,57.783,141.55,102.217,47.933,131.233,107.2,125.683,122.783,114.267,162.8,77.067,120.4,52.65,94.2,86.8,138,148.667,129,125.4,10.517,81.533,19.383,114.833,153.083,49.483,158.933,91.75,104.967,149.25,139.133,161.433,109.817,129.617,67.7,59.333,119.45,33.867,131.233,167.617,60.583,147.483,95.55,88.667,140.65,172.733,142.083,144.017,88.55,117.633,166.2,176.733,52.55,113.333,68,97.667,77.15,98.767,105.067,54.833,78.767,15.75,161.467,91.5,89.483,92.883,63.783,119.8,73.367,27.133,144.083,63.767,119.283,104.967,168.9,141.917,122.8,111.167,104.183,75.683,118.033,114.85,82.817,122.8,42.517,73.767
