"","Ada","Adams","Bannock","Bear Lake","Benewah","Bingham","Blaine","Boise","Bonner","Bonneville","Boundary","Butte","Camas","Canyon","Caribou","Cassia","Clark","Clearwater","Custer","Elmore","Franklin","Fremont","Gem","Gooding","Idaho","Jefferson","Jerome","Kootenai","Latah","Lemhi","Lewis","Lincoln","Madison","Minidoka","Nez Perce","Oneida","Owyhee","Payette","Power","Shoshone","Teton","Twin Falls","Valley","Washington"
"Ada",0,198.814,352.178,552.588,555.021,408.675,467.086,0,804.628,451.763,855.491,304.794,431.185,771.331,471.34,256.448,426.12,349.252,252.405,70.51,500.424,513.252,819.142,164.332,319.658,473.765,186.794,809.205,475.311,501.087,360.42,459.544,494.708,269.065,360.42,435.999,33.377,94.957,337.915,188.282,508.667,205.734,126.084,119.358
"Adams",199.613,0,544.618,745.028,403.682,601.115,315.747,199.613,528.927,644.203,579.79,497.234,623.625,457.829,663.78,448.888,618.56,197.913,348.836,262.95,692.864,705.692,505.712,356.772,168.319,666.205,379.234,533.504,323.972,540.881,209.081,651.984,687.148,461.505,209.081,628.439,216.631,105.134,530.355,380.722,701.107,398.174,106.337,83.561
"Bannock",351.184,544.344,0,201.092,912.732,57.179,820.983,351.184,937.75,100.267,988.613,149.838,159.816,834.733,119.844,101.224,177.954,703.149,358.713,282.913,148.928,161.756,793.072,200.306,673.555,122.269,166.859,894.114,829.208,312.164,714.317,108.048,143.212,111.162,714.317,120.382,350.747,440.487,14.887,187.825,157.171,157.742,479.981,464.888
"Bear Lake",551.76,744.92,200.829,0,1064.881,209.328,1021.559,551.76,1089.899,252.416,1140.762,301.987,311.965,986.882,81.279,301.8,330.103,903.725,510.862,483.489,100.716,313.905,945.221,400.882,874.131,274.418,367.435,1046.263,1029.784,464.313,914.893,260.197,295.361,311.738,914.893,148.969,551.323,641.063,215.463,388.401,309.32,358.318,680.557,665.464
"Benewah",554.437,404.05,910.896,1063.714,0,856.167,93.911,554.437,162.749,813.583,213.612,856.207,755.455,83.097,982.466,814.134,735.232,271.334,716.351,628.196,1011.55,792.773,130.98,722.018,241.74,814.54,744.48,167.326,79.91,579.58,218.375,819.704,805.76,826.751,218.375,983.004,581.019,508.94,925.53,745.968,819.724,763.42,429.331,487.367
"Bingham",408.681,601.841,57.75,210.568,857.264,0,960.061,408.681,882.282,44.799,933.145,94.319,104.348,779.265,129.32,158.721,122.486,760.646,303.194,340.41,158.404,106.288,737.604,257.803,731.052,66.801,224.356,838.646,946.06,256.696,771.814,52.58,87.744,168.659,771.814,129.858,408.244,497.984,72.384,245.322,101.703,215.239,537.478,522.385
"Blaine",464.745,314.358,820.172,1020.582,93.845,958.808,0,464.745,219.09,916.224,269.953,772.788,858.096,185.81,939.334,724.442,837.873,181.642,582.138,538.504,968.418,895.414,233.621,632.326,152.048,917.181,654.788,223.667,14.135,618.357,128.683,922.345,908.401,737.059,128.683,903.993,491.327,419.248,805.909,656.276,922.365,673.728,339.639,397.675
"Boise",0,198.814,352.178,552.588,555.021,408.675,467.086,0,804.628,451.763,855.491,304.794,431.185,771.331,471.34,256.448,426.12,349.252,252.405,70.51,500.424,513.252,819.142,164.332,319.658,473.765,186.794,809.205,475.311,501.087,360.42,459.544,494.708,269.065,360.42,435.999,33.377,94.957,337.915,188.282,508.667,205.734,126.084,119.358
"Bonner",810.043,531.991,938.864,1091.682,165.445,884.135,221.852,810.043,0,841.551,52.121,884.175,783.423,111.137,1010.434,1039.835,763.2,399.275,744.319,873.38,1039.518,820.741,158.948,967.202,369.681,842.508,989.664,5.377,207.851,607.548,346.316,847.672,833.728,1049.773,346.316,1010.972,827.061,721.313,953.498,991.152,847.692,1008.604,557.272,615.308
"Bonneville",451.332,644.492,100.401,253.219,814.818,45.672,917.615,451.332,839.836,0,890.699,108.272,61.902,736.819,171.971,201.372,80.04,759.529,317.147,383.061,201.055,63.842,695.158,300.454,773.703,24.355,267.007,796.2,903.614,214.25,785.169,7.457,45.298,211.31,785.169,172.509,450.895,540.635,115.035,240.747,59.257,257.89,580.129,565.036
"Boundary",858.51,580.458,940.848,1093.666,213.912,886.119,270.319,858.51,51.907,843.535,0,886.159,785.407,159.604,1012.418,1041.819,765.184,447.742,746.303,921.847,1041.502,822.725,207.415,1015.669,418.148,844.492,1038.131,50.289,256.318,609.532,394.783,849.656,835.712,1051.757,394.783,1012.956,875.528,769.78,955.482,1039.619,849.676,1057.071,605.739,663.775
"Butte",303.634,496.794,149.133,301.951,857.869,94.366,773.433,303.634,882.887,108.265,933.75,0,128.112,779.87,220.703,201.56,123.047,655.599,208.874,235.309,249.787,169.333,738.209,159.448,626.005,129.846,162.692,839.251,781.658,198.014,666.767,115.625,150.789,194.4,666.767,221.241,303.197,392.937,163.767,132.475,164.748,174.642,432.431,417.338
"Camas",431.587,624.747,159.551,312.369,756.649,104.822,859.446,431.587,781.667,62.238,832.53,127.953,0,678.65,231.121,260.522,20.575,701.36,336.828,363.262,260.205,72.964,636.989,287.401,718.881,63.195,326.157,738.031,845.445,195.133,727,68.359,54.415,270.46,727,231.659,431.15,520.89,174.185,260.428,68.379,317.04,560.384,545.291
"Canyon",774.035,458.947,833.203,986.021,83.097,778.474,185.863,774.035,108.084,735.89,158.947,778.514,677.762,0,904.773,934.174,657.539,283.636,638.658,837.372,933.857,715.08,53.287,931.194,296.637,736.847,953.656,112.661,171.862,501.887,273.272,742.011,728.067,944.112,273.272,905.311,791.053,685.305,847.837,910.989,742.031,990.692,484.228,542.264
"Caribou",470.499,663.659,119.568,81.266,983.62,128.067,940.298,470.499,1008.638,171.155,1059.501,220.726,230.704,905.621,0,220.539,248.842,822.464,429.601,402.228,93.277,232.644,863.96,319.621,792.87,193.157,286.174,965.002,948.523,383.052,833.632,178.936,214.1,230.477,833.632,104.114,470.062,559.802,134.202,307.14,228.059,277.057,599.296,584.203
"Cassia",256.474,449.634,102.297,302.707,814.208,158.794,726.273,256.474,1039.365,201.882,1090.228,201.564,261.431,936.348,221.459,0,279.569,608.439,316.707,188.203,250.543,263.371,894.687,105.596,578.845,223.884,72.149,995.729,734.498,413.779,619.607,209.663,244.827,35.799,619.607,186.118,256.037,345.777,88.034,93.115,258.786,63.032,385.271,370.178
"Clark",426.681,619.841,177.772,330.59,736.426,123.043,839.223,426.681,761.444,80.459,812.307,123.047,20.575,658.427,249.342,278.743,0,681.137,331.922,358.356,278.426,91.185,616.766,282.495,698.658,81.416,285.739,717.808,825.222,173.979,706.777,86.58,72.636,288.681,706.777,249.88,426.244,515.984,192.406,255.522,86.6,335.261,555.478,540.385
