"","Ada","Adams","Bannock","Bear Lake","Benewah","Bingham","Blaine","Boise","Bonner","Bonneville","Boundary","Butte","Camas","Canyon","Caribou","Cassia","Clark","Clearwater","Custer","Elmore","Franklin","Fremont","Gem","Gooding","Idaho","Jefferson","Jerome","Kootenai","Latah","Lemhi","Lewis","Lincoln","Madison","Minidoka","Nez Perce","Oneida","Owyhee","Payette","Power","Shoshone","Teton","Twin Falls","Valley","Washington"
"Ada",0,122.65,180.817,297.833,392.717,207.1,323.767,0,440.65,226.033,476.333,180.55,261.8,410.35,242.75,134.667,254.867,263.6,204.067,46.283,258.817,258.717,436.45,93.883,233.05,237.183,100.133,442.867,327.333,295.667,263.7,233.983,248.8,157.067,263.7,233.9,36.967,57.317,172.983,107.2,256.583,112.183,98.5,71.667
"Adams",126.133,0,290.9,407.917,276.4,317.183,207.433,126.133,351.267,336.117,386.95,290.617,371.883,325.233,352.817,244.733,364.95,147.267,273.017,156.35,368.883,368.783,351.883,203.95,116.733,347.25,210.217,353.483,211,392.633,147.367,344.067,358.867,267.133,147.367,343.967,151.117,67.9,283.067,217.283,366.65,222.267,85.15,53.767
"Bannock",176.983,287.667,0,124.95,486.617,34.233,495.15,176.983,482.033,53.15,517.717,87.417,84.133,415.633,69.867,56.733,90.283,434.983,230.65,142.65,85.933,85.833,395.9,105.567,404.433,64.3,86.55,488.417,498.717,171.45,435.083,61.1,75.917,66.117,435.083,62.733,184.15,222.35,13.633,99.883,83.7,86.767,269.883,236.683
"Bear Lake",295.85,406.533,124.75,0,581.867,129.483,614.017,295.85,577.283,148.417,612.967,182.667,179.383,510.883,56.633,175.6,185.55,553.85,325.9,261.517,75.7,181.083,491.167,224.433,523.3,159.55,205.4,583.683,617.583,266.7,553.95,156.35,171.167,184.983,553.95,110.917,303.017,341.217,132.5,218.75,178.95,205.633,388.75,355.55
"Benewah",394.8,276.433,485.4,581,0,460.783,81.533,394.8,126,438.95,161.667,471.9,416.4,76.267,525.917,519.483,400.967,197.65,492.283,431.1,541.983,455.2,102.917,478.717,167.117,442.65,484.967,128.2,67.317,388,157.15,445.45,440.033,541.883,157.15,518.767,422.25,342.467,493.15,492.033,448.017,497.017,296.617,328.35
"Bingham",205.017,315.7,33.917,129.517,459.733,0,508.8,205.017,455.15,26.267,490.833,59.85,57.25,388.75,74.417,84.767,63.4,463,203.1,170.667,90.483,58.95,369.017,133.6,432.467,37.417,114.567,461.533,494.583,144.567,463.117,34.217,49.033,94.15,463.117,67.283,212.167,250.367,41.667,127.917,56.817,114.783,297.917,264.717
"Blaine",325.5,207.133,496.35,613.367,80.567,509.933,0,325.5,155.45,488.1,191.117,496.067,465.55,125.967,558.267,450.183,450.1,128.35,415.167,361.8,574.35,504.35,152.067,409.4,97.817,491.8,415.667,157.65,15.183,438.1,87.85,494.6,489.183,472.583,87.85,549.433,352.95,273.167,488.517,422.733,497.167,427.717,227.317,259.05
"Boise",0,122.65,180.817,297.833,392.717,207.1,323.767,0,440.65,226.033,476.333,180.55,261.8,410.35,242.75,134.667,254.867,263.6,204.067,46.283,258.817,258.717,436.45,93.883,233.05,237.183,100.133,442.867,327.333,295.667,263.7,233.983,248.8,157.067,263.7,233.9,36.967,57.317,172.983,107.2,256.583,112.183,98.5,71.667
"Bonner",442.883,351.067,483.7,579.3,126.65,459.083,156.167,442.883,0,437.233,41.2,470.2,414.7,75.117,524.217,534.55,399.25,272.283,490.583,473.1,540.283,453.5,101.217,520.717,241.75,440.95,526.967,6.683,141.95,386.3,231.783,443.75,438.333,543.933,231.783,517.067,467.867,401.617,491.45,534.033,446.317,539.017,371.25,402.983
"Bonneville",224.767,335.45,53.667,149.25,438.7,29.05,487.767,224.767,434.117,0,469.8,66.317,36.217,367.717,94.167,104.517,42.367,442.733,209.55,190.417,110.233,37.917,347.983,153.35,452.217,16.383,134.317,440.5,473.55,123.533,460.217,10.933,28,113.9,460.217,87.033,231.917,270.117,61.417,146.383,35.783,134.533,317.667,284.467
"Boundary",479.283,387.467,520.083,615.683,163.05,495.467,192.567,479.283,43.017,473.633,0,506.583,451.083,111.517,560.6,570.933,435.65,308.683,526.967,509.5,576.667,489.883,137.6,557.1,278.15,477.333,563.367,41.483,178.35,422.683,268.167,480.133,474.717,580.317,268.167,553.45,504.267,438.017,527.833,570.433,482.7,575.417,407.65,439.383
"Butte",176.95,287.633,84.95,180.55,473,59.683,495.1,176.95,468.417,65.517,504.1,0,82.85,402.017,125.467,130.633,75.917,434.933,143.233,141.617,141.533,98.517,382.283,98.05,404.4,76.983,100.367,474.8,498.683,116.7,435.05,73.8,88.6,120.05,435.05,118.333,184.1,222.3,92.717,79.6,96.383,111.867,269.85,236.65
"Camas",259.35,370.033,84.467,180.067,416.867,59.85,465.917,259.35,412.283,38.017,447.95,81.933,0,345.867,124.983,135.317,17.433,420.883,225.167,224.017,141.05,49.217,326.15,180.467,433.967,41.717,165.117,418.667,451.7,115.983,438.367,44.517,39.1,144.7,438.367,117.833,266.5,304.7,92.217,162,47.083,165.35,352.25,319.05
"Canyon",412.667,324.233,416.233,511.833,77.1,391.633,126.55,412.667,72.9,369.783,108.583,402.75,347.25,0,456.75,467.1,331.8,237.533,423.117,442.883,472.817,386.033,33.75,490.483,214.917,373.483,496.75,75.117,112.333,318.833,204.933,376.3,370.867,476.483,204.933,449.617,437.65,371.4,424,482.817,378.85,497.117,344.417,376.15
"Caribou",239.55,350.233,68.45,56.583,525.567,73.167,557.7,239.55,520.983,92.1,556.65,126.35,123.067,454.583,0,119.3,129.233,497.533,269.6,205.2,63.367,124.767,434.85,168.133,467,103.233,149.1,527.367,561.283,210.383,497.65,100.05,114.867,128.683,497.65,61.667,246.7,284.9,76.2,162.45,122.633,149.317,332.45,299.25
"Cassia",132.033,242.717,56.317,173.333,519.15,82.6,450.2,132.033,530.417,101.533,566.083,129.733,132.5,464.017,118.25,0,138.667,390.033,226.95,97.7,134.317,134.217,444.283,60.617,359.483,112.683,41.6,536.8,453.767,219.817,390.133,109.483,124.3,32.967,390.133,109.4,139.2,177.4,48.483,54.933,132.083,41.817,224.933,191.733
"Clark",253.167,363.85,89.933,185.533,400.617,65.333,449.683,253.167,396.033,43.483,431.717,75.75,17.15,329.633,130.45,140.8,0,404.65,219,217.85,146.517,54.683,309.9,174.283,417.733,47.183,176.6,402.417,435.467,100.733,422.133,50,44.567,150.183,422.133,123.317,260.333,298.533,97.7,155.833,52.55,170.817,346.067,312.867
"Clearwater",265.733,147.367,436.567,553.583,195.383,462.867,126.433,265.733,270.267,443.117,305.933,436.3,420.583,235.733,498.5,390.417,405.133,0,355.4,302.033,514.567,459.367,262.383,349.633,31.25,446.817,355.883,272.467,130,352.417,64.767,449.633,444.2,412.817,64.767,489.65,293.183,213.4,428.75,362.95,452.183,367.95,167.55,199.283
"Custer",203.867,270.467,227.6,323.2,493.683,202.317,412.067,203.867,489.1,208.15,524.767,142.633,225.483,422.7,268.117,227.133,218.55,351.9,0,226.817,284.183,241.167,402.967,189.667,321.367,219.633,191.983,495.483,415.65,163.683,352.017,216.433,231.25,221.867,352.017,260.967,222.417,225.083,235.35,171.217,239.033,203.483,186.817,239.817
"Elmore",43.25,153.917,143.217,260.233,430.367,169.517,361.4,43.25,471.933,188.433,507.6,142.55,223.817,441.633,205.15,97.067,216.883,301.233,227,0,221.217,221.117,467.733,56.283,270.7,199.583,62.533,474.133,364.967,257.667,301.333,196.383,211.2,119.467,301.333,196.3,50.4,88.6,135.4,69.6,218.983,74.6,136.15,102.933
"Franklin",255.333,366,84.217,74.283,541.35,88.95,573.483,255.333,536.767,107.883,572.433,142.133,138.85,470.367,61.75,135.083,145.017,513.317,285.383,220.983,0,140.55,450.633,183.9,482.783,119.017,164.883,543.15,577.05,226.167,513.417,115.833,130.65,144.467,513.417,50.95,262.483,300.683,91.983,178.217,138.417,165.1,348.233,315.017
"Fremont",256.567,367.25,85.467,181.067,448.717,60.85,497.783,256.567,444.133,38.1,479.817,97.617,46.233,377.733,125.983,136.317,52.383,452.75,240.85,222.233,142.05,0,358,185.15,465.833,24.283,166.133,450.517,483.567,132.767,470.233,37.667,15.817,145.7,470.233,118.833,263.733,301.933,93.217,177.683,13.583,166.35,349.467,316.267
