"","Adams","Alexander","Bond","Boone","Brown","Bureau","Calhoun","Carroll","Cass","Champaign","Christian","Clark","Clay","Clinton","Coles","Cook","Crawford","Cumberland","De Witt","DeKalb","Douglas","DuPage","Edgar","Edwards","Effingham","Fayette","Ford","Franklin","Fulton","Gallatin","Greene","Grundy","Hamilton","Hancock","Hardin","Henderson","Henry","Iroquois","Jackson","Jasper","Jefferson","Jersey","Jo Daviess","Johnson","Kane","Kankakee","Kendall","Knox","Lake","LaSalle","Lawrence","Lee","Livingston","Logan","Macon","Macoupin","Madison","Marion","Marshall","Mason","Massac","McDonough","McHenry","McLean","Menard","Mercer","Monroe","Montgomery","Morgan","Moultrie","Ogle","Peoria","Perry","Piatt","Pike","Pope","Pulaski","Putnam","Randolph","Richland","Rock Island","Saline","Sangamon","Schuyler","Scott","Shelby","St. Clair","Stark","Stephenson","Tazewell","Union","Vermilion","Wabash","Warren","Washington","Wayne","White","Whiteside","Will","Williamson","Winnebago","Woodford"
"Adams",0,296.165,426.746,125.653,216.189,81.659,419.534,306.781,233.747,234.446,291.99,383.262,399.26,191.702,313.754,116.016,109.462,352.155,202.332,39.399,352.456,71.027,322.829,163.032,352.456,147.082,194.071,308.061,133.116,570.154,122.923,67.9,353.978,324.017,398.724,216.263,101.993,212.556,613.869,429.917,600.381,383.217,222.541,283.978,380.918,146.026,38.162,226.176,417.959,54.327,435.556,32.864,349.908,581.362,249.835,342.839,406.592,527.098,360.259,374.221,604.151,293.68,117.613,176.068,493.538,219.826,582.777,50.341,307.299,274.297,240.34,152.576,374.85,241.904,141.023,366.721,590.864,101.33,165.879,340.262,182.232,384.741,235.11,276.55,79.736,300.703,420.775,144.018,143.004,177.896,88.539,348.341,363.2,191.287,153.883,75.039,550.675,115.281,144.811,348.997,111.463,109.105
"Alexander",295.829,0,279.306,383.946,192.606,230.714,260.772,252.735,116.653,176.21,80.945,90.236,220.224,113.983,162.96,363.352,353.934,235.295,130.075,334.724,179.272,296.032,214.529,174.892,179.272,211.294,214.823,12.203,340.2,369.35,188.195,268.758,198.476,142.398,105.698,240.262,211.461,301.835,413.065,272.97,399.577,94.068,446.931,90.486,87.892,294.022,295.508,223.715,193.61,246.529,283.449,302.701,125.559,380.558,111.014,73.465,182.243,326.294,244.502,198.365,403.347,118.26,411.618,121.843,269.189,208.923,381.973,329.293,191.542,143.595,209.525,156.614,81.824,159.601,196.546,180.49,390.06,218.134,142.63,153.908,308.494,160.392,112.209,74.312,338.029,132.084,196.426,207.517,401.297,136.237,393.594,232.584,247.443,449.58,158.86,367.973,349.871,345.995,328.656,124.648,369.756,189.976
"Bond",427.114,280.471,0,515.231,230.868,395.478,50.142,133.692,408.036,199.566,199.087,326.652,92.858,253.055,140.824,413.215,418.544,78.576,246.771,466.009,100.127,391.48,109.8,355.216,100.127,262.199,237.82,288.925,520.524,147.012,319.48,341.378,475.808,463.441,324.375,420.586,376.618,260.812,239.949,99.934,227.955,293.969,612.119,196.366,305.076,317.019,368.128,404.039,160.588,377.814,11.112,433.986,228.838,223.152,200.574,240.481,259.333,225.352,66.487,123.511,231.725,431.527,490.883,291.964,281.19,472.959,172.529,442.507,125.511,160.189,485.376,336.938,359.156,193.86,327.831,156.027,289.118,386.406,268.03,129.898,488.818,223.778,207.202,349.572,469.314,151.721,262.179,387.841,532.582,303.242,497.557,102.234,71.133,580.865,326.463,457.44,101.133,501.071,351.653,230.82,501.041,321.261
"Boone",127.777,385.293,515.874,0,305.317,170.787,508.662,395.909,339.274,323.574,381.118,472.39,488.388,280.83,402.882,133.634,136.732,441.283,291.46,60.95,441.584,163.469,411.957,252.16,441.584,274.333,301.265,397.189,179.223,659.282,212.051,195.384,408.399,378.438,487.852,270.684,191.121,274.915,702.997,519.045,689.509,472.345,175.678,373.106,470.046,219.577,120.315,280.597,507.087,143.455,524.684,94.521,439.036,670.49,338.963,431.967,495.72,616.226,449.387,463.349,693.279,348.101,43.318,265.196,582.666,274.247,671.905,108.762,396.427,363.425,294.761,241.704,463.978,331.032,230.151,455.849,679.992,190.458,255.007,429.39,236.924,473.869,324.238,383.226,59.772,389.831,509.903,233.146,96.141,267.024,33.356,437.469,452.328,144.424,243.011,88.503,639.803,161.388,192.401,438.125,64.6,198.233
"Brown",216.1,193.463,230.931,304.217,0,184.464,223.719,110.966,197.022,38.631,143.458,280.56,203.445,57.517,117.939,205.005,210.334,156.34,41.426,254.995,156.641,141.426,127.014,144.202,156.641,34.825,39.136,205.359,309.51,374.339,108.466,114.004,282.388,252.427,296.022,209.572,165.604,116.622,418.054,234.102,404.566,280.515,401.105,151.457,278.216,108.809,140.754,193.025,265.687,166.8,239.741,222.972,247.206,385.547,117.314,240.137,303.89,331.283,164.444,178.406,408.336,220.513,257.012,80.95,387.917,261.945,386.962,174.687,111.484,105.702,274.362,125.924,272.148,59.938,80.443,233.71,395.049,175.392,57.016,144.447,277.804,279.247,90.963,209.65,258.3,154.432,318.073,176.827,321.568,92.228,263.686,152.526,167.385,369.851,115.449,213.367,354.86,290.057,143.443,246.295,290.027,110.247
"Bureau",82.014,234.189,394.499,170.131,183.942,0,387.287,274.534,153.889,202.199,230.014,321.286,367.013,159.455,281.507,183.074,173.656,319.908,170.085,120.909,320.209,115.754,290.582,83.174,320.209,152.958,198.648,246.085,125.848,537.907,90.676,89.751,250.674,220.713,336.748,105.746,22.482,207.535,581.622,397.67,568.134,321.241,203.026,251.731,318.942,167.877,98.191,119.283,355.983,27.03,403.309,88.886,287.932,549.115,217.588,280.863,344.616,494.851,328.012,341.974,571.904,190.376,205.905,143.821,431.562,158.435,550.53,113.506,275.052,242.05,178.949,75.11,245.953,209.657,108.776,334.474,558.617,12.677,133.632,308.015,120.841,322.765,202.863,196.692,124.214,268.456,358.799,63.183,130.576,120.196,179.779,316.094,330.953,177.64,75.769,166.624,518.428,108.013,166.662,287.021,155.941,76.858
"Calhoun",420.147,261.857,50.154,508.264,223.901,388.511,0,179,401.069,192.599,180.473,299.213,57.807,246.088,120.37,406.248,411.577,90.561,239.804,459.042,81.513,384.513,158.294,348.249,81.513,255.232,230.853,261.486,513.557,121.783,312.513,334.411,457.194,399.044,296.936,413.619,369.651,317.865,214.72,58.086,202.726,266.53,605.152,177.752,277.637,310.052,361.161,397.072,125.537,370.847,40.15,427.019,201.399,244.926,184.579,213.042,243.803,190.662,114.339,88.46,206.496,374.906,483.916,284.997,246.5,465.992,147.3,435.54,121.506,139.909,478.409,329.971,340.542,186.893,320.864,120.976,254.428,379.439,261.063,111.284,481.851,196.339,187.131,330.958,462.347,133.107,227.128,380.874,525.615,296.275,490.59,150.728,124.204,573.898,319.496,450.473,75.904,494.104,344.686,203.381,494.074,314.294
"Carroll",306.894,253.885,133.9,395.011,110.648,275.258,179.045,0,287.816,76.603,203.88,340.982,190.338,140.264,104.832,293.361,298.69,91.829,126.551,345.789,143.534,222.857,23.967,234.996,143.534,141.979,99.766,265.781,400.304,278.61,199.26,221.158,373.182,343.221,356.444,300.366,256.398,133.807,404.947,214.568,391.459,336.331,491.899,211.879,338.638,159.82,247.908,283.819,252.58,257.594,142.71,313.766,271.2,372.44,177.736,300.559,301.695,318.176,67.413,165.299,395.229,311.307,371.029,171.744,374.81,352.739,373.855,256.118,71.071,122.844,365.156,216.718,332.57,72.288,207.611,220.603,381.942,266.186,147.81,131.34,368.598,266.14,119.068,300.444,349.094,141.325,315.878,267.621,412.362,183.022,377.703,53.383,70.354,460.645,206.243,337.586,232.731,380.851,231.799,273.182,380.821,201.041
"Cass",233.556,116.232,406.094,338.576,195.537,153.789,398.882,286.129,0,213.794,168.516,157.828,378.608,149.315,246.739,339.008,329.59,331.503,162.948,288.9,331.804,271.688,302.177,73.663,331.804,186.95,213.81,129.747,182.966,457.32,131.671,244.414,99.623,69.662,174.605,74.171,133.597,278.648,501.035,409.265,487.547,186.056,289.697,178.057,179.88,263.919,271.164,65.814,281.58,184.256,414.904,281.511,213.529,468.528,194.793,206.46,270.213,414.264,339.607,353.569,491.317,37.748,374.35,115.052,357.159,120.2,469.943,332.272,286.647,227.374,120.802,74.648,105.679,219.355,172.202,268.46,478.03,141.209,145.227,241.479,151.26,248.362,180.11,56.418,292.659,219.655,284.396,103.569,270.332,98.513,348.224,327.689,342.548,271.904,93.792,334.615,437.841,188.761,288.96,212.618,324.386,147.552
"Champaign",235.002,177.265,200.726,323.119,38.756,203.366,193.514,76.527,215.924,0,127.26,264.362,173.24,63.644,87.734,221.469,226.798,126.135,54.659,273.897,126.436,199.734,89.368,163.104,126.436,70.087,46.074,189.161,328.412,344.134,127.368,149.266,301.29,271.329,279.824,228.474,184.506,133.086,387.849,203.897,374.361,264.317,420.007,135.259,262.018,125.273,176.016,211.927,235.482,185.702,209.536,241.874,231.008,355.342,101.116,223.939,284.597,301.078,134.239,148.201,378.131,239.415,299.137,99.852,357.712,280.847,356.757,250.761,81.279,105.746,293.264,144.826,255.95,44.311,135.719,203.505,364.844,194.294,75.918,114.242,296.706,249.042,74.765,228.552,277.202,124.227,298.78,195.729,340.47,111.13,305.811,122.321,137.18,388.753,134.351,265.694,324.655,308.959,159.907,230.097,308.929,129.149
