"","Adams","Alexander","Bond","Boone","Brown","Bureau","Calhoun","Carroll","Cass","Champaign","Christian","Clark","Clay","Clinton","Coles","Cook","Crawford","Cumberland","De Witt","DeKalb","Douglas","DuPage","Edgar","Edwards","Effingham","Fayette","Ford","Franklin","Fulton","Gallatin","Greene","Grundy","Hamilton","Hancock","Hardin","Henderson","Henry","Iroquois","Jackson","Jasper","Jefferson","Jersey","Jo Daviess","Johnson","Kane","Kankakee","Kendall","Knox","Lake","LaSalle","Lawrence","Lee","Livingston","Logan","Macon","Macoupin","Madison","Marion","Marshall","Mason","Massac","McDonough","McHenry","McLean","Menard","Mercer","Monroe","Montgomery","Morgan","Moultrie","Ogle","Peoria","Perry","Piatt","Pike","Pope","Pulaski","Putnam","Randolph","Richland","Rock Island","Saline","Sangamon","Schuyler","Scott","Shelby","St. Clair","Stark","Stephenson","Tazewell","Union","Vermilion","Wabash","Warren","Washington","Wayne","White","Whiteside","Will","Williamson","Winnebago","Woodford"
"Adams",0,158.283,259.65,79.467,125.65,58.733,252.85,171.267,166.5,129.967,165.2,220.567,220.417,112.55,170.433,82.417,80.483,203.733,115.85,33.817,189,56.95,182.65,110.917,189,109.983,146.483,170.067,100.367,322.583,74.317,47.85,207.133,187.683,231.283,120.533,66.333,141.167,323.967,258.017,312.75,217.283,145.15,171.767,219,103.333,39.35,127.3,255.283,38.267,266.583,27.65,184.833,307.383,143.733,190.767,215.867,276.167,211.033,198.85,316.45,170.533,108.433,99.2,285.933,133.7,331.3,44.617,168.883,171.967,152.55,109.917,202.95,148.683,87.2,232.683,309.567,61.7,94.85,191.9,105.217,209.333,141.567,194.433,52.267,179.3,227.117,98.6,90.133,106.017,76,200.683,212.483,118.4,95.633,66.533,295.367,85.517,98.55,187.5,68.683,64.667
"Alexander",157.1,0,212.267,199.717,109.733,140.85,198.867,136.6,93.517,94.483,51.833,66.183,159.15,73.083,102.383,191.6,188.217,159.6,86.233,173.05,131.1,151.783,140.183,91.233,131.1,120.6,110.7,10.317,189.383,228.067,99.733,143.367,116.35,110.433,76.9,125.55,124.95,161.383,229.45,198.983,218.217,67.25,243.917,60.883,64.6,153.15,167.95,118.367,135.35,127.617,212.767,156.483,64.9,212.85,57.983,60.833,95.933,181.633,169.467,139.417,221.917,93.567,230.233,64.617,166,154.383,236.783,184.85,127.317,87.75,157.5,82.317,48.567,89.85,103.5,127.917,215.033,130.85,77.55,110.517,162,89.4,68.633,59.567,172.517,93.3,107.183,115.45,210.367,74.017,205.033,159.117,170.917,238.633,88.017,202.233,200.833,181.45,170.2,67.567,188.933,96.9
"Bond",260.033,212.95,0,302.633,159.8,245.433,40.583,108.05,263.817,142.667,162.883,218.967,70.95,174.533,115.9,250.417,256.567,61.5,167.433,275.983,82.717,249.417,88.1,218.817,82.717,182.983,158.417,215.533,316.983,120.4,202.667,244.65,325.4,316.2,215.433,253.15,233.183,181.7,193.15,76.65,184.033,190.55,368.317,159.8,201.533,200.883,269.25,245.95,125.217,230.533,10.867,259.417,162.567,182.3,161.683,190.633,170.633,144.517,49.917,93.383,187.733,290.583,308.75,186.283,207.083,291.1,141.683,280.267,100.4,130.483,298.683,209.917,257.617,145.283,206.433,119.217,177.917,241.633,175.767,107.483,289.583,150.017,160.683,268.167,275.433,124.6,172.433,243.033,313.3,198.133,299.75,79.967,53.867,341.567,209.867,283.6,86.4,304.967,217.917,165.4,291.85,199.833
"Boone",81.467,201.7,303.083,0,169.083,102.167,296.267,214.7,192.5,173.4,208.617,264,263.833,155.983,213.85,84.117,90.917,247.167,159.283,55.817,232.417,99.667,226.067,154.333,232.417,165.05,170.833,213.5,108.75,366.017,117.733,109.617,232.033,212.583,274.717,145.433,109.75,167.05,367.4,301.433,356.167,260.717,119.05,215.183,262.417,132.75,99.517,152.2,298.717,81.7,310,58.867,228.25,350.8,187.15,234.183,259.283,319.583,254.467,242.283,359.867,195.417,41.267,142.617,329.35,158.6,374.733,91.5,212.317,215.383,177.45,153.333,246.383,192.117,130.617,276.1,352.983,105.133,138.283,235.333,130.5,252.767,184.983,231.017,39.9,222.733,270.533,142.017,64.033,149.433,30.267,244.117,255.917,92.3,139.067,65.367,338.783,93.917,122.717,230.917,42.583,108.083
"Brown",123.767,110.15,159.483,166.367,0,109.167,152.667,71.1,127.55,29.8,96.267,172.45,120.233,45.117,70.267,123.95,130.1,103.567,32.6,139.7,88.817,98.667,82.483,82.55,88.817,27.717,31.217,121.95,180.717,222.417,66.383,89.4,199.383,179.933,183.167,116.867,96.917,82.65,223.8,157.85,212.583,169.167,232.05,99.617,170.883,74.417,113.983,109.683,151.917,94.267,166.417,123.133,136.7,207.217,71.6,142.65,167.733,175.983,110.867,98.683,216.267,154.317,177.1,50,233.25,154.817,231.133,131.733,68.717,85.767,162.4,73.633,154.833,51.55,62.267,137.85,209.383,105.35,39.5,91.733,153.317,148.7,62.85,143.5,139.167,99.233,178.983,106.767,177.033,61.867,168.1,100.517,112.317,205.3,73.583,149.117,195.183,168.7,91.467,139.367,155.583,63.55
"Bureau",56.933,142.933,244.2,99.533,110.2,0,237.4,155.817,116.3,114.517,149.85,205.217,204.967,97.1,154.983,109.067,105.683,188.283,100.4,72.883,173.533,69.25,167.2,60.7,173.533,106.183,132.633,154.717,87.733,307.133,58.867,56.367,174.25,154.817,215.933,83.8,19.4,148.25,308.517,242.567,297.3,201.933,152.7,156.3,203.65,111.85,68.817,87.7,239.933,29.117,251.133,56.317,169.467,291.933,128.283,175.417,200.5,260.717,195.583,183.4,301,137.65,138.417,83.733,270.583,96.833,315.85,87.75,153.433,156.5,115.683,63.4,183,133.233,71.75,217.233,294.117,10.433,79.4,176.45,68.35,193.983,126.117,144.217,72.333,163.85,211.767,47,101.1,89.133,104.867,185.233,197.033,135.017,64.75,110.95,279.917,72.9,107.067,172.133,88.75,49.217
"Calhoun",250.467,197.85,40.917,293.067,150.233,235.867,0,133.217,254.25,133.1,147.783,204.317,46.417,164.967,99.967,240.85,247,71.083,157.867,266.417,67.633,239.85,116.45,209.25,67.633,173.417,148.85,200.883,307.417,96.7,193.1,235.083,310.317,303.95,200.783,243.583,223.617,199.533,169.45,46.317,160.35,175.9,358.75,144.717,186.883,191.317,259.683,236.383,100.7,220.967,32.567,249.85,147.917,151.667,146.45,175.983,149.467,120.45,86.217,68.867,164.05,287.083,299.183,176.717,183.017,281.533,118,270.7,97.25,114.75,289.117,200.35,242.533,135.717,196.867,94.7,153.85,232.067,166.2,92.4,280.017,135.367,151.617,253.083,265.867,109.517,147.917,233.467,303.733,188.567,290.183,108.3,88.283,332,200.3,274.033,62.7,295.4,208.35,150.75,282.283,190.267
"Carroll",171.517,138.483,108.4,214.117,71.283,156.917,136.75,0,175.3,51.183,124.583,200.767,123.083,90.133,73.1,162.333,168.483,70.867,78.917,187.467,91.667,165.9,23.417,130.3,91.667,94.467,70.317,150.267,228.467,224.85,114.133,156.133,247.133,227.683,211.483,164.633,144.667,90.65,226.65,155.917,215.417,192.067,279.8,127.95,199.2,116.733,180.733,157.433,154.767,142.017,115.317,170.9,164.1,210.05,99.917,170.967,172.15,178.833,59.783,101.533,219.117,202.067,220.667,97.767,236.083,202.583,233.983,198.967,53.683,85.817,210.15,121.4,183.15,63.633,117.917,140.683,212.233,153.1,87.25,94.583,201.067,151.55,89.717,191.25,186.917,102.083,183.4,154.517,224.783,109.617,211.667,45.883,61.233,253.05,121.35,195.517,190.85,216.45,129.833,166.917,203.333,111.3
"Cass",166.55,93.667,262.85,192.883,128.85,117.1,256.033,174.467,0,133.167,127.233,126.1,223.6,113.65,175.633,201.283,197.9,206.933,121.483,165.683,192.183,161.467,185.833,60.4,192.183,130.283,153.1,103.283,124.217,308.167,100.283,153.05,76.417,56.983,137.367,57.967,102.467,187.783,309.55,261.217,298.333,146.217,178.733,136.283,143.583,171.2,177.633,51.3,215.45,137.067,269.767,161.033,145,292.967,131.233,150.933,176.033,261.733,214.233,202.05,302.017,31.367,231.767,88.167,246.1,85.017,316.883,192.5,172.083,161,88.133,65.583,83.5,160.2,113.183,208.017,295.133,107.117,98.05,185.917,96.817,169.517,137.733,44.717,165.683,168.7,187.283,79.367,175.4,82.55,198.217,203.883,215.683,181.833,83.45,203.767,280.933,116.283,183.783,147.667,182.1,108.2
"Champaign",131.117,96.15,143.2,173.733,30.883,116.533,136.383,50.967,134.9,0,82.25,158.433,103.95,47.8,53.983,121.933,128.083,87.283,38.533,147.067,72.533,120.933,65.75,89.917,72.533,54.067,29.95,107.933,188.067,206.133,73.75,115.75,206.75,187.3,169.15,124.233,104.283,80.633,207.517,141.567,196.3,155.15,239.417,85.6,156.867,72.4,140.333,117.05,135.633,101.633,150.133,130.5,122.683,190.933,57.583,128.633,153.033,159.7,94.583,82.4,199.983,161.683,180.283,57.367,216.967,162.183,214.85,151.783,52.433,66.683,169.767,81,140.817,36.8,77.517,121.567,193.1,112.717,46.867,75.45,160.683,132.417,48.833,150.85,146.533,82.95,164.283,114.133,184.4,69.233,171.283,84.233,96.033,212.65,80.95,155.117,178.9,176.067,89.45,125.35,162.95,70.917
