"","Adams","Allen","Bartholomew","Benton","Blackford","Boone","Brown","Carroll","Cass","Clark","Clay","Clinton","Crawford","Daviess","Dearborn","Decatur","DeKalb","Delaware","Dubois","Elkhart","Fayette","Floyd","Fountain","Franklin","Fulton","Gibson","Grant","Greene","Hamilton","Hancock","Harrison","Hendricks","Henry","Howard","Huntington","Jackson","Jasper","Jay","Jefferson","Jennings","Johnson","Knox","Kosciusko","LaGrange","Lake","LaPorte","Lawrence","Madison","Marion","Marshall","Martin","Miami","Monroe","Montgomery","Morgan","Newton","Noble","Ohio","Orange","Owen","Parke","Perry","Pike","Porter","Posey","Pulaski","Putnam","Randolph","Ripley","Rush","Scott","Shelby","Spencer","St. Joseph","Starke","Steuben","Sullivan","Switzerland","Tippecanoe","Tipton","Union","Vanderburgh","Vermillion","Vigo","Wabash","Warren","Warrick","Washington","Wayne","Wells","White","Whitley"
"Adams",0,115.612,281.806,91.705,95.59,206.905,247.17,169.165,452.887,236.442,194.935,362.779,344.398,391.486,309.656,38.221,46.543,100.978,409.402,178.64,222.46,281.079,254.392,245.802,125.696,351.451,240.775,88.575,74.733,183.623,338.618,262.35,181.244,335.515,56.263,307.542,406.69,83.295,205.388,335.368,471.677,160.202,79.799,106.464,70.778,177.099,200.006,364.718,97.905,310.657,476.879,135.068,48.705,393.565,310.187,227.356,89.125,481.761,223.337,389.675,323.341,224.487,246.064,205.119,349.509,223.183,293.479,329.405,299.831,209.887,469.082,232.474,310.068,156.781,160.202,72.671,370.91,361.88,111.228,159.411,269.926,484.789,346.841,357.567,89.125,69.783,485.644,371.126,146.498,122.223,595.068,46.738
"Allen",116.261,0,220.721,90.314,116.254,126.317,173.639,79.031,394.401,175.357,97.005,232.141,285.912,333,288.308,111.629,124.341,157.395,350.916,113.86,145.911,204.53,164.258,184.717,13.597,290.366,150.641,143.399,152.531,168.267,267.571,201.265,192.048,205.512,60.765,246.457,348.204,152.385,116.833,274.283,409.044,74.59,50.784,155.262,35.207,109.96,138.921,303.633,81.273,194.125,418.393,44.578,119.213,335.079,239.14,137.222,40.791,423.275,225.849,328.59,212.366,163.402,129.606,137.98,324.532,156.044,222.432,304.428,169.797,212.396,410.596,131.806,239.021,89.271,74.59,150.469,299.863,300.795,36.594,87.583,154.356,426.303,216.838,286.52,40.791,92.851,427.158,310.041,241.045,31.733,527.929,72.041
"Bartholomew",279.933,219.184,0,337.863,196.728,291.367,92.403,197.788,230.107,54.689,309.351,213.895,78.827,160.974,110.14,265.597,299.515,187.551,172.197,326.206,107.409,125.797,201.362,39.771,222.903,76.479,233.427,206.519,327.705,105.397,189.734,37.092,129.178,217.813,234.487,32.57,176.178,214.96,153.279,60.396,241.165,271.159,266.906,338.532,251.329,317.148,84.171,70.703,203.958,177.071,246.367,178.196,259.63,163.053,101.873,239.983,199.249,251.249,98.219,114.703,168.059,62.153,131.013,332.219,134.325,315.56,144.595,117.901,182.129,84.766,238.57,274.7,85.056,301.617,271.159,325.643,222.026,106.203,248.94,143.136,152.265,254.277,229.139,208.683,199.249,213.843,263.776,96.154,178.175,190.287,689.714,264.999
"Benton",103.635,91.656,339.638,0,153.422,153.742,261.71,166.746,510.719,294.274,60.504,319.856,402.23,449.318,407.225,116.099,70.046,204.828,467.234,28.764,233.982,292.601,251.973,303.634,112.375,409.283,238.356,168.685,82.556,241.455,355.642,320.182,239.076,293.227,87.666,365.374,464.522,161.173,204.548,393.2,529.509,107.039,39.53,46.108,61.516,94.573,257.838,422.55,122.489,281.84,534.711,132.649,126.583,451.397,327.211,269.447,91.015,539.593,281.169,447.507,300.081,282.319,217.677,126.277,443.449,158.754,310.503,423.345,257.512,267.719,526.914,202.597,327.092,55.711,107.039,83.772,387.934,419.712,66.157,175.654,242.071,542.621,304.553,374.591,91.015,127.615,543.476,428.958,259.846,119.804,530.639,55.611
"Blackford",94.69,130.403,198.645,152.62,0,247.457,164.009,128.002,369.726,153.281,197.473,279.618,261.237,308.325,175.676,78.186,114.272,29.43,326.241,181.385,139.299,197.918,235.903,162.641,134.122,268.29,179.611,26.887,142.462,100.462,255.457,179.189,91.701,252.354,55.644,224.381,323.529,35.223,122.182,252.207,388.516,182.378,117.864,153.289,100.262,210.057,116.845,211.946,37.16,227.496,393.718,89.415,68.226,310.404,227.026,196.073,66.591,398.6,112.557,306.514,240.18,141.326,162.903,238.077,238.097,271.65,210.318,217.993,216.67,99.107,385.921,230.79,226.907,189.739,182.378,140.4,287.749,214.036,130.526,75.493,186.765,401.628,263.68,274.406,66.591,28.929,402.483,287.965,86.88,88.381,645.804,86.156
"Boone",218.056,139.074,292.015,154.168,247.843,0,233.191,122.683,453.953,246.651,119.883,220.385,345.464,392.552,374.036,230.52,221.225,315.193,410.468,145.7,188.57,224.863,163.12,256.011,116.333,361.66,116.29,274.73,260.642,254.564,239.574,272.559,278.345,192.236,184.368,317.751,407.756,283.066,150.474,345.577,392.634,51.834,130.077,198.54,149.45,60.414,226.061,374.927,213.459,201.64,477.945,176.764,241.004,394.631,298.692,92.887,186.122,482.827,311.577,399.884,207.632,234.696,166.695,54.317,410.26,37.658,209.516,390.156,179.653,298.124,470.148,26.025,298.573,119.996,51.834,244.97,283.453,386.523,114.26,198.049,164.212,485.855,191.781,264.969,186.122,208.122,486.71,381.335,327.342,163.919,411.812,160.281
"Brown",246.225,176.282,97.075,263.534,163.02,235.598,0,142.019,213.7,51.711,266.449,122.387,105.211,152.299,179.084,231.889,265.807,153.843,170.215,283.304,51.64,42.252,140.802,32.175,180.001,166.72,172.867,172.811,293.997,71.601,98.226,77.619,95.382,157.253,200.779,122.811,167.503,181.252,97.51,150.637,232.49,240.941,224.004,304.824,208.427,261.379,50.463,179.987,170.25,101.535,237.692,135.294,225.922,154.378,75.341,184.214,179.119,242.574,116.625,204.944,96.635,39.756,75.244,276.45,215.308,259.791,53.087,195.204,121.569,103.172,229.895,218.931,58.524,258.715,240.941,291.935,130.518,191.571,206.038,100.234,91.705,245.602,124.354,117.175,179.119,180.135,246.457,147.641,144.379,147.385,633.945,231.291
"Carroll",169.622,79.851,198.31,166.738,128.002,122.272,139.486,0,360.248,152.946,151.07,152.296,251.759,298.847,280.331,163.16,189.502,154.533,316.763,167.925,94.865,131.158,84.413,162.306,57.385,267.955,70.796,154.889,217.692,160.859,184.786,178.854,184.64,125.667,112.295,224.046,314.051,163.225,38.552,251.872,374.891,98.123,127.208,209.327,111.631,127.332,132.356,281.222,93.469,114.28,384.24,57.145,155.92,300.926,204.987,70.888,82.323,389.122,217.872,306.179,132.521,140.991,72.99,163.124,316.555,146.465,119.815,296.451,89.952,204.419,376.443,105.605,204.868,143.336,98.123,215.63,265.71,292.818,92.71,84.334,74.511,392.15,136.993,252.367,82.323,119.849,393.005,287.63,233.637,58.054,520.619,143.95
"Cass",451.73,390.981,231.217,509.66,368.525,453.877,214.722,360.298,0,279.358,481.148,190.393,117.791,57.427,302.575,437.394,471.312,359.348,40.017,498.003,269.919,220.978,260.469,224.497,394.7,154.277,290.388,378.316,499.502,277.194,166.232,261.761,300.975,233.463,406.284,202.234,24.205,386.757,315.789,172.37,86.656,459.22,438.703,510.329,423.126,479.658,255.968,193.789,375.755,227.928,69.487,349.993,431.427,63.606,168.106,323.732,371.046,74.73,305.399,158.407,208.021,232.426,293.523,494.729,246.782,478.07,197.349,255.729,243.584,291.949,61.69,437.21,153.014,473.414,459.22,497.44,123.029,238.702,420.737,314.933,242.99,77.758,215.436,159.338,371.046,385.64,45.99,133.612,349.972,362.084,845.762,436.796
"Clark",234.721,173.972,55.313,292.651,151.516,246.155,47.191,152.576,278.586,0,264.139,168.683,127.306,193.394,131.516,220.385,254.303,142.339,211.31,280.994,62.197,80.585,156.15,15.273,177.691,124.958,188.215,161.307,282.493,60.185,144.522,35.857,83.966,172.601,189.275,81.049,208.598,169.748,108.067,108.875,273.585,225.947,221.694,293.32,206.117,271.936,38.959,138.225,158.746,131.859,278.787,132.984,214.418,195.473,116.091,194.771,154.037,283.669,69.057,163.182,122.847,16.941,85.801,287.007,167.74,270.348,99.383,147.636,136.917,55.604,270.99,229.488,115.972,256.405,225.947,280.431,176.814,144.003,203.728,97.924,107.053,286.697,183.927,163.471,154.037,168.631,287.552,144.633,132.963,145.075,644.502,219.787
