"","Adams","Allen","Bartholomew","Benton","Blackford","Boone","Brown","Carroll","Cass","Clark","Clay","Clinton","Crawford","Daviess","Dearborn","Decatur","DeKalb","Delaware","Dubois","Elkhart","Fayette","Floyd","Fountain","Franklin","Fulton","Gibson","Grant","Greene","Hamilton","Hancock","Harrison","Hendricks","Henry","Howard","Huntington","Jackson","Jasper","Jay","Jefferson","Jennings","Johnson","Knox","Kosciusko","LaGrange","Lake","LaPorte","Lawrence","Madison","Marion","Marshall","Martin","Miami","Monroe","Montgomery","Morgan","Newton","Noble","Ohio","Orange","Owen","Parke","Perry","Pike","Porter","Posey","Pulaski","Putnam","Randolph","Ripley","Rush","Scott","Shelby","Spencer","St. Joseph","Starke","Steuben","Sullivan","Switzerland","Tippecanoe","Tipton","Union","Vanderburgh","Vermillion","Vigo","Wabash","Warren","Warrick","Washington","Wayne","Wells","White","Whitley"
"Adams",0,87.367,154.017,79.633,65.133,147.6,140.3,110.4,262.75,129.517,112.067,204.117,206.983,222.533,186.733,30.017,30.217,81.9,247.733,104.033,122.383,163.6,178.85,138.2,96.767,191.367,164.283,72.667,47.05,113,184.517,146.383,108.15,198.117,41.433,168,247.1,70.25,137.683,178.4,267.6,114.317,67.45,67.517,66.467,127.7,108.717,209.233,58.833,185.45,262.717,90.683,38.667,222.883,182.583,162.383,63.917,267.733,144.917,222.317,193.3,123.133,132.017,146.85,225.35,154.917,164.767,207.567,175.55,133,259.85,169.583,177.317,111.7,114.317,45.35,204.617,221.25,86.417,100.1,158.083,269.167,197.85,200.6,63.917,41.867,271.317,204.033,120.633,81.9,369.75,41.317
"Allen",88.75,0,138.883,81.817,96.833,95.2,117,52.367,247.067,114.4,70.417,171.733,191.3,206.85,179.417,97.817,93.85,114.567,232.05,73.467,96.317,137.55,120.817,123.083,15,176.25,106.233,119.283,110.683,112.033,161.5,131.267,123.717,151.683,54.383,152.867,231.417,125.967,82.3,163.283,251.633,55.883,46.117,98.817,32.633,75.3,93.6,194.1,67.7,151.4,247.033,31.817,102.483,207.2,159.567,104.333,39.083,252.05,150.083,207.2,155.9,108.017,90.7,94.467,214.717,102.533,141.733,196.933,128.567,138.2,244.167,101.05,154.283,58.217,55.883,108.983,181.6,206.133,30.883,61.533,115.233,253.483,151.417,177.583,39.083,75.033,255.633,188.917,146.183,23.05,317.35,64.417
"Bartholomew",150.9,134.917,0,199.517,113.717,158.95,59.4,111.533,125.25,33.017,197.583,125.817,70.383,115.9,94.417,152.433,160.5,113.767,129.75,200.633,63.7,91.083,112.95,33.05,141.35,49.217,135.85,128.617,177.317,63.467,106.233,27.683,75.15,128.667,134.017,25.85,140.467,136.517,86.1,36.25,160.967,180.933,172.067,199.283,158.867,203.4,49.333,65.967,116.167,115.667,156.083,108.617,154.183,116.25,94.15,134.45,140.167,161.1,79.217,80.167,120.783,37.55,73.333,179.317,113.867,169.2,86.467,99.517,106.117,67.317,153.217,151.833,78.667,185.383,180.933,175.633,126.317,98,158.033,88.983,89.45,162.533,128.4,122.317,140.167,116.783,145.967,61.883,97.617,116.083,386.1,157.967
"Benton",78.833,82.017,203.883,0,115,113.133,188.483,123.033,312.633,179.383,57.017,242.417,256.867,272.417,244.417,101.333,58.233,139.883,297.617,34.25,167.8,209.033,191.483,188.083,79.683,241.233,176.9,134.267,70.783,162.867,232.983,196.25,158.033,222.35,76.383,217.867,296.983,141.567,152.967,228.283,317.483,79.867,35.3,38.733,55.333,74.9,158.583,259.1,105.817,222.067,312.6,103.3,109.983,272.75,231.05,161.617,79.533,317.617,194.783,272.2,226.567,173.017,162.183,92.85,279.717,99.883,213.217,261.933,199.233,182.867,309.717,126.4,225.767,48.35,79.867,68.5,253.083,271.117,54.067,133.017,185.9,319.05,222.083,249.067,79.533,91.75,321.2,253.917,179.05,94.533,314.717,47.333
"Blackford",65.467,93.867,116.367,114.067,0,170.283,102.633,103.383,225.1,91.867,158.617,166.45,169.333,184.883,153.017,62.367,75.05,27.667,210.083,148.333,84.733,125.95,144.733,100.55,100.3,153.717,148.433,23.767,91.883,75.35,146.867,108.733,71.367,160.467,46.9,130.333,209.45,32.383,99.4,140.75,229.95,139.867,100.9,113.85,85.667,162.417,71.067,173,34.167,147.8,225.067,67.567,54.933,185.233,144.933,145.8,58.083,230.083,92.55,184.667,155.65,85.483,94.367,181.583,186.65,180.533,127.1,168.867,137.9,80.617,222.2,163.183,139.667,146.433,139.867,90.2,166.967,177.35,110.6,62,120.417,231.517,160.183,162.95,58.083,25.15,233.667,166.383,68.35,76.567,397.45,70.85
"Boone",145.45,94.717,161.567,113.8,173.283,0,134.017,78.55,264.083,137.067,81.4,144.8,208.317,223.867,210.85,167.967,147.383,181.55,249.067,96.8,103.75,138.35,110.517,145.75,92.433,198.917,76.633,196.083,153.617,143.3,156.733,153.933,155,128.617,134.8,175.533,248.433,204.7,84.933,185.95,263.967,41.333,90.767,122.333,108.083,55.633,126,216.767,153.217,139.133,264.05,117.35,176.617,224.217,176.583,58.767,125.317,269.067,181.517,229.867,144.883,130.683,92.083,37.017,246.15,26.9,148.133,228.367,123.483,169.633,261.183,22.217,171.3,82.183,41.333,146.917,193.933,237.55,82,125.933,110.15,270.5,125.067,179.933,125.317,157.117,272.65,211.583,177.467,108.583,243.8,110.9
"Brown",138.1,115.083,61.533,187.917,100.917,132.233,0,84.817,137.7,37.033,177.733,82.8,81.933,97.483,110.6,139.65,147.7,100.967,122.683,180.783,36.983,44.217,84.167,38.267,121.517,98.883,107.067,115.817,164.533,50.233,63.217,53.9,61.933,99.883,121.217,75.517,122.05,123.717,59.383,85.933,142.55,153.433,152.217,186.483,139.017,176.683,36.533,116.75,103.367,80.533,137.667,88.783,141.383,97.817,64.033,107.733,119.683,142.683,81.267,129.833,76.833,30.65,46.617,152.6,145.9,142.467,43.45,128.117,77.317,69.367,134.783,125.117,48.567,165.533,153.433,162.833,83.317,137.3,138.2,69.133,60.667,144.117,99.9,79.3,119.683,103.983,146.267,110.633,84.4,96.25,359.383,145.183
"Carroll",111.6,52.933,114.167,124.933,104.883,77.517,86.633,0,216.7,89.667,113.933,123.133,160.933,176.483,163.467,118.75,121.617,123.45,201.683,116.983,56.367,90.967,72.217,98.367,45.033,151.517,57.633,127.683,138.45,95.917,134.467,106.533,107.6,103.083,75.3,128.15,201.05,136.3,32.883,138.567,221.267,73.233,89.233,142.333,76.017,102.45,78.6,169.383,81.467,102.8,216.667,48.25,122.667,176.817,129.183,53.017,56.683,221.683,134.117,182.483,107.3,83.3,44.683,97.883,198.767,87.767,104.6,180.983,79.967,122.233,213.783,70.4,123.917,101.75,73.233,136.75,151.217,190.167,75.433,66.783,66.633,223.117,102.817,147.217,56.683,92.067,225.267,164.2,130.067,40.25,304.667,99.383
"Cass",261.9,245.917,125.317,310.517,224.717,264.35,139.883,216.933,0,149.433,308.583,152.4,107.783,52.617,164.15,263.433,271.5,224.767,39.95,311.633,169.1,167.883,200.7,148.333,252.35,102.567,213.733,239.617,288.317,174.467,132.817,144.117,186.15,182.25,245.017,110.733,23.95,247.517,191.5,93.333,50.267,285.55,283.067,310.283,269.867,308.8,160.333,124.467,227.167,176.567,40.767,219.617,265.183,55.467,124.35,232.95,251.167,46.117,192.633,96.617,166.933,152,178.733,284.717,138.1,274.6,152.317,151.717,194.767,180.7,37.883,257.233,111.3,296.383,285.55,286.633,98.317,132.817,269.033,199.983,190.067,47.55,167.933,125.783,251.167,227.783,33.583,86.217,208.617,227.083,486.967,268.967
"Clark",128.883,112.917,36.633,177.5,91.7,136.933,37.383,89.517,150.033,0,175.567,103.8,95.167,119.95,86.85,130.433,138.483,91.75,145.15,178.617,41.683,69.067,90.933,18.933,119.35,73.983,113.833,106.6,155.317,41.45,84.217,29,53.133,106.667,112,50.617,144.5,114.5,64.083,61.033,165,158.917,150.05,177.267,136.85,181.4,27.317,91.85,94.15,93.65,160.133,86.617,132.167,120.283,82.283,112.45,118.15,165.15,57.517,104.95,98.767,15.533,51.317,157.3,122.15,147.183,64.45,104.367,84.1,45.633,157.25,129.833,77,163.367,158.917,153.617,104.317,113.567,136.017,66.967,67.45,166.567,106.383,100.3,118.15,94.767,168.717,86.667,75.6,94.067,364.1,135.967
