"","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black Hawk","Boone","Bremer","Buchanan","Buena Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O'Brien","Osceola","Page","Palo Alto","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Van Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright"
"Adair",0,119.05,266.833,143.4,34.433,84.9,162.767,85.55,181.633,98.2,87.817,167,77.733,63.25,40.717,124.217,152.883,142.317,190.717,76.3,208.817,249.35,218.317,56.6,88.05,159.033,91.267,196.95,50.417,199.2,227.033,183.033,216.7,166.317,207.25,130.1,164.85,135.033,24.45,102.467,44.45,122,74.917,154.817,140.55,124.883,105.5,130.067,233.467,73.817,61.15,150.5,75.95,227.783,208.483,54.783,173.6,157.733,95.65,184.717,42.6,112,168.017,79.333,79.167,181.05,249.133,83.85,199.5,184.35,176.433,76.3,80.383,88.8,159.633,116.717,157.867,65.683,70.05,93.867,77.017,156.667,38.717,98.4,81.9,116.85,110.967,118.917,178.383,190.617,109.617,174.533,187.083,137.433,172.033,250.433,112.15,74.25,133.15
"Adams",117.483,0,219.8,70.783,147.5,147.6,62.75,104.883,143.833,205.7,34.967,145.733,165.25,157.833,116.733,24.217,165.117,224.317,159.817,98.183,144.467,196.65,153.967,92.567,61.6,66.25,118.867,141.267,73.283,262.283,162.683,251,175.533,162.917,114.467,30.1,146.483,97.233,127.683,40.383,158.283,125.3,188.75,240.05,107.267,163.817,218.85,65.717,169.117,159.917,130.983,264.317,117.25,135,115.7,74.433,109.25,93.383,79.95,298.55,107.217,11.983,103.667,179.65,192.983,189.717,201.7,44.217,270.55,116.567,258.133,98.183,197.633,42.233,171.867,184.683,57.867,179.517,60.033,139.617,175.067,92.3,152.533,212.217,89.367,57.9,81.317,97.883,85.6,105.15,45.267,67.9,122.717,34.517,184.267,208.367,225.967,102.85,84.983
"Allamakee",266.617,222.4,0,288.95,299.633,306.267,216.033,213.25,93.383,361.617,209.55,112.75,238.167,266.2,263.633,228.983,136.517,287.067,85.967,262.583,125.433,50.717,183.017,247.667,263.683,263.7,277.533,90.333,222.267,227.983,112.633,213.133,59.75,105.667,222.5,230.1,112.6,142.25,273.4,258.533,307.4,164.283,309.233,297.6,315.567,208.533,269.083,168.817,150.383,243.917,239.35,307.733,275.317,243.033,223.117,223.617,143.467,130.95,278.25,299.917,256.35,228.683,130.833,337.717,342.117,105.583,25.2,225.833,227.65,203.5,274.4,262.583,343.783,222.717,120.933,234.783,220.6,328.633,215.25,298.283,250.333,172.483,301.667,330.733,204.667,170.233,172.55,169.4,240.5,206,184.033,188.317,128.167,193.65,151.667,27.683,306.117,211.817,303.133
"Appanoose",144.05,70.983,287.283,0,174.067,92.183,85.067,139.183,212.317,150.283,98.083,214.233,199.55,192.133,150.533,60.533,199.417,258.617,228.3,77.917,211.95,264.133,221.45,105.483,76.8,31.533,60.15,208.767,104.983,296.583,230.167,285.3,241.583,212.85,96.183,66.417,211.383,165.733,151.817,45.7,184.85,168.533,215.317,274.35,38.25,198.117,245.9,131.75,236.6,194.217,165.283,290.9,94.717,111.317,128.9,101.4,176.733,160.867,58.267,325.117,133.433,60.067,171.15,124.85,194.25,227.583,269.2,83.75,304.85,156.033,292.433,77.917,141.15,92.083,206.167,218.983,80.183,211.283,110.033,84.2,209.367,153.267,179.117,238.8,128.433,126.383,148.15,155.183,65.3,139.35,111.317,113.717,190.217,99.117,218.567,276.85,252.55,136.65,27.983
"Audubon",34.467,149.633,298.25,174,0,114.25,193.35,96.6,213.05,102.017,118.417,198.867,64.45,34.833,45.4,154.817,184.75,118.817,222.6,106.9,239.417,280.783,248.917,87.2,118.65,189.633,121.85,228.367,81.017,164.767,257.633,171.583,248.117,198.183,237.85,160.7,196.717,165.633,29.117,133.067,48.8,153.433,54.617,134.55,171.15,127.133,82,160.667,264.067,56.033,64.65,154.833,106.533,258.383,239.083,85.383,204.2,188.333,126.25,189.067,73.183,142.583,198.617,101.517,83.5,212.917,280.55,114.45,165.05,214.95,152.933,106.9,84.183,119.4,191.5,105.267,188.467,70.033,100.65,123,48.583,187.267,43.05,93.983,114.9,147.45,141.567,149.517,208.983,221.217,140.217,205.133,217.683,168.033,198.717,282.317,116.483,96.783,163.75
"Benton",84.467,148.167,306.617,92.883,113.483,0,167.967,126.717,221.4,58.083,127.6,206.767,151.567,148.333,107.867,143.517,192.65,222.133,230.5,54.3,248.6,289.133,258.1,76.2,101.383,124.433,32.75,236.733,90.567,268.15,266.817,256.867,256.483,206.1,189.083,149.4,204.633,174.817,91.6,120.067,111.233,161.783,154.733,233.317,82.033,196.233,185.317,169.833,273.233,147.65,128.117,228.983,46.1,204.217,211.8,94.95,213.383,197.517,70.35,263.217,94.217,136.983,207.8,32.65,102.067,220.817,288.9,116.933,278.55,224.117,256.25,54.3,48.967,121.883,199.4,190.55,163.067,119.1,109.833,8.733,162.083,196.433,118.533,176.883,121.683,156.617,150.733,158.7,158.2,222.25,149.4,196.617,226.85,176.033,211.817,290.217,190.633,114.017,87.483
"Black Hawk",163.117,62.567,216.85,85.517,193.133,167.933,0,150.6,160.483,226.033,95.033,166,210.967,203.55,162.45,38.733,211.983,270.017,180.067,117.95,141.517,193.683,152.167,132.95,102,56.817,139.2,138.317,118.267,308,159.733,296.717,166.25,183.183,66.867,33.25,179.217,148.3,170.883,71.65,203.917,177.367,234.383,285.767,121.983,209.533,264.567,73.3,167.317,205.633,176.7,309.95,134.767,87.383,70.55,114.833,106.283,90.433,98.3,344.183,152.483,51.333,100.7,197.15,238.233,209.967,198.75,84.6,316.267,80.15,303.85,117.95,215.15,92.933,212.65,230.4,5.15,225.15,112.1,159.95,220.783,75.517,198.167,257.85,141.433,102.1,136.517,153.083,42.2,63.6,71.467,29.7,119.767,41.817,229.983,212.567,271.6,148.567,99.7
"Boone",83.15,106.867,213.45,140.717,95.967,124.4,153.583,0,128.233,178.15,75.633,113.6,68.85,61.433,58.867,115.033,99.483,139.35,137.333,80.717,173.483,195.967,201.8,65.8,85.383,149.533,95.667,143.55,47.617,177.317,184.6,166.033,163.317,112.933,197.767,120.917,111.45,89,68.633,99.783,123.933,68.617,119.117,155.083,145.033,78.283,123.083,107.283,206.767,63.517,34.583,187.667,93.45,218.283,195.567,48.967,137.967,117.967,100.067,229.95,72.067,102.817,127.233,155.85,158.65,127.65,195.733,72.25,185.583,172.167,173.167,80.717,160.317,76.55,106.233,99.717,148.683,145.167,56.1,116.417,78.683,144.483,118.2,156.583,28.083,70.167,64.917,68.583,168.883,178.45,97.45,165.35,151.733,125.25,119.75,197.05,163.583,14.3,135.533
"Bremer",181.4,143.083,93.617,210.2,214.417,221.05,159.15,128.033,0,276.4,131.067,18.683,152.95,180.983,178.417,153.95,65.75,198.35,27.767,177.367,119.533,102.783,168.417,162.45,178.467,191.983,192.317,76.317,137.05,193.233,117.367,179.633,46.9,36.95,165.633,155.083,32.983,57.033,188.183,179.8,222.183,76.817,224.017,212.383,236.817,119.8,183.867,102.4,143.367,158.7,154.133,253.767,190.1,186.167,166.25,138.4,100.717,74.083,193.033,266.417,171.133,151.4,84.65,252.5,256.9,63.75,84.917,147.067,194.15,143.3,221.133,177.367,258.567,144.25,66.417,146.05,163.717,243.417,130.033,213.067,165.117,115.617,216.45,245.517,119.45,84.517,87.333,84.183,183.633,149.133,104.05,131.45,107.983,138.033,95.117,73.667,220.9,126.6,224.4
"Buchanan",97.75,206.4,359.75,151.117,101.167,58.233,226.2,178.467,274.55,0,180.733,259.917,165.633,136,134.617,201.75,245.8,208.733,283.65,112.533,301.75,342.283,311.233,132.933,159.617,182.667,90.983,289.867,143.333,265.933,319.967,272.767,309.633,259.233,247.317,207.633,257.767,227.95,118.35,178.3,95.183,214.933,141.333,218.033,140.267,222.167,171.9,222.983,326.383,157.217,154.867,213.7,99.167,262.45,270.033,147.717,266.533,250.667,128.583,247.933,135.517,195.217,260.933,50.75,86.783,273.967,342.05,175.167,266.233,277.267,242.85,112.533,26.45,180.117,252.55,206.45,221.317,103.817,162.967,66.967,149.767,249.583,105.133,161.617,174.833,209.767,203.883,211.833,216.433,280.483,202.55,254.85,280,234.267,264.967,343.367,175.35,167.167,145.717
