"","Allen","Anderson","Atchison","Barber","Barton","Bourbon","Brown","Butler","Chase","Chautauqua","Cherokee","Cheyenne","Clark","Clay","Cloud","Coffey","Comanche","Cowley","Crawford","Decatur","Dickinson","Doniphan","Douglas","Edwards","Elk","Ellis","Ellsworth","Finney","Ford","Franklin","Geary","Gove","Graham","Grant","Gray","Greeley","Greenwood","Hamilton","Harper","Harvey","Haskell","Hodgeman","Jackson","Jefferson","Jewell","Johnson","Kearny","Kingman","Kiowa","Labette","Lane","Leavenworth","Lincoln","Linn","Logan","Lyon","Marion","Marshall","McPherson","Meade","Miami","Mitchell","Montgomery","Morris","Morton","Nemaha","Neosho","Ness","Norton","Osage","Osborne","Ottawa","Pawnee","Phillips","Pottawatomie","Pratt","Rawlins","Reno","Republic","Rice","Riley","Rooks","Rush","Russell","Saline","Scott","Sedgwick","Seward","Shawnee","Sheridan","Sherman","Smith","Stafford","Stanton","Stevens","Sumner","Thomas","Trego","Wabaunsee","Wallace","Washington","Wichita","Wilson","Woodson","Wyandotte"
"Allen",0,127.614,152.586,253.252,244.524,218.474,184.015,121.875,220.826,196.062,263.236,242.706,100.62,198.326,150.127,93.658,245.776,195.056,243.693,511.567,123.776,168.541,289.737,333.072,67.638,345.797,235.217,474.067,384.232,254.18,101.259,444.258,431.435,108.659,341.753,122.805,388.57,78.428,249.499,326.288,476.422,367.244,127.571,130.603,267.263,552.165,494.123,236.333,311.8,246.247,118.735,164.429,517.094,188.751,381.276,105.829,103.098,184.018,159.631,443.009,154.653,198.044,209.114,257.169,210.244,205.976,279.177,359.614,467.536,205.753,325.336,82.223,304.23,367.303,108.867,291.723,541.023,117.921,275.643,211.859,119.582,383.169,301.041,283.556,176.515,158.458,167.774,281.692,159.22,485.272,119.655,503.491,261.192,554.539,543.067,212.783,207.742,375.331,81.115,530.095,194.348,167.335,250.477,128.747,162.534
"Anderson",127.612,0,174.87,126.876,370.164,92.098,236.004,178.878,296.538,200.617,140.041,347.022,201.058,274.038,225.102,72.355,321.488,251.795,116.061,637.207,264.452,190.825,365.449,408.784,87.137,471.437,360.857,549.779,459.207,127.804,226.899,569.898,557.075,234.285,417.465,15.37,546.295,117.894,324.474,484.013,552.134,442.956,253.197,141.904,424.988,627.877,569.835,311.308,386.775,140.174,26.186,155.174,592.806,314.377,539.001,238.777,178.81,286.841,235.343,517.984,90.466,273.756,140.833,332.144,335.884,257.965,173.104,435.326,593.176,83.321,450.976,37.74,379.942,525.028,213.527,366.698,666.663,101.128,401.269,337.485,245.208,508.809,390.358,409.196,302.155,50.334,243.486,357.404,110.502,610.912,245.281,629.131,336.904,630.251,618.042,287.758,312.058,500.971,191.347,655.735,319.974,242.31,376.117,77.346,123.671
"Atchison",152.844,173.135,0,258.411,328.986,223.633,62.68,262.218,377.15,347.755,291.188,360.197,262.698,341.522,290.47,185.907,380.891,335.399,271.403,495.717,223.274,11.282,421.161,461.274,129.245,430.259,319.679,582.835,524.575,259.339,185.721,528.72,515.897,168.966,469.049,174.271,409.583,230.121,389.842,371.454,605.055,494.54,154.912,39.925,301.451,680.798,621.419,376.676,452.143,331.182,166.859,37.949,645.727,209.238,418.395,197.599,246.294,156.32,321.451,583.352,156.322,359.864,301.363,397.512,294.706,120.717,329.347,485.054,439.552,207.422,345.419,132.138,431.526,388.316,145.216,432.066,539.22,69.43,273.436,261.258,177.486,394.444,425.43,368.018,260.977,170.571,310.97,409.669,90.083,569.734,166.281,587.953,404.388,683.172,660.492,353.126,339.083,459.793,150.169,614.557,192.138,307.678,334.939,220.996,76.16
"Barber",253.482,127.116,257.011,0,462.661,35.451,327.483,224.662,401.782,191.01,42.521,445.003,315.634,329.622,235.722,161.3,413.264,258.45,27.759,729.704,398.651,266.537,422.663,459.04,216.76,563.934,430.014,600.035,469.809,10.029,361.098,662.395,649.572,368.484,490.042,140.604,638.536,187.117,332.363,576.254,582.625,515.533,387.396,248.309,517.229,658.368,641.11,321.91,394.664,85.302,142.27,221.872,623.297,448.576,631.242,372.976,290.044,422.208,340.861,528.586,113.291,379,132.609,346.226,428.381,386.605,83.467,540.57,685.673,59.649,543.473,163.61,452.519,617.269,347.726,377.3,759.16,214.556,528.489,471.684,379.407,601.306,495.602,501.693,392.249,107.729,284.023,414.618,173.06,703.409,379.48,721.628,387.16,660.742,628.644,301.84,410.039,593.468,325.546,748.232,454.173,252.912,468.614,130.523,186.229
"Barton",244.443,367.314,328.938,462.79,0,467.449,348.838,234.11,98.644,374.865,455.939,82.778,159.262,177.203,229.397,322.797,103.472,279.934,438.272,312.786,110.903,344.893,143.742,183.855,282.205,147.016,40.602,305.416,255.239,452.721,146.036,245.477,199.373,190.684,191.63,369.401,203.687,310.871,216.104,141.405,327.636,217.121,184.602,306.955,88.495,403.379,344,172.872,272.127,438.992,358.828,348.261,368.308,179.131,196.393,149,181.391,234.071,130.295,311.116,400.138,91.617,391.031,256.944,37.624,303.123,471.922,237.779,235.474,451.238,100.288,326.317,154.107,182.42,197.239,186.728,342.242,301.753,152.42,129.292,185.93,145.744,160.085,84.775,76.002,398.551,196.872,132.25,343.052,286.491,201.68,304.71,165.865,405.753,383.073,267.858,60.577,176.55,206.11,331.314,198.268,216.433,51.696,335.631,346.366
"Bourbon",219.419,93.053,222.948,35.394,470.3,0,293.42,197.992,371.376,210.733,68.171,414.597,292.865,309.728,237.49,127.237,396.326,260.218,48.386,737.343,364.588,232.474,405.478,441.855,182.697,571.573,460.993,582.85,464.259,36.322,327.035,670.034,657.211,334.421,472.857,106.541,646.431,153.054,329.526,584.149,585.205,498.348,353.333,214.246,525.124,660.948,623.925,316.36,391.827,108.165,108.207,187.809,625.877,414.513,639.137,338.913,270.617,388.145,310.455,523.036,79.228,348.594,152.332,337.196,436.02,352.542,106.33,510.164,693.312,25.586,551.112,129.547,435.334,625.164,313.663,371.75,766.799,180.493,501.405,437.621,345.344,608.945,465.196,509.332,402.291,73.666,263.386,397.433,138.997,711.048,345.417,729.267,369.975,663.322,623.094,292.81,379.633,601.107,291.483,755.871,420.11,247.362,476.253,96.46,152.166
"Brown",183.546,233.53,62.658,326.29,348.895,291.512,0,292.92,397.059,378.457,359.067,380.106,282.607,388.268,321.172,213.175,400.8,366.101,339.282,436.61,243.183,59.973,441.07,481.183,156.513,450.168,339.588,602.744,555.277,327.218,205.63,548.629,400.784,165.362,488.958,242.15,350.476,260.823,420.544,312.347,624.964,514.449,151.308,84.127,242.344,700.707,641.328,407.378,482.845,365.764,225.044,100.329,665.636,150.131,359.288,217.508,276.996,97.213,341.36,614.054,224.201,379.773,328.631,428.214,314.615,61.61,397.226,504.963,380.445,275.301,314.826,192.533,451.435,329.209,141.612,462.768,480.113,127.116,214.329,202.151,173.882,363.851,445.339,387.927,280.886,238.45,341.672,429.578,158.442,450.064,162.677,473.018,452.799,703.081,680.401,383.828,358.992,479.702,170.078,634.466,133.031,338.38,354.848,248.264,143.067
"Butler",121.868,179.108,261.217,224.783,234.263,197.03,292.646,0,173.384,143.059,217.932,216.605,92.467,111.736,32.162,136.574,198.334,79.376,200.265,501.306,149.014,277.172,207.486,243.863,177.866,335.536,201.616,384.858,266.267,214.714,144.573,433.997,421.174,189.221,274.865,192.596,410.138,76.781,131.534,347.856,387.213,300.356,208.133,239.234,288.831,462.956,425.933,118.368,193.835,200.985,211.418,273.06,427.885,235.531,402.844,137.716,66.877,264.58,112.463,325.044,255.306,150.602,153.024,139.204,199.983,314.607,233.915,312.172,457.275,218.608,315.075,184.219,237.342,388.871,195.776,173.758,530.762,226.552,300.091,251.919,184.578,372.908,267.204,273.295,163.851,227.56,65.394,199.441,256.524,475.011,200.217,493.23,171.983,465.33,425.102,94.818,181.641,365.07,204.647,519.834,252.326,49.37,240.216,101.541,271.165
"Chase",221.182,296.137,367.463,402.504,90.325,370.834,387.363,173.824,0,314.579,395.653,45.482,128.029,82.46,169.111,262.181,26.858,219.648,377.986,329.895,149.428,383.418,74.947,115.06,279.021,164.125,48.638,236.621,186.444,392.435,184.561,262.586,249.763,229.209,122.835,315.775,248.416,250.585,144.827,186.134,258.841,148.326,248.121,345.48,166.078,334.584,275.205,101.595,203.332,378.706,311.229,386.786,299.513,237.558,241.122,187.525,120.775,289.749,61.83,242.321,355.117,22.481,330.745,185.667,103.44,341.648,411.636,140.696,285.864,406.217,145.017,284.03,85.312,227.149,235.764,117.933,359.351,340.278,243.881,195.709,224.455,190.473,95.728,101.857,110.353,358.922,136.586,63.455,356.335,303.6,240.205,321.819,66.291,336.958,314.278,177.123,36.304,193.659,244.635,348.423,254.353,156.147,63.976,275.345,384.891
"Chautauqua",196.074,204.618,344.166,194.279,375.321,214.057,375.595,143.012,314.442,0,155.13,357.663,233.984,253.519,154.072,177.434,337.161,94.931,169.761,642.364,290.531,360.121,346.56,382.937,255.332,476.594,342.674,500.399,388.576,184.21,286.09,575.055,562.232,330.738,413.939,218.106,551.196,117.641,189.64,488.914,501.392,439.43,349.65,322.183,429.889,577.135,541.474,240.677,240.174,115.986,228.922,355.037,542.064,377.048,543.902,279.233,208.394,406.097,253.521,419.983,293.202,291.66,62.565,169.372,341.041,397.556,129.941,453.23,598.333,238.255,456.133,241.112,376.416,529.929,294.66,296.067,671.82,304.5,441.149,392.977,326.095,513.966,408.262,414.353,304.909,253.07,196.683,338.515,310.365,616.069,341.734,634.288,311.057,579.509,520.041,155.674,322.699,506.128,272.48,660.892,393.843,163.885,381.274,142.401,323.534
