"","Allen","Anderson","Atchison","Barber","Barton","Bourbon","Brown","Butler","Chase","Chautauqua","Cherokee","Cheyenne","Clark","Clay","Cloud","Coffey","Comanche","Cowley","Crawford","Decatur","Dickinson","Doniphan","Douglas","Edwards","Elk","Ellis","Ellsworth","Finney","Ford","Franklin","Geary","Gove","Graham","Grant","Gray","Greeley","Greenwood","Hamilton","Harper","Harvey","Haskell","Hodgeman","Jackson","Jefferson","Jewell","Johnson","Kearny","Kingman","Kiowa","Labette","Lane","Leavenworth","Lincoln","Linn","Logan","Lyon","Marion","Marshall","McPherson","Meade","Miami","Mitchell","Montgomery","Morris","Morton","Nemaha","Neosho","Ness","Norton","Osage","Osborne","Ottawa","Pawnee","Phillips","Pottawatomie","Pratt","Rawlins","Reno","Republic","Rice","Riley","Rooks","Rush","Russell","Saline","Scott","Sedgwick","Seward","Shawnee","Sheridan","Sherman","Smith","Stafford","Stanton","Stevens","Sumner","Thomas","Trego","Wabaunsee","Wallace","Washington","Wichita","Wilson","Woodson","Wyandotte"
"Allen",0,85.75,92.35,164.8,145.683,140,106.233,73.067,144.05,145.933,161.333,165.883,70.183,124.883,85.867,58.667,161.017,122.533,150.55,275.517,84.9,112.283,187.583,201.05,50.467,184.617,132.45,289.35,223.733,163.233,66.3,232.35,235.65,78.367,224.817,91.083,265.517,61.117,140.1,212.217,291.383,240.717,87.517,80.317,176.133,337.183,315.583,133.417,179.983,158.233,90.317,98.133,314.067,125.017,246.017,68.017,68.65,123.667,104.217,259.483,110.75,127.783,133.35,145.317,121.533,120.167,179.967,232.7,255.017,140.567,184.183,61.383,205.517,240.283,76.483,166.483,285.567,65.517,181.5,143.7,85.183,210.517,202.1,153.667,103.617,110.867,106.9,184.133,86.917,260.933,84.75,265.717,159.267,339.567,320.55,119.583,142.65,198.1,60.55,280.333,129.3,93.4,138.333,80.367,85.567
"Anderson",83.75,0,114.917,83.3,208.1,58.5,142.083,114.417,187.95,126.567,94.217,214,129.217,168.783,130.783,50.567,204.917,158.25,77.767,337.933,146.95,134.85,231.483,244.95,56.983,247.033,194.867,333.267,268.65,81.733,128.717,294.767,298.067,141.967,268.717,12.65,324.333,86.35,185.017,271.017,335.3,284.617,151.117,95.533,234.933,381.083,359.483,178.333,224.9,95.783,20.55,92.5,357.967,188.6,304.817,136.7,112.55,176,148.133,304.4,56.567,171.683,86.417,190.233,183.95,156,117.5,276.617,317.433,65.633,246.6,29.783,249.417,299.083,129.633,211.4,347.983,72.5,245.083,207.283,148.783,272.933,250.983,216.083,166.033,34.233,150.8,228.033,65.367,323.35,148.333,328.133,203.167,383.483,365.467,164.5,190.767,260.517,111.367,342.75,192.883,138.317,200.75,50.383,73.233
"Atchison",93.417,114.167,0,149.95,189.45,125.15,42.833,148.2,213.217,227.917,170.267,203.3,158.183,201.4,161,119.1,217.1,197.683,159.967,308.033,128.3,21.583,238.533,270.8,84.267,228.383,176.233,339.4,298.883,148.4,110.067,276.117,279.417,118.817,271.667,106.85,267.05,143.1,215.25,232.6,360.933,287.567,109.017,29.317,190.783,406.717,362.433,208.567,255.133,200.633,106.733,25.117,383.6,136.217,260.2,118.067,145.167,101.583,177.417,334.633,94.317,200.967,193.783,220.467,165.317,80.933,199.717,279.117,274.15,124.117,230.983,89.983,252.367,241.817,104.8,241.633,334.067,50.867,176.15,171.867,124.6,259.417,242.317,197.433,147.383,106.9,183.417,234.183,62.467,304.7,118.817,309.483,235.8,409.117,394.35,194.733,187.017,241.883,92.717,324.117,124.783,168.55,182.1,140.8,58.017
"Barber",162.95,82.6,152.567,0,273.917,27.517,181.433,143.067,243.367,129.883,34.117,269.867,204.133,204.333,148.567,107.65,259.883,171.067,24.983,403.75,213.067,170.817,264.717,276.767,131.233,312.85,260.367,365.067,292.55,11.633,194.833,360.583,363.883,208.083,308.533,88.75,389.817,122.067,210.067,336.517,364.817,324.433,217.233,148.667,300.433,410.6,389.45,202.233,249.95,65.433,95,127.883,387.483,254.733,370.317,202.817,185.2,240.233,205.9,328.3,68.15,227.1,89.033,216.833,249.783,219.6,64.517,332.017,383.267,45.133,312.433,108.983,289.233,364.583,195.75,235.317,413.8,120.033,309.583,273.4,214.9,338.767,306.4,281.9,229.467,71.4,179.167,261.267,98.317,389.167,214.45,393.95,234.983,413,389.367,191.1,246.45,326.35,177.483,408.567,259.017,162.233,266.567,87.633,106.183
"Barton",145.85,206.75,189.933,274.767,0,248.717,195.717,136.7,77.4,226.133,258.533,67.233,110.25,107.25,129.75,191.983,81.017,167.65,254.6,178.633,70.433,209.85,102.467,134.733,156.033,87.733,37.233,203.333,177.917,266.883,89.217,135.467,138.8,116.183,135.6,209.5,151.767,187.183,157.9,100.517,224.85,151.5,126.683,177.883,73.317,270.633,226.367,128.633,186.5,256.283,203.367,199.033,247.533,119.583,132.683,90.583,112.117,151.817,81.717,212.4,217.867,72.3,224.25,184.917,36.267,188.9,278,136,158.183,247.667,73.7,182.567,116.3,126.517,120.967,129.567,188.683,166.4,115.7,90.933,113.8,101.817,102.017,56.783,54.4,223.9,114.317,98.117,187.817,164.05,122.567,168.833,117.467,273.033,258.283,155.483,51.2,101.233,117.35,183.45,129.433,122.767,41.45,200.417,186.467
"Bourbon",139.167,58.8,128.783,26.683,250.417,0,157.633,127.867,232.85,136.817,47,259.35,184.633,198.583,148.667,83.85,249.817,171.183,36.7,380.25,189.283,147.017,258.217,270.25,107.433,289.35,237.2,358.567,290.867,25.133,171.033,337.083,340.4,184.283,302.017,64.967,366.65,98.267,207.25,313.35,360.6,317.933,193.433,124.883,277.267,406.383,382.933,200.567,247.117,77.383,71.217,104.083,383.267,230.933,347.15,179.033,167.967,216.45,195.383,326.617,44.367,216.583,95.967,212.467,226.283,195.817,76.467,321.5,359.767,21.35,288.933,85.2,282.717,341.417,171.95,233.633,390.3,96.25,287.417,249.617,191.1,315.267,295.883,258.417,208.35,47.617,173.167,254.75,74.533,365.683,190.667,370.467,228.467,408.767,387.683,186.733,235.933,302.85,153.7,385.083,235.217,160.55,243.067,63.85,82.4
"Brown",107.617,140.967,42.517,181.017,195.633,156.217,0,162.417,219.4,242.117,201.333,209.483,164.35,209.133,175.217,129.333,223.267,211.883,191.033,270.067,134.483,45.717,244.717,276.983,94.483,234.567,182.4,345.583,313.083,179.467,116.25,282.3,250.683,108.65,277.85,137.933,229.083,157.3,229.45,194.633,367.1,293.75,98.833,62.783,152.817,412.883,368.617,222.767,269.333,228.9,137.567,67.3,389.783,98.25,222.233,124.233,159.383,63.617,183.583,348.833,125.383,207.15,204,234.667,171.483,42.967,230.783,285.3,236.183,155.183,197.517,116.783,258.55,203.85,94.633,255.833,296.1,93.133,138.183,133.9,114.417,225.95,248.483,203.617,153.567,137.967,197.617,240.367,92.25,279.083,108.65,295.567,244.85,415.283,400.533,208.933,193.183,248.05,98.9,330.283,86.817,182.75,188.283,151.017,86.567
"Butler",73.033,116.417,147.217,143.65,136.067,127.133,161.1,0,105.533,97.783,127.417,132.017,65.25,71.25,25.667,86.95,122.483,53.833,123.483,265.917,94.433,167.15,130.883,142.933,107.967,175,122.533,231.233,163.55,135.767,93.6,222.75,226.05,120.55,174.7,122.567,251.983,51.067,79.917,198.667,233.267,190.6,129.7,135.183,162.583,279.05,255.6,73.233,119.8,125.167,117.217,153,255.933,150.75,232.467,86.833,46.333,165.85,68.05,199.3,141.567,89.25,93.133,85.133,111.933,175.033,146.9,194.183,245.417,144.6,174.583,100.05,155.4,226.733,125.333,106.3,275.95,120.383,171.733,139.567,118.017,200.917,168.55,144.067,91.633,144.167,45.833,127.433,135.483,251.333,126.933,256.117,101.15,281.45,260.367,59.4,108.6,188.5,121.733,270.733,162.133,33.217,128.717,64.3,140.433
"Chase",145.55,190.45,207.433,244.217,72.15,232.717,213.233,106.167,0,195.6,228,33.483,90.867,61.283,99.217,163.383,20.85,137.1,224.05,192.4,87.95,227.367,51.517,83.8,182.85,101.5,36.2,152.383,126.983,236.35,106.733,149.233,152.55,133.7,84.65,193.55,178.667,156.65,101.867,127.433,173.917,100.567,142.85,195.383,118.967,219.7,175.417,72.6,135.55,225.75,190.383,216.533,196.583,141.817,159.6,108.083,83.517,174.633,43.583,161.467,214.733,17.733,193.717,128.883,68.983,206.417,247.467,92.55,171.917,244.55,100.617,173.233,65.35,153.433,138.467,78.617,202.45,183.917,148.167,116,131.3,128.733,66.917,70,74.683,214.85,83.767,47.183,208.65,177.833,140.067,182.617,51.433,222.1,207.333,121.067,24.833,115,134.867,197.233,153.2,92.233,47.95,169.867,203.983
"Chautauqua",144.867,129.433,227.583,130.95,226.25,139.3,241.467,97.75,195.7,0,99.167,222.2,158.8,153.767,103.233,120.083,209.3,58.917,110.783,356.083,187.983,247.5,214.15,226.183,169.867,265.183,212.717,314.433,236.883,123.083,187.133,312.917,316.217,214.1,257.95,135.583,342.15,84.217,123.183,288.85,309.15,273.867,223.25,215.533,252.767,354.933,338.817,146.567,152.183,82.333,143.483,217.65,331.817,244.283,322.65,180.383,139.867,259.4,158.233,263.733,179.5,179.433,45.2,108.667,202.117,255.383,91.867,284.367,335.6,156.933,264.767,155.817,238.65,316.917,219.533,179.633,366.133,198.533,261.917,229.75,211.55,291.1,258.733,234.233,181.8,157.167,131.517,210.683,190.517,341.5,220.483,346.283,184.4,357.333,324.817,104.633,198.783,278.683,201.283,360.917,255.683,111.183,218.9,97.433,198.383
