"","Adair","Allen","Anderson","Ballard","Barren","Bath","Bell","Boone","Bourbon","Boyd","Boyle","Bracken","Breathitt","Breckinridge","Bullitt","Butler","Caldwell","Calloway","Campbell","Carlisle","Carroll","Carter","Casey","Christian","Clark","Clay","Clinton","Crittenden","Cumberland","Daviess","Edmonson","Elliott","Estill","Fayette","Fleming","Floyd","Franklin","Fulton","Gallatin","Garrard","Grant","Graves","Grayson","Green","Greenup","Hancock","Hardin","Harlan","Harrison","Hart","Henderson","Henry","Hickman","Hopkins","Jackson","Jefferson","Jessamine","Johnson","Kenton","Knott","Knox","Larue","Laurel","Lawrence","Lee","Leslie","Letcher","Lewis","Lincoln","Livingston","Logan","Lyon","Madison","Magoffin","Marion","Marshall","Martin","Mason","McCracken","McCreary","McLean","Meade","Menifee","Mercer","Metcalfe","Monroe","Montgomery","Morgan","Muhlenberg","Nelson","Nicholas","Ohio","Oldham","Owen","Owsley","Pendleton","Perry","Pike","Powell","Pulaski","Robertson","Rockcastle","Rowan","Russell","Scott","Shelby","Simpson","Spencer","Taylor","Todd","Trigg","Trimble","Union","Warren","Washington","Wayne","Webster","Whitley","Wolfe","Woodford"
"Adair",0,440.593,135.717,200.212,208.937,465.326,441.35,319.109,335.147,297.073,220.671,346.197,380.24,298.663,132.346,290.888,286.988,280.731,291.961,301.728,213.317,391.991,114.809,188.079,166.98,128.987,318.011,269.338,492.798,39.338,118.747,393.068,453.841,257.973,499.185,345.838,179.179,314.636,237.172,405.257,424.377,280.43,402.042,160.731,439.331,9.681,264.871,491.908,289.179,148.429,91.042,60.213,344.086,128.717,380.24,134.504,248.888,418.011,284.609,452.647,416.629,391.669,371.686,468.229,97.369,263.375,472.584,403.296,412.165,350.768,153.767,205.758,294.001,403.526,174.468,251.304,444.719,273.943,266.971,376.172,75.09,84.551,346.358,97.995,237.601,168.886,209.302,287.705,104.762,103.809,301.728,77.446,187.717,293.502,461.898,180.423,429.85,472.996,317.65,340.704,326.531,221.727,350.642,439.081,325.51,180.819,378.723,184.005,176.125,178.699,218.047,326.155,267.109,435.727,340.918,321.828,108.167,416.056,352.114,232.908
"Allen",441.145,0,449.007,257.213,338.463,62.536,175.376,215.43,220.613,235.63,252.408,211.884,98.569,222.519,326.58,263.58,288.337,624.454,318.784,191.354,302.121,123.691,416.896,531.802,280.733,543.65,661.734,275.148,120.706,481.42,389.456,88.278,25.129,195.362,73.024,227.416,424.282,658.359,301.884,128.865,107.243,624.153,100.731,364.842,157.021,431.496,608.594,153.536,213.035,377.727,515.075,497.626,687.809,504.763,98.569,309.666,226.487,103.879,297.122,45.275,168.877,150.198,161.556,76.436,416.57,331.322,81.711,151.775,133.026,187.299,443.184,549.481,183.317,40.687,565.486,595.027,7.457,252.281,610.694,247.056,481.715,367.55,111.563,464.336,313.767,335.017,553.025,263.83,474.341,459.382,191.354,442.11,316.033,244.588,23.147,300.262,72.305,34.245,124.358,229.364,197.122,565.45,115.884,131.566,669.233,269.63,81.015,287.648,313.38,468.234,561.77,237.348,298.174,187.975,188.055,254.309,349.476,206.868,90.017,217.883
"Anderson",135.138,460.814,0,217.524,111.881,417.803,356.923,294.55,238.091,342.683,237.983,353.239,400.461,318.126,172.53,358.299,354.399,177.121,359.372,318.815,280.728,412.212,47.662,82.564,212.987,139.42,257.504,336.749,425.362,106.021,78.839,413.289,431.792,274.353,451.662,248.782,48.716,254.129,304.583,320.811,444.598,219.923,422.263,146.565,459.552,140.154,166.502,407.481,308.642,127.707,153.056,122.227,283.579,100.533,400.461,202.15,266.2,391.231,352.02,408.165,332.202,307.223,287.24,488.45,57.534,166.319,425.061,423.517,327.719,290.41,25.614,145.251,306.379,423.747,161.256,190.797,440.78,329.035,206.464,279.116,98.702,162.262,366.579,56.896,140.545,139.516,111.479,340.584,56.235,61.192,318.815,66.711,255.128,321.342,482.119,247.834,382.981,493.217,337.871,243.648,345.209,140.556,370.863,459.302,265.003,234.256,398.944,207.594,178.455,50.546,120.224,229.099,334.52,351.3,358.005,224.772,188.343,331.629,372.335,246.181
"Ballard",199.022,258.236,216.542,0,169.424,282.969,210.325,128.909,123.23,135.801,46.769,150.661,197.883,115.548,84.873,162.109,158.209,380.805,188.656,116.237,102.816,209.634,173.247,288.153,58.109,300.001,418.085,145.02,310.441,237.771,179.972,210.711,271.484,71.775,316.828,100.352,230.623,414.71,116.976,174.232,242.02,380.504,219.685,121.193,256.974,189.364,364.945,260.883,106.064,134.078,284.806,253.977,444.16,261.114,197.883,92.489,63.622,235.654,166.994,270.29,185.604,160.644,140.661,285.872,172.921,168.381,290.227,220.939,181.14,119.732,249.525,305.832,103.801,221.169,321.837,351.378,262.362,122.153,367.045,167.686,238.066,135.655,164.001,220.687,143.337,124.204,309.376,133.702,230.692,215.733,116.237,198.461,100.628,114.46,279.541,84.857,247.493,290.639,135.293,104.728,142.631,321.801,168.285,256.724,425.584,48.278,196.366,51.299,86.692,274.575,318.121,136.815,168.046,204.702,155.427,161.456,132.299,185.031,169.757,43.603
"Barren",210.418,337.558,114.537,168.914,0,307.124,246.244,183.871,127.412,294.073,158.193,304.629,280.055,269.516,123.92,309.689,305.789,260.339,310.762,270.205,232.118,363.602,123.028,165.782,164.377,243.902,361.986,288.139,314.683,181.301,54.986,364.679,321.113,225.743,340.983,138.103,89.812,358.611,255.973,210.132,395.988,324.405,373.653,49.354,410.942,215.434,249.72,296.802,260.032,40.811,228.336,197.507,388.061,205.015,280.055,153.54,217.59,280.552,303.41,297.486,221.523,196.544,176.561,439.84,85.806,55.638,314.382,374.907,217.04,179.731,108.714,249.733,210.881,375.137,265.738,295.279,330.101,280.425,310.946,168.437,181.596,129.655,317.969,164.588,29.866,37.078,194.697,291.974,154.425,159.634,270.205,141.991,206.518,272.732,363.27,199.224,272.302,374.368,289.261,132.969,296.599,223.774,322.253,410.692,369.485,185.646,350.334,158.984,90.591,133.764,203.442,118.42,285.91,240.621,309.395,114.091,159.193,220.95,323.725,197.571
"Bath",465.482,62.413,418.55,281.55,308.006,0,140.408,184.973,190.156,259.967,221.35,281.969,85.097,246.856,350.917,287.917,312.674,564.352,343.121,215.691,326.458,181.639,427.041,469.795,305.07,547.915,665.999,299.485,58.27,485.314,358.999,146.226,45.968,219.699,29.857,196.959,393.825,662.624,326.221,98.408,165.191,628.418,158.679,316.414,214.969,455.833,553.733,94.26,237.372,342.32,532.349,501.52,692.074,509.028,85.097,334.003,250.824,76.202,321.459,17.263,138.42,119.741,131.099,134.384,389.819,300.865,19.275,209.723,102.569,156.842,412.727,553.746,211.988,98.635,569.751,599.292,54.956,276.618,614.959,216.599,485.609,391.887,152.105,468.601,283.31,304.56,498.71,288.167,458.438,463.647,215.691,446.004,340.37,268.925,72.782,324.599,35.787,76.455,148.695,198.907,262.761,527.787,173.832,189.514,673.498,293.967,102.318,311.985,282.923,437.777,507.455,206.891,322.511,157.518,246.003,223.852,373.813,176.411,113.989,242.22
"Bell",441.423,175.306,357.499,257.491,246.955,124.759,0,123.923,129.105,266.207,160.3,285.14,151.32,250.027,326.858,292.515,288.615,503.301,319.062,239.09,302.399,296.839,365.99,408.744,281.011,486.864,604.948,275.426,82.581,424.263,297.948,232.046,158.861,185.161,132.456,135.908,332.774,601.573,302.162,53.673,329.225,567.367,306.89,255.363,344.179,431.774,492.682,50.557,240.543,281.269,471.298,440.469,631.023,447.977,151.32,309.944,184.551,115.651,297.4,135.234,26.744,85.369,71.414,247.277,328.768,239.814,106.023,308.144,54.611,95.792,351.676,492.695,150.938,211.528,508.7,538.241,167.849,252.559,553.908,100.634,424.558,367.828,251.206,407.55,222.259,243.509,437.659,264.108,397.387,402.596,239.09,384.953,316.311,244.866,187.328,300.54,110.05,182.006,222.498,137.856,265.484,466.736,255.49,343.929,612.447,269.908,168.541,287.926,221.872,376.726,446.404,145.84,298.452,27.063,278.28,162.801,349.754,62.021,168.607,218.161
"Boone",319.137,215.567,295.159,135.205,184.615,185.133,124.234,0,66.765,143.921,49.654,162.854,162.802,127.741,204.572,170.229,166.329,502.446,196.776,116.804,180.113,174.553,294.888,346.404,158.725,421.642,539.726,153.14,206.816,359.412,235.608,175.63,199.122,62.875,218.992,53.686,270.434,536.351,179.876,88.141,206.939,502.145,184.604,193.023,221.893,309.488,486.586,174.792,118.257,218.929,393.067,375.618,565.801,382.755,162.802,187.658,84.559,122.637,175.114,175.495,99.513,74.553,54.57,250.791,294.562,177.474,192.391,185.858,95.049,33.652,289.336,427.473,28.652,186.088,443.478,473.019,208.11,130.273,488.686,107.268,359.707,245.542,128.92,342.328,159.919,181.169,375.319,141.822,352.333,337.374,116.804,320.102,194.025,122.58,244.46,178.254,150.311,255.558,100.212,58.062,143.198,443.442,133.204,221.643,547.225,147.622,161.285,165.64,117.379,314.386,384.064,83.5,176.166,118.611,155.994,100.461,227.468,98.94,134.676,95.875
"Bourbon",335.526,219.85,239.645,120.21,129.101,189.416,128.536,66.163,0,208.442,73.516,227.375,162.347,192.262,207.752,234.75,230.85,385.447,261.297,181.325,244.634,239.074,248.136,290.89,223.246,369.01,487.094,217.661,196.975,306.409,180.094,240.151,203.405,127.396,223.275,24.631,214.92,483.719,244.397,92.424,271.46,449.513,249.125,137.509,286.414,266.844,374.828,179.094,182.778,163.415,353.444,322.615,513.169,330.123,162.347,252.179,105.007,162.844,239.635,179.778,103.815,78.836,58.853,315.312,210.914,99.154,196.674,250.379,99.332,62.023,233.822,374.841,93.173,214.414,390.846,420.387,212.393,194.794,436.054,43.657,306.704,213.135,193.441,289.696,104.405,125.655,319.805,206.343,279.533,284.742,181.325,267.099,258.546,187.101,245.562,242.775,154.594,256.66,164.733,19.497,207.719,348.882,197.725,286.164,494.593,212.143,178.155,161.234,104.018,258.872,328.55,25.41,240.687,122.913,220.515,37.427,291.989,83.724,163.002,131.958
"Boyd",296.669,232.61,341.072,138.094,293.954,257.343,266.83,144.589,209.398,0,142.125,53.388,172.257,14.562,199.423,33.039,39.038,505.335,92.896,52.422,98.156,172.716,297.777,412.683,153.576,424.531,542.615,49.26,284.815,340.099,304.502,173.793,245.858,83.453,291.202,201.173,355.153,539.24,75.996,230.737,205.102,505.034,182.767,245.723,182.137,287.02,489.475,317.388,23.841,258.608,370.599,360.974,568.69,385.644,172.257,165.706,107.368,210.028,46.437,244.664,242.109,217.149,197.166,248.954,297.451,320.107,264.601,128.693,237.645,176.248,374.055,430.362,119.481,195.543,446.367,475.908,236.736,29.296,491.575,249.901,362.596,240.393,127.083,345.217,302.552,248.734,433.906,7.041,355.222,340.263,52.422,322.991,134.614,26.113,253.915,118.843,221.867,265.013,109.667,205.549,46.143,446.331,131.367,196.81,550.114,142.473,170.74,160.491,211.222,399.105,442.651,226.133,72.286,261.207,81.721,243.094,205,241.536,144.131,98.764
"Boyle",219.771,250.924,237.291,46.693,157.523,221.334,160.435,58.376,73.34,142.769,0,153.325,190.571,118.212,105.576,169.077,165.177,401.554,195.624,118.901,143.354,202.322,193.996,308.902,104.065,320.75,438.834,151.988,243.017,258.52,200.721,203.399,235.323,59.912,255.193,50.462,243.342,435.459,148.142,124.342,234.708,401.253,212.373,112.808,249.662,210.113,385.694,210.993,108.728,154.827,305.555,274.726,464.909,281.863,190.571,132.998,37.189,189.047,173.962,211.696,135.714,110.754,90.771,278.56,193.67,150.382,228.592,213.627,131.25,69.842,262.244,326.581,56.77,213.857,342.586,372.127,244.311,129.121,387.794,117.796,258.815,156.404,156.689,241.436,132.827,114.973,330.125,140.67,251.441,236.482,118.901,219.21,139.365,121.428,272.229,123.594,186.512,283.327,127.981,54.838,145.295,342.55,160.973,249.412,446.333,92.962,189.054,86.413,77.461,287.294,338.87,86.813,175.014,154.812,158.091,111.566,172.808,135.141,162.445,58.441
"Bracken",346.32,211.542,352.281,149.303,305.163,279.407,285.609,163.368,228.177,50.467,153.334,0,194.321,55.327,218.202,40.49,49.83,516.544,67.03,56.572,147.807,112.399,308.986,423.892,172.355,435.74,553.824,69.907,306.879,389.75,315.711,140.292,226.342,94.053,276.472,219.952,366.362,550.449,119.024,249.516,140.638,516.243,124.659,256.932,128.748,336.671,500.684,336.167,44.596,269.817,420.25,410.625,579.899,396.853,194.321,215.357,118.577,232.092,62.446,252.094,260.888,235.928,215.945,190.869,308.66,338.886,286.665,75.304,256.424,195.027,385.264,441.571,138.26,171.184,457.576,487.117,215.668,66.339,502.784,268.68,373.805,259.172,121.946,356.426,321.331,259.943,445.115,44.428,366.431,351.472,56.572,334.2,184.265,68.443,232.847,168.494,243.931,243.945,131.731,224.328,24.207,457.54,97.866,143.421,561.323,161.252,169.413,179.27,222.431,410.314,453.86,244.912,82.789,279.986,27.918,261.873,254.651,260.315,166.195,109.973
"Breathitt",380.384,97.661,399.43,196.452,281.319,85.085,151.01,166.582,163.469,174.869,191.647,196.871,0,161.758,265.819,202.819,227.576,563.693,258.023,130.593,241.36,140.888,356.135,471.041,219.972,482.889,600.973,214.387,112.557,420.659,362.86,80.725,96.033,134.601,118.944,170.272,413.511,597.598,241.123,104.499,132.881,563.392,116.902,304.081,156.894,370.735,547.833,129.17,152.274,316.966,454.314,436.865,627.048,444.002,0,248.905,165.726,42.796,236.361,72.406,144.511,104.043,108.833,130.504,355.809,274.178,92.343,152.194,108.66,116.948,432.413,488.72,122.556,60.594,504.725,534.266,101.787,191.52,549.933,195.184,420.954,306.789,67.007,403.575,256.623,307.092,492.264,203.069,413.58,398.621,130.593,381.349,255.272,183.827,118.966,239.501,49.609,130.064,63.597,172.22,177.663,504.689,90.639,156.644,608.472,208.869,17.22,226.887,269.58,457.463,501.009,180.204,237.413,163.609,190.459,197.165,288.715,154.996,28.891,157.122
"Breckinridge",297.592,219.499,317.106,114.128,269.988,244.232,250.434,128.193,193.002,14.562,118.159,55.327,159.146,0,183.027,58.773,64.772,481.369,96.623,39.311,101.883,159.605,273.811,388.717,137.18,400.565,518.649,52.987,271.704,338.335,280.536,160.682,232.747,58.878,278.091,184.777,331.187,515.274,79.723,214.341,191.991,481.068,169.656,221.757,206.945,287.943,465.509,300.992,10.73,234.642,371.522,354.541,544.724,361.678,159.146,166.113,83.402,196.917,74.961,231.553,225.713,200.753,180.77,235.843,273.485,303.711,251.49,128.619,221.249,159.852,350.089,406.396,103.085,182.432,422.401,451.942,223.625,33.023,467.609,233.505,338.63,223.997,113.972,321.251,286.156,224.768,409.94,21.604,331.256,316.297,39.311,299.025,138.341,29.84,240.804,122.57,208.756,251.902,96.556,189.153,48.082,422.365,118.256,206.695,526.148,126.077,157.629,144.095,187.256,375.139,418.685,209.737,76.013,244.811,77.155,226.698,205.923,225.14,131.02,74.798
"Bullitt",132.36,325.178,170.882,84.722,123.764,349.911,325.935,203.694,206.266,199.428,105.142,218.361,264.825,183.248,0,189.447,185.547,335.145,190.52,186.313,111.876,276.576,127.587,242.493,44.135,254.341,372.425,167.897,377.383,192.111,134.312,277.653,338.426,142.558,383.77,156.897,184.963,369.05,135.731,289.842,308.962,334.844,286.627,91.887,323.916,122.702,319.285,376.493,173.764,88.418,239.146,208.317,398.5,215.454,264.825,33.298,133.398,302.596,183.168,337.232,301.214,276.254,256.271,352.814,127.261,196.595,357.169,287.881,296.75,235.353,203.865,260.172,178.586,288.111,276.177,305.718,329.304,185.78,321.385,247.291,192.406,51.994,230.943,175.027,170.821,108.875,263.716,197.329,185.032,170.073,186.313,152.801,86.276,178.087,346.483,78.982,314.435,357.581,202.235,161.273,211.116,276.141,235.227,323.666,379.924,65.404,263.308,37.282,107.281,228.915,272.461,197.274,165.668,320.312,225.503,241.061,75.556,300.641,236.699,117.493
"Butler",291.987,261.862,360.061,165.104,312.943,286.595,293.84,171.599,236.408,34.341,169.135,40.479,201.509,60.075,191.745,0,9.34,524.324,43.163,80.263,93.474,150.686,316.766,431.672,170.92,423.418,561.604,29.417,314.067,335.417,323.491,178.579,275.11,110.463,320.454,228.183,374.142,558.229,64.691,257.747,178.925,524.023,162.946,281.066,167.035,282.338,508.464,344.398,50.797,277.597,365.917,356.292,587.679,404.633,201.509,161.024,134.378,239.28,16.739,273.916,269.119,244.159,224.176,229.156,316.44,347.117,293.853,113.591,264.655,203.258,393.044,449.351,146.491,224.795,465.356,494.897,265.988,42.968,510.564,276.911,371.169,228.117,156.335,364.206,329.562,298.054,452.895,27.299,374.211,359.252,80.263,341.98,129.932,54.268,283.167,114.161,251.119,294.265,138.919,232.559,61.934,465.32,136.153,181.708,569.103,144.542,199.992,187.945,238.232,418.094,461.64,253.143,46.343,288.217,66.205,270.104,200.318,268.546,173.383,125.774
"Caldwell",288.087,288.622,356.161,160.643,309.043,313.355,289.379,167.138,231.947,39.038,164.674,49.819,228.269,64.772,187.845,9.34,0,520.424,49.539,84.96,89.574,160.026,312.866,427.772,167.02,419.518,557.704,25.517,340.827,331.517,319.591,187.919,301.87,106.002,347.214,223.722,370.242,554.329,60.791,253.286,188.265,520.123,172.286,277.166,176.375,278.438,504.564,339.937,55.494,273.697,362.017,352.392,583.779,400.733,228.269,157.124,129.917,266.04,12.805,300.676,264.658,239.698,219.715,238.496,312.54,342.656,320.613,122.931,260.194,198.797,389.144,445.451,142.03,251.555,461.456,490.997,292.748,38.829,506.664,272.45,367.269,224.217,194.387,360.306,325.101,294.154,448.995,31.996,370.311,355.352,84.96,338.08,126.032,50.129,309.927,110.261,277.879,321.025,165.679,228.098,66.631,461.42,145.493,191.048,565.203,140.642,226.752,184.045,233.771,414.194,457.74,248.682,42.443,283.756,75.545,265.643,196.418,264.085,200.143,121.313
"Calloway",280.369,624.678,186.791,381.388,267.334,573.256,512.376,495.351,393.544,506.547,401.847,517.103,564.325,481.99,336.394,522.163,518.263,0,523.236,482.679,444.592,576.076,226.913,90.042,376.851,138.424,72.774,500.613,580.815,231.123,258.09,577.153,587.245,438.217,607.115,404.235,196.874,56.178,468.447,476.264,608.462,37.39,586.127,315.415,623.416,285.385,17.783,562.934,472.506,283.16,208.849,204.978,82.814,149.625,564.325,366.014,430.064,602.096,515.884,563.618,487.655,462.676,442.693,652.314,236.785,321.772,580.514,587.381,483.172,445.863,160.849,73.952,470.243,587.611,104.055,46.383,628.804,492.899,80.084,434.569,188.769,307.493,530.443,168.067,295.998,294.969,66.316,504.448,160.56,175.519,482.679,211.942,418.992,485.206,645.983,411.698,538.434,657.081,501.735,399.101,509.073,73.748,534.727,623.166,80.273,398.12,562.808,371.458,357.301,137.723,57.639,384.552,498.384,506.753,521.869,380.225,333.574,487.082,536.199,410.045
"Campbell",290.07,317.624,358.144,189.645,311.026,342.357,318.381,196.14,260.949,73.531,193.676,66.894,257.271,95.763,189.828,42.042,46.984,522.407,0,136.325,91.557,177.101,314.849,429.755,169.003,421.501,559.687,44.446,369.829,333.5,321.574,204.994,330.872,135.004,376.216,252.724,372.225,556.312,62.774,282.288,205.34,522.106,189.361,279.149,193.45,280.421,506.547,368.939,89.987,275.68,364,354.375,585.762,402.716,257.271,159.107,158.919,295.042,34.178,329.678,293.66,268.7,248.717,255.571,314.523,371.658,349.615,140.006,289.196,227.799,391.127,447.434,171.032,280.557,463.439,492.98,321.75,68.906,508.647,301.452,369.252,226.2,223.389,362.289,358.083,296.137,450.978,66.489,372.294,357.335,136.325,340.063,128.015,80.206,338.929,112.244,306.881,350.027,194.681,257.1,91.101,463.403,162.568,217.783,567.186,142.625,255.754,186.028,262.773,416.177,459.723,277.684,26.539,312.758,92.62,294.645,198.401,293.087,229.145,150.315
"Carlisle",304.025,196.665,323.071,120.093,275.953,221.398,242.203,119.962,184.771,52.422,124.124,56.572,136.312,39.311,189.46,78.961,84.96,487.334,137.565,0,141.195,111.378,279.776,394.682,143.613,406.53,524.614,92.299,248.87,344.3,286.501,112.455,209.913,60.677,255.257,176.546,337.152,521.239,119.035,206.11,143.764,487.033,121.429,227.722,137.619,294.376,471.474,292.761,29.316,240.607,377.955,360.506,550.689,367.643,136.312,172.546,89.367,174.083,92.359,208.719,217.482,192.522,172.539,187.616,279.45,295.48,228.656,84.175,213.018,151.621,356.054,412.361,94.854,159.598,428.366,457.907,200.791,72.335,473.574,225.274,344.595,230.43,67.848,327.216,277.925,230.733,415.905,63.492,337.221,322.262,0,304.99,178.913,69.152,217.97,163.142,185.922,229.068,68.644,180.922,32.364,428.33,70.029,158.468,532.113,132.51,134.795,150.528,193.221,381.104,424.65,201.506,115.325,236.58,45.16,218.467,212.356,216.909,108.186,80.763
"Carroll",212.604,301.885,280.678,112.371,233.56,326.618,302.642,180.401,245.21,98.508,143.634,147.632,241.532,102.235,112.362,92.323,88.423,444.941,93.396,141.547,0,253.283,237.383,352.289,91.537,344.035,482.221,70.773,354.09,256.034,244.108,254.36,315.133,119.265,360.477,197.217,294.759,478.846,28.099,266.549,285.669,444.64,263.334,201.683,274.188,202.955,429.081,353.2,112.966,198.214,286.534,276.909,508.296,325.25,241.532,81.641,120.814,279.303,86.044,313.939,277.921,252.961,232.978,329.521,237.057,306.391,333.876,220.744,273.457,212.06,313.661,369.968,155.293,264.818,385.973,415.514,306.011,75.378,431.181,285.713,291.786,148.734,207.65,284.823,280.617,218.671,373.512,89.14,294.828,279.869,141.547,262.597,38.546,86.678,323.19,34.778,291.142,334.288,178.942,201.593,147.694,385.937,211.934,288.861,489.72,60.186,240.015,108.562,217.077,338.711,382.257,261.945,68.544,297.019,173.358,278.906,120.935,277.348,213.406,94.165
"Carter",391.88,123.68,410.926,207.948,363.808,181.493,300.319,178.078,242.887,172.326,203.143,112.393,141.321,159.215,277.315,150.691,160.031,575.189,177.231,111.12,252.856,0,367.631,482.537,231.468,494.385,612.469,225.883,239.663,432.155,374.356,59.13,144.086,146.097,194.216,234.662,425.007,609.094,252.619,264.226,39.515,574.888,23.536,315.577,39.215,382.231,559.329,272.493,149.731,328.462,465.81,448.361,638.544,455.498,141.321,260.401,177.222,179.092,172.647,164.232,275.598,250.638,230.655,89.746,367.305,353.596,200.668,39.36,271.134,209.737,443.909,500.216,152.038,125.538,516.221,545.762,127.806,203.016,561.429,283.39,432.45,318.285,86.635,415.071,336.041,318.588,503.76,156.822,425.076,410.117,111.12,392.845,266.768,195.323,144.985,250.997,190.931,156.083,119.884,239.038,121.679,516.185,52.22,53.888,619.968,220.365,123.767,238.383,281.076,468.959,512.505,259.622,192.99,294.696,88.564,276.583,300.211,275.025,128.048,168.618
"Casey",113.541,417.478,47.621,174.188,120.841,426.763,365.883,288.151,247.051,299.347,194.647,309.903,357.125,274.79,129.194,314.963,311.063,227.829,316.036,275.479,237.392,368.876,0,135.177,169.651,147.025,265.109,293.413,434.322,84.424,45.892,369.953,430.726,231.017,460.622,257.742,91.083,261.734,261.247,329.771,401.262,227.528,378.927,108.215,416.216,90.468,211.969,416.441,265.306,89.491,131.459,100.63,291.184,108.138,357.125,158.814,222.864,394.896,308.684,417.125,341.162,316.183,296.2,445.114,17.684,175.279,434.021,380.181,336.679,265.782,65.671,152.856,263.043,380.411,168.861,198.402,421.604,285.699,214.069,288.076,84.719,107.553,323.243,67.711,149.505,109.948,156.4,297.248,77.716,62.757,275.479,45.114,211.792,278.006,438.783,204.498,391.941,449.881,294.535,252.608,301.873,168.825,327.527,415.966,272.608,190.92,355.608,164.258,150.101,90.603,165.145,238.059,291.184,360.26,314.669,233.732,133.634,340.589,328.999,202.845
