"","Adair","Allen","Anderson","Ballard","Barren","Bath","Bell","Boone","Bourbon","Boyd","Boyle","Bracken","Breathitt","Breckinridge","Bullitt","Butler","Caldwell","Calloway","Campbell","Carlisle","Carroll","Carter","Casey","Christian","Clark","Clay","Clinton","Crittenden","Cumberland","Daviess","Edmonson","Elliott","Estill","Fayette","Fleming","Floyd","Franklin","Fulton","Gallatin","Garrard","Grant","Graves","Grayson","Green","Greenup","Hancock","Hardin","Harlan","Harrison","Hart","Henderson","Henry","Hickman","Hopkins","Jackson","Jefferson","Jessamine","Johnson","Kenton","Knott","Knox","Larue","Laurel","Lawrence","Lee","Leslie","Letcher","Lewis","Lincoln","Livingston","Logan","Lyon","Madison","Magoffin","Marion","Marshall","Martin","Mason","McCracken","McCreary","McLean","Meade","Menifee","Mercer","Metcalfe","Monroe","Montgomery","Morgan","Muhlenberg","Nelson","Nicholas","Ohio","Oldham","Owen","Owsley","Pendleton","Perry","Pike","Powell","Pulaski","Robertson","Rockcastle","Rowan","Russell","Scott","Shelby","Simpson","Spencer","Taylor","Todd","Trigg","Trimble","Union","Warren","Washington","Wayne","Webster","Whitley","Wolfe","Woodford"
"Adair",0,256.567,83.75,135.7,117.417,285.8,256.75,183.167,182.883,190.517,158.883,205.85,217.783,182.117,102.9,179.55,178.983,156,170.3,189.35,129.05,221.65,73.267,106.65,106.65,95.65,176.4,155.917,312.733,32.8,95.65,236.033,271.983,160.433,314.867,187.733,101.933,169.7,142.167,235.45,238.35,152.8,222.3,127.033,245,9.883,145.5,297.15,177.067,109.417,57.433,42.983,189.567,84.317,217.783,87,166.55,251.933,174.283,271.717,240.3,228.567,211.2,263.2,80.333,159.65,293.333,241.817,245.583,200.55,99.55,114.15,171.85,228.5,118.817,149.4,259.8,169.3,147.183,210.067,54.2,68.517,201.333,73.75,129.833,127.883,122.217,184.55,81.233,73.7,189.35,50.567,123.4,171.233,274.317,109.233,259.483,281.533,179.617,185.567,208.217,135.05,198.75,249.133,185.233,113.567,216.333,119.883,133.333,114.617,129.733,177.833,158.95,256.85,215.967,203.667,78.3,234.067,198.3,142.217
"Allen",258.633,0,275.617,158.983,211.133,51.183,130.817,140.867,152.483,164.317,169.983,173.1,75.55,150.7,185.95,183.417,182.75,345.133,184.183,144.717,200.817,106.717,240.3,295.8,166.633,311.55,365.55,158.983,99.333,272.717,243.8,75.067,22.567,124.75,68.683,156.867,255.017,358.833,185.967,89.133,96.317,341.933,87.383,234.8,108.017,250,334.633,117.483,145.65,217.867,288.2,280.2,378.7,282.867,75.55,178.067,144.333,82.117,178.967,34.567,123.567,112.417,109.083,56.583,242.2,218.967,67.467,123.367,100.417,125.233,271.383,303.283,129.917,33.767,318.85,338.533,7.333,150.433,336.317,165.767,284.283,216.5,87.883,262.683,199.05,228.45,311.35,163.583,268.767,266.967,144.717,250.3,199.5,146.383,21.517,184.883,56.367,28.733,81.833,157.883,161.683,324.183,94.367,101.233,374.367,157.783,60.983,172.617,208.883,290.35,318.867,165.8,173.083,140.117,154.383,175.517,205.15,137.717,65.95,137.033
"Anderson",84.7,273.767,0,133.467,70.8,261.5,217.717,178.85,136.267,211.25,156.667,235.3,234.983,202.083,108.55,218.167,217.617,125.05,208.917,205.4,167.667,238.85,40.467,58.4,129.767,99.283,153.283,194.55,284.433,67.95,64.1,253.233,264.017,164.933,290.583,141.117,39.267,146.567,180.8,194.75,255.55,129.683,239.5,103.183,262.2,85.917,117.917,258.117,197.033,77.867,89.9,75.45,166.433,70.617,234.983,125.017,164.333,262.283,212.9,248.117,201.25,187.85,170.5,280.4,50.117,113.033,269.05,259.017,204.883,175.817,21.9,91.033,188.067,245.7,106.6,126.283,269.65,196.4,124.05,163.45,77.983,120.967,218.533,46.683,83.217,92.5,78.25,209.55,46.55,50.25,205.4,45.533,162.017,192.367,291.517,147.867,234.567,298.733,196.817,138.95,224.333,97.85,215.95,266.333,162.117,141.3,233.533,133.167,124.7,36.983,85.767,131.217,197.567,217.817,232.017,157.05,143,195.033,215.5,145.65
"Ballard",134.817,159.133,133.717,0,103.517,188.367,159.45,84.75,108.333,95.767,46.783,120.683,120.35,87.45,61.667,113.8,113.233,203.55,114.65,90.767,93.7,124.217,98.733,154.217,53.8,169.967,223.967,89.467,215.3,131.133,105.333,138.617,174.55,50.317,217.45,89.033,123.85,217.267,100.883,138.15,140.917,200.367,124.867,93.217,147.583,126.417,193.05,199.85,82.4,76.3,153.083,138.633,237.133,141.3,120.35,71.217,49.7,154.5,109.45,174.283,143,131.267,113.9,165.767,100.633,132.433,195.9,144.4,148.283,101.767,140.233,161.717,73.433,131.067,177.283,196.967,162.367,80.9,194.75,136.917,142.7,91.75,103.9,121.117,112.75,96.967,169.783,94.067,127.183,125.4,90.767,108.717,93.883,76.867,176.9,79.267,162.05,184.1,82.183,92.35,109.7,182.617,101.317,151.7,232.8,50.45,118.9,40.667,66.767,159.183,177.3,117.567,103.567,159.55,117.383,135.75,98.3,136.767,100.867,31.017
"Barren",116.017,212.567,70.833,99.367,0,197.667,153.883,115.017,72.433,177.133,105.767,201.183,195.417,167.967,74.433,184.05,183.5,173.633,174.817,171.283,133.55,204.733,72.05,106.983,95.65,138.55,192.55,160.433,220.6,99.267,39.017,219.117,200.167,130.817,226.733,77.283,50.217,185.85,146.683,130.9,221.433,168.95,205.383,46.967,228.083,117.233,166.5,194.267,162.917,33.917,121.217,106.767,205.717,109.883,195.417,90.9,130.217,198.45,178.8,184.283,137.417,124.017,106.65,246.283,67.417,47.9,205.2,224.9,141.033,111.983,66.6,130.3,129.8,211.583,145.867,165.55,205.8,162.283,163.333,99.617,110.833,92.933,184.417,89.7,19.383,32.55,126.833,175.433,96.567,93.983,171.283,76.85,127.9,158.25,231.85,113.75,170.733,239.067,162.7,75.117,190.217,146.433,181.833,232.217,201.383,107.183,199.417,99.05,61.3,85.567,134.35,67.383,163.45,153.967,197.9,91.917,118.667,131.183,181.383,111.533
"Bath",283.95,50.333,262,184.317,197.517,0,110.7,127.25,138.867,189.633,158.733,209.25,67.167,176.033,211.283,208.733,208.083,364.8,209.5,170.05,226.133,149.817,263.217,298.15,191.95,329.717,383.717,184.317,51.033,290.433,230.183,118.15,37.933,150.083,30.267,143.25,241.383,377.017,211.283,75.517,139.4,360.117,130.483,231.633,151.117,275.317,357.667,77.05,170.983,226.633,312.383,297.933,396.883,301.05,67.167,203.383,169.65,67.467,204.283,16.6,109.933,98.8,95.467,99.683,258.583,205.35,19.167,166.467,86.8,111.617,257.767,321.467,140.65,76.85,337.033,356.717,43.567,175.75,354.5,152.15,302,241.817,126.233,280.867,185.433,214.833,318,188.9,287.733,285.15,170.05,268.017,224.817,171.7,69.75,210.217,29.767,68.3,107.15,144.267,187,337.6,137.45,144.333,392.55,183.1,80.3,197.933,195.267,276.733,325.517,152.183,198.4,126.5,197.483,161.9,230.483,124.1,88.4,162.35
"Bell",254.95,132.6,217.917,155.317,153.433,112.75,0,82.467,94.783,161.6,113.95,186.817,119.883,153.6,182.283,179.633,179.083,320.717,180.5,153.633,197.133,181.333,219.133,254.067,162.95,285.633,339.633,155.317,63.517,246.35,186.083,183.683,120.217,114.867,104.917,99.167,197.3,332.933,182.283,45.1,198.033,316.033,181.983,187.55,204.683,246.317,313.583,40.383,148.55,182.55,268.3,253.833,352.8,256.967,119.883,174.4,134.633,112.917,175.283,104.317,21.383,69.183,53.967,181.967,214.5,161.267,96.767,201.5,49.8,66.833,213.683,277.383,95.85,159.133,292.95,312.633,125.85,146.75,310.417,81.833,257.917,212.833,161.017,236.783,141.35,170.733,273.9,159.9,243.65,241.067,153.633,223.933,195.817,142.717,141.383,181.217,90.767,135.15,139.3,100.183,172.567,293.5,158.433,208.817,348.467,154.1,133.033,168.933,151.183,232.65,281.417,108.1,169.4,26.4,180.233,117.817,201.483,50.017,142.983,133.35
"Boone",182.417,145.033,178.067,82.783,113.6,130.133,84.667,0,54.933,89.067,49.983,114.283,104.917,81.067,109.75,107.1,106.55,268.917,107.967,81.083,124.6,108.8,164.083,214.217,90.417,235.333,289.333,82.783,148.2,196.5,146.25,123.183,132.633,42.317,159.2,48.25,157.467,282.617,109.75,63.367,125.5,265.733,109.45,147.7,132.15,173.783,258.417,125.067,76.017,142.7,211.983,204,302.483,206.65,104.917,101.85,62.233,113.717,102.75,116.75,68.217,56.483,39.117,150.35,166,121.417,137.667,128.967,73.5,28.467,173.85,227.083,23.317,115.65,242.65,262.333,138.267,74.217,260.1,80.6,208.067,140.283,88.483,186.467,101.517,130.9,234.067,87.367,192.55,190.767,81.083,174.083,123.283,70.167,161.467,108.667,103.2,168.667,66.767,51.55,100.017,247.967,85.883,136.283,298.15,81.567,103.483,96.4,104.75,192.8,241.583,68.25,96.867,84.767,107.7,77.967,128.95,61.983,85.433,60.817
"Bourbon",183.283,152.85,138.1,108.517,73.633,137.95,94.167,55.3,0,135.85,63.467,161.067,135.7,127.833,138.683,153.883,153.317,240.9,154.75,127.867,171.383,155.567,139.317,174.25,137.2,205.833,259.817,129.55,160.9,166.533,106.283,169.967,140.467,89.1,167.033,23.967,117.5,253.117,156.533,71.2,172.283,236.217,156.217,107.733,178.933,190.967,233.767,134.567,122.783,102.733,188.5,174.033,272.983,177.15,135.7,148.633,86.983,138.733,149.533,124.567,77.717,64.3,46.95,197.117,134.7,83.95,145.5,175.75,81.333,52.267,133.883,197.567,70.1,166.35,213.133,232.817,146.1,121,230.6,36.2,178.1,156.283,135.267,156.967,61.55,90.933,194.1,134.15,163.833,161.25,127.867,144.133,170.067,116.95,172.15,155.45,111.017,179.35,113.533,21.8,146.8,213.7,132.667,183.067,268.65,128.35,147.833,133.817,71.367,152.833,201.617,26.483,143.65,94.267,154.483,35.017,175.717,71.367,136.15,108.1
"Boyd",190.3,163.9,210.083,93.783,179.883,193.133,164.15,90.55,135.667,0,106.633,51.183,125.117,16.9,117.333,30.817,41.45,279.917,64.65,55.017,79.1,125.983,175.083,230.583,98.017,246.333,300.333,39.467,220.067,208.617,181.7,140.367,179.317,67.833,222.2,129.1,200.217,293.617,66.433,142.85,142.683,276.733,126.617,169.583,144.65,181.65,269.417,204.533,26.6,152.667,219.85,218.783,313.483,217.667,125.117,111.35,79.117,159.267,43.8,179.05,147.683,135.95,118.6,167.517,177,202.15,200.667,109.3,152.983,107.933,216.583,238.083,79.233,135.833,253.65,273.333,167.133,27.4,271.1,161.317,219.067,147.883,105.667,197.467,182.233,173.333,246.15,7.533,203.55,201.767,55.017,185.083,99.817,26.9,181.65,85.217,166.817,188.867,86.95,132.4,44.067,258.983,103.067,156.483,309.167,89.167,123.667,103.983,143.117,235.55,253.667,148.983,53.55,164.233,71.4,158.7,136.817,141.45,105.633,71.817
