"","Acadia","Allen","Ascension","Assumption","Avoyelles","Beauregard","Bienville","Bossier","Caddo","Calcasieu","Caldwell","Cameron","Catahoula","Claiborne","Concordia","De Soto","East Baton Rouge","East Carroll","East Feliciana","Evangeline","Franklin","Grant","Iberia","Iberville","Jackson","Jefferson","Jefferson Davis","Lafayette","Lafourche","LaSalle","Lincoln","Livingston","Madison","Morehouse","Natchitoches","Orleans","Ouachita","Plaquemines","Pointe Coupee","Rapides","Red River","Richland","Sabine","St. Bernard","St. Charles","St. Helena","St. James","St. John the Baptist","St. Landry","St. Martin","St. Mary","St. Tammany","Tangipahoa","Tensas","Terrebonne","Union","Vermilion","Vernon","Washington","Webster","West Baton Rouge","West Carroll","West Feliciana","Winn"
"Acadia",0,224.083,68.067,32.767,179.833,211.083,277.117,292.433,297.717,190.3,243.85,217.517,109.467,281.65,184.25,254.017,87.067,282.4,128.95,140.783,60.567,194.717,81.5,72.9,123.883,69.35,143.367,103,7.133,85.017,278.067,101.967,248.567,308.117,222.4,73.45,276.2,92.5,123,181.467,247.25,71.7,244.883,102.683,55.917,118.317,52.45,64.483,145.3,100.167,60.567,106.15,113.167,282.65,32.8,57.917,101.017,269.983,128.183,302.233,89.567,298.867,119.183,222.55
"Allen",222.767,0,194.683,225.25,89.833,98.433,73.95,72.383,77.667,76.317,112.917,208.733,151.4,127.2,138.2,33.967,167.383,206.2,193.95,150.067,175.417,108.917,153.35,237.6,179.133,234.05,152.683,126.5,226.717,153.75,104.65,194.117,179.017,161.767,20.317,238.15,130.117,256.15,155.767,45.1,27.2,171.917,32.417,267.367,234.15,218.883,212.567,217,84.75,148.067,175.417,228.217,235.133,190.067,230.617,200.533,157.383,105.133,99.9,82.183,166.4,197.217,172.85,56.667
"Ascension",66.817,193.967,0,44.067,131.383,180.617,247,262.317,267.6,160.183,213.45,187.05,81.567,236.967,128.367,223.9,31.183,244.333,73.067,110.317,106.317,164.25,108.433,56.883,68,53.333,112.9,81.567,66.617,108.833,247.95,45.5,210.5,252.217,192.283,57.45,231.5,75.433,67.117,151.35,217.133,117.467,214.767,86.667,53.1,77.9,33.883,36.283,115.183,95.7,106.317,80.3,79.65,226.75,86.283,21.85,112,239.867,98.067,272.117,33.667,253.45,63.283,192.433
"Assumption",31.8,225.25,43,0,164.2,209.983,278.283,293.583,298.883,191.467,241.817,216.417,110.933,265.333,156.717,255.167,59.533,272.683,101.417,139.683,65.533,193.617,86.467,80.8,96.35,77.25,142.267,110.933,31.967,89.983,279.217,76.767,238.867,280.583,223.567,81.35,259.867,99.35,95.467,182.617,248.4,76.667,246.05,110.583,63.75,113.467,34.117,60.2,146.467,105.133,65.533,105.7,104.783,255.117,57.067,26.767,105.983,271.15,129.333,303.383,62.483,281.817,91.65,223.717
"Avoyelles",178.983,91.167,131.733,164.283,0,117.8,139.933,159.517,164.817,71.717,106.967,187.817,107.617,144.767,92.917,121.1,103.75,184.783,105.183,111.933,131.633,102.283,109.583,174.65,90.367,171.1,114.517,82.717,182.933,109.983,140.867,131.183,150.95,167,89.483,175.217,139.3,193.217,66.983,48.55,114.333,128.133,111.967,204.433,171.217,130.1,149.633,154.05,40.383,104.283,131.633,165.283,146.35,152.033,186.833,137.6,113.6,132.783,56.133,169.317,105.45,178.717,84.067,85.35
"Beauregard",210.9,97.167,182.45,211.533,118.6,0,156,165.5,170.8,65.133,155.05,112.167,139.183,192.85,171.25,111.75,155.167,256.767,197.667,86.817,163.567,31.617,141.5,225.367,192.667,221.817,81.933,114.633,214.867,141.9,184.817,181.9,229.283,215.1,94.917,225.933,187.4,243.917,169.3,81.833,120.317,160.05,69.433,255.15,221.933,218.233,200.35,204.767,89,136.217,163.567,216,215.35,230.367,218.75,188.317,133.033,182.917,109.383,175.317,154.75,247.783,186.383,134.45
"Bienville",275.7,73.6,247.633,278.2,138.9,157.683,0,69.45,81.05,137.117,90.867,260.1,204.35,59,163.817,79.7,220.333,138.017,243.033,203.017,228.367,169.7,206.3,290.55,228.217,287,203.983,179.433,279.667,206.7,36.467,247.067,110.833,93.583,64.917,291.1,61.933,309.1,204.833,105.883,46.533,224.85,99.883,320.317,287.1,249.067,265.517,269.95,137.7,201.017,228.367,281.167,240.9,119.133,283.55,253.483,210.333,39.967,152.85,38.75,219.35,129.017,221.917,56.7
"Bossier",290.883,71.583,262.8,293.367,157.95,166.567,69.767,0,38.75,144.45,129.367,276.867,219.517,91.8,193.85,59.683,235.5,170.8,262.083,218.183,243.533,177.033,221.467,305.717,247.267,302.167,220.817,194.617,294.833,221.883,69.267,262.233,143.633,126.367,88.433,306.267,94.717,324.267,223.883,113.217,73.733,240.033,104.9,335.5,302.283,287,280.683,285.117,152.883,216.183,243.533,296.333,273.7,151.917,298.733,268.65,225.5,90.817,168.017,42.117,234.517,161.817,240.967,120.2
"Caddo",295.633,76.35,267.55,298.117,162.7,171.317,81.5,39.667,0,149.2,141.1,281.617,224.267,103.533,205.583,64.433,240.267,182.55,266.833,222.933,248.3,181.783,226.233,310.467,252.017,306.917,225.567,199.367,299.583,226.633,81,266.983,155.367,138.117,93.183,311.017,106.467,329.017,228.633,117.967,78.15,244.783,109.65,340.25,307.033,291.75,285.45,289.867,157.633,220.933,248.3,301.083,285.45,163.667,303.483,273.417,230.25,102.55,172.783,53.867,239.283,173.55,245.717,129.533
"Calcasieu",188.517,76.233,160.45,191.017,71.5,64.183,136.6,144.583,149.883,0,111.383,147.917,117.167,149.183,127.567,106.167,133.15,213.1,167.783,98,141.183,40.95,119.117,203.367,156.6,199.817,91.8,92.25,192.483,119.517,146.883,159.883,185.617,171.417,74.55,203.917,143.717,221.917,133.217,38.15,99.4,137.667,83.117,233.133,199.917,191.767,178.333,182.767,50.517,113.833,141.183,193.983,193.333,186.683,196.367,166.3,123.15,138.8,65.667,154.383,132.167,204.1,150.3,91.367
