"","Androscoggin","Aroostook","Cumberland","Franklin","Hancock","Kennebec","Knox","Lincoln","Oxford","Penobscot","Piscataquis","Sagadahoc","Somerset","Waldo","Washington","York"
"Androscoggin",0,446.163,43.134,232.564,227.848,315.497,123.667,250.662,24.827,179.793,172.527,49.761,110.086,132.38,85.447,120.578
"Aroostook",446.689,0,478.415,340.946,336.23,280.742,336.69,214.39,477.769,330.676,276.014,461.122,359.381,327.058,372.872,552.753
"Cumberland",42.036,478.773,0,265.174,260.458,348.107,156.277,283.272,49.44,212.403,205.137,58.326,142.696,164.99,116.541,84
"Franklin",234.376,340.628,266.102,0,14.957,73.295,100.551,145.127,265.456,53.044,125.364,184.946,147.068,82.863,119.977,340.44
"Hancock",229.66,335.912,261.386,14.696,0,83.869,95.835,140.411,260.74,48.328,120.648,180.23,142.352,78.147,115.261,335.724
"Kennebec",319.427,280.75,351.153,73.276,83.869,0,173.828,171.149,350.507,126.321,200.78,333.86,232.119,156.14,193.254,425.491
"Knox",124.383,336.451,156.109,100.529,95.813,173.825,0,140.95,155.463,71.48,86.707,110.647,58.364,17.277,37.107,230.447
"Lincoln",251.626,214.137,283.352,145.883,141.167,171.158,141.627,0,282.706,135.613,80.951,266.059,164.318,131.995,177.809,357.69
"Oxford",25.096,473.897,49.469,260.298,255.582,343.231,151.401,278.396,0,207.527,200.261,78.189,137.82,160.114,113.181,128.295
"Penobscot",181.728,330.388,213.454,56.22,51.504,129.516,71.553,134.887,212.808,0,115.124,155.948,127.321,53.865,90.979,287.792
"Piscataquis",172.87,276.365,204.596,125.145,120.429,208.078,86.707,80.864,203.95,114.875,0,187.303,72.304,91.436,118.848,278.934
"Sagadahoc",49.603,459.985,57.845,246.386,241.67,329.319,110.414,264.484,82.033,155.707,186.349,0,123.908,112.224,73.307,132.183
"Somerset",110.335,359.692,142.061,146.093,141.377,229.026,58.148,164.191,141.415,127.349,72.301,124.768,0,75.426,78.154,216.399
"Waldo",134.313,326.819,166.039,82.889,78.173,156.185,17.277,131.318,165.393,53.84,91.238,112.463,75.642,0,43.564,240.377
"Washington",86.142,372.633,116.778,120.026,115.31,193.322,37.107,177.132,117.222,90.977,118.848,73.54,78.37,43.564,0,191.116
"York",119.763,552.133,83.408,338.534,333.818,421.467,229.637,356.632,128.223,285.763,278.497,131.686,216.056,238.35,189.901,0
