"","Androscoggin","Aroostook","Cumberland","Franklin","Hancock","Kennebec","Knox","Lincoln","Oxford","Penobscot","Piscataquis","Sagadahoc","Somerset","Waldo","Washington","York"
"Androscoggin",0,256.9,35.117,149.3,145.183,205.133,87.333,140.25,25.233,142.483,113.367,53.35,75.4,99.183,71.05,70.433
"Aroostook",257.017,0,268.917,218.033,213.917,222.383,207.083,137.483,277.117,206.333,176.467,265.683,214.95,201.267,237.367,308.567
"Cumberland",32.633,270.683,0,163.083,158.983,218.933,101.117,154.05,47.383,156.267,127.167,43.95,89.2,112.983,83.417,54.267
"Franklin",149.833,217.283,161.75,0,13.833,59.817,90.667,100.633,169.933,51,104.55,166.217,107.783,75.833,107.85,201.4
"Hancock",145.833,213.283,157.75,13.217,0,68.117,86.667,96.633,165.933,47,100.55,162.217,103.783,71.85,103.85,197.4
"Kennebec",205.583,221.383,217.483,58.55,67.583,0,149.217,133.9,225.683,109.55,159.6,214.25,163.517,134.4,166.4,257.133
"Knox",89.167,207.767,101.083,92.083,87.967,151.9,0,91.117,109.267,64.067,75.5,96.7,53.733,13.367,32.267,140.733
"Lincoln",141.45,136.917,153.367,102.483,98.367,134.65,91.517,0,161.55,90.783,60.9,150.117,99.4,85.717,121.817,193.017
"Oxford",25.317,276.233,47.55,168.633,164.533,224.483,106.667,159.6,0,161.817,132.717,74.767,94.75,118.533,90.4,84.383
"Penobscot",144.767,208.3,156.683,51.517,47.4,111.333,64.75,91.65,164.867,0,95.567,140.3,99.783,49.917,81.933,196.333
"Piscataquis",113.183,177.867,125.083,105.05,100.933,160.883,75.417,61.233,133.283,93.35,0,121.85,60.35,75.833,103.35,164.733
"Sagadahoc",53.3,265.55,43.05,157.95,153.85,213.8,96.767,148.917,76.6,140.8,122.033,0,84.067,99.667,64.867,82.7
"Somerset",75.45,216.433,87.35,108.833,104.733,164.683,53.283,99.8,95.55,99.433,60.033,84.117,0,66.667,74.9,127
"Waldo",100.967,202.333,112.883,77.1,73,136.933,13.333,85.7,121.067,49.1,76.017,98.917,67.083,0,38.133,152.533
"Washington",71.767,237.783,82.25,109.583,105.483,169.417,31.883,121.15,91.867,81.567,103.55,64.433,75.55,38.283,0,121.9
"York",69.483,308.45,52.95,200.85,196.733,256.683,138.883,191.8,84.9,194.033,164.917,81.717,126.95,150.733,121.167,0
