"","Allegany","Anne Arundel","Baltimore","Baltimore City","Calvert","Caroline","Carroll","Cecil","Charles","Dorchester","Frederick","Garrett","Harford","Howard","Kent","Montgomery","Prince George's","Queen Anne's","Somerset","St. Mary's","Talbot","Washington","Wicomico","Worcester"
"Allegany",0,254.739,223.227,223.227,304.945,318.894,214.155,308.86,279.649,212.847,146.933,82.471,269.019,449.66,324.765,186.829,247.518,299.63,203.378,312.962,316.456,249.569,293.476,425.692
"Anne Arundel",257.298,0,48.712,48.712,125.308,69.517,47.551,129.223,79.799,59.347,113.944,339.499,89.382,200.283,75.388,71.765,39.095,50.253,64.909,113.112,67.079,70.432,93.626,176.315
"Baltimore",222.805,52.34,0,0,88.084,116.495,8.873,91.999,114.39,10.367,79.451,305.006,52.158,247.261,122.366,63.727,63.927,97.231,62.977,147.703,114.057,84.181,128.217,223.293
"Baltimore City",222.805,52.34,0,0,88.084,116.495,8.873,91.999,114.39,10.367,79.451,305.006,52.158,247.261,122.366,63.727,63.927,97.231,62.977,147.703,114.057,84.181,128.217,223.293
"Calvert",303.931,124.835,87.155,87.155,0,124.718,89.999,18.264,186.323,96.789,160.577,386.132,45.169,250.344,76.603,144.24,136.422,111.142,143.49,219.636,140.253,161.421,200.15,226.376
"Caroline",325.106,74.258,116.52,116.52,124.341,0,115.359,92.341,147.607,127.155,181.752,407.307,157.19,125.943,52.686,139.573,106.903,35.536,132.717,180.92,26.843,138.24,161.434,101.975
"Carroll",214.509,47.422,7.539,7.539,91.526,111.577,0,95.441,109.472,6.699,71.155,296.71,55.6,242.343,117.448,58.809,59.009,92.313,58.059,142.785,109.139,79.263,123.299,218.375
"Cecil",315.238,136.142,98.462,98.462,18.958,92.463,101.306,0,197.63,108.096,171.884,397.439,56.476,218.267,58.144,155.547,147.729,78.887,154.797,230.943,107.998,172.728,211.457,194.299
"Charles",278.738,78.912,104.238,104.238,184.259,143.067,108.5,188.174,0,120.457,138.551,330.697,148.333,273.833,148.938,93.8,40.899,123.803,75.362,44.57,140.629,31.908,22.51,249.865
"Dorchester",212.706,53.908,12.196,12.196,97.326,118.063,7.318,101.241,115.958,0,69.352,294.907,61.4,248.829,123.934,64.434,65.495,98.799,64.545,149.271,115.625,85.749,129.785,224.861
"Frederick",147.268,111.959,80.447,80.447,162.165,176.114,71.375,166.08,140.178,70.067,0,229.469,126.239,306.88,181.985,47.358,108.047,156.85,63.907,173.491,173.676,110.098,154.005,282.912
"Garrett",82.705,336.693,305.181,305.181,386.899,400.848,296.109,390.814,328.409,294.801,228.887,0,350.973,531.614,406.719,268.783,329.472,381.584,285.332,367.329,398.41,298.421,347.843,507.646
"Harford",268.175,89.079,51.399,51.399,46.698,153.234,54.243,50.613,150.567,61.033,124.821,350.376,0,284,107.75,108.484,100.666,133.97,107.734,183.88,150.796,125.665,164.394,260.032
"Howard",452.344,201.496,243.758,243.758,250.799,127.208,242.597,218.275,274.845,254.393,308.99,534.545,284.428,0,190.936,266.811,234.141,165.801,259.955,308.158,134.701,265.478,288.672,72.896
"Kent",326.58,75.732,117.994,117.994,78.838,53.597,116.833,57.736,149.081,128.629,183.226,408.781,107.785,190.851,0,141.047,108.377,25.484,134.191,182.394,57.647,139.714,162.908,166.883
"Montgomery",186.872,72.302,63.322,63.322,144.238,136.457,58.917,148.153,95.155,63.987,46.685,269.073,108.312,267.223,142.328,0,63.024,117.193,18.884,128.468,134.019,65.075,108.982,243.255
"Prince George's",246.84,39.679,61.724,61.724,138.32,103.834,60.563,142.235,40.926,72.359,106.653,329.041,102.394,234.6,109.705,61.902,0,84.57,55.046,74.239,101.396,35.573,54.753,210.632
"Queen Anne's",301.537,50.689,92.951,92.951,110.578,32.001,91.79,78.578,124.038,103.586,158.183,383.738,133.621,165.808,25.134,116.004,83.334,0,109.148,157.351,32.604,114.671,137.865,141.84
"Somerset",203.24,64.797,63.137,63.137,144.053,128.952,58.732,147.968,71.394,70.689,63.053,285.441,108.127,259.718,134.823,18.302,55.519,109.688,0,120.963,126.514,41.406,101.477,235.75
"St. Mary's",312.01,112.184,137.51,137.51,217.531,176.339,141.772,221.446,49.192,153.729,171.823,368.774,181.605,307.105,182.21,127.072,74.171,157.075,113.315,0,173.901,67.602,26.733,283.137
"Talbot",319.139,68.291,110.553,110.553,139.302,26.368,109.392,107.302,141.64,121.188,175.785,401.34,151.223,134.622,57.731,133.606,100.936,32.596,126.75,174.953,0,132.273,155.467,110.654
"Washington",245.475,69.373,81.046,81.046,161.067,133.528,79.999,164.982,30.668,91.956,105.288,299.402,125.141,264.294,139.399,60.537,34.639,114.264,44.067,67.636,131.09,0,51.708,240.326
"Wicomico",292.547,92.721,118.047,118.047,198.068,156.876,122.309,201.983,22.458,134.266,152.36,349.311,162.142,287.642,162.747,107.609,54.708,137.612,93.852,26.721,154.438,52.989,0,263.674
"Worcester",427.987,177.139,219.401,219.401,226.442,102.851,218.24,193.918,250.488,230.036,284.633,510.188,260.071,72.798,166.579,242.454,209.784,141.444,235.598,283.801,110.344,241.121,264.315,0
