"","Allegany","Anne Arundel","Baltimore","Baltimore City","Calvert","Caroline","Carroll","Cecil","Charles","Dorchester","Frederick","Garrett","Harford","Howard","Kent","Montgomery","Prince George's","Queen Anne's","Somerset","St. Mary's","Talbot","Washington","Wicomico","Worcester"
"Allegany",0,138.683,122.1,122.1,167,183.367,120.9,173.367,171.867,118.133,80.983,62.2,150.183,273.333,189.267,104.75,143.4,168.3,117.233,197.65,179.783,145.2,182.867,253.733
"Anne Arundel",140.217,0,35.933,35.933,76.017,52.967,34.883,82.383,70.633,44.15,68.417,200.183,59.2,142.933,58.867,49.833,33.683,37.9,51.217,96.433,49.383,49.483,81.65,123.333
"Baltimore",121.183,34.717,0,0,54.933,79.4,13.067,61.283,83.2,17.167,49.383,181.15,38.117,169.367,85.3,45.2,52.6,64.333,47.933,108.983,75.817,61.75,94.2,149.767
"Baltimore City",121.183,34.717,0,0,54.933,79.4,13.067,61.283,83.2,17.167,49.383,181.15,38.117,169.367,85.3,45.2,52.6,64.333,47.933,108.983,75.817,61.75,94.2,149.767
"Calvert",164.967,73.667,53.533,53.533,0,96.933,56.85,19.217,126.167,64.7,93.15,224.917,37.867,177.583,69.283,88.9,91.567,76.317,91.633,151.95,97.183,103.75,137.167,157.983
"Caroline",184.233,53.833,79.95,79.95,98.033,0,78.9,83.517,114.667,88.167,112.433,244.2,103.233,103.083,50.667,93.85,77.7,29.417,95.233,140.45,26.25,93.5,125.667,83.483
"Carroll",119.533,33.983,13.55,13.55,59.833,78.667,0,66.2,82.467,13.083,47.733,179.5,43.017,168.633,84.567,44.467,51.867,63.6,47.2,108.25,75.083,61.017,93.483,149.033
"Cecil",171.817,80.533,60.4,60.4,21.817,83.55,63.7,0,133.017,71.55,100.017,231.783,44.717,169.717,53.167,95.75,98.417,62.95,98.5,158.8,83.8,110.6,144.033,150.117
"Charles",169.117,66.3,81.417,81.417,123.883,110.983,79.533,130.25,0,89.067,99.7,224.35,107.067,200.967,116.883,72.683,40.567,95.917,73.717,39.867,107.417,30.667,19.483,181.367
"Dorchester",119.483,45.533,15.8,15.8,65.617,90.217,14.8,71.967,94.017,0,47.683,179.45,48.8,180.183,96.117,53.917,63.433,75.15,58.75,119.8,86.65,72.567,105.033,160.583
"Frederick",80.383,67.717,51.133,51.133,96.05,112.417,49.95,102.4,102.567,47.167,0,140.35,79.233,202.383,118.317,35.467,74.1,97.35,47.933,128.367,108.833,75.917,113.583,182.783
"Garrett",60.633,195.917,179.333,179.333,224.233,240.617,178.15,230.6,225.933,175.367,138.233,0,207.417,330.583,246.517,162,200.633,225.55,174.467,251.717,237.033,196.55,236.95,310.983
"Harford",149.833,58.533,38.4,38.4,40.583,103.233,41.717,46.95,111.033,49.567,78.017,209.783,0,193.2,94.55,73.767,76.433,88.167,76.5,136.817,99.65,88.617,122.033,173.6
"Howard",276.3,145.883,172.017,172.017,177.367,105.3,170.967,168.433,206.717,180.233,204.5,336.267,195.283,0,144.617,185.917,169.767,123.65,187.3,232.517,98.95,185.567,217.733,59.117
"Kent",187.717,57.3,83.433,83.433,70.483,49.533,82.383,52.3,118.133,91.65,115.917,247.667,94.467,142.233,0,97.333,81.183,21.817,98.7,143.933,48.683,96.983,129.15,122.633
"Montgomery",103.45,48.983,46.15,46.15,90.617,93.667,44.9,96.983,75.6,53.067,34.033,163.417,73.8,183.65,99.583,0,47.133,78.617,20.967,101.4,90.1,48.933,86.617,164.05
"Prince George's",141.183,31.633,52.117,52.117,92.2,76.317,51.067,98.567,41.783,60.333,71.767,201.133,75.383,166.3,82.233,44.75,0,61.267,46.133,67.583,72.75,29.15,52.8,146.7
"Queen Anne's",167.483,37.067,63.2,63.2,78.633,29.85,62.15,64.117,97.9,71.417,95.683,227.45,86.467,122,20.95,77.1,60.95,0,78.483,123.7,28.467,76.75,108.917,102.4
"Somerset",116.217,49.383,48.1,48.1,92.567,94.083,46.833,98.933,76.883,56.383,46.8,176.183,75.75,184.05,99.983,19.783,47.533,79.017,0,101.8,90.5,47.517,87.017,164.45
"St. Mary's",194.4,91.583,106.7,106.7,149.167,136.267,104.817,155.533,40.333,114.35,124.983,250.267,132.35,226.25,142.183,97.967,65.85,121.217,99.6,0,132.7,61.85,22.15,206.65
"Talbot",181.233,50.817,76.95,76.95,98.017,24,75.9,83.483,111.65,85.167,109.433,241.2,100.217,96.683,49.567,90.85,74.7,28.6,92.233,137.45,0,90.5,122.667,77.083
"Washington",144,46.317,60.933,60.933,103.383,91,60.05,109.75,32,69.583,74.583,195.467,86.567,180.967,96.9,47.567,27.6,75.933,44.85,64.017,87.417,0,46.6,161.367
"Wicomico",180.417,77.6,92.717,92.717,135.183,122.283,90.833,141.55,18.167,100.367,111,236.283,118.367,212.267,128.2,83.983,51.867,107.233,85.617,21.95,118.717,45.65,0,192.667
"Worcester",254.967,124.55,150.683,150.683,156.05,83.967,149.633,147.1,185.383,158.9,183.167,314.933,173.95,58.05,123.283,164.583,148.433,102.317,165.967,211.183,77.617,164.233,196.4,0
