"","Barnstable","Berkshire","Bristol","Dukes","Dukes and Nantucket","Essex","Franklin","Hampden","Hampshire","Middlesex","Nantucket","Norfolk","Plymouth","Suffolk","Worcester"
"Barnstable",0,181.7333,61.1333,92.3833,90.0333,87.2833,162.6667,136.2833,156.15,99.95,90.0333,69.4333,33.3667,69.7,100.9167
"Berkshire",180.5833,0,144.9333,230.3833,263.95,149.9,79.5833,62.6,81.35,136.1833,263.95,130.7333,161.3333,133.2,99.25
"Bristol",59.2167,144.1167,0,109.0167,142.5833,64.1,125.05,98.6833,118.55,71.2,142.5833,38.9167,38.5833,46.5167,63.3167
"Dukes",89.65,229.2167,108.6167,0,87.8333,146,210.1667,183.7833,203.65,153.0833,87.8333,120.8167,93.8333,128.4167,148.4167
"Dukes and Nantucket",93.4333,266.3833,145.7833,89.6833,0,171.95,247.3333,220.95,240.8167,184.6167,0,154.1,118.0333,154.3667,185.5833
"Essex",90.3667,150.8667,66.8667,150.9333,173.7333,0,124.4167,105.4333,124.1333,48.6,173.7333,49.15,66.5167,26.3333,70.0667
"Franklin",165.3833,78.4667,129.7333,215.1833,248.75,120.05,0,39.3333,31.6,87.7333,248.75,108.3,145.0833,112.2,81.1833
"Hampden",132.8,58.8167,97.15,182.6,216.1833,102.1167,37,0,32.3167,88.4167,216.1833,82.95,113.55,85.4167,51.4833
"Hampshire",151.1167,79.8167,115.4667,200.9167,234.4833,120.4333,30.9167,34.5333,0,88.4833,234.4833,101.2667,131.8667,103.7333,69.7833
"Middlesex",99.8167,134.3333,70.7167,154.7667,183.1833,45.65,87.9833,88.9,87.7,0,183.1833,40.7667,75.9833,36.3333,43.1
"Nantucket",93.4333,266.3833,145.7833,89.6833,0,171.95,247.3333,220.95,240.8167,184.6167,0,154.1,118.0333,154.3667,185.5833
"Norfolk",69.5667,128.8833,38.8833,122.9333,152.9333,46.6,109.1333,83.45,103.3167,40.7833,152.9333,0,45.7167,29.0167,48.0833
"Plymouth",33.4,159.8833,38.95,95.3167,116.7667,62.6667,145.4333,114.45,134.3,75.3167,116.7667,44.8,0,45.0667,79.0833
"Suffolk",69.9667,132.5667,46.4667,130.5167,153.3333,24.3833,114.1667,87.1167,106.9833,37.2667,153.3333,28.75,46.1167,0,51.75
"Worcester",98.3167,97.8333,62.65,148.1167,181.6833,67.6167,78.7667,52.4,72.2667,44.4333,181.6833,48.45,79.0667,50.9167,0
