"","Alcona","Alger","Allegan","Alpena","Antrim","Arenac","Baraga","Barry","Bay","Benzie","Berrien","Branch","Calhoun","Cass","Charlevoix","Cheboygan","Chippewa","Clare","Clinton","Crawford","Delta","Dickinson","Eaton","Emmet","Federal Correctional Institution (FCI)","Genesee","Gladwin","Gogebic","Grand Traverse","Gratiot","Hillsdale","Houghton","Huron","Ingham","Ionia","Iosco","Iron","Isabella","Jackson","Kalamazoo","Kalkaska","Kent","Keweenaw","Lake","Lapeer","Leelanau","Lenawee","Livingston","Luce","Mackinac","Macomb","Manistee","Marquette","Mason","Mecosta","Menominee","Michigan Department of Corrections (MDOC)","Midland","Missaukee","Monroe","Montcalm","Montmorency","Muskegon","Newaygo","Oakland","Oceana","Ogemaw","Ontonagon","Osceola","Oscoda","Otsego","Ottawa","Presque Isle","Roscommon","Saginaw","Sanilac","Schoolcraft","Shiawassee","St. Clair","St. Joseph","Tuscola","Van Buren","Washtenaw","Wayne","Wexford"
"Alcona",0,128.021,453.56,41.849,292.431,113.523,577.741,415.657,206.559,278.074,532.073,324.459,403.701,517.208,222.207,168.251,288.217,241.462,368.884,276.857,337.878,512.978,366.388,412.409,256.094,237.483,166.416,650.614,225.998,252.524,433.059,620.583,368.56,333.609,379.557,324.891,548.368,256.255,384.452,448.394,186.139,389.604,591.975,549.746,281.38,273.505,393.208,158.048,221.245,-1,341.496,321.431,461.553,346.188,297.018,515.714,256.094,198.275,215.496,398.663,346.096,119.201,412.939,355.938,316.745,372.698,130.813,644.089,280.283,41.121,449.895,405.672,76.478,144.576,195.202,304.182,467.346,282.084,370.017,518.636,220.68,356.895,327.556,354.796,249.057
"Alger",129.049,0,366.792,159.955,187.568,29.687,606.138,310.794,182.832,190.828,427.21,212.389,298.838,412.345,198.48,215.379,150.682,103.927,264.021,142.875,233.015,541.375,261.525,307.546,198.544,132.62,60.543,679.011,168.448,147.661,328.196,648.98,263.697,228.746,274.694,220.028,576.765,118.72,279.589,343.531,128.589,270.455,620.372,444.883,176.517,215.955,288.345,136.341,116.382,-1,236.633,208.767,489.95,241.325,159.483,544.111,198.544,93.412,102.832,293.8,208.561,132.447,293.79,236.789,211.882,253.549,26.828,672.486,142.748,88.209,363.127,300.809,186.424,66.654,90.339,199.319,362.483,177.221,265.154,421.367,115.817,252.032,222.693,249.933,156.465
"Allegan",453.205,366.796,0,448.035,191.957,361.745,641.276,50.702,355.941,288.368,95.479,201.323,111.249,80.614,353.388,436.614,174.936,222.997,218.836,191.44,148.858,507.474,143.661,99.706,309.179,248.564,274.412,650.529,289.298,182.45,179.151,684.118,254.429,191.142,116.201,209.69,549.073,208.953,159.142,48.957,279.985,65.368,655.51,113.197,262.321,337.197,220.475,357.576,247.618,-1,320.161,221.01,711.185,178.933,165.796,436.785,309.179,237.355,237.233,284.532,120.918,401.327,93.779,121.999,295.41,150.728,318.331,696.267,199.879,431.202,16.601,287.424,495.018,306.596,260.685,372.158,63.695,195.885,350.958,86.605,273.674,238.266,211.353,246.979,254.597
"Alpena",41.849,160.045,456.3,0,341.532,162.624,535.891,465.888,167.138,254.048,534.88,327.199,453.932,538.786,182.786,126.401,290.957,244.202,417.985,279.597,387.896,471.128,416.619,462.64,235.254,286.584,202.244,608.764,205.158,310.521,483.077,578.733,417.661,382.71,363.052,373.992,506.518,258.995,435.356,473.921,168.72,392.344,550.125,547.968,330.481,252.665,442.309,118.627,270.346,-1,390.597,294.817,419.703,396.206,299.758,473.864,235.254,247.376,218.236,447.764,348.836,79.78,415.679,358.678,365.846,375.438,158.013,602.239,283.023,78.102,452.635,454.773,34.628,150.107,244.303,353.283,488.659,331.185,419.118,521.376,269.781,405.996,376.657,403.897,234.673
"Antrim",291.894,186.648,193.64,342.131,0,181.597,777.902,137.642,354.596,313.613,254.058,302.278,125.686,239.193,370.244,387.143,198.607,161.983,108.338,134.379,59.863,713.139,88.373,134.394,334.424,68.416,199.017,850.775,314.649,98.469,155.044,820.744,127.221,50.968,101.542,42.121,748.529,149.217,107.323,170.379,300.353,144.681,792.136,271.731,82.173,362.548,125.761,308.105,67.47,-1,140.013,335.2,661.714,68.173,177.806,550.975,334.424,144.688,254.373,157.324,151.487,314.623,207.969,199.922,115.262,264.918,206.971,844.25,215.744,251.054,189.975,176.024,368.6,246.797,80.537,192.01,189.331,9.048,170.81,248.215,93.526,115.487,86.148,113.457,279.842
"Arenac",113.523,29.687,361.358,162.534,182.134,0,640.179,305.36,216.873,217.661,421.776,207.965,293.404,406.911,232.521,249.42,146.258,99.503,258.587,137.441,227.581,575.416,256.091,302.112,232.585,127.186,56.119,713.052,202.489,142.227,322.762,683.021,258.263,223.312,269.26,214.594,610.806,114.296,274.155,338.097,162.63,266.031,654.413,439.449,171.083,249.996,282.911,170.382,110.948,-1,231.199,219.175,523.991,235.891,155.059,578.152,232.585,87.978,136.873,288.366,204.137,174.584,289.366,232.365,206.448,249.125,60.869,706.527,138.324,72.683,357.693,295.375,189.003,100.695,84.905,193.885,357.049,171.787,259.72,415.933,110.383,246.598,217.259,244.499,183.89
"Baraga",577.072,606.247,641.295,535.222,777.303,639.983,0,836.725,458.429,620.271,782.134,485.781,824.769,804.911,467.373,408.82,661.794,615.039,862.796,650.434,758.733,137.034,787.456,833.477,601.477,731.395,619.68,136.536,571.381,681.358,853.914,45.724,862.472,779.252,733.889,797.286,92.202,629.832,806.193,695.047,534.943,613.47,31.108,759.093,775.292,618.888,867.526,470.402,715.157,-1,835.408,505.468,116.72,767.043,670.595,252.841,601.477,665.823,589.073,892.575,719.673,483.232,553.568,576.91,810.657,494.471,584.075,66.347,653.86,628.66,673.761,899.584,506.248,542.468,689.114,798.094,709.785,775.996,863.929,781.12,714.592,850.807,821.468,848.708,600.896
"Barry",417.47,312.224,50.509,467.896,137.385,307.173,839.007,0,374.81,307.237,121.134,244.879,62.702,106.269,372.257,448.248,193.805,223.088,170.289,162.67,83.988,562.476,58.677,43.742,328.048,193.992,266.98,705.531,308.167,159.574,130.604,881.849,205.882,99.753,79.393,133.729,604.075,210.322,110.595,34.323,298.854,84.237,853.241,138.807,207.749,356.066,171.928,369.21,193.046,-1,248.342,276.012,722.819,87.544,184.665,491.787,328.048,214.67,256.102,235.985,107.827,421.188,148.781,140.868,240.838,205.73,332.547,751.269,218.748,376.63,30.674,238.877,506.652,318.23,206.113,317.586,56.407,141.313,285.46,115.291,219.102,189.719,162.806,198.432,273.466
"Bay",206.559,183.478,355.841,167.048,354.534,217.214,459.415,375.207,0,145.701,434.421,226.74,402,438.327,18.516,81.248,239.025,192.27,440.027,227.665,335.964,394.652,364.687,410.708,126.907,308.626,196.911,532.288,96.811,258.589,431.145,502.257,439.703,356.483,311.12,374.517,430.042,207.063,383.424,373.462,76.536,291.885,473.649,447.509,352.523,144.318,444.757,53.793,292.388,-1,412.639,202.633,343.227,344.274,235.263,397.388,126.907,243.054,124.234,469.806,271.653,106.474,315.22,258.219,387.888,274.979,161.306,525.763,182.15,246.229,352.176,476.815,150.975,119.699,266.345,375.325,388.2,353.227,441.16,420.917,291.823,428.038,398.699,425.939,142.489
"Benzie",278.124,192.38,288.395,253.953,314.612,218.229,621.33,307.761,145.688,0,366.975,100.367,368.308,370.881,127.185,230.571,149.803,146.816,403.196,187.743,296.042,423.805,324.765,356.765,52.647,290.357,162.546,566.86,51.112,218.667,391.223,664.172,421.434,316.561,250.704,334.595,465.404,167.141,343.502,306.016,95.6,224.439,635.564,380.063,334.254,82.766,404.835,151.559,274.119,-1,394.37,52.394,505.142,304.352,167.817,353.116,52.647,203.132,91.251,451.537,204.207,207.245,186.444,161.33,369.619,127.347,170.208,687.678,114.574,255.131,284.73,458.546,288.975,158.473,248.076,357.056,320.754,318.54,422.891,353.471,273.554,409.769,380.43,407.67,48.174
