"","Alcona","Alger","Allegan","Alpena","Antrim","Arenac","Baraga","Barry","Bay","Benzie","Berrien","Branch","Calhoun","Cass","Charlevoix","Cheboygan","Chippewa","Clare","Clinton","Crawford","Delta","Dickinson","Eaton","Emmet","Federal Correctional Institution (FCI)","Genesee","Gladwin","Gogebic","Grand Traverse","Gratiot","Hillsdale","Houghton","Huron","Ingham","Ionia","Iosco","Iron","Isabella","Jackson","Kalamazoo","Kalkaska","Kent","Keweenaw","Lake","Lapeer","Leelanau","Lenawee","Livingston","Luce","Mackinac","Macomb","Manistee","Marquette","Mason","Mecosta","Menominee","Michigan Department of Corrections (MDOC)","Midland","Missaukee","Monroe","Montcalm","Montmorency","Muskegon","Newaygo","Oakland","Oceana","Ogemaw","Ontonagon","Osceola","Oscoda","Otsego","Ottawa","Presque Isle","Roscommon","Saginaw","Sanilac","Schoolcraft","Shiawassee","St. Clair","St. Joseph","Tuscola","Van Buren","Washtenaw","Wayne","Wexford"
"Alcona",0,100.35,268.983,33.25,187.85,87.617,392.317,257.117,156.35,198.783,307,217.017,238.183,305,167.583,119.267,180.45,148.517,227.85,171.817,206.6,346.967,217.867,245.683,190.183,161.8,126.083,434.15,164.7,184.133,265.867,424.55,219.933,213.967,228.267,211.933,366.383,153.967,231.383,265.7,128.733,233.8,410.733,312,178.1,205.033,250.283,114.15,157.617,-1,213.4,214.667,307.233,210.55,188.517,345.5,190.183,135.667,141.967,237.9,223.45,83.633,262.233,225.883,199.583,248,101.667,439.383,174.233,32.55,265.483,247.167,63.083,99.867,134.25,210.617,269.617,177.767,223.75,302.617,153.133,214.933,200.317,217.133,175.35
"Alger",100.167,0,188.667,110.417,102.783,24.35,361.883,172.05,110.767,136.1,221.933,143.217,153.117,219.933,121.983,110.483,101.767,69.85,142.783,92.45,121.533,316.533,132.8,160.617,137.783,76.733,40.467,403.717,112.3,99.067,180.8,394.1,134.867,128.9,143.2,126.867,335.95,75.283,146.317,180.633,76.333,161.983,380.3,226.933,93.033,152.65,165.217,72.8,72.55,-1,128.333,145.417,276.8,125.483,109.833,315.067,137.783,50.6,72.733,152.833,144.767,97.883,190.417,154.05,114.517,176.167,17.1,408.95,95.567,69.95,185.15,162.1,132,35.783,49.183,125.55,184.55,92.7,138.683,217.683,68.067,129.867,115.25,132.067,112.8
"Allegan",268.767,188.35,0,269.583,108.967,189.717,499.35,40.75,210.733,165.583,68.983,130.883,64.283,66.983,207.367,237.333,103.05,138.633,126.283,117.017,83.25,407.1,79.033,61.683,189.917,134.517,159.033,502.533,163.3,120.75,109.583,531.583,135.083,108.667,69.55,115.883,433.833,130.433,89.667,33.883,150.633,39.75,517.767,72.217,139.45,206.433,131,199.65,139.283,-1,174.1,145.75,403.65,98.067,98.467,351.083,189.917,155.55,128.817,153.067,75.633,240.133,76.55,83.467,160.283,103.733,188.183,535.95,113.067,242.967,15.75,160.75,278.75,176.1,149.95,213.783,38.267,105.283,185.1,60.7,147.533,127.667,116.317,140.083,142.1
"Alpena",33.867,111.467,270.083,0,208.717,108.5,359.067,275.75,126.333,193.533,319.567,218.117,256.833,320.033,137.55,86.017,181.533,149.617,248.717,172.917,224.267,313.717,236.517,264.333,179.583,182.667,144.75,400.9,154.083,181.95,283.533,391.283,240.8,234.833,234.933,232.8,333.133,155.05,248.983,279.867,122.633,234.9,377.483,315.25,198.967,194.433,271.15,84.133,178.483,-1,234.267,217.9,273.983,228.217,189.6,312.25,179.583,156.533,143.067,258.767,224.533,53.6,263.317,226.967,220.45,249.083,112.983,406.117,175.333,59.533,266.567,268.033,29.833,103.35,155.117,231.483,284.233,198.633,244.617,303.717,174,235.8,221.183,238,171.517
"Antrim",187.367,102.533,109.583,207.9,0,103.917,456.333,92.967,205.2,191.967,142.85,170.567,74.05,140.85,216.433,204.933,123.283,92.7,90.767,82.85,42.45,410.967,53.717,81.533,216.3,48.717,116.417,498.167,190.567,62.183,101.733,488.55,79.25,41.6,64.117,39.917,430.383,86.133,67.167,101.55,170.767,81.983,474.733,147.85,53.65,233.7,105.933,167.233,53.483,-1,88.3,186.033,371.233,46.417,112.967,391.367,216.3,83.65,145.267,97.217,104.267,195.367,116.833,124.617,74.483,144.017,112.833,503.383,126.65,157.167,106.083,106.783,229.5,131.517,64.15,127.983,105.483,10.35,99.3,138.6,61.733,74.783,60.167,76.45,168.483
"Arenac",86.583,23.983,190.383,107.283,104.5,0,383.2,173.767,132.083,157.783,223.667,145.5,154.85,221.65,143.3,131.8,104.05,72.117,144.517,94.183,123.25,337.85,134.533,162.35,159.1,78.45,42.733,425.033,133.617,100.8,182.533,415.417,136.583,130.633,144.917,128.6,357.267,77.567,148.05,182.367,97.65,164.267,401.617,228.65,94.75,173.967,166.933,94.117,74.267,-1,130.05,157.15,298.117,127.217,112.117,336.383,159.1,52.333,94.033,154.567,147.05,118.85,192.683,156.333,116.25,178.45,38.417,430.25,97.833,56.383,186.883,163.817,128.867,57.1,50.9,127.267,186.283,94.433,140.4,219.417,69.783,131.583,116.967,133.8,134.3
"Baraga",391.6,362.85,500.133,357.733,456.35,383.65,0,493.917,312.033,415.633,474.767,401.25,475,483.467,319.067,272.017,399.7,367.783,497.533,391.083,442.433,100.083,454.683,482.5,401.683,431.483,374.267,90.717,376.2,400.117,501.717,37.117,489.617,457,453.1,463.983,65.533,373.217,467.15,507.367,344.75,462.417,34.533,453.217,447.783,416.533,508.483,297.983,427.3,-1,483.083,416.117,88.667,446.4,407.767,186.717,401.683,394.1,361.233,507.6,442.7,308.933,434.083,458.733,469.267,404.533,350.933,47.05,393.5,409.05,494.083,516.85,337.4,333.183,403.933,480.3,511.75,447.45,493.433,467.967,422.817,484.617,470,486.833,393.633
"Barry",257.1,172.267,40.817,276.15,92.9,173.65,496.083,0,226.333,181.183,84.233,145.333,50.383,82.217,222.967,244.683,118.65,132.45,112.367,126.217,61.983,421.55,46.9,38.95,205.517,118.45,159.2,516.983,178.9,101.933,95.667,528.3,121.167,81.867,62.5,89.25,448.3,125.883,75.767,37.7,166.233,55.35,514.5,89.217,123.367,222.033,117.1,207,123.217,-1,159.45,160.217,410.983,71.25,114.067,365.55,205.517,143.133,144.417,139.15,90.817,246.717,91,99.067,144.217,118.2,182.567,550.417,128.667,226.9,28.45,146.833,286.083,183.433,133.883,197.717,46.85,89.217,166.967,79.983,131.467,113.767,102.4,126.167,157.7
"Bay",155.517,111.583,210.383,125.3,205.083,132.4,314.167,227.033,0,119.383,259.883,158.417,223.75,260.35,18.167,67.917,148.45,116.517,246.283,139.817,191.183,268.817,203.417,231.233,105.433,180.233,123.017,356,79.95,148.867,250.45,346.383,238.367,205.733,201.85,212.717,288.233,121.967,215.883,220.167,61.45,175.2,332.583,255.55,196.517,120.283,257.217,45.517,176.05,-1,231.817,156.717,229.067,195.133,159.283,267.35,105.433,142.85,98.2,256.333,173.767,81.95,203.633,167.283,218.017,189.4,99.683,361.217,128.717,166.433,206.883,265.6,113.583,81.933,152.683,229.05,224.55,196.2,242.183,244.033,171.567,233.35,218.733,235.567,110.35
"Benzie",199.367,138.683,164.367,191.167,193.55,158.583,415.467,181.017,117.533,0,213.85,76.85,204.55,214.317,101.167,164.067,106.35,103.85,240.95,128.283,179.633,363.6,191.883,201.933,45.217,180.1,117.95,459.017,45.75,137.317,238.9,447.683,238.233,194.2,163.417,201.183,390.333,110.417,204.35,174.15,74.183,129.183,433.883,209.533,196.383,70.567,245.683,121.55,175.917,-1,231.683,41.5,330.367,183.583,113.267,307.583,45.217,131.3,70.683,256.2,127.733,161.717,121.65,111.067,217.883,92.117,126.767,462.517,81.867,193.533,160.85,265.467,205.467,114.683,152.55,228.917,178.517,189.867,242.05,198,171.433,233.217,218.6,235.433,34.433
