"","Aitkin","Anoka","Becker","Beltrami","Benton","Big Stone","Blue Earth","Brown","Carlton","Carver","Cass","Chippewa","Chisago","Clay","Clearwater","Cook","Cottonwood","Crow Wing","Dakota","Dodge","Douglas","Faribault","Fillmore","Freeborn","Goodhue","Grant","Hennepin","Houston","Hubbard","Isanti","Itasca","Jackson","Kanabec","Kandiyohi","Kittson","Koochiching","Lac qui Parle","Lake","Lake of the Woods","Le Sueur","Lincoln","Lyon","Mahnomen","Marshall","Martin","McLeod","Meeker","Mille Lacs","Morrison","Mower","Murray","Nicollet","Nobles","Norman","Olmsted","Otter Tail","Pennington","Pine","Pipestone","Polk","Pope","Ramsey","Red Lake","Redwood","Renville","Rice","Rock","Roseau","Scott","Sherburne","Sibley","St. Louis","Stearns","Steele","Stevens","Swift","Todd","Traverse","Wabasha","Wadena","Waseca","Washington","Watonwan","Wilkin","Winona","Wright","Yellow Medicine"
"Aitkin",0,170.277,154.662,322.22,241.171,324.444,383.731,296.128,106.603,226.242,137.989,237.133,196.391,156.232,167.581,209.532,332.472,60.429,434.019,318.151,266.698,280.756,386.226,361.857,297.041,223.631,202.147,435.358,128.055,148.591,201.111,436.071,92.005,240.146,446.244,273.744,328.333,364.726,144.749,278.512,341.517,356.261,253.842,356.261,535.177,267.679,221.147,99.597,12.355,360.185,406.931,314.322,467.605,111.023,336.299,200.361,175.594,133.012,424.382,338.435,206.529,169.947,251.272,232.175,298.989,125.055,411.28,390.469,274.254,152.842,293.754,136.749,145.906,305.362,293.568,344.839,146.555,296.139,331.887,122.427,328.517,315.17,375.545,245.171,384.993,61.52,305.116
"Anoka",169.976,0,47.529,421.879,77.145,290,216.076,170.958,218.013,62.216,267.997,226.93,68.967,293.827,72.07,361.592,240.617,163.726,265.417,149.549,98.096,113.276,217.624,194.377,128.439,55.029,32.847,266.756,265.65,43.694,324.533,268.416,90.973,177.742,611.046,477.106,265.929,534.016,34.68,110.857,173.862,262.369,350.858,262.369,367.522,103.653,120.639,71.401,181.645,192.705,282.248,146.667,299.95,177.317,167.697,269.621,325.841,109.745,330.49,450.351,193.165,6.737,371.971,64.695,188.539,99.519,317.388,528.944,253.25,20.457,129.728,248.134,78,137.882,272.564,514.129,280.722,128.484,163.285,219.443,161.037,147.515,207.89,310.297,216.391,196.69,216.323
"Becker",154.777,47.205,0,367.832,114.734,235.953,257.294,161.743,209.085,99.805,220.632,172.883,114.497,246.462,16.932,352.664,216.021,116.361,312.958,197.09,145.637,154.319,265.165,235.42,175.98,102.57,75.71,314.297,218.285,85.235,277.168,309.634,75.741,123.695,556.999,425.614,211.882,505.82,35.393,152.075,215.08,239.81,303.493,239.81,368.38,102.368,86.762,55.27,166.446,233.748,290.48,187.885,341.168,168.389,215.238,215.574,278.476,121.678,307.931,396.304,139.118,46.875,324.606,105.738,182.538,52.154,294.829,481.579,199.203,27.404,136.011,239.206,30.635,178.925,218.517,485.933,233.357,169.702,210.826,172.078,202.08,188.733,249.108,256.25,263.932,197.405,188.665
"Beltrami",320.161,422.88,368.096,0,475.047,254.544,564.835,470.983,368.948,460.118,191.11,230.432,480.158,164.337,351.169,330.668,361.577,280.761,673.271,557.403,505.95,514.632,625.478,595.733,536.293,462.883,436.023,674.61,185.013,416.327,127.988,511.681,401.306,330.828,144.59,308.395,306.483,229.858,393.177,512.388,513.06,376.457,67.853,376.457,519.45,426.471,353.964,380.835,319.812,594.061,429.625,485.701,575.124,401.336,575.551,156.007,183.989,443.351,471.262,28.471,250.265,421.278,149.091,466.051,379.456,320.256,479.036,188.963,241.952,395.414,461.328,379.68,334.266,539.238,262.931,233.958,168.648,530.015,571.139,199.813,562.393,549.046,481.164,148.697,624.245,344.426,337.505
"Benton",241.7,77.627,115.168,476.028,0,242.4,151.447,95.693,278.285,19.84,341.061,222.312,129.239,366.891,126.219,421.864,165.352,236.79,276.868,161,109.547,114.344,229.075,149.753,139.89,100.026,62.003,278.207,338.714,123.928,397.597,203.787,162.697,120.483,665.195,537.378,180.749,626.249,106.404,46.228,109.233,187.104,423.922,187.104,302.893,28.388,86.272,143.125,253.369,193.773,213.624,78.836,235.321,237.589,179.148,323.77,398.905,170.017,255.225,504.5,188.547,83.5,445.035,65.763,113.274,172.583,242.123,602.008,234.072,92.499,54.463,308.406,145.408,138.95,239.322,606.362,353.786,63.855,180.448,292.507,97.854,70.96,143.261,364.446,261.601,290.84,141.058
"Big Stone",322.395,290.406,235.622,253.907,242.386,0,344.75,231.237,410.625,260.346,312.959,85.441,347.684,288.868,218.695,554.204,127.203,264.211,540.797,389.914,373.476,345.907,493.004,350.119,403.819,330.409,303.549,542.136,267.313,292.302,302.184,269.964,277.281,137.849,441.079,528.884,73.327,550.188,260.703,265.444,271.945,133.796,266.097,133.796,256.102,216.994,172.053,256.81,334.751,395.011,186.964,261.636,234.69,369.929,443.077,138.64,370.08,319.326,166.434,282.379,110.288,288.804,382.753,297.326,129.098,214.706,173.73,509.293,56.616,262.94,237.263,440.746,210.241,346.788,31.061,554.288,271.682,265.136,438.665,211.239,319.118,292.2,250.121,105.846,491.771,383.916,103.131
"Blue Earth",383.761,215.923,257.229,565.939,153.267,344.749,0,106.426,429.586,153.733,433.781,337.43,280.54,459.611,268.28,573.165,245.147,329.51,245.093,158.609,195.715,139.66,163.475,58.765,214.422,246.218,217.218,246.432,431.434,282.175,490.317,79.743,304.758,243.052,841.726,688.679,283.098,718.969,248.465,107.854,60.065,223.934,516.642,223.934,194.897,138.981,197.088,285.186,395.43,97.344,169.102,79.267,127.943,388.89,162.774,413.681,491.625,321.318,218.229,594.411,313.698,221.796,537.755,193.249,219.205,265.303,207.481,694.728,342.571,234.56,106.422,459.707,244.575,115.213,341.671,699.082,446.506,96.086,229.933,385.227,105.12,100.119,83.413,547.755,229.826,442.141,243.605
"Brown",293.995,171.412,161.261,472.24,95.665,225.701,106.046,0,372.07,105.095,340.082,227.771,223.024,365.912,144.334,515.649,115.942,235.811,276.362,159.321,158.245,112.508,228.569,119.526,176.825,193.811,155.788,277.701,337.735,217.713,396.618,117.848,217.916,128.699,661.407,545.064,164.05,625.27,200.189,63.238,43.596,115.105,422.943,115.105,216.954,69.534,103.389,197.445,306.351,164.418,120.617,25.748,149.382,331.374,178.642,319.982,397.926,263.802,168.055,500.712,205.664,177.285,444.056,142.26,103.004,171.604,154.953,601.029,223.523,186.284,42.575,402.191,150.876,116.195,222.623,605.383,352.807,43.264,247.181,291.528,88.525,70.075,57.322,360.658,261.095,339.58,124.557
"Carlton",106.625,216.757,209.208,369.342,278.447,407.7,427.361,372.26,0,263.518,202.905,339.554,173.836,257.393,222.127,151.195,387.768,167.055,432.577,316.709,265.256,293.756,384.784,374.857,295.599,204.228,217.474,433.916,233.817,162.577,266.027,502.347,137.297,295.442,483.324,266.709,383.629,402.689,199.301,310.43,373.435,411.557,328.616,411.557,567.095,304.955,276.443,154.143,94.27,373.185,481.821,346.24,499.523,64.538,334.857,306.987,212.674,110.457,479.678,375.515,305.789,221.679,288.352,240.751,389.841,200.503,466.576,428.432,365.874,207.394,331.03,32.467,200.452,318.362,385.188,382.802,248.207,328.057,330.445,229.053,341.517,340.863,407.463,351.797,383.551,45.823,360.412
"Carver",226.659,62.586,100.127,460.987,21.552,262.072,153.847,105.175,263.244,0,326.02,266.038,114.198,351.85,111.178,406.823,185.024,221.749,252.113,136.245,84.792,87.696,204.32,126.309,115.135,84.985,46.962,253.452,323.673,108.887,382.556,206.187,147.656,140.155,650.154,522.337,200.421,611.208,91.363,48.628,111.633,196.586,408.881,196.586,305.293,48.06,105.944,128.084,238.328,167.125,220.019,84.438,237.721,222.548,154.393,308.729,383.864,154.976,264.707,489.459,232.273,68.459,429.994,39.115,132.946,157.542,251.605,586.967,292.358,77.458,70.492,293.365,130.367,112.302,258.994,591.321,338.745,66.255,165.407,277.466,84.202,85.286,145.661,349.405,236.846,275.799,160.73
