"","Aitkin","Anoka","Becker","Beltrami","Benton","Big Stone","Blue Earth","Brown","Carlton","Carver","Cass","Chippewa","Chisago","Clay","Clearwater","Cook","Cottonwood","Crow Wing","Dakota","Dodge","Douglas","Faribault","Fillmore","Freeborn","Goodhue","Grant","Hennepin","Houston","Hubbard","Isanti","Itasca","Jackson","Kanabec","Kandiyohi","Kittson","Koochiching","Lac qui Parle","Lake","Lake of the Woods","Le Sueur","Lincoln","Lyon","Mahnomen","Marshall","Martin","McLeod","Meeker","Mille Lacs","Morrison","Mower","Murray","Nicollet","Nobles","Norman","Olmsted","Otter Tail","Pennington","Pine","Pipestone","Polk","Pope","Ramsey","Red Lake","Redwood","Renville","Rice","Rock","Roseau","Scott","Sherburne","Sibley","St. Louis","Stearns","Steele","Stevens","Swift","Todd","Traverse","Wabasha","Wadena","Waseca","Washington","Watonwan","Wilkin","Winona","Wright","Yellow Medicine"
"Aitkin",0,113.25,109.15,216.117,151.9,232.367,244.667,211.4,74.317,145.783,93.567,174.183,135.083,121.233,114.067,145.517,225,50.133,256.433,200.333,170.4,172.733,240.833,218.45,187.617,146.5,130.017,261.517,101.683,105.433,139.1,270.95,64.7,165.783,299.5,186.833,223.25,250.133,94.117,172.333,212.05,242.217,177.583,242.217,319.267,169.267,153.767,68.6,8.85,222.733,276.867,197.75,287.117,82.167,209.867,147.45,119.25,97.367,284.883,220.033,154.2,112.7,168.45,149.617,202.9,87.133,277.333,269.967,198.7,100.133,193.183,89.883,101.583,184.383,211.533,235.117,117.2,184.033,228.117,92.25,195.95,198.167,231.733,178.917,260.317,42.483,208.183
"Anoka",113.267,0,35.2,233.3,50.467,186.45,141.017,114.283,115.85,44.333,176.467,138.983,45.783,191.133,42.117,200.383,164.667,102.617,148.217,92.117,62.183,69.367,132.617,115.083,79.4,38.283,26.033,153.3,171.6,38.733,209.583,167.3,61.033,108.733,313.7,274.733,166.183,361.683,28.417,68.683,108.4,181.067,223.55,181.067,215.617,67.817,89.983,50.1,120.4,119.367,179.683,94.1,183.467,97.233,101.65,143.25,218.05,61.767,223.733,255.733,110.167,10.167,241.267,46.25,126.817,68.033,216.183,345.15,158.017,17.233,91.75,130.883,56.383,81.017,170.85,346.65,184.517,80.383,119.917,138.217,92.583,94.517,128.083,169.317,152.1,138.65,148.583
"Becker",108.067,35.9,0,206.833,71.433,159.967,164.183,124.633,134.55,65.3,142.1,112.517,76.65,156.767,12.883,219.083,141.483,68.25,177.667,121.567,91.633,92.267,162.067,137.967,108.85,67.733,49.533,182.75,137.233,62.1,175.233,190.467,55.033,82.25,287.233,286.717,139.717,324.517,28.017,91.85,131.567,158.683,189.183,158.683,243.433,82.867,67,40.483,115.2,142.25,193.333,117.267,206.633,115.933,131.1,116.783,183.7,90.117,201.35,229.267,83.7,35.35,206.9,69.133,119.383,33.667,193.817,310.8,131.533,20.033,110.483,149.583,22.017,103.9,144.383,309.5,150.15,103.55,149.367,103.867,115.467,117.683,151.25,142.833,181.55,134,124.65
"Beltrami",215.6,234.2,208.617,0,264.267,175.1,356.6,288.217,251.183,258.15,133.1,150.867,268.967,113.283,196.517,232.733,239.067,179.817,370.517,314.417,284.483,285.1,354.917,330.8,301.683,260.583,242.367,375.6,132,255.317,88.217,332,242.633,203.833,104.35,205.367,202.6,164.567,232.033,284.7,315.833,251,49.15,251,271.65,254.683,215.067,228.083,216.533,335.083,290.483,298.883,301.9,278.183,323.933,100.417,126.667,278.8,259.533,22.433,149.583,237.6,114.85,261.983,236.117,197.817,268.117,135.617,158.983,224.85,284.1,258.6,195.283,296.75,172.333,167.833,116.667,296.383,342.2,125.667,308.317,310.533,307.75,103.85,374.383,234.333,224.683
"Benton",151.5,50.067,71.783,264.3,0,174.833,107.617,67.7,153.967,17.883,213.317,169.033,83.917,227.983,73.117,238.5,118.1,139.467,157.6,101.5,71.567,68.4,142,111.283,88.783,65.183,42.217,162.683,208.45,81.317,246.45,133.9,99.283,91.233,344.717,312.85,130.75,395.733,66.65,35.283,74.983,134.483,260.4,134.483,182.217,21.25,66.467,88.333,158.633,118.383,148.767,59.95,150.067,135.367,111.033,174.267,254.917,99.9,177.15,286.75,140.217,58.2,278.117,45.283,80.25,104.883,169.617,382.017,172.2,56.633,45.167,169,87.983,80.05,172.75,380.717,221.367,46.967,129.583,175.083,80.917,60.517,94.683,200.317,158.3,173.083,102.017
"Big Stone",229.683,185.6,160.033,175.017,173.25,0,234.1,173.45,273.7,188.417,227.183,65.517,220.383,210.217,147.933,358.217,90.517,183.317,321.917,269.833,235.883,238.633,306.317,256.217,253.1,211.983,193.783,327,191.2,206.85,213.75,193.783,194.183,96.133,239.467,360.417,53.85,321.1,183.45,195.117,197.65,98.683,186.383,98.683,147.967,153.483,122.15,179.617,238.533,277.433,138.183,190.9,173.617,255.083,275.35,96.767,268.167,230.333,115.983,197.45,82.317,189.017,274.3,215.517,92.967,156.45,124.633,292.167,39.333,176.267,176.117,288.717,146.817,242.583,22.017,324.367,192.55,195.117,293.617,150.2,228.25,215.55,184.3,71.467,325.8,272.167,76.133
"Blue Earth",243.95,140.117,164.233,356.95,107.817,236.1,0,73.25,227.683,106.2,305.317,245.95,157.617,319.983,165.567,312.217,152.383,231.467,129.5,92.8,124.183,77.717,99.883,39.6,123.033,137.333,119.367,134.583,300.45,161.75,338.45,49.183,191.717,171.617,421.717,386.567,192.033,487.733,159.1,75.55,47.033,138.383,352.4,138.383,106.4,106.8,148.967,180.767,251.067,55.967,107.933,61.25,75.067,209.067,93.067,266.917,346.917,173.6,127.05,379.4,219.833,148.267,370.117,106.333,144.133,196.883,127.267,474.017,236.1,149.083,82.05,242.717,183.35,65.05,234.017,472.717,313.367,69.383,138.533,267.083,67.933,72.65,56.817,277.7,130.2,246.783,163.55
"Brown",208.483,113.4,123.917,287.617,66.067,170.083,72.333,0,217.317,81.867,235.983,175.067,147.267,250.65,111.817,301.85,89.75,162.133,159.017,100.233,122.817,81.133,143.417,86.633,132.1,128.533,105.567,164.1,231.117,144.667,269.117,79.517,161.367,97.183,368.033,380.6,126,418.417,130,51.733,31.317,88.283,283.083,88.283,127.833,51.183,79.633,146.817,217.35,107.833,86.883,23.433,95.683,198.717,112.433,197.583,277.583,163.233,122.533,310.067,153.383,121.55,300.783,104.067,80.967,127.55,114.983,404.683,170.067,119.983,34.45,232.35,114.017,72.983,168,403.383,244.033,34.667,162.483,197.75,58.667,50.45,40.3,223.633,159.7,240.333,97.533
"Carlton",74.483,116.267,136.067,254.267,154.133,275.633,229.05,217.95,0,148.017,139.317,227.983,100.633,180.45,140.983,94,257.133,124.617,232.25,176.15,146.217,159.25,216.65,204.95,163.417,117.05,118.517,237.333,172.333,96,184.833,264.533,82.533,197.917,326.383,168.35,255.383,274.933,122,171.667,211.383,274.35,229.75,274.35,318.6,171.5,185.917,95.517,66.367,209.233,282.667,197.083,286.45,42.4,185.667,221.933,146.133,62.917,317.017,246.917,199.167,120.667,195.333,132.117,230.5,131.117,309.483,294.767,247,128.017,195.417,21.517,128.483,170.9,259.85,259.917,176.55,183.367,203.933,166.733,182.467,189.95,231.067,253.417,236.117,33.55,240.317
"Carver",145.183,43.733,65.467,257.983,18.567,189.5,106.7,83.617,147.65,0,207,163.683,77.6,221.667,66.8,232.183,132.767,133.15,152.15,96.05,66.117,57.8,136.55,102.733,83.317,58.85,35.9,157.233,202.133,75,240.117,132.983,92.95,105.917,338.4,306.533,145.433,389.417,60.333,34.367,74.067,150.317,254.083,150.317,181.3,35.917,81.15,82.017,152.317,107.783,145.367,59.783,149.15,129.033,105.567,167.95,248.583,93.567,193,280.417,134.867,51.883,271.8,34.683,94.917,98.567,185.45,375.683,182.7,50.317,58.667,162.683,81.667,69.45,187.417,374.4,215.05,46.05,123.267,168.75,69.717,60.2,93.767,194,152.833,166.75,116.683
