"","Adams","Alcorn","Amite","Attala","Benton","Bolivar","Calhoun","Carroll","Chickasaw","Choctaw","Claiborne","Clarke","Clay","Coahoma","Copiah","Covington","DeSoto","Forrest","Franklin","George","Greene","Grenada","Hancock","Harrison","Hinds","Holmes","Humphreys","Issaquena","Itawamba","Jackson","Jasper","Jefferson","Jefferson Davis","Jones","Kemper","Lafayette","Lamar","Lauderdale","Lawrence","Leake","Lee","Leflore","Lincoln","Lowndes","Madison","Marion","Marshall","Monroe","Montgomery","Neshoba","Newton","Noxubee","Oktibbeha","Panola","Pearl River","Perry","Pike","Pontotoc","Prentiss","Quitman","Rankin","Scott","Sharkey","Simpson","Smith","Stone","Sunflower","Tallahatchie","Tate","Tippah","Tishomingo","Tunica","Union","Walthall","Warren","Washington","Wayne","Webster","Wilkinson","Winston","Yalobusha","Yazoo"
"Adams",0,151.344,201.07,75.833,37.071,185.395,177.791,116.7,187.974,94.163,128.273,190.614,282.98,234.416,99.516,22.834,197.769,70.672,52.964,86.021,271.267,146.133,312.186,187.265,43.516,63.58,110.183,126.981,276.773,43.516,123.21,160.157,135.385,184.923,137.866,222.175,289.839,180.171,99.59,50.42,242.84,166.751,131.423,210.014,18.58,163.858,268.402,169.686,101.189,103.753,106.291,169.908,167.983,204.977,80.686,257.955,180.342,230.003,135.385,190.614,58.544,189.562,194.891,137.353,174.604,242.573,144.265,133.52,238.169,308.837,308.25,285.717,103.667,167.817,109.462,184.832,233.436,131.232,240.108,150.531,176.557,111.517
"Alcorn",151.267,0,110.678,222.195,171.991,240.112,226.526,262.533,361.688,240.918,25.696,303.846,456.694,332.652,96.356,139.953,311.001,192.143,198.797,158.795,308.766,291.966,325.009,333.098,122.936,209.413,50.381,130.632,450.487,122.936,220.448,37.331,154.507,233.658,299.66,368.008,435.672,293.403,212.822,197.175,416.554,259.394,94.571,356.769,133.094,277.09,414.235,74.393,214.779,255.609,219.523,357.319,314.738,350.81,227.441,295.454,135.852,393.541,154.507,303.846,146.958,232.382,285.421,206.007,287.836,280.072,240.897,247.11,384.002,454.67,481.964,366.468,241.655,313.65,73.916,52.592,282.921,277.987,93.46,297.286,322.39,76.414
"Amite",200.257,110.772,0,272.017,232.001,361.959,198.57,311.523,410.678,293.09,115.911,265.4,505.684,423.375,104.847,188.943,269.989,228.337,247.787,256.264,236.547,340.956,214.391,382.088,159.13,258.403,141.121,220.847,499.477,159.13,213.41,92.268,126.551,196.554,335.854,416.998,484.662,329.597,249.016,244.996,465.544,361.574,74.526,404.59,182.084,313.284,463.225,47.442,296.012,291.803,255.717,393.513,362.559,399.8,275.262,203.909,39.031,442.531,126.551,265.4,183.152,322.597,389.714,199.594,324.03,188.527,320.829,328.343,432.992,503.66,530.954,480.54,277.849,362.64,164.131,87.51,244.786,325.808,53.379,345.107,371.38,166.629
"Attala",73.857,221.506,272.783,0,82.657,190.108,174.152,64.43,115.125,63.904,198.435,167.006,210.131,214.474,171.229,96.449,174.161,80.876,55.343,132.312,278.365,93.89,345.327,135.022,115.229,49.588,180.345,173.272,203.924,115.229,136.906,231.87,186.247,175.487,108.547,169.932,237.596,144.601,108.209,36.804,169.991,114.508,203.136,133.516,92.152,129.176,216.159,241.399,86.914,80.798,114.91,110.986,91.485,152.734,52.965,291.096,252.055,157.154,186.247,167.006,117.187,194.275,142.648,157.168,150.996,275.714,133.001,101.35,185.926,231.355,235.401,233.474,88.375,77.491,172.388,254.994,209.828,71.413,311.821,90.712,124.314,174.443
"Benton",37.092,171.283,231.657,82.926,0,149.028,208.378,89.859,206.214,129.065,140.422,232.144,301.22,210.444,130.103,53.421,239.299,112.202,43.323,49.654,301.854,136.492,342.773,177.624,74.103,41.154,130.122,90.614,295.013,74.103,174.232,190.744,165.972,215.51,172.768,212.534,280.198,221.701,141.12,85.322,261.08,114.388,162.01,232.631,54.459,205.388,258.761,200.273,69.773,138.655,147.821,188.439,196.462,195.336,115.588,288.542,210.929,238.067,165.972,232.144,100.742,153.195,140.415,182.778,216.134,273.16,107.898,102.104,228.528,299.196,326.49,244.26,138.569,158.176,91.999,204.771,264.773,148.866,270.695,168.165,166.916,89.5
"Bolivar",184.698,239.247,360.344,190,148.35,0,343.516,128.037,209.18,255.344,214.869,392.764,318.41,108.785,258.79,187.238,399.919,281.061,157.002,121.719,436.992,128.833,528.773,146.088,206.114,146.547,218.933,112.051,312.203,206.114,309.366,256.915,301.11,350.648,296.362,196.405,272.815,382.321,301.74,228.244,281.376,122.828,290.697,275.899,202.065,366.008,259.12,293.977,132.747,272.238,308.441,304.567,239.73,154.475,244.405,423.68,339.616,245.429,301.11,392.764,235.876,7.73,97.851,317.916,376.754,408.298,58.686,106.609,189.316,314.505,344.09,153.681,279.815,187.698,166.446,272.176,399.911,245.132,313.044,267.527,175.579,163.947
"Calhoun",176.526,226.608,198.4,174.315,208.27,344.715,0,287.792,311.501,158.522,209.343,77.347,374.743,405.508,136.984,165.212,81.936,94.408,224.056,239.02,101.665,317.225,184.174,358.357,138.246,234.672,196.042,253.992,368.536,138.246,38.442,189.084,72.984,7.47,151.311,393.267,448.966,128.843,91.574,137.514,330.802,337.843,128.17,247.711,158.353,112.53,427.529,166.978,272.281,117.322,82.108,192.759,257.835,376.069,140.494,129.943,177.672,338.703,72.984,77.347,118.818,348.882,365.983,26.94,123.276,114.561,303.585,304.612,409.261,404.571,404.644,456.809,111.221,259.715,204.551,217.907,56.733,216.699,237.4,241.73,347.649,206.606
"Carroll",116.742,261.47,311.196,64.459,106.646,127.974,287.917,0,123.941,129.803,238.399,232.905,218.947,139.948,209.642,132.96,240.06,146.775,59.317,127.584,381.393,35.235,422.312,95.324,153.642,48.862,220.309,153.336,212.74,153.642,202.805,270.283,245.511,295.049,170.821,130.234,197.898,240.792,174.108,102.703,178.807,32.333,241.549,150.358,133.998,195.075,176.461,279.812,67.738,146.697,180.809,179.026,114.189,113.036,118.864,368.081,290.468,155.767,245.511,232.905,180.281,132.141,73.343,262.317,216.895,352.699,70.867,39.216,146.228,216.896,244.217,173.764,154.274,75.903,219.588,294.958,275.727,119.591,350.234,141.986,77.845,184.56
"Chickasaw",186.03,360.546,410.272,115.132,205.722,209.227,310.176,123.216,0,136.617,337.475,248.747,98.759,191.989,308.718,232.036,255.902,193.414,178.43,255.377,360.106,80.562,481.901,116.036,252.718,168.99,319.385,274.256,92.552,252.718,234.127,369.359,298.785,303.078,161.051,90.743,144.709,183.023,198.137,149.342,58.619,108.729,340.625,92.665,233.074,199.957,123.272,378.888,188.658,154.953,192.07,121.257,61.412,130.249,147.584,427.67,389.544,40.678,298.785,248.747,229.725,213.394,136.869,269.706,197.146,412.288,174.216,142.289,163.478,100.321,124.029,224.038,162.53,49.021,318.664,394.034,291.569,97.306,449.31,94.066,85.505,320.719
"Choctaw",94.113,240.132,292.731,63.9,128.997,256.554,158.01,129.806,136.496,0,217.061,104.792,249.09,279.85,191.177,116.705,111.947,65.22,114.034,177.947,216.151,159.266,329.735,200.398,140.315,110.362,198.971,218.907,242.883,140.315,99.986,251.818,177.338,150.912,45.382,200.257,267.921,81.436,63.996,45.111,205.149,179.884,223.084,129.317,112.408,66.962,246.484,261.347,147.688,20.812,57.929,74.365,96.544,218.11,13.443,275.504,272.003,178.525,177.338,104.792,111.795,260.721,208.024,125.295,88.782,260.122,198.377,166.726,251.302,238.168,258.127,298.85,28.389,102.809,206.611,273.62,147.614,59.793,331.769,79.092,166.271,208.666
