"","Adams","Alcorn","Amite","Attala","Benton","Bolivar","Calhoun","Carroll","Chickasaw","Choctaw","Claiborne","Clarke","Clay","Coahoma","Copiah","Covington","DeSoto","Forrest","Franklin","George","Greene","Grenada","Hancock","Harrison","Hinds","Holmes","Humphreys","Issaquena","Itawamba","Jackson","Jasper","Jefferson","Jefferson Davis","Jones","Kemper","Lafayette","Lamar","Lauderdale","Lawrence","Leake","Lee","Leflore","Lincoln","Lowndes","Madison","Marion","Marshall","Monroe","Montgomery","Neshoba","Newton","Noxubee","Oktibbeha","Panola","Pearl River","Perry","Pike","Pontotoc","Prentiss","Quitman","Rankin","Scott","Sharkey","Simpson","Smith","Stone","Sunflower","Tallahatchie","Tate","Tippah","Tishomingo","Tunica","Union","Walthall","Warren","Washington","Wayne","Webster","Wilkinson","Winston","Yalobusha","Yazoo"
"Adams",0,104.533,114.133,58.883,31.483,136.117,116.3,73.317,133.5,76.083,90.567,120.033,190.083,164.95,62.017,23.133,124,57.183,36.983,68.483,176.133,83.117,204.983,105.833,30.817,45.717,77.267,98.267,189.317,30.817,96.75,98.55,93.5,124.667,108.633,135.8,184.217,110.383,69.283,40.167,169.117,96.167,78.65,132.983,18.35,103.367,167.533,96.45,80.4,78.65,75.15,120.933,111.617,112.417,61.267,164.717,99.467,163.05,93.5,120.033,45.317,137,119.067,115.5,108.883,158.383,101.967,98.883,127.1,199.45,215.417,163.9,80.25,103.517,65.7,123.033,147.583,87.433,142.333,104.417,123.333,67.5
"Alcorn",104.633,0,83.283,156.117,118.933,174.8,157.067,162.617,221.25,175.683,23.333,179.45,277.833,223.617,74.967,100.483,183.433,119.683,126.3,113.317,217.633,172.417,196.267,195.133,85.917,135.017,38.667,93.333,277.067,85.917,153.417,29.6,113.767,165.417,195.017,225.1,273.517,169.8,128.7,139.767,256.867,180.9,73.9,232.6,94.3,162.783,256.833,53.867,157.717,158.133,134.567,209.45,211.217,201.717,160.883,206.217,97.067,247.45,113.767,179.45,96.8,168.35,201.183,164.117,168.3,199.883,163.967,176.2,216.417,288.767,303.183,242.2,154.417,192.833,59.817,36.233,196.1,187.033,68.483,204.033,212.65,62.933
"Amite",114.733,82.117,0,167,132.433,226.383,124.717,172.717,231.35,180.033,84.667,172.517,287.933,262,63.917,110.583,172.833,126.417,136.383,155.9,161.2,182.517,124.117,205.233,92.65,145.117,102.533,154.667,287.167,92.65,141.667,66.933,81.417,133.783,201.733,235.2,283.617,176.533,135.433,148.683,266.967,195.567,50.35,240.083,104.4,169.517,266.933,38.017,179.8,164.867,141.283,216.183,218.7,211.817,169.8,143.7,30.617,257.533,81.417,172.517,103.517,229.7,218.467,135.7,175.033,137.367,192.233,198.283,226.517,298.85,313.267,263.3,161.15,202.933,121.167,62.467,162.45,194.517,40.033,211.517,222.733,124.267
"Attala",57.383,154.433,165.867,0,61.4,141.683,135.35,49.8,84.183,50.567,140.467,123.633,140.767,139.117,113.767,76.683,127.6,62.183,43.583,100.117,191.683,60.417,244.35,83.133,82.55,42.7,127.167,129.883,140,82.55,106.733,150.283,135.05,141.667,84.7,113.1,161.517,113.05,79.533,28.617,119.783,73.483,130.383,91.767,72.15,102.333,144.833,148.2,76.9,60.883,85.383,87.967,70.383,89.717,45.283,204.083,151.217,113.717,135.05,123.633,80.117,142.583,96.367,127.1,112.483,197.75,97.867,79.917,104.417,162.25,166.1,141.217,66.933,62.233,117.817,172.933,151.183,53.967,194.083,70.95,100.65,119.6
"Benton",31.6,118.567,130.167,62.167,0,106.333,132.35,68.467,125.583,102.4,99.933,146.167,182.167,141.95,78.067,39.167,150.15,83.317,30.633,38.7,192.183,76.767,221.033,99.467,46.85,31.817,91.3,68.467,181.417,46.85,118.167,114.583,109.55,140.7,134.933,129.45,177.85,136.517,95.433,66.467,161.2,84.333,94.683,135.2,37.333,129.5,161.167,112.5,61.15,104.967,101.283,140.933,117.75,106.05,87.583,180.75,115.517,151.783,109.55,146.167,61.533,107.217,104.617,130.6,135.017,174.433,72.167,79.633,120.75,193.1,207.517,160.533,106.567,97.167,69.733,137.067,171.383,106.933,158.383,123.917,116.983,66.25
"Bolivar",138.4,174.183,226.05,141.017,109.067,0,231.483,96.1,159.833,191.15,153.7,243.233,207.2,77.683,173.933,137.05,247.2,183.45,116.383,95.2,291.317,98.933,310.583,116.733,149.9,108.683,160.15,85.167,206.433,149.9,217.183,183.85,208.683,239.833,223.4,139.733,171.583,233.567,192.483,169.2,189.683,90.483,190.567,183.233,144.133,226.567,162.6,208.1,108.267,201.467,198.333,204.033,165.783,107.967,185.867,279.883,211.383,171.033,208.683,243.233,160.567,6.3,76.867,229.733,232.083,273.567,50.7,81.517,129.217,197.467,233.083,100.967,207.517,144.983,123.5,190.467,270.517,179.567,222.717,185.25,141.267,120.017
"Calhoun",115.55,154.85,124.117,134.717,133.267,230.983,0,173.55,187.317,99.667,148.633,51.383,217.383,265.183,95.583,111.417,51.7,74.083,137.217,160.5,76.833,183.35,116.617,206.067,93.017,145.95,141.167,159.283,216.633,93.017,32.833,126.083,47.683,10.633,93.917,236.033,261.983,71.25,73.667,106.033,194.9,196.4,81.45,145.433,105.233,64.25,245.3,104.783,180.633,92.933,66.067,110.917,152.317,212.65,111.117,76.35,109.467,207.917,47.683,51.383,94.417,231.867,219.3,26.533,69.767,70.017,196.833,199.117,227.333,240.867,245.2,264.133,88.883,179.017,129.25,136.433,41.317,142.45,150.667,154.8,223.567,131.05
"Carroll",72.367,160.35,169.95,49.967,64.833,95.133,172.133,0,82.583,100.1,146.383,173.167,139.167,98.75,117.85,78.95,177.133,111.717,45.333,93.25,231.967,33.817,260.817,57.75,86.633,37.633,133.083,113.067,138.4,86.633,156.267,154.367,149.333,180.483,132.35,87.733,136.133,148.867,129.067,78.133,118.183,28.617,134.467,92.183,77.117,151.867,119.45,152.283,56.617,110.417,134.917,112.983,74.733,64.333,94.817,220.533,155.3,110.067,149.333,173.167,101.317,96.017,57.3,170.383,162.017,214.217,51.3,33.35,79.033,151.383,164.5,117.333,116.467,54.15,121.533,178.85,200.717,88.517,198.167,94.2,79.283,126.617
"Chickasaw",132.933,221.417,231.017,83.95,125.9,160.417,186.967,81.85,0,106.883,207.45,156.45,67.083,143.9,178.917,140.017,160.433,138.817,108.767,164.6,224.517,61.233,290.117,94.917,147.7,107.017,194.15,191.683,66.333,147.7,178.633,215.433,211.7,182.25,110.317,68.267,104.483,118.667,152.067,105.25,46.117,84.967,195.533,63.117,138.183,129.5,87.8,213.333,135.233,117.583,149.4,82.783,49.783,94.5,113.333,249.85,216.367,32.7,211.7,156.45,156.75,161.033,107.867,203.733,133.317,243.517,130.233,108.883,110.483,82.583,92.433,139.933,123.65,39.45,182.6,239.917,184,68.483,259.233,72.133,75.467,184.4
"Choctaw",76.467,175.5,179.6,51.117,102.817,192.45,99.033,100.483,104.433,0,161.533,76.917,156.05,189.8,127.5,95.783,80.883,56.783,85.867,139.817,144.967,111.1,202.183,133.817,99.133,86.917,148.233,169.583,155.283,99.133,81.5,164.017,135.933,94.317,36.1,155.883,204.283,64.45,54.917,39.65,133.55,124.167,144.117,90.667,91.233,55.633,187.6,161.933,121.133,20.433,52.25,56.133,70.433,140.4,16.183,161.917,164.95,133.983,135.933,76.917,85.9,193.333,147.05,107.467,65.767,155.583,148.55,130.6,155.1,183.85,187.317,191.9,26.5,82.8,135.383,194,104.467,46.25,207.817,63.233,141.383,137.183
