"","Adair","Andrew","Atchison","Audrain","Barry","Barton","Bates","Benton","Bollinger","Boone","Buchanan","Butler","Caldwell","Callaway","Camden","Cape Girardeau","Carroll","Carter","Cass","Cedar","Chariton","Christian","Clark","Clay","Clinton","Cole","Cooper","Crawford","Dade","Dallas","Daviess","DeKalb","Dent","Douglas","Dunklin","Franklin","Gasconade","Gentry","Greene","Grundy","Harrison","Henry","Hickory","Holt","Howard","Howell","Iron","Jackson","Jasper","Jefferson","Johnson","Kansas City","Knox","Laclede","Lafayette","Lawrence","Lewis","Lincoln","Linn","Livingston","Macon","Madison","Maries","Marion","McDonald","Mercer","Miller","Mississippi","Moniteau","Monroe","Montgomery","Morgan","New Madrid","Newton","Nodaway","Oregon","Osage","Ozark","Pemiscot","Perry","Pettis","Phelps","Pike","Platte","Polk","Pulaski","Putnam","Ralls","Randolph","Ray","Reynolds","Ripley","Saline","Schuyler","Scotland","Scott","Shannon","Shelby","St. Charles","St. Clair","St. Francois","St. Louis","St. Louis City","Ste. Genevieve","Stoddard","Stone","Sullivan","Taney","Texas","Vernon","Warren","Washington","Wayne","Webster","Worth","Wright"
"Adair",0,311.643,389.563,206.511,227.991,182.993,131.785,500.085,391.48,288.075,185.318,131.785,160.412,173.48,214.566,473.086,246.592,292.93,201.251,97.621,376.775,143.504,217.01,269.695,85.723,68.909,357.631,162.419,151.077,148.471,283.239,281.734,247.87,488.435,439.207,169.233,211.007,377.229,392.819,275.348,319.834,174.78,344.374,256.031,378.057,232.141,294.25,466.003,198.921,310.716,150.967,208.659,134.604,233.475,298.848,175.319,451.87,54.842,162.419,93.581,270.186,246.762,129.722,218.232,199.256,324.696,176.431,480.764,194.998,319.316,223.235,311.203,465.111,244.235,315.879,335.579,39.667,143.504,483.042,256.149,218.615,128.509,434.442,241.098,61.923,361.865,320.136,293.563,215.46,208.609,74.151,231.405,83.214,364.452,224.782,201.469,246.926,278.126,309.924,243.506,343.507,326.808,326.808,391.913,394.954,184.544,219.557,190.039,191.524,379.735,49.224,267.46,396.206,125.158,385.889,133.709
"Andrew",312.872,0,78.717,327.992,89.415,298.07,206.942,689.169,663.563,449.512,441.615,206.942,376.121,343.536,154.192,662.17,66.963,608.938,515.578,254.23,247.912,399.801,283.312,276.069,227.849,295.46,63.992,390.555,349.484,420.254,106.535,45.043,526.941,813.658,816.651,275.472,424.365,86.821,81.973,141.097,142.111,248.978,38.372,109.598,99.057,548.149,564.828,655.087,313.998,492.753,437.267,103.494,344.852,165.845,478.739,390.594,752.042,269.024,390.555,227.238,228.129,280.29,415.608,333.309,346.064,165.052,374.459,752.718,301.237,442.393,384.672,150.743,743.395,547.881,19.45,29.577,340.527,399.801,807.971,322.985,92.939,374.727,716.044,95.643,330.487,677.873,204.387,328.008,107.049,143.938,348.021,122.767,351.492,248.255,350.651,457.766,593.347,594.134,471.361,473.521,632.703,503.559,503.559,580.997,757.435,449.606,498.189,446.336,514.967,401.173,360.864,450.825,692.607,404.903,91.589,446.841
"Atchison",390.862,78.814,0,405.982,167.405,376.06,284.932,767.159,741.553,527.502,519.605,284.932,454.111,421.526,232.182,740.16,144.953,686.928,593.568,332.22,241.743,477.791,361.302,354.059,305.839,373.45,71.624,468.545,427.474,498.244,157.518,120.073,604.931,891.648,894.641,353.462,502.355,71.869,50.783,173.283,156.108,326.968,57.541,187.588,94.53,626.139,642.818,733.077,391.988,570.743,515.257,181.484,422.842,243.835,556.729,468.584,830.032,347.014,468.545,305.228,306.119,358.28,493.598,411.299,424.054,179.049,452.449,830.708,379.227,520.383,462.662,164.74,821.385,625.871,87.687,69.981,418.517,477.791,885.961,400.975,170.929,452.717,794.034,173.633,408.477,755.863,218.384,405.998,185.039,221.928,426.011,200.757,429.482,256.472,428.641,535.756,671.337,672.124,549.351,551.511,710.693,581.549,581.549,658.987,835.425,527.596,576.179,524.326,592.957,356.592,438.854,528.815,770.597,482.893,60.399,524.831
"Audrain",205.676,326.774,404.694,0,284.805,365.516,349.704,379.048,353.442,139.391,327.63,349.704,65.986,33.401,233.841,352.049,301.397,346.452,278.749,168.749,205.781,313.654,46.016,62.515,243.548,200.572,332.383,111.616,356.496,282.224,257.365,336.539,216.423,503.537,506.53,102.986,99.254,344.998,363.273,234.666,279.152,406.189,359.505,305.026,313.564,336.947,254.707,344.966,381.444,182.632,158.328,263.219,301.205,164.163,168.618,345.196,441.921,208.636,111.616,247.018,99.192,59.308,136.669,390.27,369.133,284.014,346.308,442.597,90.47,118.069,47.271,270.521,433.274,268.942,370.684,350.71,171.58,313.654,497.85,42.479,273.42,298.659,405.923,290.093,243.556,452.767,228.1,89.986,264.455,227.884,236.739,250.68,125.175,193.458,394.659,371.619,293.228,382.932,161.24,163.4,322.582,193.438,193.438,270.876,447.314,354.694,188.068,360.189,236.028,176.158,182.977,140.704,382.486,258.911,353.658,267.462
"Barry",227.467,91.904,169.824,282.557,0,212.665,121.537,603.764,578.158,364.107,356.21,121.537,290.716,258.131,66.876,576.765,26.853,523.533,430.173,168.825,277.473,314.396,256.613,278.742,142.444,210.055,137.892,305.15,264.079,334.849,109.168,61.995,441.536,728.253,731.246,190.067,338.96,160.721,173.08,143.73,171.672,168.64,124.635,44.544,166.57,462.744,479.423,569.682,228.593,407.348,351.862,18.296,259.447,168.518,393.334,305.189,666.637,183.619,305.15,141.833,230.802,286.365,330.203,247.904,260.659,194.613,289.054,667.313,215.832,395.348,299.267,180.304,657.99,462.476,96.14,115.84,255.122,314.396,722.566,332.195,11.498,289.322,630.639,18.357,245.082,592.468,233.948,330.681,19.733,73.736,262.616,35.451,266.087,277.816,265.246,372.361,507.942,508.729,385.956,388.116,547.298,418.154,418.154,495.592,672.03,364.201,412.784,360.931,429.562,403.846,275.459,365.42,607.202,319.498,169.381,361.436
"Barton",182.408,296.772,374.692,365.115,213.12,0,90.936,524.862,474.467,430.477,184.299,90.936,319.016,332.084,247.732,550.521,231.721,351.491,258.131,219.954,474.089,142.609,398.884,451.569,160.989,191.242,342.76,321.023,52.225,162.807,305.784,266.863,386.718,546.996,497.768,332.338,369.611,362.358,377.948,340.346,368.288,77.793,329.503,241.16,363.186,290.702,433.098,559.609,20.843,449.564,314.05,193.788,80.554,365.134,437.696,97.439,510.431,177.175,321.023,163.596,427.418,428.636,312.805,40.154,52.909,391.229,70.001,539.325,358.103,508.742,381.839,376.92,523.672,346.278,301.008,320.708,224.501,142.609,541.603,414.753,203.744,129.458,493.003,226.227,120.412,420.426,430.564,452.167,200.589,254.592,124.508,196.181,241.818,474.432,57.496,200.574,335.9,336.687,470.597,382.354,476.074,465.656,465.656,530.761,453.515,156.451,358.405,189.144,305.772,600.462,208.454,406.308,482.468,161.148,371.018,203.086
"Bates",131.454,207.324,285.244,335.38,123.672,91.157,0,592.205,541.81,416.93,251.511,0,271.539,310.954,158.284,629.588,142.273,418.834,325.474,149.247,384.641,209.697,309.436,362.121,71.541,131.52,253.312,275.346,142.571,230.15,216.336,177.415,391.453,614.339,565.111,242.89,323.934,272.91,288.5,250.898,278.84,56.514,240.055,151.712,273.738,358.045,437.833,622.505,107.085,460.171,318.785,104.34,153.137,275.686,446.157,183.681,577.774,105.084,275.346,74.148,337.97,339.188,275.879,126.396,139.151,301.781,167.546,606.668,268.655,448.171,352.09,287.472,591.015,387.818,211.56,231.26,169.889,209.697,608.946,385.018,114.296,184.623,560.346,136.779,140.383,487.769,341.116,437.849,111.141,165.144,157.917,106.733,183.135,384.984,143.738,267.662,403.243,404.03,438.779,387.089,487.09,470.977,470.977,548.415,520.858,242.693,363.14,256.232,326.692,511.014,196.007,418.243,549.811,214.799,281.57,256.737
"Benton",499.585,687.068,764.988,378.097,605.425,529.715,615.97,0,68.829,251.057,377.487,615.97,352.877,354.036,554.461,29.489,622.017,172.668,274.437,489.369,578.596,407.433,418.831,424.736,552.501,521.207,697.447,341.571,477.924,370.089,623.134,657.159,201.628,129.874,132.867,423.606,316.042,710.022,768.244,601.884,646.37,602.827,719.799,625.646,710.85,279.197,152.573,38.577,511.279,205.712,347.712,583.839,457.639,531.381,213.505,453.518,68.258,529.256,341.571,567.638,472.007,448.583,368.047,498.592,477.455,651.232,454.63,68.934,411.09,265.054,315.844,637.739,59.611,262.22,691.304,711.004,492.088,407.433,124.187,374.705,594.04,403.745,27.153,610.713,476.621,154.598,600.915,367.841,585.075,548.504,458.765,571.3,445.81,547.721,502.981,439.429,224.679,228.392,226.909,257.114,117.393,208.632,208.632,115.222,73.651,448.473,281.779,420.778,254.218,465.837,450.771,256.158,66.125,378.41,718.682,341.661
"Bollinger",391.508,663.168,741.088,354.197,581.525,480.91,567.165,73.086,0,227.157,328.682,567.165,328.977,330.136,530.561,46.069,598.117,123.863,225.632,465.469,554.696,358.628,394.931,400.836,503.696,497.307,673.547,317.671,429.119,321.284,599.234,633.259,156.186,197.575,130.765,399.706,292.142,686.122,744.344,577.984,622.47,554.022,695.899,601.746,686.95,230.392,107.131,35.591,462.474,181.812,239.635,559.939,408.834,507.481,189.605,404.713,108.668,505.356,317.671,511.577,448.107,424.683,259.97,449.787,428.65,627.332,405.825,136.635,387.19,241.154,291.944,613.839,127.312,183.982,667.404,687.104,384.011,358.628,191.888,350.805,570.14,354.94,41.691,586.813,394.486,141.843,577.015,343.941,561.175,524.604,409.96,547.4,421.91,523.821,454.176,390.624,175.874,215.637,203.009,233.214,61.648,184.732,184.732,91.322,68.478,399.668,183.818,371.973,208.776,441.937,342.694,232.258,29.044,329.605,694.782,292.856
"Boone",287.772,448.529,526.449,139.558,366.886,436.792,431.785,252.049,226.443,0,333.455,431.785,148.082,115.497,315.922,225.05,383.478,302.495,236.955,250.83,340.057,329.053,180.292,200.377,325.629,282.668,458.908,117.965,371.895,297.623,384.595,418.62,154.414,376.538,379.531,185.067,93.713,471.483,529.705,368.942,413.428,488.27,481.26,387.107,472.311,295.153,140.399,217.967,418.356,55.633,139.693,345.3,351.867,298.439,41.619,360.595,314.922,290.717,117.965,329.099,233.468,210.044,160.028,405.669,384.532,418.29,361.707,315.598,172.551,54.943,77.305,404.797,306.275,209.995,452.765,472.465,253.676,329.053,370.851,140.337,355.501,314.058,278.924,372.174,294.544,325.768,362.376,133.473,346.536,309.965,277.073,332.761,207.271,327.734,410.058,387.018,234.281,341.138,45.551,49.092,195.583,66.345,66.345,143.877,320.315,370.093,73.76,375.588,180.682,231.469,265.073,26.396,255.487,274.31,480.143,282.872
