"","Adair","Andrew","Atchison","Audrain","Barry","Barton","Bates","Benton","Bollinger","Boone","Buchanan","Butler","Caldwell","Callaway","Camden","Cape Girardeau","Carroll","Carter","Cass","Cedar","Chariton","Christian","Clark","Clay","Clinton","Cole","Cooper","Crawford","Dade","Dallas","Daviess","DeKalb","Dent","Douglas","Dunklin","Franklin","Gasconade","Gentry","Greene","Grundy","Harrison","Henry","Hickory","Holt","Howard","Howell","Iron","Jackson","Jasper","Jefferson","Johnson","Kansas City","Knox","Laclede","Lafayette","Lawrence","Lewis","Lincoln","Linn","Livingston","Macon","Madison","Maries","Marion","McDonald","Mercer","Miller","Mississippi","Moniteau","Monroe","Montgomery","Morgan","New Madrid","Newton","Nodaway","Oregon","Osage","Ozark","Pemiscot","Perry","Pettis","Phelps","Pike","Platte","Polk","Pulaski","Putnam","Ralls","Randolph","Ray","Reynolds","Ripley","Saline","Schuyler","Scotland","Scott","Shannon","Shelby","St. Charles","St. Clair","St. Francois","St. Louis","St. Louis City","Ste. Genevieve","Stoddard","Stone","Sullivan","Taney","Texas","Vernon","Warren","Washington","Wayne","Webster","Worth","Wright"
"Adair",0,192.45,237.65,130.7,146.417,128.1,101.8,274.5,269.583,172.917,135.383,101.8,111.333,106.883,139.383,263.05,156.683,200.683,146.75,67.967,232.367,100.833,132.05,172.5,64.383,55.317,225.083,105.617,119.083,104.267,186.55,178.517,161.867,333.967,306.117,114.45,143.95,236.2,242.267,189.933,218.75,127.567,207.367,158.55,226.667,168.083,197.4,257.283,135.383,179.583,113.767,135.25,105.3,159,184.433,116.95,293.6,38.267,105.617,72.017,161.45,154.133,100.833,145.783,131.117,222.433,117.533,306.567,127.95,188.267,137.95,213.5,303.583,167.817,199.717,203.45,34.167,100.833,331.117,162.683,140.95,98.983,284.433,151.933,53.617,248.467,223.633,187,134.367,131.717,60.917,139.933,60.783,223.583,140.883,143.15,180.183,199.317,181.333,143.867,229.533,192.033,192.033,224.867,257.3,130.767,130.15,131.967,135.583,239.833,37,166.85,272.567,83.2,243.117,98.067
"Andrew",195.133,0,53.917,202.917,53.267,164.183,119.217,365.117,367.1,245.917,265.967,119.217,212.85,187.017,96.783,353.683,41.75,350.883,301.2,141.683,179.733,231.417,169.817,166.333,133.217,187.85,48.933,216.783,199.517,246.933,71.717,38.533,324.317,429.467,432.233,160.2,239.867,67.05,58.533,93.983,101.867,140.683,28.133,69.283,76.583,318.283,353.767,347.917,171.467,269.467,250.15,63.833,206.817,101.583,262.883,211.8,401.633,163.283,216.783,134.95,136.883,171.9,236.833,181.883,191.65,120.067,209.333,400.917,173.683,264.4,210.95,107.95,396.85,336.55,23.367,24.2,216.95,231.417,426.583,197.85,55.817,225.217,386.067,57.833,204.033,398.667,147.367,192.967,62.117,96.45,207.383,82.3,207.333,179.117,189.683,273.733,345.617,349.517,254.333,278.117,344.25,272.733,272.733,315.5,400.933,260.067,291.15,262.55,309.033,234.167,229.4,254.25,390.25,233.483,66.8,265.817
"Atchison",238.25,52.717,0,246.033,96.383,207.317,162.35,408.25,410.233,289.05,309.083,162.35,255.967,230.15,139.9,396.8,84.883,394.017,344.333,184.817,179.217,274.55,212.95,209.467,176.35,230.983,52.317,259.917,242.65,290.05,117.15,81.683,367.45,472.6,475.367,203.333,283,56.35,44.15,126.35,114.117,183.817,46.883,112.417,76.217,361.417,396.9,391.033,214.6,312.6,293.283,106.967,249.933,144.7,306.017,254.933,444.767,206.4,259.917,178.083,180.017,215.033,279.967,225,234.783,132.317,252.467,444.05,216.817,307.517,254.083,120.2,439.983,379.683,65.717,55.1,260.083,274.55,469.717,240.983,98.95,268.35,429.2,100.967,247.167,441.783,159.6,236.083,105.25,139.567,250.517,125.433,250.467,191.3,232.817,316.867,388.733,392.65,297.467,321.25,387.383,315.867,315.867,358.633,444.067,303.2,334.283,305.683,352.167,262.833,272.533,297.383,433.367,276.617,52.417,308.95
"Audrain",129.983,202.467,247.683,0,153.567,233.767,188.383,204.783,206.767,85.583,216.667,188.383,51.683,25.867,137.317,193.35,165.517,249.7,188.917,95.15,137.567,185.983,37.267,50.483,152.883,140.25,210.7,70.883,220.417,178.783,162.017,187.367,174.55,269.133,271.9,68.75,81.283,222.067,237.117,155.517,184.333,219.55,217.4,165.6,216.917,224.9,193.45,187.583,241.033,109.133,104.267,142.783,206.083,106.15,102.55,201.7,241.3,122.55,70.883,157.45,66.667,47.317,90.933,232.6,215.883,188.017,202.3,240.583,62.433,98.467,37.017,179.083,236.517,190.65,208.55,213.483,111.033,185.983,266.25,33.517,149.8,184.133,225.733,158.983,158.917,262.517,152.633,64.467,141.417,129.65,153.583,137.883,77.15,128.8,225.65,228.3,211.05,256.133,94,117.8,183.933,112.4,112.4,155.167,240.6,215.917,130.817,217.117,163.15,117.3,111.517,93.917,229.917,157.717,228.983,172.6
"Barry",146.683,53.617,98.833,156.083,0,115.733,70.767,316.667,318.65,197.467,217.517,70.767,164.4,138.567,47.383,305.233,17.867,302.433,252.75,93.233,175.2,182.967,141.917,161.25,84.767,139.4,86.267,168.333,151.067,198.483,65.683,39.7,275.867,381.017,383.783,111.75,191.417,104.383,103.45,87.95,97.35,96.383,68.55,30.983,99.1,269.833,305.317,299.467,123.017,221.017,201.717,15.5,158.367,96.483,214.433,163.35,353.183,114.833,168.333,86.5,131.8,164,188.383,133.433,143.2,115.55,160.9,352.467,125.233,212.833,162.5,103.433,348.4,288.1,60.883,64.633,168.5,182.967,378.133,188.067,9.517,176.767,337.617,13.867,155.6,350.217,142.833,187.867,12.733,51.15,158.933,32.9,158.883,174.583,141.233,225.283,297.167,301.067,205.883,229.667,295.817,224.283,224.283,267.05,352.483,211.617,242.7,214.1,260.583,229.083,180.95,205.8,341.8,185.033,111.3,217.367
"Barton",127.5,162.517,207.717,232.033,116.483,0,49.283,306.9,304.6,263.7,126.85,49.283,212.65,208.217,139.1,321.017,126.75,211.3,161.617,150.6,272.833,92.417,220.833,261.283,95.75,137.967,195.15,206.933,39.233,107.35,163.317,148.583,233.367,344.583,316.733,190.667,245.283,206.267,212.35,185.583,194.983,47.467,177.433,128.617,196.75,178.7,268.883,324.417,15.217,251.067,180.767,105.317,62.583,194.117,255.933,55.55,304.233,120.917,206.933,101.833,229.433,242.917,194.983,25.633,35.4,213.183,52.117,317.2,204.15,286.517,239.267,201.067,314.2,228.55,169.783,173.517,154.167,92.417,341.733,264.017,111.017,91.233,295.05,122,100.983,259.083,240.467,288.317,104.433,142.85,100.15,116.833,162.1,272.217,33.433,134.75,206.033,209.95,263.133,215.367,298.8,263.517,263.517,296.367,267.933,103.817,201.633,123.55,193.867,326.717,140.25,238.333,291.333,101.833,213.183,134.15
"Bates",102.9,117.517,162.733,190.017,71.5,49.967,0,346.533,344.233,231.383,166.017,0,200.183,172.5,94.1,339.15,81.767,250.933,201.25,112.317,227.85,131.467,175.85,216.3,50.767,103.85,150.167,193.15,85.3,146.983,118.333,103.6,263.367,384.217,356.367,145.667,231.5,161.283,167.35,140.6,150,36.15,132.45,83.633,151.75,218.333,298.883,333.383,57.233,254.933,210.767,60.333,103.217,149.133,248.367,97.583,343.867,79.267,193.15,56.85,184.45,197.917,201.233,67.65,77.417,168.183,95.117,356.833,159.167,246.75,196.433,156.067,353.833,269.317,124.8,128.533,134.35,131.467,381.367,221.983,66.033,125.267,334.683,77.017,104.1,298.717,195.483,240.517,59.45,97.867,107.433,71.833,140.483,227.233,75.467,173.783,245.667,249.583,239.817,245.367,331.017,258.2,258.2,300.967,307.567,145.833,231.633,162.6,238.267,281.733,139.333,239.717,330.967,133.533,168.2,165.867
"Benton",276.083,365.65,410.85,205.967,317.933,301.917,344.433,0,54.533,142.783,222.433,344.433,223.25,191.15,301.683,23.5,329.883,98.5,165.8,259.517,324.633,232.133,224.333,252.833,315.067,305.533,397.733,204.217,274.9,212.05,348.867,351.733,156.417,71.883,74.65,233.1,193.917,408.167,415.483,343.1,371.917,342.617,380.583,329.967,398.633,168.433,120.7,26.9,292.783,112.9,188.817,307.15,268.55,293.733,123.85,256.517,44.05,286.917,204.217,321.817,253.733,246.4,201.2,287.417,270.683,375.617,257.117,43.333,226.8,148.15,171.833,366.667,39.267,163.233,372.917,376.65,270.233,232.133,69,213.1,314.167,236.9,20.9,323.35,282.383,94.183,339.7,201.6,305.783,294.017,261.617,302.25,242.417,317.833,280.467,275.967,131.8,151.633,124.767,139.117,93.267,116.3,116.3,69.267,43.35,262.05,151.4,256.15,198.4,260.65,241.717,143.65,51.733,219.617,415.083,198.367
"Bollinger",271.533,367.3,412.5,207.617,319.567,300.2,342.717,54.367,0,144.433,220.7,342.717,224.9,192.8,303.333,41.767,331.533,96.767,164.067,261.167,326.283,230.4,225.983,254.483,313.333,307.183,399.367,205.85,273.167,210.317,350.5,353.367,124.75,118.717,106.133,234.75,195.567,409.817,417.133,344.75,373.567,340.883,382.233,331.617,400.283,166.7,89.017,31.95,291.067,114.55,184.25,308.8,266.817,295.383,125.5,254.783,80.217,288.567,205.85,321.033,255.383,248.05,196.633,285.683,268.967,377.25,255.383,90.167,228.45,149.8,173.483,368.317,86.1,142.717,374.567,378.3,265.667,230.4,115.833,214.733,315.8,235.167,34.1,325,280.083,101.717,341.35,203.25,307.433,295.667,259.883,303.883,244.067,319.483,278.733,274.233,130.067,159.15,126.417,140.767,49.6,117.95,117.95,70.9,52.767,260.333,148.017,254.417,166.717,262.3,237.167,145.3,22.917,217.883,416.733,196.633
"Boone",174.883,245.267,290.467,85.583,197.55,259.483,232.367,141.233,143.2,0,230.283,232.367,96.583,70.767,181.3,129.783,209.5,194.467,168.517,139.133,204.25,198.367,103.95,132.667,196.867,185.15,277.35,100.017,232.8,191.167,228.483,231.35,124.967,205.567,208.35,112.717,75.8,287.783,295.1,222.2,251.017,263.533,260.2,209.583,278.25,204.5,129.167,124.017,250.35,45.567,103.967,186.767,218.967,172.833,39,214.083,177.733,166.533,100.017,201.433,133.35,126.017,116.35,244.983,228.25,254.7,214.667,177.017,106.417,42.683,51.45,245.767,172.967,164,252.533,256.267,155.933,198.367,202.683,94.967,193.783,196.517,162.167,202.967,199.8,198.95,219.317,83.467,185.4,173.633,185.6,181.867,122.033,195.483,238.017,240.683,184.4,235.733,35.75,53.517,120.367,49.85,49.85,91.6,177.05,228.283,66.55,229.5,140.167,142.533,156.417,29.65,166.35,170.1,294.7,185.933
