"","Beaverhead","Big Horn","Blaine","Broadwater","Carbon","Carter","Cascade","Chouteau","Custer","Daniels","Dawson","Deer Lodge","Fallon","Fergus","Flathead","Gallatin","Garfield","Glacier","Golden Valley","Granite","Hill","Jefferson","Judith Basin","Lake","Lewis and Clark","Liberty","Lincoln","Madison","McCone","Meagher","Mineral","Missoula","Musselshell","Park","Petroleum","Phillips","Pondera","Powder River","Powell","Prairie","Ravalli","Richland","Roosevelt","Rosebud","Sanders","Sheridan","Silver Bow","Stillwater","Sweet Grass","Teton","Toole","Treasure","Valley","Wheatland","Wibaux","Yellowstone"
"Beaverhead",0,525.956,605.903,254.295,456.423,431.899,347.127,408.28,536.52,1031.81,802.96,185.081,757.931,532.461,477.386,242.735,691.425,554.863,439.931,216.253,587.098,137.45,485.089,425.581,318.036,539.261,294.287,130.903,797.93,286.876,406.694,314.577,541.185,263.883,570.514,660.876,479.995,719.339,185.081,743.681,371.405,934.4,903.907,630.021,577.328,99.944,131.56,499.341,574.664,408.28,519.817,572.873,825.33,172.278,848.734,450.132
"Big Horn",508.651,0,433.978,464.306,171.164,454.617,465.4,511.014,53.203,540.688,311.838,496.929,266.809,276.397,789.234,338.546,324.835,598.194,173.69,528.101,569.587,390.319,328.64,737.429,629.884,521.75,549.945,409.468,345.666,314.107,718.542,626.425,187.256,260.496,221.548,364.241,523.326,195.31,496.929,252.559,683.253,587.999,468.084,138.899,86.206,455.582,448.076,811.189,617.995,511.014,563.148,81.751,479.755,357.187,357.612,76.344
"Blaine",588.455,435.024,0,365.474,465.472,174.381,259.146,292.626,439.64,376.468,460.463,441.624,463.571,198.151,457.441,534.216,370.286,237.912,347.976,476.403,177.348,462.272,259.784,517.185,483.948,131.508,356.659,549.715,384.324,344.235,572.606,480.489,321.796,465.966,249.375,145.681,242.12,629.868,441.624,447.751,537.317,329.157,298.664,467.093,483.268,524.311,476.834,453.238,257.083,292.626,199.864,475.993,220.087,460.482,505.688,364.414
"Broadwater",236.548,464.688,366.222,0,395.155,192.218,107.446,168.599,475.252,742.03,741.692,76.149,696.663,365.237,305.529,181.467,524.201,315.182,258.611,148.512,347.417,110.365,245.408,288.076,180.531,299.58,86.872,197.808,630.706,127.459,269.189,177.072,359.865,202.615,403.29,493.652,240.314,658.071,76.149,682.413,233.9,694.719,664.226,568.753,516.06,172.404,124.927,327.484,334.983,168.599,280.136,511.605,585.649,107.733,787.466,388.864
"Carbon",440.237,171.636,465.276,395.892,0,443.536,454.319,499.933,182.2,677.49,448.64,428.515,403.611,307.695,720.82,270.132,375.058,587.113,188.247,459.687,558.506,321.905,317.559,669.015,561.47,510.669,481.531,341.054,482.468,287.431,650.128,558.011,218.554,192.082,252.846,395.539,512.245,365.019,428.515,389.361,614.839,655.081,604.886,275.701,223.008,387.168,379.662,742.775,606.914,499.933,552.067,218.553,546.011,288.773,494.414,95.812
"Carter",414.433,455.657,174.363,191.452,443.449,0,85.124,124.698,466.221,550.171,574.214,267.602,598.087,198.314,407.763,360.194,389.107,211.878,280.972,302.381,155.558,288.25,125.991,417.471,309.926,107.721,182.637,375.693,495.612,198.718,398.584,306.467,340.617,314.544,268.196,319.384,137.01,649.04,267.602,552.027,363.295,502.86,472.367,485.914,507.029,350.289,302.812,403.56,231.679,124.698,176.832,502.574,393.79,286.46,619.439,380.714
"Cascade",329.593,466.182,258.85,106.612,453.974,84.846,0,120.63,476.746,634.658,601.936,182.762,625.809,257.865,356.167,275.354,416.829,207.81,291.497,255.125,240.045,203.41,138.036,357.11,249.565,192.208,122.276,290.853,523.334,197.55,338.223,246.106,368.339,296.502,295.918,386.28,132.942,659.565,182.762,579.749,302.934,587.347,556.854,513.636,517.554,265.449,217.972,399.492,227.611,120.63,172.764,513.099,478.277,201.62,647.161,391.239
"Chouteau",390.546,512.849,292.223,167.565,500.641,124.712,120.572,0,523.413,668.031,648.603,241.403,672.476,304.532,278.761,336.307,463.496,127.409,338.164,252.224,195.566,264.363,184.703,367.314,259.769,160.923,132.48,351.806,570.001,244.217,348.427,256.31,415.006,357.455,342.585,432.947,50.506,706.232,241.403,626.416,313.138,620.72,590.227,560.303,564.221,326.402,278.925,274.558,147.21,0,92.363,559.766,511.65,262.573,693.828,437.906
"Custer",520.316,51.896,439.53,475.971,182.829,466.282,477.065,522.679,0,495.754,266.904,508.594,221.875,281.949,800.899,350.211,279.901,609.859,185.355,539.766,581.252,401.984,340.305,749.094,641.549,533.415,561.61,421.133,300.732,325.772,730.207,638.09,74.065,272.161,227.1,369.793,534.991,250.235,508.594,207.625,694.918,543.065,423.15,93.965,41.272,467.247,459.741,822.854,629.66,522.679,574.813,36.817,434.821,368.852,312.678,88.009
"Daniels",940.663,540.122,376.438,741.252,678.203,550.159,634.924,668.404,496.033,0,234.866,817.402,275.866,435.256,833.219,770.558,265.231,613.69,522.99,852.181,553.126,822.331,546.043,892.963,859.726,507.286,732.437,841.48,158.727,657.641,948.384,856.267,426.926,692.508,387.443,306.841,617.898,474.16,817.402,252.302,913.095,47.311,87.017,402.439,458.188,887.594,852.612,829.016,632.861,668.404,575.642,466.974,156.755,789.199,280.091,583.383
"Dawson",786.849,311.281,460.49,742.504,449.362,574.186,602.66,648.274,267.192,234.808,0,775.127,47.025,397.794,931.339,616.744,185.088,697.742,419.581,806.299,637.178,668.517,465.9,1015.627,908.082,591.338,706.213,687.666,78.584,559.998,996.74,904.623,320.765,538.694,307.3,390.893,660.586,245.319,775.127,61.152,961.451,282.119,162.204,173.598,229.347,733.78,726.274,927.136,716.913,648.274,659.694,238.133,240.807,635.385,45.822,354.542
"Deer Lodge",166.54,497.714,442.23,76.359,428.181,268.226,183.454,241.314,508.278,818.038,774.718,0,729.689,441.245,293.427,214.493,600.209,391.19,334.619,102.058,423.425,110.891,321.416,241.622,134.077,375.588,110.328,179.869,706.714,203.467,222.735,130.618,435.873,235.641,479.298,569.66,316.322,691.097,0,715.439,187.446,770.727,740.234,601.779,549.086,148.91,54.919,315.382,410.991,241.314,356.144,544.631,661.657,144.036,820.492,421.89
"Fallon",741.879,266.311,463.465,697.534,404.392,598.263,626.737,672.351,222.222,275.418,46.568,730.157,0,421.871,1022.462,571.774,178.633,759.531,374.611,761.329,640.153,623.547,489.977,970.657,863.112,594.313,783.173,642.696,119.194,515.028,951.77,859.653,275.795,493.724,331.377,393.868,684.663,200.349,730.157,16.182,916.481,322.729,202.814,128.628,184.377,688.81,681.304,951.213,779.332,672.351,662.669,193.163,243.378,590.415,92.342,309.572
"Fergus",515.969,277.443,198.151,364.437,307.891,198.314,258.109,303.723,282.059,435.267,397.812,440.587,421.685,0,586.788,345.864,212.705,390.903,185.066,512.95,313.284,397.637,121.349,596.496,488.951,265.447,361.662,416.786,319.21,232.947,577.609,485.492,164.215,267.814,91.794,128.414,316.035,472.287,440.587,375.625,542.32,387.956,357.463,309.512,325.687,462.9,455.394,582.585,410.704,303.723,332.558,318.412,278.886,364.505,443.037,206.833
"Flathead",459.05,790.224,457.403,305.779,720.691,407.609,356.172,278.663,800.788,833.211,931.5,293.467,1022.199,587.429,0,507.003,746.393,219.838,564.039,322.086,343.591,403.401,467.6,82.474,198.976,326.103,235.336,472.379,852.898,432.887,200.657,195.306,697.903,528.151,625.482,602.424,272.396,983.607,293.467,1007.949,136.815,785.9,755.407,894.289,841.596,441.42,347.429,25.182,295.254,278.663,257.543,837.141,676.83,413.161,976.725,714.4
"Gallatin",226.38,338.763,533.643,182.035,269.23,359.639,274.867,336.02,349.327,844.617,615.767,214.658,570.738,345.268,506.963,0,504.232,482.603,252.738,245.83,514.838,108.048,315.183,455.158,347.613,467.001,267.674,119.384,610.737,163.518,436.271,344.154,353.992,76.69,383.321,473.683,407.735,532.146,214.658,556.488,400.982,733.225,772.013,442.828,390.135,150.344,165.805,528.918,502.404,336.02,447.557,385.68,624.155,74.916,661.541,262.939
"Garfield",675.431,323.956,370.286,523.899,375.254,389.097,417.571,463.185,279.867,265.208,185.106,600.049,178.739,212.705,746.25,505.326,0,550.365,257.758,672.412,504.067,557.099,280.811,755.958,648.413,456.23,521.124,576.248,106.504,392.409,737.071,644.954,161.694,427.276,122.211,300.549,475.497,261.611,600.049,162.919,701.782,283.296,192.604,186.273,242.022,622.362,614.856,742.047,570.166,463.185,515.319,250.808,179.659,523.967,230.331,274.196
"Glacier",536.851,599.819,237.907,313.87,587.611,211.682,207.542,126.975,610.383,613.715,697.71,390.02,759.446,391.502,219.871,482.612,550.466,0,425.134,386.284,126.313,410.668,271.673,279.615,393.829,106.607,266.54,498.111,621.571,331.187,420.679,390.37,501.976,447.013,429.555,382.928,76.469,793.202,390.02,713.386,327.777,566.404,535.911,647.273,651.191,472.707,425.23,215.668,77.976,126.975,38.047,646.736,457.334,408.878,742.935,524.876
