"","Beaverhead","Big Horn","Blaine","Broadwater","Carbon","Carter","Cascade","Chouteau","Custer","Daniels","Dawson","Deer Lodge","Fallon","Fergus","Flathead","Gallatin","Garfield","Glacier","Golden Valley","Granite","Hill","Jefferson","Judith Basin","Lake","Lewis and Clark","Liberty","Lincoln","Madison","McCone","Meagher","Mineral","Missoula","Musselshell","Park","Petroleum","Phillips","Pondera","Powder River","Powell","Prairie","Ravalli","Richland","Roosevelt","Rosebud","Sanders","Sheridan","Silver Bow","Stillwater","Sweet Grass","Teton","Toole","Treasure","Valley","Wheatland","Wibaux","Yellowstone"
"Beaverhead",0,277.833,331.017,133.317,256.383,226.633,176.1,215.733,279.617,544.3,410.85,93.25,386.867,307.367,282.2,147.15,397.8,281.233,248.55,135.633,358.35,87.117,255.65,226.283,164.35,292.5,156.533,82.283,458.317,175.15,201.3,156.467,310.2,150.033,330.067,379.583,241.233,386.133,93.25,380.75,188.633,524.783,507.15,326.383,300.067,60.05,66.167,297.083,286.617,215.733,259.983,299.017,459.883,104.083,431.317,241.3
"Big Horn",271.067,0,262.367,252.383,104.1,273.8,276.85,306.133,39.85,299.433,165.983,254.433,142,168.167,443.383,189.567,184.4,345.3,105.117,296.817,382.817,202.283,196.1,387.467,325.533,316.983,308.35,234.65,199.083,189.733,362.483,317.65,116.633,138.067,139.25,214.717,305.3,115.45,254.433,135.883,349.817,331.317,256.283,81.533,55.2,242.017,229.9,458.267,350.683,306.133,324.05,54.15,276.95,183.067,186.467,45.417
"Blaine",324.567,259.767,0,217.967,285.25,110.067,161.9,185.617,258.317,227.75,275.833,268.617,283.717,117.55,300.517,322.717,214.1,150.6,205.7,313.533,146.933,270.333,163.067,345.4,306.2,85.017,222.917,329.117,230.15,228.6,343.133,298.317,189.167,283.133,146.35,87.3,150.467,367.683,268.617,274.017,330.483,196.067,178.433,273.05,278.567,310.833,272.283,294.233,157.117,185.617,124.6,277.7,131.167,273.533,296.067,221.8
"Broadwater",124.133,252.767,216.8,0,231.333,112.417,61.883,101.517,254.567,442.25,385.8,50.633,361.8,214.15,198.617,122.1,304.583,167.017,172.567,99.017,244.133,69.917,141.433,166.067,104.133,178.283,65.467,128.683,365.1,89.617,141.083,96.25,234.217,124.983,236.85,286.35,127.017,361.083,50.633,355.683,128.417,410.567,392.933,301.333,275,110.417,71.85,213.483,172.4,101.517,145.767,273.967,345.667,72.9,406.267,216.25
"Carbon",248.167,102.467,288.017,229.483,0,272.983,276.033,305.317,104.267,368.95,235.5,231.533,211.5,193.817,420.483,166.667,234.6,344.467,123.7,273.917,381.983,179.383,195.267,364.567,302.633,316.15,285.45,211.75,268.6,168.167,339.583,294.75,142.283,115.167,164.9,240.367,304.467,210.783,231.533,205.383,326.917,396.2,325.783,151.033,124.7,219.117,207,435.367,349.85,305.317,323.217,123.667,331.283,160.167,255.967,65.95
"Carter",218.583,272.5,107.833,111.983,274.233,0,55.917,81.4,274.283,333.267,342.183,162.633,352.833,120.3,257.483,216.75,233.483,120.567,169.117,207.567,135.15,164.367,77.1,262.167,200.233,69.317,116.95,223.133,293.983,127.167,237.167,192.35,208.467,200.867,165.733,192.817,80.567,380.8,162.633,334.817,224.5,301.583,283.95,292.367,294.733,204.867,166.3,251.217,125.95,81.4,99.317,293.683,236.683,167.567,362.417,231.633
"Cascade",167.433,275.117,158.85,60.833,276.85,54.45,0,69.9,276.917,384.3,355.333,111.483,365.983,156.183,232.6,165.6,246.633,109.05,171.75,159.867,186.167,113.217,83.483,221.633,159.7,120.333,76.417,171.983,307.133,122.85,196.65,151.817,221.617,168.483,178.883,228.4,69.05,383.433,111.483,347.967,183.983,352.617,334.967,305.5,297.35,153.717,115.15,239.7,114.433,69.9,87.8,296.3,287.7,116.4,375.567,234.267
"Chouteau",206.367,305.883,184.783,99.767,307.633,81.817,70.617,0,307.683,410.217,386.1,150.15,396.75,186.95,187.233,204.533,277.4,81.983,202.517,172.917,144.383,152.15,114.25,227.533,165.6,102.283,82.3,210.917,337.9,153.617,202.533,157.7,252.383,207.417,209.65,259.167,35.833,414.2,150.15,378.733,189.867,378.533,360.9,336.283,328.117,192.65,154.083,180.95,87.367,0,60.733,327.083,313.633,155.35,406.333,265.033
"Custer",271.8,38.1,260.2,253.133,104.833,274.55,277.6,306.883,0,266.3,132.85,255.183,108.867,166,444.117,190.317,151.25,346.033,105.867,297.567,383.567,203.017,196.833,388.2,326.283,317.717,309.1,235.383,165.95,190.467,363.217,318.383,100.35,138.8,137.083,212.55,306.033,143.533,255.183,102.75,350.55,298.183,223.15,48.383,22.067,242.75,230.633,459,351.417,306.883,324.783,21.017,243.817,183.8,153.317,46.15
"Daniels",546.617,301.817,227.633,442.117,370.9,334.217,386.033,409.767,268.617,0,142.933,492.767,162.9,258.917,524.667,465.133,156.95,374.75,312.433,537.683,371.083,477.833,323.8,569.55,530.35,309.167,447.067,510.2,97.267,391.917,567.283,522.467,270.183,413.617,227.167,187.117,374.617,269.583,492.767,161.85,554.617,32,53.833,223.433,250.15,517.567,496.433,518.383,381.267,409.767,348.75,255.6,97.533,458.617,163.167,312.233
"Dawson",403.35,167.3,275.317,384.667,236.383,342.517,355.867,385.15,134.083,140.95,0,386.717,28.367,229.6,561.233,321.867,108.25,422.433,230.8,429.1,418.783,334.567,275.1,519.75,457.817,356.85,420.683,366.933,48.55,315.417,494.767,449.933,171.983,270.35,178.467,234.817,384.3,135.05,386.717,34.883,482.1,172.817,97.783,88.9,115.617,374.3,362.183,554.95,428.967,385.15,396.45,121.067,145.217,315.35,26.683,177.7
"Deer Lodge",83.567,252.167,265.833,50.45,230.733,161.433,110.9,150.367,253.967,491.267,385.2,0,361.2,263.167,196.033,121.5,353.6,216.033,221.583,73.067,293.15,65.55,190.45,140.117,78.183,227.317,70.367,112.75,414.117,138.633,115.133,70.3,283.233,124.383,285.867,335.383,176.033,360.483,0,355.083,102.467,459.583,441.95,300.733,274.4,90.517,31.3,210.917,221.417,150.367,194.783,273.367,394.683,78.417,405.667,215.65
"Fallon",379.15,143.083,284.35,360.467,212.167,352.883,366.217,395.5,109.867,160.433,26.983,362.517,0,239.95,551.467,297.65,110.983,434.667,206.6,404.9,427.8,310.367,285.45,495.55,433.617,365.883,416.433,342.717,68.05,291.217,470.55,425.733,147.783,246.15,188.817,243.85,394.667,110.833,362.517,10.683,457.883,192.317,117.283,64.7,91.417,350.083,337.983,565.317,440.05,395.5,405.467,96.85,151.75,291.15,47.467,153.483
"Fergus",298.583,166.883,119.85,212.583,192.35,120.583,156.517,185.8,165.417,259.717,229.917,263.233,240.567,0,361.883,217.083,121.217,224.967,112.917,311.617,229.6,229.8,75.75,366.567,304.633,163.767,221.333,262.15,181.717,143.883,341.567,296.733,96.267,165.567,53.467,72.2,184.967,274.8,263.233,222.55,328.9,228.033,210.4,180.15,185.667,269.517,257.417,355.617,230.35,185.8,202.433,184.817,163.117,210.567,250.15,128.9
"Flathead",274.367,442.967,298.483,201.267,421.517,255.833,233.8,184.767,444.767,523.917,560.117,197.7,552,360.967,0,312.283,451.4,150.483,372.383,214.75,255.417,256.333,288.25,61.7,145.833,215.983,160.867,303.55,511.917,289.433,131.883,137.55,426.4,315.167,383.667,383.467,180.933,551.267,197.7,545.883,100.217,492.233,474.6,491.533,465.2,281.3,222.083,31.9,199.117,184.767,174.433,464.15,427.333,272.733,580.35,406.433
"Gallatin",136.517,185.967,315.533,117.833,164.533,211.15,160.617,200.25,187.767,452.45,319,119.883,295,215.517,308.833,0,305.95,265.733,156.683,162.267,342.867,67.733,194.567,252.917,190.983,277.017,173.8,81.917,366.467,120.15,227.917,183.1,218.35,58.167,238.2,287.717,225.733,294.283,119.883,288.883,215.25,443.55,409.283,234.533,208.2,104.55,95.35,323.7,271.117,200.25,244.5,207.167,378.65,48.517,339.467,149.45
"Garfield",389.667,184.733,215.55,303.683,235.033,234.267,247.617,276.9,151.517,156.267,108.7,354.333,111.033,121.35,452.983,308.167,0,316.05,155.483,402.7,343.283,320.883,166.85,457.65,395.717,277.433,312.433,353.25,60.5,234.967,432.65,387.833,113.233,256.667,70.217,167.9,276.05,156.783,354.333,101.333,419.983,164.55,113.117,106.35,133.067,360.6,348.5,446.7,321.433,276.9,294.8,138.5,105.15,301.667,128.933,171.583
"Glacier",271.25,343.85,149.383,164.65,345.6,119.783,108.583,80.05,345.65,374.817,422.9,215.3,434.717,224.917,152.3,269.4,315.367,0,240.483,246.05,109.667,217.017,152.217,197.183,238.717,66.883,155.433,275.8,377.217,191.583,270.9,230.833,290.35,265.283,247.617,234.367,44.9,452.167,215.3,416.7,228.617,343.133,325.5,374.25,366.083,257.517,218.967,146.033,53.367,80.05,25.333,365.05,278.233,220.217,443.133,303
"Golden Valley",239.6,104.833,208.85,170.417,124.433,168.967,172.033,201.317,106.633,311.717,231.467,221.067,207.483,112.2,369.033,158.1,155.433,240.467,0,269.433,277.983,170.817,91.267,336.483,274.567,212.15,226.383,203.167,215.95,84.9,311.5,266.667,63.117,106.6,85.733,161.2,200.467,213.15,221.067,201.367,298.833,317.033,268.567,147,127.067,210.533,198.433,371.117,245.85,201.317,219.217,126.017,252.117,151.6,251.933,63.983
"Granite",126.55,295.133,314.317,98.95,273.7,209.917,159.4,173.867,296.933,539.767,428.167,72.3,404.183,311.65,212.817,164.467,402.1,248.783,270.067,0,311.183,108.517,238.95,153.233,91.3,269.083,93.867,155.717,462.6,187.117,128.233,83.417,331.733,167.35,334.35,383.867,209.783,403.45,72.3,398.067,115.567,508.083,490.433,343.7,317.383,133.483,74.267,227.683,254.167,173.867,227.533,316.333,443.167,121.383,448.633,258.617
"Hill",349.7,383.167,147.1,243.1,384.9,135.217,187.033,144.633,384.967,372.55,420.617,293.75,428.517,230.983,257.05,347.85,344.15,110.667,279.8,310.633,0,295.483,187.783,301.933,303.3,67.367,220.017,354.25,374.933,253.317,340.25,295.417,319.15,327.017,276.417,232.083,109.483,491.483,293.75,418.817,333.367,340.867,323.233,403.033,405.4,335.983,297.417,250.783,91.317,144.633,91.283,404.35,275.95,298.667,440.85,342.317
"Jefferson",78.45,199.567,267.25,69.55,178.117,162.867,112.333,151.967,201.367,466.033,332.6,66.533,308.6,229.1,255.467,68.883,319.55,217.45,170.283,108.917,294.583,0,194.267,199.55,137.617,228.733,125.517,66.55,380.05,96.9,174.567,129.733,231.95,71.767,251.8,301.317,177.45,307.883,66.533,302.483,161.9,457.15,422.883,248.133,221.8,49.4,41.983,270.35,222.833,151.967,196.2,220.75,392.233,25.817,353.067,163.033
"Judith Basin",246.633,196.017,159.967,140.033,197.75,77.833,83.967,113.25,197.8,323.8,276.233,190.683,286.883,77.083,289.333,196.8,167.517,152.417,92.633,239.067,186.85,194.167,0,294.017,232.083,121.017,148.783,236.25,228.033,98.233,269.017,224.183,142.517,145.3,99.783,149.3,112.417,304.317,190.683,268.867,256.35,305.117,280.65,226.4,218.25,233.883,194.35,283.067,157.8,113.25,131.167,217.2,240.217,171.333,296.467,155.15
"Lake",218.4,387,343.5,168.383,365.55,264.183,222.767,229.783,388.783,568.933,520.017,141.733,496.033,369.317,61.333,256.317,459.767,195.5,339.5,154.2,300.433,200.367,296.617,0,85.283,261,149.817,247.583,520.267,256.55,103.217,77,401.167,259.2,392.017,428.483,225.95,495.3,141.733,489.917,39.667,537.25,519.617,435.567,409.233,225.333,166.117,76.217,244.133,229.783,219.45,408.183,472.35,213.25,540.483,350.467
"Lewis and Clark",155.783,324.383,305.967,105.767,302.95,201.583,160.15,167.217,326.183,531.417,457.417,79.117,433.417,306.717,144.633,193.717,397.15,242.133,276.9,91.6,304.517,137.767,234,85.05,0,262.433,87.217,184.967,457.667,193.95,60.067,9.017,338.55,196.583,329.417,378.917,203.133,432.7,79.117,427.3,47.4,499.733,482.1,372.95,346.617,162.733,103.517,159.5,247.517,167.217,220.883,345.583,434.817,150.633,477.883,287.867
"Liberty",284.45,317.917,83.633,177.85,319.65,69.95,121.783,102.717,319.7,309.083,357.15,228.5,365.05,165.717,217.617,282.6,278.9,67.683,214.533,268.717,66.983,230.217,122.517,262.483,261.383,0,178.1,289,311.467,188.05,298.317,253.5,253.883,261.75,211.15,168.617,67.567,426.217,228.5,355.35,285.65,277.4,259.767,337.783,340.15,270.717,232.167,211.333,74.217,102.717,41.7,339.1,212.483,233.417,377.383,277.05
"Lincoln",147.55,308.217,221.3,66.333,286.767,116.917,75.483,82.55,310,446.75,421.2,70.883,417.25,222.05,159.217,177.533,312.483,157.467,228,93.667,219.867,125.15,149.333,148.267,86.333,177.767,0,176.733,373,145.05,123.267,78.45,289.667,180.417,244.75,294.267,118.467,416.517,70.883,411.133,110.6,415.067,397.433,356.783,330.45,154.483,95.267,174.1,162.85,82.55,136.217,329.4,350.15,128.35,441.433,271.683
"Madison",73.317,231.717,326.467,128.767,210.283,222.067,171.55,211.183,233.517,498.2,364.75,113.617,340.75,261.267,302.567,81.6,351.7,276.667,202.433,156,353.783,67.883,235.483,246.65,184.717,287.95,176.883,0,412.217,138.117,221.667,176.833,264.1,103.933,283.967,333.467,236.667,340.033,113.617,334.633,209,489.3,455.033,280.283,253.95,22.633,89.083,317.45,282.05,211.183,255.417,252.917,424.4,67.033,385.217,195.2
"McCone",449.65,199.583,231.6,363.667,268.667,294.25,307.6,336.883,166.367,97.233,49.667,414.317,69.617,181.333,512.967,368.167,59.983,378.717,215.467,462.683,375.067,380.867,226.833,517.633,455.7,313.133,372.417,413.233,0,294.95,492.65,447.817,173.217,316.65,130.2,191.1,336.033,167.333,414.317,64.883,479.983,129.1,54.067,121.183,147.917,420.6,408.483,506.683,385.25,336.883,352.733,153.35,100.75,361.65,69.9,209.983
"Meagher",164.717,188.667,226.633,87.05,169.167,126.55,124.383,153.667,190.45,390.817,315.3,137.7,291.3,144.1,285.667,120.217,234.55,192.817,85.283,186.067,253.517,95.933,97.35,253.133,191.2,187.683,143.017,138.017,295.05,0,228.133,183.3,146.95,73.683,166.8,216.317,152.817,296.967,137.7,285.183,215.467,372.15,347.667,230.833,210.9,135.65,123.55,300.55,198.2,153.667,171.567,209.85,307.233,73.1,335.767,147.8
"Mineral",191.15,359.75,341.333,141.133,338.3,236.933,195.517,202.567,361.55,566.767,492.767,114.483,468.783,342.067,131.583,229.067,432.517,269.483,312.25,126.95,339.883,173.117,269.367,103.717,58.033,297.783,122.567,220.333,493.017,229.3,0,49.75,373.917,231.95,364.767,414.283,238.5,468.05,114.483,462.667,66.817,535.083,517.45,408.317,381.983,198.083,138.867,146.467,282.867,202.567,256.233,380.933,470.183,186,513.25,323.217
"Missoula",146.767,315.35,296.933,96.75,293.917,192.55,151.117,158.183,317.15,522.383,448.383,70.1,424.4,297.683,135.6,184.683,388.117,233.1,267.867,82.567,295.5,128.733,224.967,76.017,8.267,253.4,78.183,175.933,448.633,184.917,51.033,0,329.533,187.567,320.383,369.9,194.1,423.667,70.1,418.283,38.367,490.7,473.067,363.917,337.6,153.7,94.483,150.483,238.483,158.183,211.85,336.55,425.783,141.6,468.85,278.833
"Musselshell",302.717,117.483,191.6,233.533,142.95,210.25,223.6,252.883,100.667,269.7,171.767,284.167,147.783,97.4,428.967,221.217,113.433,292.033,63.4,332.55,319.267,233.933,142.833,399.6,337.667,253.433,289.483,266.283,173.933,148.017,374.617,329.783,0,169.717,68.483,143.95,252.033,181.533,284.167,141.667,361.95,277.983,226.55,87.317,92.833,273.65,261.55,422.683,297.417,252.883,270.783,93.983,218.6,214.7,192.233,79.5
