"","Adams","Antelope","Arthur","Banner","Blaine","Boone","Box Butte","Boyd","Brown","Buffalo","Burt","Butler","Cass","Cedar","Chase","Cherry","Cheyenne","Clay","Colfax","Cuming","Custer","Dakota","Dawes","Dawson","Deuel","Dixon","Dodge","Douglas","Dundy","Fillmore","Franklin","Frontier","Furnas","Gage","Garden","Garfield","Gosper","Grant","Greeley","Hall","Hamilton","Harlan","Hayes","Hitchcock","Holt","Hooker","Howard","Jefferson","Johnson","Kearney","Keith","Keya Paha","Kimball","Knox","Lancaster","Lincoln","Logan","Loup","Madison","McPherson","Merrick","Morrill","Nance","Nemaha","Nuckolls","Otoe","Pawnee","Perkins","Phelps","Pierce","Platte","Polk","Red Willow","Richardson","Rock","Saline","Sarpy","Saunders","Scotts Bluff","Seward","Sheridan","Sherman","Sioux","Stanton","Thayer","Thomas","Thurston","Valley","Washington","Wayne","Webster","Wheeler","York"
"Adams",0,456.944,534.875,707.012,468.763,238.015,642.754,454.058,151.315,353.506,176.253,189.147,116.497,237.382,473.453,603.71,633.53,137.5,161.913,189.89,370.747,286.149,217.55,90.498,525.889,274.47,178.647,51.974,458.672,99.342,243.617,411.725,325.654,72.229,357.171,357.491,339.55,524.461,284.656,414.336,110.244,285.553,222.847,429.725,30.782,8.24,243.742,67.155,54.104,262.537,397.533,508.554,665.294,131.452,51.09,52.521,435.639,281.839,231.044,470.764,195.903,716.771,223.11,85.141,164.406,69.238,67.432,500.436,271.851,276.067,232.935,175.002,362.382,110.773,458.84,40.315,110.831,306.838,691.103,97.448,408.735,426.507,796.655,231.279,138.094,444.437,231.556,121.845,125.341,253.369,178.647,321.285,135.115
"Antelope",456.928,0,173.607,326.585,421.919,473.231,310.206,482.588,401.836,251.162,630.562,452.858,573.607,443.657,39.526,374.989,253.103,320.328,510.274,565.241,276.463,641.124,645.598,511.53,145.462,604.649,537.48,535.336,80.482,358.78,239.886,123.809,172.198,432.913,248.137,139.043,178.939,81.722,364.655,141.663,353.179,204.385,234.739,78.897,435.386,454.379,398.113,414.196,494.553,247.707,154.167,391.946,284.867,416.426,500.544,492.065,200.087,282.872,512.696,192.354,399.864,336.287,429.385,525.59,312.917,552.824,488.281,40.634,207.79,557.719,319.686,428.146,94.561,492.706,379.502,416.61,565.14,338.604,310.619,466.66,141.346,159.118,416.171,544.678,441.872,241.566,607.826,571.845,579.65,583.548,537.48,377.331,420.903
"Arthur",534.795,173.671,0,235.771,355.452,372.666,149.847,417.909,392.692,223.403,527.67,388.148,564.463,359.043,136.585,201.382,180.865,409.841,445.564,484.439,212.919,554.484,534.919,619.282,92.694,518.214,456.678,526.192,194.002,439.784,354.056,178.77,290.672,554.266,183.798,287.096,232.432,92.037,300.316,122.166,427.863,317.803,308.635,220.761,530.405,541.395,299.273,535.549,577.547,280.746,138.028,332.143,232.557,407.282,491.4,482.921,135.748,260.413,423.014,64.11,347.067,251.65,344.772,609.836,417.505,543.68,597.294,120.882,265.389,473.59,310.542,368.769,242.614,483.562,319.699,496.69,555.996,274.265,225.982,457.516,196.307,214.079,284.67,454.996,432.728,153.657,525.783,492.401,570.506,496.437,456.678,312.992,411.759
"Banner",706.76,326.838,236.046,0,524.219,578.556,124.104,552.944,564.657,413.983,793.383,615.679,736.428,606.478,289.752,326.646,85.019,581.806,673.095,728.062,439.284,755.395,808.419,791.247,183.773,706.691,700.301,698.157,347.169,611.749,526.021,350.819,462.637,726.231,410.958,442.864,404.397,245.204,527.476,304.484,599.828,489.768,480.6,373.928,702.37,713.36,560.934,707.514,749.512,452.711,316.988,464.879,44.036,579.247,663.365,654.886,362.908,487.876,675.517,300.156,562.685,70.469,592.206,781.801,589.47,715.645,769.259,274.049,437.354,662.067,482.507,590.967,398.382,655.527,488.466,668.655,727.961,501.425,41.503,629.481,368.356,386.128,150.353,707.499,604.693,322.424,770.647,734.666,742.471,746.369,700.301,501.469,583.724
"Blaine",468.133,421.335,355.452,524.161,0,244.523,400.111,134.791,326.03,223.829,346.859,305.015,445.955,261.843,438.914,196.726,493.612,333.808,345.843,319.766,193.541,310.901,326.062,552.62,402.104,262.197,328.535,459.53,454.746,373.122,329.652,333.643,330.29,487.604,189.099,353.565,282.537,400.676,205.137,287.648,393.924,293.315,284.231,425.799,463.743,474.733,220.659,468.887,510.885,238.923,303.51,86.295,541.509,340.62,424.738,416.259,241.352,203.524,257.401,293.486,268.453,497.047,247.73,543.174,370.594,477.018,530.632,375.923,265.13,217.573,286.138,290.155,358.456,359.497,36.581,430.028,419.522,157.562,485.412,367.297,330.653,348.425,438.069,255.039,340.934,201.794,309.051,378.6,389.13,268.04,328.535,167.436,329.077
"Boone",237.391,430.916,372.689,578.504,244.529,0,454.454,193.613,126.25,238.921,175.729,63.844,229.881,34.366,447.425,366.406,561.263,143.334,104.672,132.498,208.633,202.543,182.978,321.878,453.622,170.665,104.737,228.788,432.644,142.29,240.979,339.458,315.106,256.772,204.191,331.463,267.283,452.194,73.906,302.74,163.092,278.131,196.304,403.697,233.001,243.991,103.857,238.055,280.143,176.937,325.266,255.975,593.027,109.788,193.996,185.517,256.444,180.854,71.073,308.578,73.278,564.991,43.659,312.432,180.12,246.276,299.89,428.169,244.955,116.096,160.668,91.726,336.354,132.362,206.261,199.286,203.448,118.067,540.198,140.162,336.468,354.24,589.277,103.055,113.799,256.137,173.842,162.526,173.056,144.496,104.737,77.571,101.942
"Box Butte",642.127,309.995,149.85,124.049,400.114,454.451,0,428.533,500.024,365.46,609.455,505.253,671.795,471.771,272.909,202.235,93.5,507.802,555.771,566.224,330.024,631.29,616.704,726.614,178.621,582.586,538.463,633.524,330.326,547.116,509.23,334.028,445.846,661.598,290.524,426.021,387.606,228.361,415.065,273.327,567.918,472.977,463.809,357.085,637.737,648.727,416.378,642.881,684.879,412.917,289.189,340.468,155.482,514.614,598.732,590.253,288.339,377.518,504.799,215.271,464.172,110.536,457.658,717.168,572.679,651.012,704.626,257.206,420.563,537.962,465.716,485.874,381.539,555.216,364.361,604.022,663.328,367.49,85.743,564.848,351.565,369.337,134.822,536.781,523.386,198.319,607.568,613.266,623.796,578.222,538.463,377.364,519.091
"Boyd",453.525,482.008,417.909,552.553,134.791,193.622,428.503,0,311.422,284.502,298.485,254.114,407.577,210.942,499.587,227.012,522.004,319.2,298.659,271.392,254.214,225.339,277.688,507.689,462.777,194.682,270.42,444.922,515.419,358.514,372.099,394.316,390.963,472.996,249.772,414.238,343.21,461.349,170.979,348.321,379.316,353.988,327.424,486.472,449.135,460.125,210.343,454.279,469.447,281.893,364.183,88.064,602.182,326.012,410.13,401.651,302.025,246.494,209.027,363.018,258.137,527.333,230.543,498.866,355.986,423.262,489.194,436.596,325.803,169.199,291.788,279.839,419.129,326.064,99.038,415.42,371.148,175.225,515.698,330.432,391.326,409.098,468.355,206.665,304.069,264.251,247.855,330.226,340.756,219.666,270.42,155.266,292.212
"Brown",150.729,359.677,391.369,563.506,325.257,125.675,499.248,310.552,0,210,237.352,95.41,180.397,96.101,376.186,460.204,490.024,57.67,149.732,210.792,227.241,295.811,252.388,235.216,382.383,244.021,176.852,142.126,361.405,55.718,169.74,268.219,243.867,170.2,213.665,260.224,196.044,380.955,141.15,270.83,76.52,206.892,125.065,332.458,146.339,157.329,100.236,151.483,193.481,119.031,254.027,365.048,521.788,23.216,107.334,98.855,292.133,138.333,155.731,327.258,52.397,573.265,81.829,225.77,94.456,159.614,213.228,356.93,173.716,200.754,89.429,46.747,265.115,99.496,315.334,112.624,171.93,163.332,547.597,73.45,265.229,283.001,653.149,187.713,43.99,300.931,252.458,178.635,186.44,222.92,176.852,177.779,27.693
"Buffalo",352.91,250.824,223.403,412.716,223.829,238.915,365.457,284.498,210.807,0,439.533,261.829,382.578,225.292,269.131,326.413,339.234,227.956,319.245,350.688,41.763,420.733,401.168,437.397,231.593,384.463,322.927,344.307,241.965,257.899,172.171,126.276,119.537,372.381,79.874,140.784,61.297,230.165,166.565,120.04,245.978,135.918,126.75,213.018,348.52,359.51,162.908,353.664,395.662,80.647,103.237,258.077,370.998,225.397,309.515,301.036,107.158,105.046,289.263,159.292,208.835,422.475,211.021,427.951,235.62,361.795,415.409,206.14,82.348,339.839,128.657,237.117,145.675,301.677,213.906,314.805,374.111,140.514,396.807,275.631,123.286,141.058,500.28,321.245,250.843,167.14,392.032,380.816,388.621,362.686,322.927,179.241,229.874
